# xi2
# underflow	  1090.5944    	 0.48838598E-01
# overflow	 0.80042746    	 0.90453393E-03
# sum	  1310.6096    	 0.51887592E-01
# xmin	xmax	cross	numerror
  0.0000000    	  1.0000000    	 0.74203347    	 0.14166248E-02
  1.0000000    	  2.0000000    	 0.74192559    	 0.13817912E-02
  2.0000000    	  3.0000000    	 0.74272736    	 0.13116097E-02
  3.0000000    	  4.0000000    	 0.74636778    	 0.12634665E-02
  4.0000000    	  5.0000000    	 0.75300066    	 0.12408015E-02
  5.0000000    	  6.0000000    	 0.76461908    	 0.12577932E-02
  6.0000000    	  7.0000000    	 0.77853241    	 0.12767213E-02
  7.0000000    	  8.0000000    	 0.79944369    	 0.14128262E-02
  8.0000000    	  9.0000000    	 0.82327947    	 0.14570337E-02
  9.0000000    	  10.000000    	 0.84743271    	 0.15296577E-02
  10.000000    	  11.000000    	 0.87008383    	 0.15663859E-02
  11.000000    	  12.000000    	 0.70534678    	 0.13653218E-02
  12.000000    	  13.000000    	 0.70627011    	 0.12921823E-02
  13.000000    	  14.000000    	 0.70637855    	 0.12459600E-02
  14.000000    	  15.000000    	 0.70937663    	 0.12121882E-02
  15.000000    	  16.000000    	 0.71479264    	 0.11953889E-02
  16.000000    	  17.000000    	 0.72498243    	 0.11592767E-02
  17.000000    	  18.000000    	 0.73895792    	 0.12061287E-02
  18.000000    	  19.000000    	 0.75933099    	 0.13223548E-02
  19.000000    	  20.000000    	 0.77948193    	 0.13453161E-02
  20.000000    	  21.000000    	 0.80229451    	 0.14041243E-02
  21.000000    	  22.000000    	 0.82186124    	 0.14295845E-02
  22.000000    	  23.000000    	 0.67380536    	 0.12743697E-02
  23.000000    	  24.000000    	 0.67036060    	 0.11741005E-02
  24.000000    	  25.000000    	 0.67299228    	 0.11979807E-02
  25.000000    	  26.000000    	 0.67622940    	 0.11238316E-02
  26.000000    	  27.000000    	 0.68121570    	 0.10933652E-02
  27.000000    	  28.000000    	 0.68888558    	 0.11260270E-02
  28.000000    	  29.000000    	 0.70335694    	 0.11540009E-02
  29.000000    	  30.000000    	 0.72127333    	 0.12098585E-02
  30.000000    	  31.000000    	 0.74184076    	 0.12828907E-02
  31.000000    	  32.000000    	 0.76095261    	 0.12805703E-02
  32.000000    	  33.000000    	 0.77723931    	 0.13534192E-02
  33.000000    	  34.000000    	 0.63779876    	 0.11628922E-02
  34.000000    	  35.000000    	 0.64053011    	 0.11243578E-02
  35.000000    	  36.000000    	 0.64096480    	 0.11139161E-02
  36.000000    	  37.000000    	 0.64385133    	 0.10830114E-02
  37.000000    	  38.000000    	 0.64766614    	 0.10602379E-02
  38.000000    	  39.000000    	 0.65649389    	 0.10531013E-02
  39.000000    	  40.000000    	 0.66977601    	 0.10883519E-02
  40.000000    	  41.000000    	 0.68699181    	 0.11537070E-02
  41.000000    	  42.000000    	 0.70721235    	 0.11743925E-02
  42.000000    	  43.000000    	 0.72476252    	 0.12588064E-02
  43.000000    	  44.000000    	 0.73882318    	 0.12606907E-02
  44.000000    	  45.000000    	 0.60905255    	 0.10858323E-02
  45.000000    	  46.000000    	 0.61049946    	 0.11600758E-02
  46.000000    	  47.000000    	 0.61251389    	 0.10473823E-02
  47.000000    	  48.000000    	 0.61353781    	 0.99765694E-03
  48.000000    	  49.000000    	 0.61874941    	 0.10098486E-02
  49.000000    	  50.000000    	 0.62693734    	 0.10293252E-02
  50.000000    	  51.000000    	 0.63930509    	 0.10406547E-02
  51.000000    	  52.000000    	 0.65495268    	 0.10710461E-02
  52.000000    	  53.000000    	 0.67113908    	 0.11318521E-02
  53.000000    	  54.000000    	 0.68760100    	 0.11610361E-02
  54.000000    	  55.000000    	 0.70196276    	 0.12291563E-02
  55.000000    	  56.000000    	 0.58206619    	 0.10600219E-02
  56.000000    	  57.000000    	 0.58105806    	 0.99372563E-03
  57.000000    	  58.000000    	 0.58404851    	 0.10155429E-02
  58.000000    	  59.000000    	 0.58603509    	 0.94646741E-03
  59.000000    	  60.000000    	 0.59027749    	 0.95151092E-03
  60.000000    	  61.000000    	 0.59829434    	 0.97725737E-03
  61.000000    	  62.000000    	 0.60917995    	 0.95503741E-03
  62.000000    	  63.000000    	 0.62529885    	 0.10104698E-02
  63.000000    	  64.000000    	 0.64080288    	 0.10514191E-02
  64.000000    	  65.000000    	 0.65602900    	 0.11203177E-02
  65.000000    	  66.000000    	 0.66663514    	 0.11892479E-02
  66.000000    	  67.000000    	 0.55483315    	 0.98148225E-03
  67.000000    	  68.000000    	 0.55564259    	 0.99932880E-03
  68.000000    	  69.000000    	 0.55701547    	 0.96992785E-03
  69.000000    	  70.000000    	 0.55906412    	 0.91965058E-03
  70.000000    	  71.000000    	 0.56417103    	 0.91878245E-03
  71.000000    	  72.000000    	 0.57173103    	 0.90199640E-03
  72.000000    	  73.000000    	 0.58287109    	 0.91094916E-03
  73.000000    	  74.000000    	 0.59609028    	 0.95116632E-03
  74.000000    	  75.000000    	 0.61248655    	 0.10000908E-02
  75.000000    	  76.000000    	 0.62570214    	 0.10609403E-02
  76.000000    	  77.000000    	 0.63307570    	 0.11012656E-02
  77.000000    	  78.000000    	 0.53020677    	 0.99907429E-03
  78.000000    	  79.000000    	 0.53165426    	 0.91895432E-03
  79.000000    	  80.000000    	 0.53121373    	 0.89039703E-03
  80.000000    	  81.000000    	 0.53376147    	 0.88466322E-03
  81.000000    	  82.000000    	 0.53959811    	 0.87990732E-03
  82.000000    	  83.000000    	 0.54553772    	 0.86964724E-03
  83.000000    	  84.000000    	 0.55723980    	 0.87572654E-03
  84.000000    	  85.000000    	 0.57183723    	 0.91284645E-03
  85.000000    	  86.000000    	 0.58536775    	 0.95368893E-03
  86.000000    	  87.000000    	 0.59873441    	 0.10088662E-02
  87.000000    	  88.000000    	 0.60453606    	 0.10720766E-02
  88.000000    	  89.000000    	 0.50801941    	 0.90719526E-03
  89.000000    	  90.000000    	 0.50876771    	 0.93093737E-03
  90.000000    	  91.000000    	 0.51013553    	 0.87215458E-03
  91.000000    	  92.000000    	 0.51099172    	 0.84687999E-03
  92.000000    	  93.000000    	 0.51643683    	 0.82029757E-03
  93.000000    	  94.000000    	 0.52310926    	 0.80564132E-03
  94.000000    	  95.000000    	 0.53454615    	 0.83954958E-03
  95.000000    	  96.000000    	 0.54817134    	 0.88088753E-03
  96.000000    	  97.000000    	 0.55991798    	 0.91601226E-03
  97.000000    	  98.000000    	 0.57132286    	 0.98192241E-03
  98.000000    	  99.000000    	 0.57603164    	 0.10246095E-02
  99.000000    	  100.00000    	 0.48617036    	 0.90000917E-03
  100.00000    	  101.00000    	 0.48567566    	 0.83775102E-03
  101.00000    	  102.00000    	 0.48739902    	 0.81419946E-03
  102.00000    	  103.00000    	 0.48980786    	 0.81761247E-03
  103.00000    	  104.00000    	 0.49333587    	 0.79544975E-03
  104.00000    	  105.00000    	 0.50191855    	 0.82469968E-03
  105.00000    	  106.00000    	 0.51204363    	 0.80368782E-03
  106.00000    	  107.00000    	 0.52417321    	 0.87002749E-03
  107.00000    	  108.00000    	 0.53706739    	 0.87670323E-03
  108.00000    	  109.00000    	 0.54598016    	 0.92398691E-03
  109.00000    	  110.00000    	 0.54841045    	 0.97698006E-03
  110.00000    	  111.00000    	 0.46585276    	 0.89975302E-03
  111.00000    	  112.00000    	 0.46637291    	 0.86163267E-03
  112.00000    	  113.00000    	 0.46679528    	 0.79400845E-03
  113.00000    	  114.00000    	 0.46929603    	 0.77299642E-03
  114.00000    	  115.00000    	 0.47431366    	 0.78605734E-03
  115.00000    	  116.00000    	 0.48140721    	 0.78011169E-03
  116.00000    	  117.00000    	 0.49176712    	 0.81431436E-03
  117.00000    	  118.00000    	 0.50323222    	 0.79912932E-03
  118.00000    	  119.00000    	 0.51468575    	 0.86581229E-03
  119.00000    	  120.00000    	 0.52256761    	 0.89346829E-03
  120.00000    	  121.00000    	 0.52436868    	 0.93020773E-03
  121.00000    	  122.00000    	 0.44521044    	 0.82669845E-03
  122.00000    	  123.00000    	 0.44665099    	 0.78451357E-03
  123.00000    	  124.00000    	 0.44730822    	 0.77693884E-03
  124.00000    	  125.00000    	 0.45082215    	 0.75559600E-03
  125.00000    	  126.00000    	 0.45479642    	 0.75831237E-03
  126.00000    	  127.00000    	 0.46233294    	 0.76358052E-03
  127.00000    	  128.00000    	 0.47266460    	 0.76537257E-03
  128.00000    	  129.00000    	 0.48290517    	 0.79035928E-03
  129.00000    	  130.00000    	 0.49402660    	 0.85545431E-03
  130.00000    	  131.00000    	 0.50015963    	 0.86189915E-03
  131.00000    	  132.00000    	 0.50168386    	 0.90709755E-03
  132.00000    	  133.00000    	 0.42803852    	 0.81576759E-03
  133.00000    	  134.00000    	 0.42801296    	 0.77632473E-03
  134.00000    	  135.00000    	 0.42985940    	 0.74722922E-03
  135.00000    	  136.00000    	 0.43256849    	 0.72277440E-03
  136.00000    	  137.00000    	 0.43646484    	 0.70518047E-03
  137.00000    	  138.00000    	 0.44425491    	 0.71707424E-03
  138.00000    	  139.00000    	 0.45353444    	 0.73014953E-03
  139.00000    	  140.00000    	 0.46407941    	 0.75722817E-03
  140.00000    	  141.00000    	 0.47340268    	 0.80356107E-03
  141.00000    	  142.00000    	 0.47880496    	 0.83402902E-03
  142.00000    	  143.00000    	 0.48034680    	 0.85738592E-03
  143.00000    	  144.00000    	 0.41061205    	 0.79122635E-03
  144.00000    	  145.00000    	 0.41066309    	 0.74296529E-03
  145.00000    	  146.00000    	 0.41246886    	 0.71998668E-03
  146.00000    	  147.00000    	 0.41475773    	 0.71421723E-03
  147.00000    	  148.00000    	 0.41927566    	 0.71890054E-03
  148.00000    	  149.00000    	 0.42753395    	 0.71058132E-03
  149.00000    	  150.00000    	 0.43737158    	 0.72230686E-03
  150.00000    	  151.00000    	 0.44539750    	 0.75280841E-03
  151.00000    	  152.00000    	 0.45516596    	 0.78649658E-03
  152.00000    	  153.00000    	 0.45936749    	 0.81648805E-03
  153.00000    	  154.00000    	 0.45900269    	 0.83075371E-03
  154.00000    	  155.00000    	 0.39415028    	 0.77885338E-03
  155.00000    	  156.00000    	 0.39493783    	 0.74730921E-03
  156.00000    	  157.00000    	 0.39640773    	 0.69088469E-03
  157.00000    	  158.00000    	 0.39891552    	 0.67769384E-03
  158.00000    	  159.00000    	 0.40379565    	 0.70058596E-03
  159.00000    	  160.00000    	 0.40983397    	 0.67130686E-03
  160.00000    	  161.00000    	 0.41876565    	 0.68752318E-03
  161.00000    	  162.00000    	 0.42981735    	 0.71886703E-03
  162.00000    	  163.00000    	 0.43636130    	 0.76206450E-03
  163.00000    	  164.00000    	 0.44140779    	 0.78577923E-03
  164.00000    	  165.00000    	 0.44126430    	 0.82636459E-03
  165.00000    	  166.00000    	 0.37910865    	 0.72401726E-03
  166.00000    	  167.00000    	 0.37918186    	 0.70875459E-03
  167.00000    	  168.00000    	 0.37953950    	 0.68590250E-03
  168.00000    	  169.00000    	 0.38307707    	 0.66536269E-03
  169.00000    	  170.00000    	 0.38783907    	 0.65304404E-03
  170.00000    	  171.00000    	 0.39511431    	 0.67517311E-03
