# xi3
# underflow	 -2064.0451    	 0.10758946    
# overflow	-0.52589983    	 0.31591446E-02
# sum	 -2436.5227    	 0.11555601    
# xmin	xmax	cross	numerror
  0.0000000    	  1.0000000    	 -1.9408241    	 0.38308130E-02
  1.0000000    	  2.0000000    	 -1.9077702    	 0.36471896E-02
  2.0000000    	  3.0000000    	 -1.8479715    	 0.34937217E-02
  3.0000000    	  4.0000000    	 -1.7654133    	 0.34043134E-02
  4.0000000    	  5.0000000    	 -1.6588602    	 0.31980243E-02
  5.0000000    	  6.0000000    	 -1.5503134    	 0.31423871E-02
  6.0000000    	  7.0000000    	 -1.4300463    	 0.29152174E-02
  7.0000000    	  8.0000000    	 -1.3096318    	 0.27008727E-02
  8.0000000    	  9.0000000    	 -1.2008192    	 0.25659853E-02
  9.0000000    	  10.000000    	 -1.0976306    	 0.24649576E-02
  10.000000    	  11.000000    	 -1.0034740    	 0.23936736E-02
  11.000000    	  12.000000    	 -1.8261640    	 0.36698059E-02
  12.000000    	  13.000000    	 -1.7960277    	 0.34260437E-02
  13.000000    	  14.000000    	 -1.7419986    	 0.33921673E-02
  14.000000    	  15.000000    	 -1.6615704    	 0.31856647E-02
  15.000000    	  16.000000    	 -1.5634144    	 0.29527885E-02
  16.000000    	  17.000000    	 -1.4574659    	 0.28368814E-02
  17.000000    	  18.000000    	 -1.3490120    	 0.27585355E-02
  18.000000    	  19.000000    	 -1.2340163    	 0.26852836E-02
  19.000000    	  20.000000    	 -1.1247433    	 0.25212724E-02
  20.000000    	  21.000000    	 -1.0254021    	 0.23259284E-02
  21.000000    	  22.000000    	-0.93429191    	 0.22336652E-02
  22.000000    	  23.000000    	 -1.7240689    	 0.33975668E-02
  23.000000    	  24.000000    	 -1.6955647    	 0.32475565E-02
  24.000000    	  25.000000    	 -1.6419410    	 0.30596580E-02
  25.000000    	  26.000000    	 -1.5632905    	 0.29107671E-02
  26.000000    	  27.000000    	 -1.4770651    	 0.28409411E-02
  27.000000    	  28.000000    	 -1.3761066    	 0.27155673E-02
  28.000000    	  29.000000    	 -1.2707750    	 0.24979830E-02
  29.000000    	  30.000000    	 -1.1614448    	 0.23885396E-02
  30.000000    	  31.000000    	 -1.0621219    	 0.23131841E-02
  31.000000    	  32.000000    	-0.96262620    	 0.21315855E-02
  32.000000    	  33.000000    	-0.87490961    	 0.21641820E-02
  33.000000    	  34.000000    	 -1.6281238    	 0.33051450E-02
  34.000000    	  35.000000    	 -1.6017009    	 0.31075455E-02
  35.000000    	  36.000000    	 -1.5502747    	 0.29692160E-02
  36.000000    	  37.000000    	 -1.4825254    	 0.27949339E-02
  37.000000    	  38.000000    	 -1.3981008    	 0.26902313E-02
  38.000000    	  39.000000    	 -1.2990691    	 0.24711944E-02
  39.000000    	  40.000000    	 -1.1972973    	 0.23902582E-02
  40.000000    	  41.000000    	 -1.0983995    	 0.22183199E-02
  41.000000    	  42.000000    	-0.99950254    	 0.21377851E-02
  42.000000    	  43.000000    	-0.90712094    	 0.20578767E-02
  43.000000    	  44.000000    	-0.82090859    	 0.19886649E-02
  44.000000    	  45.000000    	 -1.5370006    	 0.32452344E-02
  45.000000    	  46.000000    	 -1.5140948    	 0.30413040E-02
  46.000000    	  47.000000    	 -1.4669601    	 0.28340004E-02
  47.000000    	  48.000000    	 -1.4072853    	 0.27213946E-02
  48.000000    	  49.000000    	 -1.3218959    	 0.25760993E-02
  49.000000    	  50.000000    	 -1.2326287    	 0.23995543E-02
  50.000000    	  51.000000    	 -1.1364192    	 0.22546020E-02
  51.000000    	  52.000000    	 -1.0386158    	 0.21017989E-02
  52.000000    	  53.000000    	-0.94394673    	 0.20253697E-02
  53.000000    	  54.000000    	-0.85713421    	 0.18921251E-02
  54.000000    	  55.000000    	-0.77347900    	 0.19179032E-02
  55.000000    	  56.000000    	 -1.4561318    	 0.29835149E-02
  56.000000    	  57.000000    	 -1.4364276    	 0.27838841E-02
  57.000000    	  58.000000    	 -1.3882999    	 0.26707911E-02
  58.000000    	  59.000000    	 -1.3313042    	 0.25469582E-02
  59.000000    	  60.000000    	 -1.2536420    	 0.24861366E-02
  60.000000    	  61.000000    	 -1.1721214    	 0.22770869E-02
  61.000000    	  62.000000    	 -1.0779456    	 0.20960927E-02
  62.000000    	  63.000000    	-0.98451977    	 0.19782397E-02
  63.000000    	  64.000000    	-0.89239529    	 0.18601527E-02
  64.000000    	  65.000000    	-0.80477475    	 0.18333616E-02
  65.000000    	  66.000000    	-0.72905580    	 0.18214446E-02
  66.000000    	  67.000000    	 -1.3791764    	 0.28411325E-02
  67.000000    	  68.000000    	 -1.3600978    	 0.26843846E-02
  68.000000    	  69.000000    	 -1.3221223    	 0.25128722E-02
  69.000000    	  70.000000    	 -1.2612036    	 0.23784146E-02
  70.000000    	  71.000000    	 -1.1909328    	 0.22646305E-02
  71.000000    	  72.000000    	 -1.1124308    	 0.21982033E-02
  72.000000    	  73.000000    	 -1.0253461    	 0.20541399E-02
  73.000000    	  74.000000    	-0.93440467    	 0.19200234E-02
  74.000000    	  75.000000    	-0.84480457    	 0.17559282E-02
  75.000000    	  76.000000    	-0.76377591    	 0.18729693E-02
  76.000000    	  77.000000    	-0.68407364    	 0.17186026E-02
  77.000000    	  78.000000    	 -1.3104078    	 0.27404973E-02
  78.000000    	  79.000000    	 -1.2911598    	 0.26064291E-02
  79.000000    	  80.000000    	 -1.2573618    	 0.24394682E-02
  80.000000    	  81.000000    	 -1.2030423    	 0.23516649E-02
  81.000000    	  82.000000    	 -1.1365125    	 0.21958601E-02
  82.000000    	  83.000000    	 -1.0571695    	 0.20994932E-02
  83.000000    	  84.000000    	-0.97370972    	 0.18861701E-02
  84.000000    	  85.000000    	-0.89035692    	 0.18571162E-02
  85.000000    	  86.000000    	-0.80513290    	 0.17207357E-02
  86.000000    	  87.000000    	-0.72236890    	 0.16975710E-02
  87.000000    	  88.000000    	-0.64473220    	 0.16073452E-02
  88.000000    	  89.000000    	 -1.2457986    	 0.28137176E-02
  89.000000    	  90.000000    	 -1.2294891    	 0.24710488E-02
  90.000000    	  91.000000    	 -1.1977256    	 0.23526442E-02
  91.000000    	  92.000000    	 -1.1438595    	 0.22860805E-02
  92.000000    	  93.000000    	 -1.0821170    	 0.20952465E-02
  93.000000    	  94.000000    	 -1.0096085    	 0.19861674E-02
  94.000000    	  95.000000    	-0.92818745    	 0.18772489E-02
  95.000000    	  96.000000    	-0.84433275    	 0.17617762E-02
  96.000000    	  97.000000    	-0.75934644    	 0.16798727E-02
  97.000000    	  98.000000    	-0.68382036    	 0.16202307E-02
  98.000000    	  99.000000    	-0.61056089    	 0.16142191E-02
  99.000000    	  100.00000    	 -1.1871307    	 0.25523394E-02
  100.00000    	  101.00000    	 -1.1718942    	 0.24160633E-02
  101.00000    	  102.00000    	 -1.1404997    	 0.22896095E-02
  102.00000    	  103.00000    	 -1.0921710    	 0.22234304E-02
  103.00000    	  104.00000    	 -1.0312797    	 0.20169938E-02
  104.00000    	  105.00000    	-0.95987849    	 0.18945374E-02
  105.00000    	  106.00000    	-0.88332198    	 0.17669999E-02
  106.00000    	  107.00000    	-0.80495096    	 0.17395185E-02
  107.00000    	  108.00000    	-0.72596304    	 0.15847260E-02
  108.00000    	  109.00000    	-0.64904662    	 0.15234022E-02
  109.00000    	  110.00000    	-0.57840990    	 0.15006680E-02
  110.00000    	  111.00000    	 -1.1344150    	 0.25016613E-02
  111.00000    	  112.00000    	 -1.1168723    	 0.23033684E-02
  112.00000    	  113.00000    	 -1.0856449    	 0.21879159E-02
  113.00000    	  114.00000    	 -1.0421388    	 0.21177804E-02
  114.00000    	  115.00000    	-0.98368026    	 0.19809671E-02
  115.00000    	  116.00000    	-0.91965238    	 0.19445888E-02
