# xi2
# underflow	 -25.832316    	 0.31121893E-02
# overflow	 0.67310822E-01	 0.11950567E-03
# sum	 -25.842303    	 0.32617414E-02
# xmin	xmax	cross	numerror
  1034.0000    	  1035.0000    	-0.91482993E-02	 0.55128245E-04
  1035.0000    	  1036.0000    	-0.90948101E-02	 0.53768795E-04
  1036.0000    	  1037.0000    	-0.92961690E-02	 0.50359853E-04
  1037.0000    	  1038.0000    	-0.94582384E-02	 0.47361142E-04
  1038.0000    	  1039.0000    	-0.99517559E-02	 0.50696570E-04
  1039.0000    	  1040.0000    	-0.10506709E-01	 0.47332970E-04
  1040.0000    	  1041.0000    	-0.11342899E-01	 0.49967537E-04
  1041.0000    	  1042.0000    	-0.12249217E-01	 0.48143255E-04
  1042.0000    	  1043.0000    	-0.13117168E-01	 0.53903455E-04
  1043.0000    	  1044.0000    	-0.13989560E-01	 0.57426064E-04
  1044.0000    	  1045.0000    	-0.14631180E-01	 0.60198528E-04
  1045.0000    	  1046.0000    	-0.83057179E-02	 0.51879304E-04
  1046.0000    	  1047.0000    	-0.84465465E-02	 0.49424842E-04
  1047.0000    	  1048.0000    	-0.85667340E-02	 0.48098499E-04
  1048.0000    	  1049.0000    	-0.88542804E-02	 0.46785822E-04
  1049.0000    	  1050.0000    	-0.93540449E-02	 0.48047669E-04
  1050.0000    	  1051.0000    	-0.10018269E-01	 0.45524533E-04
  1051.0000    	  1052.0000    	-0.10791728E-01	 0.44666106E-04
  1052.0000    	  1053.0000    	-0.11723083E-01	 0.46919778E-04
  1053.0000    	  1054.0000    	-0.12771963E-01	 0.49420089E-04
  1054.0000    	  1055.0000    	-0.13663772E-01	 0.53590552E-04
  1055.0000    	  1056.0000    	-0.14358451E-01	 0.57931289E-04
  1056.0000    	  1057.0000    	-0.75347305E-02	 0.49149347E-04
  1057.0000    	  1058.0000    	-0.76238194E-02	 0.47758137E-04
  1058.0000    	  1059.0000    	-0.78579330E-02	 0.46657579E-04
  1059.0000    	  1060.0000    	-0.81932702E-02	 0.43385957E-04
  1060.0000    	  1061.0000    	-0.86810529E-02	 0.42128776E-04
  1061.0000    	  1062.0000    	-0.93919797E-02	 0.41655573E-04
  1062.0000    	  1063.0000    	-0.10286888E-01	 0.43095078E-04
  1063.0000    	  1064.0000    	-0.11246010E-01	 0.52802499E-04
  1064.0000    	  1065.0000    	-0.12284371E-01	 0.47658362E-04
  1065.0000    	  1066.0000    	-0.13200923E-01	 0.51058060E-04
  1066.0000    	  1067.0000    	-0.13949057E-01	 0.55124528E-04
  1067.0000    	  1068.0000    	-0.68579166E-02	 0.46584242E-04
  1068.0000    	  1069.0000    	-0.69217395E-02	 0.47127500E-04
  1069.0000    	  1070.0000    	-0.71415852E-02	 0.42739769E-04
  1070.0000    	  1071.0000    	-0.75124358E-02	 0.40714389E-04
  1071.0000    	  1072.0000    	-0.81406691E-02	 0.40408240E-04
  1072.0000    	  1073.0000    	-0.88365361E-02	 0.39134005E-04
  1073.0000    	  1074.0000    	-0.97688466E-02	 0.41970729E-04
  1074.0000    	  1075.0000    	-0.10815261E-01	 0.43586809E-04
  1075.0000    	  1076.0000    	-0.11886245E-01	 0.45697502E-04
  1076.0000    	  1077.0000    	-0.12876827E-01	 0.48929835E-04
  1077.0000    	  1078.0000    	-0.13633021E-01	 0.54266807E-04
  1078.0000    	  1079.0000    	-0.61683666E-02	 0.45843971E-04
  1079.0000    	  1080.0000    	-0.62639209E-02	 0.43492782E-04
  1080.0000    	  1081.0000    	-0.65281091E-02	 0.41906251E-04
  1081.0000    	  1082.0000    	-0.69391713E-02	 0.38464689E-04
  1082.0000    	  1083.0000    	-0.75257004E-02	 0.38325876E-04
  1083.0000    	  1084.0000    	-0.82425757E-02	 0.38811235E-04
  1084.0000    	  1085.0000    	-0.92266406E-02	 0.39450818E-04
  1085.0000    	  1086.0000    	-0.10396089E-01	 0.40893951E-04
  1086.0000    	  1087.0000    	-0.11494047E-01	 0.46497905E-04
  1087.0000    	  1088.0000    	-0.12522752E-01	 0.47648533E-04
  1088.0000    	  1089.0000    	-0.13319603E-01	 0.53810051E-04
  1089.0000    	  1090.0000    	-0.54829315E-02	 0.44504650E-04
  1090.0000    	  1091.0000    	-0.56774398E-02	 0.42258363E-04
  1091.0000    	  1092.0000    	-0.58755155E-02	 0.39341656E-04
