# xi0
# underflow	  10.291858    	 0.19247910E-02
# overflow	-0.33053056E-01	 0.21870380E-04
# sum	  9.2607395    	 0.19297493E-02
# xmin	xmax	cross	numerror
  2024.0000    	  2025.0000    	 0.94386150E-03	 0.54986984E-05
  2025.0000    	  2026.0000    	 0.98660652E-03	 0.51577159E-05
  2026.0000    	  2027.0000    	 0.11029292E-02	 0.49530773E-05
  2027.0000    	  2028.0000    	 0.13708513E-02	 0.48426975E-05
  2028.0000    	  2029.0000    	 0.18030506E-02	 0.50104792E-05
  2029.0000    	  2030.0000    	 0.21545916E-02	 0.54543055E-05
  2030.0000    	  2031.0000    	 0.22681339E-02	 0.54020768E-05
  2031.0000    	  2032.0000    	 0.20705521E-02	 0.52754279E-05
  2032.0000    	  2033.0000    	 0.17357514E-02	 0.49319473E-05
  2033.0000    	  2034.0000    	 0.88053745E-03	 0.40882219E-05
  2034.0000    	  2035.0000    	-0.96163324E-04	 0.40249652E-05
  2035.0000    	  2036.0000    	 0.77615050E-03	 0.51101606E-05
  2036.0000    	  2037.0000    	 0.82943893E-03	 0.46561836E-05
  2037.0000    	  2038.0000    	 0.94665539E-03	 0.42734386E-05
  2038.0000    	  2039.0000    	 0.12384896E-02	 0.45935627E-05
  2039.0000    	  2040.0000    	 0.16796520E-02	 0.47552959E-05
  2040.0000    	  2041.0000    	 0.20431591E-02	 0.51287448E-05
  2041.0000    	  2042.0000    	 0.21635302E-02	 0.51981767E-05
  2042.0000    	  2043.0000    	 0.19826917E-02	 0.51770581E-05
  2043.0000    	  2044.0000    	 0.16687865E-02	 0.47691741E-05
  2044.0000    	  2045.0000    	 0.81883310E-03	 0.40005317E-05
  2045.0000    	  2046.0000    	-0.12980809E-03	 0.39583147E-05
  2046.0000    	  2047.0000    	 0.61125797E-03	 0.49213839E-05
  2047.0000    	  2048.0000    	 0.67313189E-03	 0.42824019E-05
  2048.0000    	  2049.0000    	 0.79672934E-03	 0.40708219E-05
  2049.0000    	  2050.0000    	 0.11032236E-02	 0.42320559E-05
  2050.0000    	  2051.0000    	 0.15665856E-02	 0.46986918E-05
  2051.0000    	  2052.0000    	 0.19431700E-02	 0.49176165E-05
  2052.0000    	  2053.0000    	 0.20651264E-02	 0.50568743E-05
  2053.0000    	  2054.0000    	 0.19097659E-02	 0.50728132E-05
  2054.0000    	  2055.0000    	 0.15962418E-02	 0.47192320E-05
  2055.0000    	  2056.0000    	 0.76935301E-03	 0.40272251E-05
  2056.0000    	  2057.0000    	-0.15856586E-03	 0.39349063E-05
  2057.0000    	  2058.0000    	 0.44149725E-03	 0.39549292E-05
  2058.0000    	  2059.0000    	 0.50829023E-03	 0.38620355E-05
  2059.0000    	  2060.0000    	 0.65297358E-03	 0.38199901E-05
  2060.0000    	  2061.0000    	 0.97465469E-03	 0.40201214E-05
  2061.0000    	  2062.0000    	 0.14508026E-02	 0.43421886E-05
  2062.0000    	  2063.0000    	 0.18350463E-02	 0.49627225E-05
  2063.0000    	  2064.0000    	 0.19813216E-02	 0.48396410E-05
  2064.0000    	  2065.0000    	 0.18452175E-02	 0.49658207E-05
  2065.0000    	  2066.0000    	 0.15326125E-02	 0.46105532E-05
  2066.0000    	  2067.0000    	 0.71369459E-03	 0.40004520E-05
  2067.0000    	  2068.0000    	-0.18990119E-03	 0.40044214E-05
  2068.0000    	  2069.0000    	 0.28487315E-03	 0.38831772E-05
  2069.0000    	  2070.0000    	 0.35711205E-03	 0.38495889E-05
  2070.0000    	  2071.0000    	 0.50848771E-03	 0.36883242E-05
  2071.0000    	  2072.0000    	 0.85157740E-03	 0.37940788E-05
  2072.0000    	  2073.0000    	 0.13369201E-02	 0.41453555E-05
  2073.0000    	  2074.0000    	 0.17360524E-02	 0.45717154E-05
  2074.0000    	  2075.0000    	 0.18865424E-02	 0.47720960E-05
  2075.0000    	  2076.0000    	 0.17687874E-02	 0.48536681E-05
  2076.0000    	  2077.0000    	 0.14707049E-02	 0.45241392E-05
  2077.0000    	  2078.0000    	 0.67068534E-03	 0.38871479E-05
  2078.0000    	  2079.0000    	-0.22005706E-03	 0.39948302E-05
  2079.0000    	  2080.0000    	 0.12776236E-03	 0.41337001E-05
  2080.0000    	  2081.0000    	 0.20849197E-03	 0.35122002E-05
  2081.0000    	  2082.0000    	 0.36439631E-03	 0.33141745E-05
  2082.0000    	  2083.0000    	 0.72860062E-03	 0.36966668E-05
  2083.0000    	  2084.0000    	 0.12331564E-02	 0.39907963E-05
  2084.0000    	  2085.0000    	 0.16346508E-02	 0.44756300E-05
  2085.0000    	  2086.0000    	 0.17992541E-02	 0.46748997E-05
  2086.0000    	  2087.0000    	 0.17071591E-02	 0.47945022E-05
  2087.0000    	  2088.0000    	 0.14110963E-02	 0.44190629E-05
  2088.0000    	  2089.0000    	 0.61718129E-03	 0.39396866E-05
  2089.0000    	  2090.0000    	-0.24917517E-03	 0.40130147E-05
  2090.0000    	  2091.0000    	-0.28006135E-04	 0.34985685E-05
  2091.0000    	  2092.0000    	 0.58102637E-04	 0.32270123E-05
  2092.0000    	  2093.0000    	 0.23695805E-03	 0.32327780E-05
  2093.0000    	  2094.0000    	 0.62330266E-03	 0.36170336E-05
  2094.0000    	  2095.0000    	 0.11210012E-02	 0.39008882E-05
  2095.0000    	  2096.0000    	 0.15452552E-02	 0.43548212E-05
  2096.0000    	  2097.0000    	 0.17172366E-02	 0.45077951E-05
  2097.0000    	  2098.0000    	 0.16254678E-02	 0.47310071E-05
