# xi2
# underflow	  12.289319    	 0.18375285E-02
# overflow	 0.81513776E-01	 0.59717541E-04
# sum	  18.452278    	 0.19109321E-02
# xmin	xmax	cross	numerror
  3124.0000    	  3125.0000    	 0.50883814E-02	 0.20010482E-04
  3125.0000    	  3126.0000    	 0.54975987E-02	 0.19485222E-04
  3126.0000    	  3127.0000    	 0.62094872E-02	 0.20415184E-04
  3127.0000    	  3128.0000    	 0.71637144E-02	 0.21524285E-04
  3128.0000    	  3129.0000    	 0.81250281E-02	 0.26931823E-04
  3129.0000    	  3130.0000    	 0.89275460E-02	 0.33469830E-04
  3130.0000    	  3131.0000    	 0.93584306E-02	 0.43178510E-04
  3131.0000    	  3132.0000    	 0.93478600E-02	 0.42023113E-04
  3132.0000    	  3133.0000    	 0.90871731E-02	 0.31587901E-04
  3133.0000    	  3134.0000    	 0.79202698E-02	 0.24323371E-04
  3134.0000    	  3135.0000    	 0.61980793E-02	 0.19223451E-04
  3135.0000    	  3136.0000    	 0.50925403E-02	 0.19921827E-04
  3136.0000    	  3137.0000    	 0.54974655E-02	 0.19384103E-04
  3137.0000    	  3138.0000    	 0.62270820E-02	 0.19831406E-04
  3138.0000    	  3139.0000    	 0.71065160E-02	 0.20503372E-04
  3139.0000    	  3140.0000    	 0.79906162E-02	 0.23320099E-04
  3140.0000    	  3141.0000    	 0.89298340E-02	 0.28298166E-04
  3141.0000    	  3142.0000    	 0.93833168E-02	 0.31810568E-04
  3142.0000    	  3143.0000    	 0.94584642E-02	 0.29983008E-04
  3143.0000    	  3144.0000    	 0.89428041E-02	 0.27087352E-04
  3144.0000    	  3145.0000    	 0.78219700E-02	 0.22382267E-04
  3145.0000    	  3146.0000    	 0.61268959E-02	 0.18284636E-04
  3146.0000    	  3147.0000    	 0.50919531E-02	 0.19897183E-04
  3147.0000    	  3148.0000    	 0.54743177E-02	 0.19273236E-04
  3148.0000    	  3149.0000    	 0.61906730E-02	 0.19464361E-04
  3149.0000    	  3150.0000    	 0.71042553E-02	 0.20570076E-04
  3150.0000    	  3151.0000    	 0.68430089E-02	 0.20430526E-04
  3151.0000    	  3152.0000    	 0.88938891E-02	 0.26084820E-04
  3152.0000    	  3153.0000    	 0.94279126E-02	 0.29565241E-04
  3153.0000    	  3154.0000    	 0.94308868E-02	 0.29011870E-04
  3154.0000    	  3155.0000    	 0.89085077E-02	 0.25061396E-04
  3155.0000    	  3156.0000    	 0.77824688E-02	 0.21610308E-04
  3156.0000    	  3157.0000    	 0.60706780E-02	 0.20882358E-04
  3157.0000    	  3158.0000    	 0.51130085E-02	 0.20100524E-04
  3158.0000    	  3159.0000    	 0.55017300E-02	 0.19384537E-04
  3159.0000    	  3160.0000    	 0.61645539E-02	 0.19354181E-04
  3160.0000    	  3161.0000    	 0.70908021E-02	 0.20274901E-04
  3161.0000    	  3162.0000    	 0.80664205E-02	 0.22507106E-04
  3162.0000    	  3163.0000    	 0.89002899E-02	 0.22958757E-04
  3163.0000    	  3164.0000    	 0.93541400E-02	 0.23518460E-04
  3164.0000    	  3165.0000    	 0.94146988E-02	 0.23707143E-04
  3165.0000    	  3166.0000    	 0.88583760E-02	 0.22280990E-04
  3166.0000    	  3167.0000    	 0.76410485E-02	 0.20511935E-04
  3167.0000    	  3168.0000    	 0.59749785E-02	 0.17501265E-04
  3168.0000    	  3169.0000    	 0.50930852E-02	 0.19877359E-04
  3169.0000    	  3170.0000    	 0.54680339E-02	 0.19221121E-04
  3170.0000    	  3171.0000    	 0.61841675E-02	 0.19354140E-04
  3171.0000    	  3172.0000    	 0.70768528E-02	 0.20029105E-04
