# xi4
# underflow	  6.1770672    	 0.79698956E-03
# overflow	-0.93848147E-03	 0.23713956E-04
# sum	  7.1243148    	 0.95588504E-03
# xmin	xmax	cross	numerror
  4224.0000    	  4225.0000    	 0.14576666E-03	 0.91744739E-05
  4225.0000    	  4226.0000    	 0.74733907E-03	 0.18195621E-04
  4226.0000    	  4227.0000    	 0.18178326E-02	 0.24415492E-04
  4227.0000    	  4228.0000    	 0.22846699E-02	 0.24183862E-04
  4228.0000    	  4229.0000    	 0.24219840E-02	 0.22694193E-04
  4229.0000    	  4230.0000    	 0.24164561E-02	 0.19971566E-04
  4230.0000    	  4231.0000    	 0.22763502E-02	 0.19535559E-04
  4231.0000    	  4232.0000    	 0.19310943E-02	 0.18646993E-04
  4232.0000    	  4233.0000    	 0.12573378E-02	 0.17713262E-04
  4233.0000    	  4234.0000    	 0.60328783E-05	 0.13145134E-05
  4234.0000    	  4235.0000    	 0.53642250E-04	 0.17545390E-04
  4235.0000    	  4236.0000    	 0.17619721E-02	 0.34047986E-04
  4236.0000    	  4237.0000    	 0.21323828E-02	 0.32131061E-04
  4237.0000    	  4238.0000    	 0.22393120E-02	 0.27542678E-04
  4238.0000    	  4239.0000    	 0.23168424E-02	 0.24779027E-04
  4239.0000    	  4240.0000    	 0.24045475E-02	 0.22624659E-04
  4240.0000    	  4241.0000    	 0.23928204E-02	 0.20132217E-04
  4241.0000    	  4242.0000    	 0.22285213E-02	 0.19675487E-04
  4242.0000    	  4243.0000    	 0.27685414E-04	 0.21154074E-05
  4243.0000    	  4244.0000    	 0.13254957E-02	 0.16648292E-04
  4244.0000    	  4245.0000    	 0.38846348E-03	 0.12851749E-04
  4245.0000    	  4246.0000    	 0.11162046E-04	 0.11699901E-04
  4246.0000    	  4247.0000    	 0.41563402E-04	 0.48903420E-05
  4247.0000    	  4248.0000    	 0.16442594E-02	 0.27199355E-04
  4248.0000    	  4249.0000    	 0.19342780E-02	 0.25112251E-04
  4249.0000    	  4250.0000    	 0.22976462E-02	 0.24263196E-04
  4250.0000    	  4251.0000    	 0.23456381E-02	 0.22691135E-04
  4251.0000    	  4252.0000    	 0.23860364E-02	 0.21070896E-04
  4252.0000    	  4253.0000    	 0.22156240E-02	 0.18575982E-04
  4253.0000    	  4254.0000    	 0.18855098E-02	 0.16304935E-04
  4254.0000    	  4255.0000    	 0.18230067E-03	 0.58077557E-05
  4255.0000    	  4256.0000    	 0.45440279E-03	 0.12606218E-04
  4256.0000    	  4257.0000    	 0.86486825E-05	 0.13890123E-04
  4257.0000    	  4258.0000    	 0.18399486E-02	 0.35243365E-04
  4258.0000    	  4259.0000    	 0.18995051E-02	 0.28829399E-04
  4259.0000    	  4260.0000    	 0.20802677E-02	 0.25561769E-04
  4260.0000    	  4261.0000    	 0.22997452E-02	 0.25736265E-04
  4261.0000    	  4262.0000    	 0.23223892E-02	 0.21831248E-04
  4262.0000    	  4263.0000    	 0.23647292E-02	 0.20493619E-04
  4263.0000    	  4264.0000    	 0.22207902E-02	 0.19007420E-04
  4264.0000    	  4265.0000    	 0.18384145E-02	 0.16127790E-04
  4265.0000    	  4266.0000    	 0.12513567E-02	 0.14670207E-04
  4266.0000    	  4267.0000    	 0.13306137E-05	 0.81060122E-06
  4267.0000    	  4268.0000    	 0.18128746E-06	 0.12069147E-04
  4268.0000    	  4269.0000    	 0.18919453E-02	 0.35358020E-04
  4269.0000    	  4270.0000    	 0.19219617E-02	 0.29006057E-04
  4270.0000    	  4271.0000    	 0.81247791E-03	 0.16175570E-04
  4271.0000    	  4272.0000    	 0.22162957E-02	 0.23202757E-04
  4272.0000    	  4273.0000    	 0.22891734E-02	 0.21568877E-04
  4273.0000    	  4274.0000    	 0.23007790E-02	 0.19592382E-04
  4274.0000    	  4275.0000    	 0.21535050E-02	 0.18009986E-04
  4275.0000    	  4276.0000    	 0.17965699E-02	 0.16559696E-04
  4276.0000    	  4277.0000    	 0.12838270E-02	 0.14356524E-04
  4277.0000    	  4278.0000    	 0.36525652E-03	 0.10567794E-04
  4278.0000    	  4279.0000    	 0.63845833E-05	 0.11430971E-04
  4279.0000    	  4280.0000    	 0.57684359E-03	 0.19068811E-04
  4280.0000    	  4281.0000    	 0.14272338E-02	 0.24927993E-04
  4281.0000    	  4282.0000    	 0.20293826E-02	 0.25481876E-04
  4282.0000    	  4283.0000    	 0.21975434E-02	 0.24019874E-04
  4283.0000    	  4284.0000    	 0.22933492E-02	 0.21913356E-04
  4284.0000    	  4285.0000    	 0.22670666E-02	 0.20159783E-04
  4285.0000    	  4286.0000    	 0.21188570E-02	 0.17376074E-04
  4286.0000    	  4287.0000    	 0.17579130E-02	 0.15422325E-04
  4287.0000    	  4288.0000    	 0.99885471E-03	 0.11631262E-04
  4288.0000    	  4289.0000    	 0.12414121E-04	 0.16902544E-05
  4289.0000    	  4290.0000    	-0.54903466E-04	 0.13715419E-04
  4290.0000    	  4291.0000    	 0.17151471E-02	 0.32977709E-04
  4291.0000    	  4292.0000    	 0.11241539E-02	 0.21966193E-04
  4292.0000    	  4293.0000    	 0.19827614E-02	 0.25279038E-04
  4293.0000    	  4294.0000    	 0.21287705E-02	 0.23121155E-04
  4294.0000    	  4295.0000    	 0.22314240E-02	 0.21248584E-04
  4295.0000    	  4296.0000    	 0.22218532E-02	 0.19361671E-04
  4296.0000    	  4297.0000    	 0.20813390E-02	 0.17543903E-04
  4297.0000    	  4298.0000    	 0.16488186E-02	 0.14951305E-04
  4298.0000    	  4299.0000    	 0.12501613E-02	 0.13400016E-04
  4299.0000    	  4300.0000    	 0.56454170E-03	 0.11976109E-04
  4300.0000    	  4301.0000    	-0.24134115E-04	 0.93859603E-05
  4301.0000    	  4302.0000    	 0.64313855E-03	 0.20279895E-04
  4302.0000    	  4303.0000    	 0.17290315E-02	 0.27635166E-04
  4303.0000    	  4304.0000    	 0.11463268E-02	 0.19153427E-04
  4304.0000    	  4305.0000    	 0.21340084E-02	 0.23213799E-04
  4305.0000    	  4306.0000    	 0.21465517E-02	 0.20846925E-04
  4306.0000    	  4307.0000    	 0.19923265E-02	 0.18244823E-04
  4307.0000    	  4308.0000    	 0.20355247E-02	 0.17742130E-04
  4308.0000    	  4309.0000    	 0.17273123E-02	 0.15544461E-04
  4309.0000    	  4310.0000    	 0.10447552E-02	 0.11698077E-04
  4310.0000    	  4311.0000    	 0.27420531E-03	 0.86841668E-05
  4311.0000    	  4312.0000    	-0.16794932E-04	 0.78907084E-05
  4312.0000    	  4313.0000    	 0.23820605E-04	 0.34345128E-05
  4313.0000    	  4314.0000    	 0.18740127E-02	 0.28462231E-04
  4314.0000    	  4315.0000    	 0.38616097E-04	 0.33474172E-05
  4315.0000    	  4316.0000    	 0.20196628E-02	 0.22686973E-04
  4316.0000    	  4317.0000    	 0.19634439E-02	 0.19835658E-04
  4317.0000    	  4318.0000    	 0.21446833E-02	 0.18886532E-04
  4318.0000    	  4319.0000    	 0.20046556E-02	 0.17487985E-04
  4319.0000    	  4320.0000    	 0.16923890E-02	 0.14905782E-04
  4320.0000    	  4321.0000    	 0.11879412E-02	 0.13155374E-04
  4321.0000    	  4322.0000    	 0.48653984E-03	 0.11158807E-04
  4322.0000    	  4323.0000    	-0.70751026E-04	 0.14607644E-04
  4323.0000    	  4324.0000    	 0.65405270E-03	 0.19777238E-04
  4324.0000    	  4325.0000    	 0.90484749E-03	 0.19772560E-04
  4325.0000    	  4326.0000    	 0.17999220E-02	 0.24077732E-04
  4326.0000    	  4327.0000    	 0.20328272E-02	 0.22618753E-04
  4327.0000    	  4328.0000    	 0.21402150E-02	 0.20526705E-04
  4328.0000    	  4329.0000    	 0.21376317E-02	 0.18667603E-04
  4329.0000    	  4330.0000    	 0.19858755E-02	 0.17606254E-04
  4330.0000    	  4331.0000    	 0.16586220E-02	 0.14617362E-04
  4331.0000    	  4332.0000    	 0.11376316E-02	 0.12202053E-04
  4332.0000    	  4333.0000    	 0.50443145E-03	 0.11495370E-04
  4333.0000    	  4334.0000    	-0.65849157E-04	 0.12203244E-04
  4334.0000    	  4335.0000    	 0.14762737E-02	 0.30994737E-04
  4335.0000    	  4336.0000    	 0.18671376E-02	 0.28854451E-04
  4336.0000    	  4337.0000    	 0.18946866E-02	 0.24837897E-04
  4337.0000    	  4338.0000    	 0.20680487E-02	 0.23077177E-04
  4338.0000    	  4339.0000    	 0.21204278E-02	 0.21042205E-04
  4339.0000    	  4340.0000    	 0.21132080E-02	 0.18529666E-04
  4340.0000    	  4341.0000    	 0.19736353E-02	 0.17026023E-04
  4341.0000    	  4342.0000    	 0.16313095E-02	 0.14899324E-04
  4342.0000    	  4343.0000    	 0.11279283E-02	 0.11693643E-04
  4343.0000    	  4344.0000    	 0.50595100E-03	 0.11177226E-04
  4344.0000    	  4345.0000    	-0.47877427E-04	 0.95246650E-05
  4345.0000    	  4346.0000    	 0.15843449E-02	 0.32087325E-04
  4346.0000    	  4347.0000    	 0.12477794E-04	 0.21443593E-05
  4347.0000    	  4348.0000    	 0.19602300E-02	 0.24596869E-04
  4348.0000    	  4349.0000    	 0.20223092E-02	 0.22670441E-04
  4349.0000    	  4350.0000    	 0.21005393E-02	 0.21033960E-04
  4350.0000    	  4351.0000    	 0.20932635E-02	 0.18903676E-04
  4351.0000    	  4352.0000    	 0.19255177E-02	 0.15990540E-04
  4352.0000    	  4353.0000    	 0.15986899E-02	 0.14671210E-04
  4353.0000    	  4354.0000    	 0.11098828E-02	 0.11762182E-04
  4354.0000    	  4355.0000    	 0.48166921E-03	 0.10891063E-04
  4355.0000    	  4356.0000    	-0.85653713E-05	 0.50928603E-05
  4356.0000    	  4357.0000    	 0.34846552E-03	 0.14428828E-04
  4357.0000    	  4358.0000    	 0.98285489E-03	 0.21170301E-04
  4358.0000    	  4359.0000    	 0.18620141E-02	 0.24061860E-04
  4359.0000    	  4360.0000    	 0.20220238E-02	 0.22609734E-04
  4360.0000    	  4361.0000    	 0.20659832E-02	 0.19967764E-04
  4361.0000    	  4362.0000    	 0.20491954E-02	 0.18599158E-04
  4362.0000    	  4363.0000    	 0.18905272E-02	 0.17137462E-04
  4363.0000    	  4364.0000    	 0.15543188E-02	 0.14969321E-04
  4364.0000    	  4365.0000    	 0.10648281E-02	 0.12367693E-04
  4365.0000    	  4366.0000    	 0.43707500E-03	 0.11234963E-04
  4366.0000    	  4367.0000    	-0.11790589E-03	 0.13172685E-04
  4367.0000    	  4368.0000    	 0.54542001E-04	 0.56483911E-05
  4368.0000    	  4369.0000    	 0.17711344E-02	 0.27198780E-04
  4369.0000    	  4370.0000    	 0.19302746E-02	 0.24667098E-04
  4370.0000    	  4371.0000    	 0.19008822E-02	 0.21263403E-04
  4371.0000    	  4372.0000    	 0.19019199E-02	 0.18814790E-04
  4372.0000    	  4373.0000    	 0.20131433E-02	 0.17810663E-04
  4373.0000    	  4374.0000    	 0.18487073E-02	 0.16026061E-04
  4374.0000    	  4375.0000    	 0.15369805E-02	 0.13916006E-04
  4375.0000    	  4376.0000    	 0.10429862E-02	 0.11335134E-04
  4376.0000    	  4377.0000    	 0.41942563E-03	 0.10432533E-04
  4377.0000    	  4378.0000    	-0.11690422E-03	 0.14610005E-04
  4378.0000    	  4379.0000    	 0.90274972E-03	 0.23689526E-04
  4379.0000    	  4380.0000    	 0.18407315E-02	 0.30180281E-04
  4380.0000    	  4381.0000    	 0.15729229E-02	 0.22198853E-04
  4381.0000    	  4382.0000    	 0.19287087E-02	 0.21402689E-04
  4382.0000    	  4383.0000    	 0.20033304E-02	 0.19544325E-04
  4383.0000    	  4384.0000    	 0.20023797E-02	 0.17963703E-04
  4384.0000    	  4385.0000    	 0.18212781E-02	 0.16349069E-04
  4385.0000    	  4386.0000    	 0.15246007E-02	 0.13794462E-04
  4386.0000    	  4387.0000    	 0.10339016E-02	 0.12074391E-04
  4387.0000    	  4388.0000    	 0.44375662E-03	 0.11155475E-04
  4388.0000    	  4389.0000    	-0.41694262E-04	 0.82666653E-05
  4389.0000    	  4390.0000    	 0.15662709E-02	 0.31303469E-04
  4390.0000    	  4391.0000    	 0.10121033E-02	 0.21238957E-04
  4391.0000    	  4392.0000    	 0.78079983E-03	 0.15462482E-04
  4392.0000    	  4393.0000    	 0.19733453E-02	 0.22675231E-04
  4393.0000    	  4394.0000    	 0.20101072E-02	 0.19770269E-04
  4394.0000    	  4395.0000    	 0.19632095E-02	 0.17199347E-04
  4395.0000    	  4396.0000    	 0.18096231E-02	 0.16052047E-04
  4396.0000    	  4397.0000    	 0.14730291E-02	 0.13309799E-04
  4397.0000    	  4398.0000    	 0.10021103E-02	 0.12346524E-04
  4398.0000    	  4399.0000    	 0.41570267E-03	 0.11657450E-04
  4399.0000    	  4400.0000    	-0.10418742E-03	 0.13310438E-04
  4400.0000    	  4401.0000    	 0.90875365E-04	 0.70788827E-05
  4401.0000    	  4402.0000    	 0.17567006E-02	 0.27552617E-04
  4402.0000    	  4403.0000    	 0.18549671E-02	 0.24820794E-04
  4403.0000    	  4404.0000    	 0.17370460E-02	 0.20447092E-04
  4404.0000    	  4405.0000    	 0.19710480E-02	 0.19276829E-04
  4405.0000    	  4406.0000    	 0.19660223E-02	 0.18188065E-04
  4406.0000    	  4407.0000    	 0.17450190E-02	 0.15597767E-04
  4407.0000    	  4408.0000    	 0.13777846E-02	 0.13417124E-04
  4408.0000    	  4409.0000    	 0.98238709E-03	 0.10279143E-04
  4409.0000    	  4410.0000    	 0.41636139E-03	 0.10530884E-04
  4410.0000    	  4411.0000    	-0.10778141E-03	 0.11597526E-04
  4411.0000    	  4412.0000    	 0.55628875E-03	 0.18207146E-04
  4412.0000    	  4413.0000    	 0.14683090E-02	 0.24825964E-04
  4413.0000    	  4414.0000    	 0.17992381E-02	 0.23496322E-04
  4414.0000    	  4415.0000    	 0.19114505E-02	 0.21572756E-04
  4415.0000    	  4416.0000    	 0.17766025E-02	 0.18161417E-04
  4416.0000    	  4417.0000    	 0.18819639E-02	 0.17939078E-04
  4417.0000    	  4418.0000    	 0.17625562E-02	 0.15231449E-04
  4418.0000    	  4419.0000    	 0.14265826E-02	 0.14952293E-04
  4419.0000    	  4420.0000    	 0.73017942E-04	 0.31030474E-05
  4420.0000    	  4421.0000    	 0.36312480E-03	 0.11189239E-04
  4421.0000    	  4422.0000    	-0.12360405E-03	 0.13415701E-04
  4422.0000    	  4423.0000    	 0.67877495E-03	 0.20726301E-04
  4423.0000    	  4424.0000    	 0.84346640E-03	 0.18783602E-04
  4424.0000    	  4425.0000    	 0.18197842E-02	 0.23544376E-04
  4425.0000    	  4426.0000    	 0.18524401E-02	 0.20620439E-04
  4426.0000    	  4427.0000    	 0.19502480E-02	 0.20296660E-04
  4427.0000    	  4428.0000    	 0.18638610E-02	 0.16325446E-04
  4428.0000    	  4429.0000    	 0.17356254E-02	 0.15122524E-04
  4429.0000    	  4430.0000    	 0.14023104E-02	 0.12292859E-04
  4430.0000    	  4431.0000    	 0.93524149E-03	 0.10680513E-04
  4431.0000    	  4432.0000    	 0.36385632E-03	 0.10926752E-04
  4432.0000    	  4433.0000    	-0.19291114E-03	 0.14083404E-04
  4433.0000    	  4434.0000    	 0.69174492E-05	 0.17625914E-05
  4434.0000    	  4435.0000    	 0.12890899E-02	 0.23634211E-04
  4435.0000    	  4436.0000    	 0.16471780E-02	 0.22659023E-04
  4436.0000    	  4437.0000    	 0.16299553E-02	 0.20315856E-04
  4437.0000    	  4438.0000    	 0.18868275E-02	 0.19169710E-04
