# xi0
# underflow	 -948.34327    	 0.12584904    
# overflow	 -4.6127020    	 0.28336413E-02
# sum	 -1610.3357    	 0.13031450    
# xmin	xmax	cross	numerror
  0.0000000    	  1.0000000    	 -1.7591940    	 0.27020249E-02
  1.0000000    	  2.0000000    	 -1.7666578    	 0.26989833E-02
  2.0000000    	  3.0000000    	 -1.7831546    	 0.25265675E-02
  3.0000000    	  4.0000000    	 -1.7978633    	 0.23956831E-02
  4.0000000    	  5.0000000    	 -1.8106607    	 0.23179478E-02
  5.0000000    	  6.0000000    	 -1.8190242    	 0.22059525E-02
  6.0000000    	  7.0000000    	 -1.8097947    	 0.20226351E-02
  7.0000000    	  8.0000000    	 -1.7910390    	 0.19611353E-02
  8.0000000    	  9.0000000    	 -1.7527971    	 0.18214446E-02
  9.0000000    	  10.000000    	 -1.6986829    	 0.17179661E-02
  10.000000    	  11.000000    	 -1.6324139    	 0.16459827E-02
  11.000000    	  12.000000    	 -1.7153778    	 0.25036978E-02
  12.000000    	  13.000000    	 -1.7230321    	 0.25026084E-02
  13.000000    	  14.000000    	 -1.7314817    	 0.23908336E-02
  14.000000    	  15.000000    	 -1.7385695    	 0.22517919E-02
  15.000000    	  16.000000    	 -1.7458781    	 0.20969745E-02
  16.000000    	  17.000000    	 -1.7443639    	 0.19987743E-02
  17.000000    	  18.000000    	 -1.7290401    	 0.19189412E-02
  18.000000    	  19.000000    	 -1.7013580    	 0.18562153E-02
  19.000000    	  20.000000    	 -1.6574868    	 0.17146849E-02
  20.000000    	  21.000000    	 -1.6001913    	 0.16390068E-02
  21.000000    	  22.000000    	 -1.5312642    	 0.15746642E-02
  22.000000    	  23.000000    	 -1.6710992    	 0.23930450E-02
  23.000000    	  24.000000    	 -1.6739285    	 0.22291299E-02
  24.000000    	  25.000000    	 -1.6812360    	 0.22002839E-02
  25.000000    	  26.000000    	 -1.6863557    	 0.21417498E-02
  26.000000    	  27.000000    	 -1.6862195    	 0.20167559E-02
  27.000000    	  28.000000    	 -1.6747240    	 0.19087142E-02
  28.000000    	  29.000000    	 -1.6560537    	 0.18531939E-02
  29.000000    	  30.000000    	 -1.6201852    	 0.17264783E-02
  30.000000    	  31.000000    	 -1.5722498    	 0.16419861E-02
  31.000000    	  32.000000    	 -1.5098120    	 0.15566932E-02
  32.000000    	  33.000000    	 -1.4402769    	 0.15053856E-02
  33.000000    	  34.000000    	 -1.6326118    	 0.22178303E-02
  34.000000    	  35.000000    	 -1.6328845    	 0.21790874E-02
  35.000000    	  36.000000    	 -1.6349445    	 0.20757890E-02
  36.000000    	  37.000000    	 -1.6340261    	 0.19687251E-02
  37.000000    	  38.000000    	 -1.6251497    	 0.19009991E-02
  38.000000    	  39.000000    	 -1.6124631    	 0.18196447E-02
  39.000000    	  40.000000    	 -1.5852978    	 0.17819096E-02
  40.000000    	  41.000000    	 -1.5458645    	 0.16630916E-02
  41.000000    	  42.000000    	 -1.4942876    	 0.16018080E-02
  42.000000    	  43.000000    	 -1.4303764    	 0.15031508E-02
  43.000000    	  44.000000    	 -1.3584398    	 0.14461643E-02
  44.000000    	  45.000000    	 -1.5874477    	 0.21298722E-02
  45.000000    	  46.000000    	 -1.5909418    	 0.21214373E-02
  46.000000    	  47.000000    	 -1.5880643    	 0.19960555E-02
  47.000000    	  48.000000    	 -1.5868871    	 0.19835881E-02
  48.000000    	  49.000000    	 -1.5739648    	 0.18266812E-02
  49.000000    	  50.000000    	 -1.5501327    	 0.17472833E-02
  50.000000    	  51.000000    	 -1.5218936    	 0.17220482E-02
  51.000000    	  52.000000    	 -1.4763694    	 0.15785507E-02
  52.000000    	  53.000000    	 -1.4210624    	 0.15186346E-02
  53.000000    	  54.000000    	 -1.3578736    	 0.14457902E-02
  54.000000    	  55.000000    	 -1.2836472    	 0.13951130E-02
  55.000000    	  56.000000    	 -1.5536820    	 0.20714869E-02
  56.000000    	  57.000000    	 -1.5511067    	 0.19804891E-02
  57.000000    	  58.000000    	 -1.5465371    	 0.19134045E-02
  58.000000    	  59.000000    	 -1.5383882    	 0.18775428E-02
  59.000000    	  60.000000    	 -1.5223037    	 0.17761177E-02
  60.000000    	  61.000000    	 -1.4967140    	 0.16777914E-02
  61.000000    	  62.000000    	 -1.4592025    	 0.16309176E-02
  62.000000    	  63.000000    	 -1.4118159    	 0.15210376E-02
  63.000000    	  64.000000    	 -1.3556040    	 0.14545154E-02
  64.000000    	  65.000000    	 -1.2892315    	 0.13880512E-02
  65.000000    	  66.000000    	 -1.2161216    	 0.13388676E-02
  66.000000    	  67.000000    	 -1.5134934    	 0.20308934E-02
  67.000000    	  68.000000    	 -1.5140198    	 0.19227385E-02
  68.000000    	  69.000000    	 -1.5044433    	 0.18530044E-02
  69.000000    	  70.000000    	 -1.4922956    	 0.17821994E-02
  70.000000    	  71.000000    	 -1.4724656    	 0.17109266E-02
