# xi2
# underflow	  29.106035    	 0.19072099E-02
# overflow	 0.90688880E-01	 0.67111147E-04
# sum	  37.929262    	 0.20154952E-02
# xmin	xmax	cross	numerror
  2024.0000    	  2025.0000    	 0.12454857E-01	 0.27491910E-04
  2025.0000    	  2026.0000    	 0.12989948E-01	 0.27871602E-04
  2026.0000    	  2027.0000    	 0.13811198E-01	 0.27933006E-04
  2027.0000    	  2028.0000    	 0.14858111E-01	 0.31102287E-04
  2028.0000    	  2029.0000    	 0.15786288E-01	 0.34703032E-04
  2029.0000    	  2030.0000    	 0.16551793E-01	 0.41950106E-04
  2030.0000    	  2031.0000    	 0.16396459E-01	 0.43996343E-04
  2031.0000    	  2032.0000    	 0.15485498E-01	 0.39969095E-04
  2032.0000    	  2033.0000    	 0.13481651E-01	 0.36129306E-04
  2033.0000    	  2034.0000    	 0.10636976E-01	 0.26411862E-04
  2034.0000    	  2035.0000    	 0.75241876E-02	 0.19915418E-04
  2035.0000    	  2036.0000    	 0.12394092E-01	 0.27338656E-04
  2036.0000    	  2037.0000    	 0.12841915E-01	 0.26775954E-04
  2037.0000    	  2038.0000    	 0.13695741E-01	 0.27685151E-04
  2038.0000    	  2039.0000    	 0.14753773E-01	 0.29554287E-04
  2039.0000    	  2040.0000    	 0.15691175E-01	 0.34933190E-04
  2040.0000    	  2041.0000    	 0.16313297E-01	 0.38288817E-04
  2041.0000    	  2042.0000    	 0.16275135E-01	 0.40371787E-04
  2042.0000    	  2043.0000    	 0.15213622E-01	 0.40477895E-04
  2043.0000    	  2044.0000    	 0.13251618E-01	 0.33097644E-04
  2044.0000    	  2045.0000    	 0.10434259E-01	 0.25277288E-04
  2045.0000    	  2046.0000    	 0.73405773E-02	 0.19235880E-04
  2046.0000    	  2047.0000    	 0.12222175E-01	 0.27160211E-04
  2047.0000    	  2048.0000    	 0.12736468E-01	 0.26653277E-04
  2048.0000    	  2049.0000    	 0.13538897E-01	 0.27082166E-04
  2049.0000    	  2050.0000    	 0.14571770E-01	 0.29827421E-04
  2050.0000    	  2051.0000    	 0.15555414E-01	 0.31287785E-04
  2051.0000    	  2052.0000    	 0.16252263E-01	 0.35201089E-04
  2052.0000    	  2053.0000    	 0.16054537E-01	 0.36362161E-04
  2053.0000    	  2054.0000    	 0.15096442E-01	 0.35410098E-04
  2054.0000    	  2055.0000    	 0.13045171E-01	 0.29815646E-04
  2055.0000    	  2056.0000    	 0.10209667E-01	 0.24378850E-04
  2056.0000    	  2057.0000    	 0.71701062E-02	 0.17892585E-04
  2057.0000    	  2058.0000    	 0.12193560E-01	 0.27142538E-04
  2058.0000    	  2059.0000    	 0.12639005E-01	 0.26502694E-04
  2059.0000    	  2060.0000    	 0.13456266E-01	 0.26961812E-04
  2060.0000    	  2061.0000    	 0.14466408E-01	 0.28623160E-04
  2061.0000    	  2062.0000    	 0.15338345E-01	 0.30336498E-04
  2062.0000    	  2063.0000    	 0.16027072E-01	 0.33239989E-04
  2063.0000    	  2064.0000    	 0.15932632E-01	 0.34119863E-04
  2064.0000    	  2065.0000    	 0.14914749E-01	 0.32426779E-04
  2065.0000    	  2066.0000    	 0.12859625E-01	 0.28393057E-04
  2066.0000    	  2067.0000    	 0.10060555E-01	 0.22856950E-04
