# xi2
# underflow	  19.826733    	 0.14929040E-02
# overflow	 0.61108659E-02	 0.19459035E-04
# sum	  27.069012    	 0.16438984E-02
# xmin	xmax	cross	numerror
  4224.0000    	  4225.0000    	 0.66994407E-02	 0.28188731E-04
  4225.0000    	  4226.0000    	 0.67640612E-02	 0.26556138E-04
  4226.0000    	  4227.0000    	 0.68360745E-02	 0.25849172E-04
  4227.0000    	  4228.0000    	 0.68942906E-02	 0.28158189E-04
  4228.0000    	  4229.0000    	 0.68152432E-02	 0.32644387E-04
  4229.0000    	  4230.0000    	 0.62783722E-02	 0.33473956E-04
  4230.0000    	  4231.0000    	 0.56992362E-02	 0.34336142E-04
  4231.0000    	  4232.0000    	 0.53996222E-02	 0.32654422E-04
  4232.0000    	  4233.0000    	 0.48040881E-02	 0.33860989E-04
  4233.0000    	  4234.0000    	 0.39264010E-02	 0.19552210E-04
  4234.0000    	  4235.0000    	 0.28297092E-02	 0.14672508E-04
  4235.0000    	  4236.0000    	 0.65818163E-02	 0.27929587E-04
  4236.0000    	  4237.0000    	 0.66672626E-02	 0.26207479E-04
  4237.0000    	  4238.0000    	 0.68016979E-02	 0.25446339E-04
  4238.0000    	  4239.0000    	 0.68199199E-02	 0.26027643E-04
  4239.0000    	  4240.0000    	 0.67453953E-02	 0.29824844E-04
  4240.0000    	  4241.0000    	 0.63965156E-02	 0.32393470E-04
  4241.0000    	  4242.0000    	 0.58297069E-02	 0.32115120E-04
  4242.0000    	  4243.0000    	 0.53894385E-02	 0.28905691E-04
  4243.0000    	  4244.0000    	 0.47994880E-02	 0.24045481E-04
  4244.0000    	  4245.0000    	 0.38633700E-02	 0.18311799E-04
  4245.0000    	  4246.0000    	 0.27617447E-02	 0.14520521E-04
  4246.0000    	  4247.0000    	 0.66096309E-02	 0.27943322E-04
  4247.0000    	  4248.0000    	 0.66416185E-02	 0.26046310E-04
  4248.0000    	  4249.0000    	 0.66822221E-02	 0.25046753E-04
  4249.0000    	  4250.0000    	 0.67488839E-02	 0.25196236E-04
  4250.0000    	  4251.0000    	 0.66491437E-02	 0.26415243E-04
  4251.0000    	  4252.0000    	 0.64623978E-02	 0.27388808E-04
  4252.0000    	  4253.0000    	 0.60204940E-02	 0.28825230E-04
  4253.0000    	  4254.0000    	 0.55295951E-02	 0.27462007E-04
  4254.0000    	  4255.0000    	 0.47917405E-02	 0.21932951E-04
  4255.0000    	  4256.0000    	 0.38446822E-02	 0.17709793E-04
  4256.0000    	  4257.0000    	 0.27599686E-02	 0.14040904E-04
  4257.0000    	  4258.0000    	 0.65181729E-02	 0.27693844E-04
  4258.0000    	  4259.0000    	 0.65870639E-02	 0.25852402E-04
  4259.0000    	  4260.0000    	 0.66804461E-02	 0.24825790E-04
  4260.0000    	  4261.0000    	 0.67202244E-02	 0.24444846E-04
  4261.0000    	  4262.0000    	 0.66796863E-02	 0.25146220E-04
  4262.0000    	  4263.0000    	 0.64141841E-02	 0.25631495E-04
  4263.0000    	  4264.0000    	 0.59501479E-02	 0.25517547E-04
  4264.0000    	  4265.0000    	 0.52386521E-02	 0.22741604E-04
  4265.0000    	  4266.0000    	 0.47440088E-02	 0.21015896E-04
  4266.0000    	  4267.0000    	 0.37801805E-02	 0.16875648E-04
  4267.0000    	  4268.0000    	 0.27014869E-02	 0.13705833E-04
  4268.0000    	  4269.0000    	 0.64704639E-02	 0.27981976E-04
  4269.0000    	  4270.0000    	 0.65389660E-02	 0.25700218E-04
  4270.0000    	  4271.0000    	 0.66463456E-02	 0.24742373E-04
  4271.0000    	  4272.0000    	 0.66680969E-02	 0.24001309E-04
  4272.0000    	  4273.0000    	 0.66297372E-02	 0.23797184E-04
  4273.0000    	  4274.0000    	 0.64138050E-02	 0.23796923E-04
  4274.0000    	  4275.0000    	 0.60137442E-02	 0.22472317E-04
  4275.0000    	  4276.0000    	 0.54820913E-02	 0.21704648E-04
  4276.0000    	  4277.0000    	 0.46891657E-02	 0.19046005E-04
  4277.0000    	  4278.0000    	 0.37602665E-02	 0.16467448E-04
  4278.0000    	  4279.0000    	 0.26927275E-02	 0.13586964E-04
  4279.0000    	  4280.0000    	 0.64672345E-02	 0.27580546E-04
  4280.0000    	  4281.0000    	 0.65318120E-02	 0.25708586E-04
  4281.0000    	  4282.0000    	 0.65910630E-02	 0.24513340E-04
  4282.0000    	  4283.0000    	 0.66648048E-02	 0.23737004E-04
  4283.0000    	  4284.0000    	 0.65519440E-02	 0.22659210E-04
  4284.0000    	  4285.0000    	 0.63868953E-02	 0.21583091E-04
  4285.0000    	  4286.0000    	 0.59940790E-02	 0.21298807E-04
  4286.0000    	  4287.0000    	 0.54524563E-02	 0.20299477E-04
  4287.0000    	  4288.0000    	 0.46752421E-02	 0.18110723E-04
  4288.0000    	  4289.0000    	 0.37410074E-02	 0.16219905E-04
  4289.0000    	  4290.0000    	 0.26591094E-02	 0.13520754E-04
  4290.0000    	  4291.0000    	 0.64012046E-02	 0.27423762E-04
  4291.0000    	  4292.0000    	 0.64528079E-02	 0.25472519E-04
  4292.0000    	  4293.0000    	 0.65413501E-02	 0.24281653E-04
  4293.0000    	  4294.0000    	 0.65834658E-02	 0.23571080E-04
  4294.0000    	  4295.0000    	 0.65295027E-02	 0.22204429E-04
  4295.0000    	  4296.0000    	 0.63055169E-02	 0.20488543E-04
  4296.0000    	  4297.0000    	 0.59292724E-02	 0.19181833E-04
  4297.0000    	  4298.0000    	 0.53586302E-02	 0.18119186E-04
  4298.0000    	  4299.0000    	 0.46232471E-02	 0.17662921E-04
  4299.0000    	  4300.0000    	 0.36925431E-02	 0.15864231E-04
  4300.0000    	  4301.0000    	 0.26095712E-02	 0.13179039E-04
  4301.0000    	  4302.0000    	 0.63402820E-02	 0.27187748E-04
  4302.0000    	  4303.0000    	 0.64304848E-02	 0.25437546E-04
  4303.0000    	  4304.0000    	 0.64969427E-02	 0.24215221E-04
  4304.0000    	  4305.0000    	 0.65476878E-02	 0.23233369E-04
  4305.0000    	  4306.0000    	 0.64704648E-02	 0.21727997E-04
  4306.0000    	  4307.0000    	 0.62884632E-02	 0.19851716E-04
  4307.0000    	  4308.0000    	 0.59375466E-02	 0.18342549E-04
  4308.0000    	  4309.0000    	 0.53415944E-02	 0.17508365E-04
  4309.0000    	  4310.0000    	 0.45664602E-02	 0.17179244E-04
  4310.0000    	  4311.0000    	 0.36298475E-02	 0.15541384E-04
  4311.0000    	  4312.0000    	 0.25843573E-02	 0.13167933E-04
  4312.0000    	  4313.0000    	 0.63770507E-02	 0.27352851E-04
  4313.0000    	  4314.0000    	 0.63366458E-02	 0.25129385E-04
  4314.0000    	  4315.0000    	 0.64429364E-02	 0.24297543E-04
  4315.0000    	  4316.0000    	 0.64893112E-02	 0.22941104E-04
  4316.0000    	  4317.0000    	 0.64606985E-02	 0.21498360E-04
  4317.0000    	  4318.0000    	 0.62518960E-02	 0.19452803E-04
  4318.0000    	  4319.0000    	 0.58561424E-02	 0.17623761E-04
  4319.0000    	  4320.0000    	 0.52811674E-02	 0.17239359E-04
  4320.0000    	  4321.0000    	 0.45758144E-02	 0.17075409E-04
  4321.0000    	  4322.0000    	 0.35834891E-02	 0.15386256E-04
  4322.0000    	  4323.0000    	 0.25344251E-02	 0.12829731E-04
  4323.0000    	  4324.0000    	 0.62783752E-02	 0.27012206E-04
  4324.0000    	  4325.0000    	 0.63307657E-02	 0.25250800E-04
  4325.0000    	  4326.0000    	 0.63874851E-02	 0.23778825E-04
  4326.0000    	  4327.0000    	 0.64714966E-02	 0.22991674E-04
