# xi2
# underflow	  459.19873    	 0.72847065E-02
# overflow	 0.96827044    	 0.29607333E-03
# sum	  574.03376    	 0.82313432E-02
# xmin	xmax	cross	numerror
  1034.0000    	  1035.0000    	 0.36807959    	 0.29688963E-03
  1035.0000    	  1036.0000    	 0.35858417    	 0.28558128E-03
  1036.0000    	  1037.0000    	 0.34135573    	 0.28218034E-03
  1037.0000    	  1038.0000    	 0.31574215    	 0.28747874E-03
  1038.0000    	  1039.0000    	 0.28414516    	 0.26328027E-03
  1039.0000    	  1040.0000    	 0.24846581    	 0.23897659E-03
  1040.0000    	  1041.0000    	 0.21004567    	 0.19554773E-03
  1041.0000    	  1042.0000    	 0.17177509    	 0.17256909E-03
  1042.0000    	  1043.0000    	 0.13594670    	 0.14969440E-03
  1043.0000    	  1044.0000    	 0.10343673    	 0.12517002E-03
  1044.0000    	  1045.0000    	 0.75792727E-01	 0.10476399E-03
  1045.0000    	  1046.0000    	 0.36121729    	 0.28898587E-03
  1046.0000    	  1047.0000    	 0.35264183    	 0.27908071E-03
  1047.0000    	  1048.0000    	 0.33507681    	 0.26704310E-03
  1048.0000    	  1049.0000    	 0.30967008    	 0.25910740E-03
  1049.0000    	  1050.0000    	 0.27902270    	 0.25797712E-03
  1050.0000    	  1051.0000    	 0.24365920    	 0.21642396E-03
  1051.0000    	  1052.0000    	 0.20638741    	 0.19292465E-03
  1052.0000    	  1053.0000    	 0.16862317    	 0.16706393E-03
  1053.0000    	  1054.0000    	 0.13310522    	 0.13783030E-03
  1054.0000    	  1055.0000    	 0.10090851    	 0.11738977E-03
  1055.0000    	  1056.0000    	 0.73857478E-01	 0.10169965E-03
  1056.0000    	  1057.0000    	 0.35490135    	 0.28294972E-03
  1057.0000    	  1058.0000    	 0.34623311    	 0.27013689E-03
  1058.0000    	  1059.0000    	 0.32875694    	 0.25716305E-03
  1059.0000    	  1060.0000    	 0.30436382    	 0.24640998E-03
  1060.0000    	  1061.0000    	 0.27362304    	 0.22708034E-03
  1061.0000    	  1062.0000    	 0.23913928    	 0.22424977E-03
  1062.0000    	  1063.0000    	 0.20217889    	 0.18853860E-03
  1063.0000    	  1064.0000    	 0.16506336    	 0.15367775E-03
  1064.0000    	  1065.0000    	 0.13027706    	 0.13873592E-03
  1065.0000    	  1066.0000    	 0.99095143E-01	 0.11618860E-03
  1066.0000    	  1067.0000    	 0.72288199E-01	 0.99258705E-04
  1067.0000    	  1068.0000    	 0.34887768    	 0.27759531E-03
  1068.0000    	  1069.0000    	 0.33928347    	 0.26253061E-03
  1069.0000    	  1070.0000    	 0.32293489    	 0.25018923E-03
  1070.0000    	  1071.0000    	 0.29875104    	 0.23784430E-03
  1071.0000    	  1072.0000    	 0.26855443    	 0.21750662E-03
  1072.0000    	  1073.0000    	 0.23400802    	 0.19505837E-03
  1073.0000    	  1074.0000    	 0.19795785    	 0.17918773E-03
  1074.0000    	  1075.0000    	 0.16175763    	 0.15029489E-03
  1075.0000    	  1076.0000    	 0.12749407    	 0.12855434E-03
  1076.0000    	  1077.0000    	 0.96747593E-01	 0.11085727E-03
  1077.0000    	  1078.0000    	 0.70549672E-01	 0.97575127E-04
  1078.0000    	  1079.0000    	 0.34235805    	 0.27084884E-03
  1079.0000    	  1080.0000    	 0.33360044    	 0.25485888E-03
  1080.0000    	  1081.0000    	 0.31697290    	 0.24310793E-03
  1081.0000    	  1082.0000    	 0.29300080    	 0.23255008E-03
  1082.0000    	  1083.0000    	 0.26350880    	 0.20998747E-03
  1083.0000    	  1084.0000    	 0.22956848    	 0.18870148E-03
