# xi2
# underflow	 -106.97998    	 0.19164443E-02
# overflow	-0.23897089    	 0.70148605E-04
# sum	 -132.91013    	 0.20793680E-02
# xmin	xmax	cross	numerror
  2024.0000    	  2025.0000    	-0.63538671E-01	 0.52267482E-04
  2025.0000    	  2026.0000    	-0.62331878E-01	 0.49706786E-04
  2026.0000    	  2027.0000    	-0.59792885E-01	 0.48871031E-04
  2027.0000    	  2028.0000    	-0.56152699E-01	 0.47596358E-04
  2028.0000    	  2029.0000    	-0.51546872E-01	 0.49103388E-04
  2029.0000    	  2030.0000    	-0.46092455E-01	 0.46920155E-04
  2030.0000    	  2031.0000    	-0.40317537E-01	 0.43661480E-04
  2031.0000    	  2032.0000    	-0.34183675E-01	 0.39582293E-04
  2032.0000    	  2033.0000    	-0.28359916E-01	 0.31251105E-04
  2033.0000    	  2034.0000    	-0.22880943E-01	 0.26000252E-04
  2034.0000    	  2035.0000    	-0.18027273E-01	 0.21240017E-04
  2035.0000    	  2036.0000    	-0.62581202E-01	 0.51649277E-04
  2036.0000    	  2037.0000    	-0.61335450E-01	 0.48756264E-04
  2037.0000    	  2038.0000    	-0.58920796E-01	 0.46679118E-04
  2038.0000    	  2039.0000    	-0.55292064E-01	 0.44871921E-04
  2039.0000    	  2040.0000    	-0.50774201E-01	 0.43500356E-04
  2040.0000    	  2041.0000    	-0.45422819E-01	 0.45757129E-04
  2041.0000    	  2042.0000    	-0.39618704E-01	 0.39982655E-04
  2042.0000    	  2043.0000    	-0.33729272E-01	 0.36270210E-04
  2043.0000    	  2044.0000    	-0.27917413E-01	 0.29243460E-04
  2044.0000    	  2045.0000    	-0.22519035E-01	 0.24953488E-04
  2045.0000    	  2046.0000    	-0.17767499E-01	 0.20690715E-04
  2046.0000    	  2047.0000    	-0.61611511E-01	 0.50848759E-04
  2047.0000    	  2048.0000    	-0.60457356E-01	 0.47847854E-04
  2048.0000    	  2049.0000    	-0.58000397E-01	 0.45614299E-04
  2049.0000    	  2050.0000    	-0.54507457E-01	 0.45156145E-04
  2050.0000    	  2051.0000    	-0.50007079E-01	 0.42529280E-04
  2051.0000    	  2052.0000    	-0.44797894E-01	 0.42767648E-04
  2052.0000    	  2053.0000    	-0.39056263E-01	 0.35906984E-04
  2053.0000    	  2054.0000    	-0.33215364E-01	 0.33470616E-04
  2054.0000    	  2055.0000    	-0.27488685E-01	 0.26814166E-04
  2055.0000    	  2056.0000    	-0.22222305E-01	 0.23274274E-04
  2056.0000    	  2057.0000    	-0.17495650E-01	 0.20694385E-04
  2057.0000    	  2058.0000    	-0.60687697E-01	 0.50393804E-04
  2058.0000    	  2059.0000    	-0.59414159E-01	 0.48953265E-04
  2059.0000    	  2060.0000    	-0.57100320E-01	 0.44446555E-04
  2060.0000    	  2061.0000    	-0.53681951E-01	 0.42653912E-04
  2061.0000    	  2062.0000    	-0.49225645E-01	 0.39611019E-04
  2062.0000    	  2063.0000    	-0.44127685E-01	 0.40102791E-04
  2063.0000    	  2064.0000    	-0.38458890E-01	 0.33550142E-04
  2064.0000    	  2065.0000    	-0.32740341E-01	 0.30383642E-04
  2065.0000    	  2066.0000    	-0.27133020E-01	 0.26474991E-04
  2066.0000    	  2067.0000    	-0.21932614E-01	 0.22913501E-04
  2067.0000    	  2068.0000    	-0.17236743E-01	 0.19918262E-04
  2068.0000    	  2069.0000    	-0.59726566E-01	 0.49461778E-04
  2069.0000    	  2070.0000    	-0.58608934E-01	 0.46571002E-04
  2070.0000    	  2071.0000    	-0.56241605E-01	 0.43502829E-04
  2071.0000    	  2072.0000    	-0.52823593E-01	 0.40952253E-04
  2072.0000    	  2073.0000    	-0.48485354E-01	 0.42389568E-04
  2073.0000    	  2074.0000    	-0.43433098E-01	 0.35669008E-04
  2074.0000    	  2075.0000    	-0.37937920E-01	 0.32186452E-04
  2075.0000    	  2076.0000    	-0.32246702E-01	 0.29856491E-04
  2076.0000    	  2077.0000    	-0.26703149E-01	 0.25674684E-04
  2077.0000    	  2078.0000    	-0.21538705E-01	 0.22182643E-04
