# xi2
# underflow	  9.0600439    	 0.17268803E-03
# overflow	 0.19071472E-02	 0.22869071E-05
# sum	  11.879373    	 0.19873272E-03
# xmin	xmax	cross	numerror
  4224.0000    	  4225.0000    	 0.37796086E-02	 0.50116841E-05
  4225.0000    	  4226.0000    	 0.37434681E-02	 0.46701513E-05
  4226.0000    	  4227.0000    	 0.36343817E-02	 0.44305938E-05
  4227.0000    	  4228.0000    	 0.34551540E-02	 0.44669523E-05
  4228.0000    	  4229.0000    	 0.32025652E-02	 0.48388615E-05
  4229.0000    	  4230.0000    	 0.28570917E-02	 0.56511396E-05
  4230.0000    	  4231.0000    	 0.24330036E-02	 0.49184454E-05
  4231.0000    	  4232.0000    	 0.19874996E-02	 0.40917676E-05
  4232.0000    	  4233.0000    	 0.15058482E-02	 0.26598231E-05
  4233.0000    	  4234.0000    	 0.10402202E-02	 0.17339958E-05
  4234.0000    	  4235.0000    	 0.62964915E-03	 0.12225611E-05
  4235.0000    	  4236.0000    	 0.37559483E-02	 0.49855571E-05
  4236.0000    	  4237.0000    	 0.37057832E-02	 0.46259626E-05
  4237.0000    	  4238.0000    	 0.36016131E-02	 0.43455931E-05
  4238.0000    	  4239.0000    	 0.34289718E-02	 0.43130102E-05
  4239.0000    	  4240.0000    	 0.31772861E-02	 0.46032030E-05
  4240.0000    	  4241.0000    	 0.28333156E-02	 0.46686947E-05
  4241.0000    	  4242.0000    	 0.24249649E-02	 0.42379763E-05
  4242.0000    	  4243.0000    	 0.19600472E-02	 0.34935985E-05
  4243.0000    	  4244.0000    	 0.14906080E-02	 0.23932480E-05
  4244.0000    	  4245.0000    	 0.10287115E-02	 0.16762746E-05
  4245.0000    	  4246.0000    	 0.62123283E-03	 0.11874269E-05
  4246.0000    	  4247.0000    	 0.37176555E-02	 0.49468104E-05
  4247.0000    	  4248.0000    	 0.36669234E-02	 0.45815344E-05
  4248.0000    	  4249.0000    	 0.35654937E-02	 0.42880819E-05
  4249.0000    	  4250.0000    	 0.33967152E-02	 0.40887561E-05
  4250.0000    	  4251.0000    	 0.31396603E-02	 0.41723210E-05
  4251.0000    	  4252.0000    	 0.28112066E-02	 0.41524695E-05
  4252.0000    	  4253.0000    	 0.24040370E-02	 0.38015446E-05
  4253.0000    	  4254.0000    	 0.19501792E-02	 0.31167985E-05
  4254.0000    	  4255.0000    	 0.14740912E-02	 0.22818951E-05
  4255.0000    	  4256.0000    	 0.10131862E-02	 0.16094047E-05
  4256.0000    	  4257.0000    	 0.61304501E-03	 0.11802500E-05
  4257.0000    	  4258.0000    	 0.36805823E-02	 0.49111005E-05
  4258.0000    	  4259.0000    	 0.36324183E-02	 0.45486494E-05
  4259.0000    	  4260.0000    	 0.35311064E-02	 0.42328207E-05
  4260.0000    	  4261.0000    	 0.33621144E-02	 0.40161463E-05
  4261.0000    	  4262.0000    	 0.31195740E-02	 0.38405593E-05
  4262.0000    	  4263.0000    	 0.27860414E-02	 0.36511566E-05
  4263.0000    	  4264.0000    	 0.23812074E-02	 0.32853146E-05
  4264.0000    	  4265.0000    	 0.19363757E-02	 0.27805075E-05
  4265.0000    	  4266.0000    	 0.14545322E-02	 0.20759644E-05
  4266.0000    	  4267.0000    	 0.10014839E-02	 0.15842361E-05
  4267.0000    	  4268.0000    	 0.60234207E-03	 0.11586767E-05
  4268.0000    	  4269.0000    	 0.36451290E-02	 0.48795006E-05
  4269.0000    	  4270.0000    	 0.36022966E-02	 0.45164930E-05
  4270.0000    	  4271.0000    	 0.35006195E-02	 0.41982840E-05
  4271.0000    	  4272.0000    	 0.33328763E-02	 0.39081272E-05
  4272.0000    	  4273.0000    	 0.30874165E-02	 0.36164535E-05
