# xi4
# underflow	  154.33947    	 0.36265564E-02
# overflow	 0.39857070    	 0.44712854E-03
# sum	  199.13601    	 0.59997668E-02
# xmin	xmax	cross	numerror
  0.0000000    	  1.0000000    	 0.14324329    	 0.45011797E-03
  1.0000000    	  2.0000000    	 0.14272148    	 0.43552745E-03
  2.0000000    	  3.0000000    	 0.14046824    	 0.40284658E-03
  3.0000000    	  4.0000000    	 0.14030853    	 0.38964941E-03
  4.0000000    	  5.0000000    	 0.13663083    	 0.36901683E-03
  5.0000000    	  6.0000000    	 0.13254655    	 0.35338001E-03
  6.0000000    	  7.0000000    	 0.12689721    	 0.35680284E-03
  7.0000000    	  8.0000000    	 0.12064303    	 0.34212025E-03
  8.0000000    	  9.0000000    	 0.11271364    	 0.31715232E-03
  9.0000000    	  10.000000    	 0.10537916    	 0.33341673E-03
  10.000000    	  11.000000    	 0.98167132E-01	 0.31201782E-03
  11.000000    	  12.000000    	 0.13338250    	 0.45133671E-03
  12.000000    	  13.000000    	 0.13392587    	 0.40616831E-03
  13.000000    	  14.000000    	 0.13332809    	 0.38645927E-03
  14.000000    	  15.000000    	 0.13119087    	 0.36195832E-03
  15.000000    	  16.000000    	 0.12879516    	 0.33989026E-03
  16.000000    	  17.000000    	 0.12484669    	 0.32346517E-03
  17.000000    	  18.000000    	 0.11967777    	 0.30933324E-03
  18.000000    	  19.000000    	 0.11397687    	 0.29408236E-03
  19.000000    	  20.000000    	 0.10762938    	 0.28580752E-03
  20.000000    	  21.000000    	 0.10085821    	 0.29095314E-03
  21.000000    	  22.000000    	 0.94943726E-01	 0.31115921E-03
  22.000000    	  23.000000    	 0.12599328    	 0.39377660E-03
  23.000000    	  24.000000    	 0.12594467    	 0.37409251E-03
  24.000000    	  25.000000    	 0.12494470    	 0.35517201E-03
  25.000000    	  26.000000    	 0.12352821    	 0.34136196E-03
  26.000000    	  27.000000    	 0.12140876    	 0.33021935E-03
  27.000000    	  28.000000    	 0.11801958    	 0.29823819E-03
  28.000000    	  29.000000    	 0.11391491    	 0.29412814E-03
  29.000000    	  30.000000    	 0.10851267    	 0.27583569E-03
  30.000000    	  31.000000    	 0.10315797    	 0.30823064E-03
  31.000000    	  32.000000    	 0.96911982E-01	 0.29142509E-03
  32.000000    	  33.000000    	 0.90943963E-01	 0.27568112E-03
  33.000000    	  34.000000    	 0.11890674    	 0.36916176E-03
  34.000000    	  35.000000    	 0.11879165    	 0.36153738E-03
  35.000000    	  36.000000    	 0.11847923    	 0.34932909E-03
  36.000000    	  37.000000    	 0.11634084    	 0.30641385E-03
  37.000000    	  38.000000    	 0.11494274    	 0.30753713E-03
  38.000000    	  39.000000    	 0.11187189    	 0.27300108E-03
  39.000000    	  40.000000    	 0.10824119    	 0.26750884E-03
  40.000000    	  41.000000    	 0.10354310    	 0.25106775E-03
  41.000000    	  42.000000    	 0.98612795E-01	 0.26178301E-03
  42.000000    	  43.000000    	 0.93883200E-01	 0.26875495E-03
  43.000000    	  44.000000    	 0.87614406E-01	 0.25444037E-03
  44.000000    	  45.000000    	 0.11202547    	 0.35140951E-03
  45.000000    	  46.000000    	 0.11168251    	 0.32870894E-03
  46.000000    	  47.000000    	 0.11166870    	 0.32372378E-03
  47.000000    	  48.000000    	 0.11060931    	 0.29694597E-03
  48.000000    	  49.000000    	 0.10891410    	 0.30016525E-03
  49.000000    	  50.000000    	 0.10660246    	 0.26646809E-03
  50.000000    	  51.000000    	 0.10324436    	 0.24681340E-03
  51.000000    	  52.000000    	 0.99562845E-01	 0.24970025E-03
  52.000000    	  53.000000    	 0.94592794E-01	 0.24381375E-03
  53.000000    	  54.000000    	 0.90377243E-01	 0.26030268E-03
  54.000000    	  55.000000    	 0.85311744E-01	 0.24077428E-03
  55.000000    	  56.000000    	 0.10670282    	 0.33297679E-03
  56.000000    	  57.000000    	 0.10591291    	 0.31144543E-03
  57.000000    	  58.000000    	 0.10571690    	 0.30183225E-03
  58.000000    	  59.000000    	 0.10453929    	 0.27797229E-03
  59.000000    	  60.000000    	 0.10307410    	 0.25617185E-03
  60.000000    	  61.000000    	 0.10142022    	 0.25603492E-03
  61.000000    	  62.000000    	 0.98355054E-01	 0.23962276E-03
  62.000000    	  63.000000    	 0.95258528E-01	 0.22907082E-03
  63.000000    	  64.000000    	 0.91472394E-01	 0.23576605E-03
  64.000000    	  65.000000    	 0.87013867E-01	 0.23159064E-03
  65.000000    	  66.000000    	 0.82568237E-01	 0.23200849E-03
  66.000000    	  67.000000    	 0.10073069    	 0.32203576E-03
  67.000000    	  68.000000    	 0.10076981    	 0.30338828E-03
  68.000000    	  69.000000    	 0.99867665E-01	 0.27870620E-03
  69.000000    	  70.000000    	 0.99632350E-01	 0.26373992E-03
  70.000000    	  71.000000    	 0.98691884E-01	 0.26134462E-03
  71.000000    	  72.000000    	 0.96585984E-01	 0.22671462E-03
  72.000000    	  73.000000    	 0.94514121E-01	 0.22786238E-03
  73.000000    	  74.000000    	 0.91675378E-01	 0.22522100E-03
  74.000000    	  75.000000    	 0.87974071E-01	 0.22037266E-03
  75.000000    	  76.000000    	 0.83966744E-01	 0.21457275E-03
  76.000000    	  77.000000    	 0.80249202E-01	 0.21546872E-03
  77.000000    	  78.000000    	 0.95426111E-01	 0.29806978E-03
  78.000000    	  79.000000    	 0.95062305E-01	 0.28846298E-03
  79.000000    	  80.000000    	 0.95774290E-01	 0.27725700E-03
  80.000000    	  81.000000    	 0.94714051E-01	 0.26749978E-03
  81.000000    	  82.000000    	 0.93634103E-01	 0.22799216E-03
  82.000000    	  83.000000    	 0.92660160E-01	 0.24386898E-03
  83.000000    	  84.000000    	 0.90546786E-01	 0.21890271E-03
  84.000000    	  85.000000    	 0.87928519E-01	 0.20398016E-03
  85.000000    	  86.000000    	 0.85169612E-01	 0.23255620E-03
  86.000000    	  87.000000    	 0.81617318E-01	 0.22606037E-03
  87.000000    	  88.000000    	 0.78394199E-01	 0.20775187E-03
  88.000000    	  89.000000    	 0.91652233E-01	 0.29670918E-03
  89.000000    	  90.000000    	 0.91162930E-01	 0.27743636E-03
  90.000000    	  91.000000    	 0.90952775E-01	 0.25581669E-03
  91.000000    	  92.000000    	 0.90528324E-01	 0.23904251E-03
  92.000000    	  93.000000    	 0.89671593E-01	 0.22992575E-03
  93.000000    	  94.000000    	 0.88552496E-01	 0.20608683E-03
  94.000000    	  95.000000    	 0.87046396E-01	 0.20657646E-03
  95.000000    	  96.000000    	 0.84831979E-01	 0.18863820E-03
  96.000000    	  97.000000    	 0.82461570E-01	 0.19887836E-03
  97.000000    	  98.000000    	 0.79178770E-01	 0.19584019E-03
  98.000000    	  99.000000    	 0.75718638E-01	 0.20223175E-03
  99.000000    	  100.00000    	 0.87324174E-01	 0.28343520E-03
  100.00000    	  101.00000    	 0.87585461E-01	 0.26948776E-03
  101.00000    	  102.00000    	 0.87021163E-01	 0.25264481E-03
  102.00000    	  103.00000    	 0.86662663E-01	 0.22684342E-03
  103.00000    	  104.00000    	 0.85934786E-01	 0.21273806E-03
  104.00000    	  105.00000    	 0.85098953E-01	 0.19913831E-03
  105.00000    	  106.00000    	 0.83193008E-01	 0.18378376E-03
  106.00000    	  107.00000    	 0.81937781E-01	 0.19211704E-03
  107.00000    	  108.00000    	 0.79667794E-01	 0.19539791E-03
  108.00000    	  109.00000    	 0.77276424E-01	 0.19785930E-03
  109.00000    	  110.00000    	 0.74050689E-01	 0.20199860E-03
  110.00000    	  111.00000    	 0.82702452E-01	 0.27860587E-03
  111.00000    	  112.00000    	 0.83102207E-01	 0.24762152E-03
  112.00000    	  113.00000    	 0.83310601E-01	 0.23441079E-03
  113.00000    	  114.00000    	 0.82826982E-01	 0.22592861E-03
  114.00000    	  115.00000    	 0.82125682E-01	 0.19569672E-03
  115.00000    	  116.00000    	 0.81588917E-01	 0.19030667E-03
  116.00000    	  117.00000    	 0.80688416E-01	 0.18213854E-03
  117.00000    	  118.00000    	 0.79386659E-01	 0.18031494E-03
  118.00000    	  119.00000    	 0.77327115E-01	 0.18312661E-03
  119.00000    	  120.00000    	 0.74927798E-01	 0.18161962E-03
  120.00000    	  121.00000    	 0.72522621E-01	 0.18616387E-03
  121.00000    	  122.00000    	 0.78237034E-01	 0.25714992E-03
  122.00000    	  123.00000    	 0.79755324E-01	 0.24869240E-03
  123.00000    	  124.00000    	 0.79566680E-01	 0.22206825E-03
  124.00000    	  125.00000    	 0.79458824E-01	 0.20849557E-03
  125.00000    	  126.00000    	 0.79067640E-01	 0.19441691E-03
  126.00000    	  127.00000    	 0.78701122E-01	 0.18970502E-03
  127.00000    	  128.00000    	 0.77796699E-01	 0.18007121E-03
  128.00000    	  129.00000    	 0.76584094E-01	 0.17446040E-03
  129.00000    	  130.00000    	 0.74931262E-01	 0.17566278E-03
  130.00000    	  131.00000    	 0.73087905E-01	 0.17785677E-03
  131.00000    	  132.00000    	 0.70684256E-01	 0.18617163E-03
  132.00000    	  133.00000    	 0.76131921E-01	 0.24678326E-03
  133.00000    	  134.00000    	 0.76142809E-01	 0.22593385E-03
  134.00000    	  135.00000    	 0.76560348E-01	 0.22645605E-03
  135.00000    	  136.00000    	 0.76136804E-01	 0.19907453E-03
  136.00000    	  137.00000    	 0.76208962E-01	 0.18548593E-03
  137.00000    	  138.00000    	 0.75638148E-01	 0.17511639E-03
  138.00000    	  139.00000    	 0.75177902E-01	 0.17472786E-03
  139.00000    	  140.00000    	 0.74086100E-01	 0.17497104E-03
  140.00000    	  141.00000    	 0.73109941E-01	 0.16982224E-03
  141.00000    	  142.00000    	 0.71220551E-01	 0.18002602E-03
  142.00000    	  143.00000    	 0.68818038E-01	 0.16874708E-03
  143.00000    	  144.00000    	 0.73422208E-01	 0.24076358E-03
  144.00000    	  145.00000    	 0.73419247E-01	 0.22456493E-03
  145.00000    	  146.00000    	 0.73380444E-01	 0.20930512E-03
  146.00000    	  147.00000    	 0.73320187E-01	 0.19023444E-03
  147.00000    	  148.00000    	 0.73267306E-01	 0.17974532E-03
  148.00000    	  149.00000    	 0.72917499E-01	 0.16853231E-03
  149.00000    	  150.00000    	 0.72627999E-01	 0.16465973E-03
  150.00000    	  151.00000    	 0.72047408E-01	 0.16906468E-03
  151.00000    	  152.00000    	 0.71059728E-01	 0.16641945E-03
  152.00000    	  153.00000    	 0.69504023E-01	 0.16294411E-03
  153.00000    	  154.00000    	 0.67606332E-01	 0.17195292E-03
  154.00000    	  155.00000    	 0.70412536E-01	 0.23552860E-03
  155.00000    	  156.00000    	 0.70498869E-01	 0.21592084E-03
  156.00000    	  157.00000    	 0.70488334E-01	 0.20459345E-03
  157.00000    	  158.00000    	 0.70685034E-01	 0.18738194E-03
  158.00000    	  159.00000    	 0.70729524E-01	 0.18027787E-03
  159.00000    	  160.00000    	 0.70453105E-01	 0.16109751E-03
  160.00000    	  161.00000    	 0.70377008E-01	 0.15827247E-03
  161.00000    	  162.00000    	 0.70119357E-01	 0.15946076E-03
  162.00000    	  163.00000    	 0.69015573E-01	 0.15976281E-03
  163.00000    	  164.00000    	 0.67928576E-01	 0.16497965E-03
  164.00000    	  165.00000    	 0.66216187E-01	 0.16876170E-03
  165.00000    	  166.00000    	 0.67549761E-01	 0.22624559E-03
  166.00000    	  167.00000    	 0.67939423E-01	 0.22110378E-03
  167.00000    	  168.00000    	 0.67885138E-01	 0.19217910E-03
  168.00000    	  169.00000    	 0.68141333E-01	 0.17925784E-03
  169.00000    	  170.00000    	 0.68123439E-01	 0.16799919E-03
  170.00000    	  171.00000    	 0.68275903E-01	 0.15904835E-03
  171.00000    	  172.00000    	 0.68375790E-01	 0.15787908E-03
  172.00000    	  173.00000    	 0.67811776E-01	 0.15515855E-03
  173.00000    	  174.00000    	 0.67586624E-01	 0.15587018E-03
  174.00000    	  175.00000    	 0.66419193E-01	 0.16394984E-03
  175.00000    	  176.00000    	 0.64812596E-01	 0.16795514E-03
  176.00000    	  177.00000    	 0.65386263E-01	 0.21492245E-03
  177.00000    	  178.00000    	 0.65405246E-01	 0.20073256E-03
  178.00000    	  179.00000    	 0.65503067E-01	 0.18358773E-03
  179.00000    	  180.00000    	 0.65274306E-01	 0.16759125E-03
  180.00000    	  181.00000    	 0.65914011E-01	 0.16405369E-03
  181.00000    	  182.00000    	 0.66236762E-01	 0.15983430E-03
  182.00000    	  183.00000    	 0.66267231E-01	 0.15077246E-03
  183.00000    	  184.00000    	 0.66292120E-01	 0.15203456E-03
  184.00000    	  185.00000    	 0.65934430E-01	 0.15981964E-03
  185.00000    	  186.00000    	 0.64723706E-01	 0.16096329E-03
  186.00000    	  187.00000    	 0.63751687E-01	 0.17363142E-03
  187.00000    	  188.00000    	 0.62787954E-01	 0.20787935E-03
  188.00000    	  189.00000    	 0.62694959E-01	 0.19514540E-03
  189.00000    	  190.00000    	 0.63054283E-01	 0.17648892E-03
  190.00000    	  191.00000    	 0.63570658E-01	 0.16956944E-03
  191.00000    	  192.00000    	 0.63779098E-01	 0.16026100E-03
  192.00000    	  193.00000    	 0.64009499E-01	 0.15582432E-03
  193.00000    	  194.00000    	 0.64269868E-01	 0.14754434E-03
  194.00000    	  195.00000    	 0.64565822E-01	 0.14730482E-03
  195.00000    	  196.00000    	 0.64434024E-01	 0.16137683E-03
  196.00000    	  197.00000    	 0.63710179E-01	 0.15470362E-03
  197.00000    	  198.00000    	 0.62539516E-01	 0.16493868E-03
  198.00000    	  199.00000    	 0.60649617E-01	 0.20970487E-03
  199.00000    	  200.00000    	 0.60874498E-01	 0.18589860E-03
  200.00000    	  201.00000    	 0.61077222E-01	 0.17619127E-03
  201.00000    	  202.00000    	 0.61154752E-01	 0.15912409E-03
  202.00000    	  203.00000    	 0.61900538E-01	 0.16322129E-03
  203.00000    	  204.00000    	 0.62176712E-01	 0.15381376E-03
  204.00000    	  205.00000    	 0.62701271E-01	 0.14488424E-03
  205.00000    	  206.00000    	 0.62799950E-01	 0.14322570E-03
  206.00000    	  207.00000    	 0.62624412E-01	 0.15014353E-03
  207.00000    	  208.00000    	 0.62236591E-01	 0.14810564E-03
  208.00000    	  209.00000    	 0.60985167E-01	 0.16199223E-03
  209.00000    	  210.00000    	 0.58683634E-01	 0.19757766E-03
  210.00000    	  211.00000    	 0.58577811E-01	 0.17444614E-03
  211.00000    	  212.00000    	 0.58880081E-01	 0.16638754E-03
  212.00000    	  213.00000    	 0.59460949E-01	 0.15928994E-03
  213.00000    	  214.00000    	 0.59655311E-01	 0.14598990E-03
  214.00000    	  215.00000    	 0.60391038E-01	 0.14375954E-03
  215.00000    	  216.00000    	 0.60905368E-01	 0.14072028E-03
  216.00000    	  217.00000    	 0.61284102E-01	 0.14271605E-03
  217.00000    	  218.00000    	 0.61237695E-01	 0.14462012E-03
  218.00000    	  219.00000    	 0.60887370E-01	 0.16247276E-03
  219.00000    	  220.00000    	 0.60053054E-01	 0.15774569E-03
  220.00000    	  221.00000    	 0.56372339E-01	 0.18948303E-03
  221.00000    	  222.00000    	 0.56854545E-01	 0.18149658E-03
  222.00000    	  223.00000    	 0.56997964E-01	 0.16169961E-03
  223.00000    	  224.00000    	 0.57665133E-01	 0.15475907E-03
  224.00000    	  225.00000    	 0.58212055E-01	 0.14825815E-03
  225.00000    	  226.00000    	 0.58510786E-01	 0.14056566E-03
  226.00000    	  227.00000    	 0.59156061E-01	 0.13771941E-03
  227.00000    	  228.00000    	 0.59898671E-01	 0.13963043E-03
  228.00000    	  229.00000    	 0.59879169E-01	 0.14402752E-03
  229.00000    	  230.00000    	 0.59929045E-01	 0.14934532E-03
  230.00000    	  231.00000    	 0.59044726E-01	 0.15486159E-03
  231.00000    	  232.00000    	 0.54823291E-01	 0.18287834E-03
