# xi4
# underflow	  7.4681927    	 0.15775183E-03
# overflow	-0.96990451E-02	 0.19772058E-04
# sum	  7.0139167    	 0.20959070E-03
# xmin	xmax	cross	numerror
  2024.0000    	  2025.0000    	 0.93808028E-03	 0.37571056E-05
  2025.0000    	  2026.0000    	 0.88339121E-03	 0.35475494E-05
  2026.0000    	  2027.0000    	 0.77073096E-03	 0.32697700E-05
  2027.0000    	  2028.0000    	 0.59346761E-03	 0.29319344E-05
  2028.0000    	  2029.0000    	 0.33720850E-03	 0.27868264E-05
  2029.0000    	  2030.0000    	-0.66733974E-05	 0.30035915E-05
  2030.0000    	  2031.0000    	-0.29472731E-03	 0.28296627E-05
  2031.0000    	  2032.0000    	-0.91286473E-03	 0.42527515E-05
  2032.0000    	  2033.0000    	-0.14008819E-02	 0.55864721E-05
  2033.0000    	  2034.0000    	-0.95700914E-03	 0.55255552E-05
  2034.0000    	  2035.0000    	-0.12335983E-03	 0.26698416E-05
  2035.0000    	  2036.0000    	 0.91315267E-03	 0.43349391E-05
  2036.0000    	  2037.0000    	 0.86256160E-03	 0.36776300E-05
  2037.0000    	  2038.0000    	 0.74856244E-03	 0.33363023E-05
  2038.0000    	  2039.0000    	 0.56987976E-03	 0.30594550E-05
  2039.0000    	  2040.0000    	 0.31845759E-03	 0.28210750E-05
  2040.0000    	  2041.0000    	-0.12865421E-04	 0.34701247E-05
  2041.0000    	  2042.0000    	-0.42003664E-03	 0.34617552E-05
  2042.0000    	  2043.0000    	-0.90738903E-03	 0.42095298E-05
  2043.0000    	  2044.0000    	-0.14068684E-02	 0.57213642E-05
  2044.0000    	  2045.0000    	-0.69259213E-04	 0.14704131E-05
  2045.0000    	  2046.0000    	-0.50710512E-03	 0.49455360E-05
  2046.0000    	  2047.0000    	 0.88748737E-03	 0.39793982E-05
  2047.0000    	  2048.0000    	 0.83761110E-03	 0.34912627E-05
  2048.0000    	  2049.0000    	 0.72867577E-03	 0.31922948E-05
