# xi2
# underflow	  1.1780624    	 0.32298736E-04
# overflow	 0.25918683E-03	 0.32078952E-06
# sum	  1.4431351    	 0.34289829E-04
# xmin	xmax	cross	numerror
  4224.0000    	  4225.0000    	 0.37927425E-03	 0.61770605E-06
  4225.0000    	  4226.0000    	 0.37025099E-03	 0.57312247E-06
  4226.0000    	  4227.0000    	 0.35866910E-03	 0.54651800E-06
  4227.0000    	  4228.0000    	 0.33560576E-03	 0.57551361E-06
  4228.0000    	  4229.0000    	 0.16801610E-03	 0.50930358E-06
  4229.0000    	  4230.0000    	 0.24605173E-03	 0.67980194E-06
  4230.0000    	  4231.0000    	 0.20059068E-03	 0.53347162E-06
  4231.0000    	  4232.0000    	 0.98026930E-05	 0.10816794E-06
  4232.0000    	  4233.0000    	 0.14568778E-03	 0.34672381E-06
  4233.0000    	  4234.0000    	 0.11271394E-03	 0.25931741E-06
  4234.0000    	  4235.0000    	 0.83497810E-04	 0.21114416E-06
  4235.0000    	  4236.0000    	 0.32219410E-03	 0.56855969E-06
  4236.0000    	  4237.0000    	 0.36902263E-03	 0.56870802E-06
  4237.0000    	  4238.0000    	 0.35559891E-03	 0.53499725E-06
  4238.0000    	  4239.0000    	 0.33291091E-03	 0.55992047E-06
  4239.0000    	  4240.0000    	 0.42856189E-06	 0.21062868E-07
  4240.0000    	  4241.0000    	 0.14375405E-06	 0.12427294E-07
  4241.0000    	  4242.0000    	 0.22456090E-03	 0.50707829E-06
  4242.0000    	  4243.0000    	 0.18488621E-03	 0.42412520E-06
  4243.0000    	  4244.0000    	 0.14613723E-03	 0.31119649E-06
  4244.0000    	  4245.0000    	 0.11143137E-03	 0.23725392E-06
  4245.0000    	  4246.0000    	 0.82498356E-04	 0.19915874E-06
  4246.0000    	  4247.0000    	 0.31823767E-03	 0.56278004E-06
  4247.0000    	  4248.0000    	 0.36627531E-03	 0.56335104E-06
  4248.0000    	  4249.0000    	 0.35161650E-03	 0.52764803E-06
  4249.0000    	  4250.0000    	 0.32935055E-03	 0.49976497E-06
  4250.0000    	  4251.0000    	 0.30134806E-03	 0.49241256E-06
  4251.0000    	  4252.0000    	 0.26269119E-03	 0.52138686E-06
  4252.0000    	  4253.0000    	 0.22402770E-03	 0.46691233E-06
  4253.0000    	  4254.0000    	 0.17942901E-03	 0.37576428E-06
  4254.0000    	  4255.0000    	 0.12498492E-03	 0.27543360E-06
  4255.0000    	  4256.0000    	 0.11093239E-03	 0.23070727E-06
  4256.0000    	  4257.0000    	 0.82314379E-04	 0.19743446E-06
  4257.0000    	  4258.0000    	 0.36694900E-03	 0.60382291E-06
  4258.0000    	  4259.0000    	 0.36227836E-03	 0.55725260E-06
  4259.0000    	  4260.0000    	 0.34894120E-03	 0.51850067E-06
  4260.0000    	  4261.0000    	 0.32710250E-03	 0.48353453E-06
  4261.0000    	  4262.0000    	 0.29374382E-03	 0.47150424E-06
  4262.0000    	  4263.0000    	 0.20099760E-03	 0.40746679E-06
  4263.0000    	  4264.0000    	 0.21728962E-03	 0.39057333E-06
  4264.0000    	  4265.0000    	 0.18318346E-03	 0.33831429E-06
  4265.0000    	  4266.0000    	 0.14072798E-06	 0.79693012E-08
  4266.0000    	  4267.0000    	 0.10857187E-03	 0.21881141E-06
  4267.0000    	  4268.0000    	 0.78993899E-04	 0.19160276E-06
  4268.0000    	  4269.0000    	 0.36502221E-03	 0.59971370E-06
  4269.0000    	  4270.0000    	 0.35836772E-03	 0.55324345E-06
  4270.0000    	  4271.0000    	 0.34506754E-03	 0.51266986E-06
  4271.0000    	  4272.0000    	 0.32461686E-03	 0.47267322E-06
  4272.0000    	  4273.0000    	 0.29712255E-03	 0.43906809E-06
  4273.0000    	  4274.0000    	 0.21501672E-03	 0.35613837E-06
  4274.0000    	  4275.0000    	 0.43778338E-04	 0.15722717E-06
  4275.0000    	  4276.0000    	 0.18143645E-03	 0.29455508E-06
  4276.0000    	  4277.0000    	 0.12667804E-03	 0.23556931E-06
  4277.0000    	  4278.0000    	 0.10903151E-03	 0.21653146E-06
  4278.0000    	  4279.0000    	 0.77109726E-04	 0.18793807E-06
  4279.0000    	  4280.0000    	 0.18734450E-03	 0.42811648E-06
  4280.0000    	  4281.0000    	 0.35068190E-03	 0.54564820E-06
  4281.0000    	  4282.0000    	 0.34274845E-03	 0.50686295E-06
  4282.0000    	  4283.0000    	 0.32193269E-03	 0.46596554E-06
  4283.0000    	  4284.0000    	 0.29375069E-03	 0.41404088E-06
  4284.0000    	  4285.0000    	 0.24899063E-03	 0.35503958E-06
  4285.0000    	  4286.0000    	 0.22058539E-03	 0.32455981E-06
  4286.0000    	  4287.0000    	 0.17864002E-03	 0.27746574E-06
  4287.0000    	  4288.0000    	 0.14082028E-03	 0.24059034E-06
  4288.0000    	  4289.0000    	 0.47519752E-04	 0.14044690E-06
  4289.0000    	  4290.0000    	 0.78745112E-04	 0.18679718E-06
  4290.0000    	  4291.0000    	 0.35713148E-03	 0.59134878E-06
  4291.0000    	  4292.0000    	 0.35106330E-03	 0.54400371E-06
