# xi3
# underflow	  3504.0626    	 0.11476203    
# overflow	  3.2978831    	 0.46191289E-02
# sum	  4181.3011    	 0.13093251    
# xmin	xmax	cross	numerror
  0.0000000    	  1.0000000    	  3.1462263    	 0.54969875E-02
  1.0000000    	  2.0000000    	  3.0935182    	 0.51870437E-02
  2.0000000    	  3.0000000    	  2.9943913    	 0.49674165E-02
  3.0000000    	  4.0000000    	  2.8573407    	 0.48242217E-02
  4.0000000    	  5.0000000    	  2.6751495    	 0.45224187E-02
  5.0000000    	  6.0000000    	  2.4781496    	 0.44482779E-02
  6.0000000    	  7.0000000    	  2.2522229    	 0.41179370E-02
  7.0000000    	  8.0000000    	  2.0146753    	 0.38178119E-02
  8.0000000    	  9.0000000    	  1.7765877    	 0.36811839E-02
  9.0000000    	  10.000000    	  1.5361858    	 0.35254277E-02
  10.000000    	  11.000000    	  1.3017631    	 0.35542968E-02
  11.000000    	  12.000000    	  2.9689106    	 0.52720184E-02
  12.000000    	  13.000000    	  2.9248900    	 0.48831561E-02
  13.000000    	  14.000000    	  2.8335768    	 0.47024523E-02
  14.000000    	  15.000000    	  2.6982127    	 0.45126672E-02
  15.000000    	  16.000000    	  2.5280676    	 0.42158838E-02
  16.000000    	  17.000000    	  2.3347347    	 0.40589257E-02
  17.000000    	  18.000000    	  2.1269368    	 0.39180764E-02
  18.000000    	  19.000000    	  1.8943658    	 0.35993895E-02
  19.000000    	  20.000000    	  1.6616958    	 0.34004823E-02
  20.000000    	  21.000000    	  1.4277665    	 0.33075290E-02
  21.000000    	  22.000000    	  1.1991414    	 0.33002608E-02
  22.000000    	  23.000000    	  2.8163430    	 0.49055880E-02
  23.000000    	  24.000000    	  2.7680245    	 0.46727833E-02
  24.000000    	  25.000000    	  2.6810396    	 0.43920697E-02
  25.000000    	  26.000000    	  2.5471142    	 0.41596377E-02
  26.000000    	  27.000000    	  2.3963127    	 0.40317384E-02
  27.000000    	  28.000000    	  2.2101836    	 0.38352409E-02
  28.000000    	  29.000000    	  2.0053518    	 0.36117338E-02
  29.000000    	  30.000000    	  1.7847200    	 0.34215892E-02
  30.000000    	  31.000000    	  1.5641737    	 0.32889185E-02
  31.000000    	  32.000000    	  1.3375184    	 0.31017325E-02
  32.000000    	  33.000000    	  1.1191911    	 0.31248907E-02
  33.000000    	  34.000000    	  2.6722785    	 0.47203448E-02
  34.000000    	  35.000000    	  2.6255840    	 0.44658148E-02
  35.000000    	  36.000000    	  2.5419651    	 0.42419415E-02
  36.000000    	  37.000000    	  2.4239897    	 0.40184285E-02
  37.000000    	  38.000000    	  2.2725364    	 0.38588150E-02
  38.000000    	  39.000000    	  2.0910589    	 0.35784267E-02
  39.000000    	  40.000000    	  1.8944541    	 0.34444482E-02
  40.000000    	  41.000000    	  1.6878428    	 0.32095323E-02
  41.000000    	  42.000000    	  1.4707424    	 0.30357749E-02
  42.000000    	  43.000000    	  1.2549855    	 0.29711227E-02
  43.000000    	  44.000000    	  1.0451109    	 0.29322150E-02
  44.000000    	  45.000000    	  2.5340298    	 0.46161332E-02
  45.000000    	  46.000000    	  2.4946337    	 0.43604949E-02
  46.000000    	  47.000000    	  2.4160166    	 0.40519125E-02
  47.000000    	  48.000000    	  2.3071498    	 0.39351456E-02
  48.000000    	  49.000000    	  2.1565955    	 0.36882479E-02
  49.000000    	  50.000000    	  1.9890163    	 0.34471676E-02
  50.000000    	  51.000000    	  1.8008075    	 0.32727982E-02
  51.000000    	  52.000000    	  1.5984416    	 0.30332772E-02
  52.000000    	  53.000000    	  1.3897677    	 0.29113416E-02
  53.000000    	  54.000000    	  1.1813079    	 0.28052205E-02
  54.000000    	  55.000000    	 0.97966982    	 0.27833329E-02
  55.000000    	  56.000000    	  2.4085635    	 0.43161109E-02
  56.000000    	  57.000000    	  2.3751513    	 0.40577422E-02
  57.000000    	  58.000000    	  2.2929864    	 0.38757594E-02
  58.000000    	  59.000000    	  2.1915973    	 0.36401482E-02
  59.000000    	  60.000000    	  2.0503019    	 0.35159463E-02
  60.000000    	  61.000000    	  1.8948521    	 0.33009452E-02
  61.000000    	  62.000000    	  1.7092606    	 0.30737344E-02
  62.000000    	  63.000000    	  1.5153305    	 0.29212015E-02
  63.000000    	  64.000000    	  1.3137533    	 0.27614328E-02
  64.000000    	  65.000000    	  1.1110497    	 0.26759003E-02
