# xi0
# underflow	  23.109246    	 0.17634799E-01
# overflow	-0.85749129    	 0.46824242E-03
# sum	 -68.611020    	 0.18421516E-01
# xmin	xmax	cross	numerror
  1034.0000    	  1035.0000    	-0.25519017    	 0.49540938E-03
  1035.0000    	  1036.0000    	-0.25063971    	 0.42485980E-03
  1036.0000    	  1037.0000    	-0.24166430    	 0.45426949E-03
  1037.0000    	  1038.0000    	-0.22607973    	 0.36274973E-03
  1038.0000    	  1039.0000    	-0.20767597    	 0.33173060E-03
  1039.0000    	  1040.0000    	-0.18555213    	 0.26957223E-03
  1040.0000    	  1041.0000    	-0.16087890    	 0.23060630E-03
  1041.0000    	  1042.0000    	-0.13512493    	 0.20123062E-03
  1042.0000    	  1043.0000    	-0.10950946    	 0.17532578E-03
  1043.0000    	  1044.0000    	-0.85949377E-01	 0.15149905E-03
  1044.0000    	  1045.0000    	-0.64132741E-01	 0.13037345E-03
  1045.0000    	  1046.0000    	-0.25207307    	 0.45671293E-03
  1046.0000    	  1047.0000    	-0.24771810    	 0.40015795E-03
  1047.0000    	  1048.0000    	-0.23786243    	 0.37779407E-03
  1048.0000    	  1049.0000    	-0.22311681    	 0.33807267E-03
  1049.0000    	  1050.0000    	-0.20416908    	 0.29201131E-03
  1050.0000    	  1051.0000    	-0.18234273    	 0.26462111E-03
  1051.0000    	  1052.0000    	-0.15793357    	 0.22668241E-03
  1052.0000    	  1053.0000    	-0.13222848    	 0.19681445E-03
  1053.0000    	  1054.0000    	-0.10724402    	 0.17181281E-03
  1054.0000    	  1055.0000    	-0.83443151E-01	 0.14875854E-03
  1055.0000    	  1056.0000    	-0.62429562E-01	 0.12845704E-03
  1056.0000    	  1057.0000    	-0.24955753    	 0.45119490E-03
  1057.0000    	  1058.0000    	-0.24466119    	 0.38923518E-03
  1058.0000    	  1059.0000    	-0.23411440    	 0.35561229E-03
  1059.0000    	  1060.0000    	-0.22024863    	 0.33266762E-03
  1060.0000    	  1061.0000    	-0.20124807    	 0.30132422E-03
  1061.0000    	  1062.0000    	-0.17974744    	 0.25308276E-03
  1062.0000    	  1063.0000    	-0.15514761    	 0.22163467E-03
  1063.0000    	  1064.0000    	-0.12956318    	 0.19448122E-03
  1064.0000    	  1065.0000    	-0.10472258    	 0.16889158E-03
  1065.0000    	  1066.0000    	-0.81471644E-01	 0.14660295E-03
  1066.0000    	  1067.0000    	-0.60586400E-01	 0.12604464E-03
  1067.0000    	  1068.0000    	-0.24612722    	 0.39239831E-03
  1068.0000    	  1069.0000    	-0.24139337    	 0.37718097E-03
  1069.0000    	  1070.0000    	-0.23131245    	 0.33476992E-03
  1070.0000    	  1071.0000    	-0.21687510    	 0.30522839E-03
  1071.0000    	  1072.0000    	-0.19856427    	 0.27634585E-03
  1072.0000    	  1073.0000    	-0.17623035    	 0.26492138E-03
  1073.0000    	  1074.0000    	-0.15217694    	 0.21700070E-03
  1074.0000    	  1075.0000    	-0.12716353    	 0.19210231E-03
  1075.0000    	  1076.0000    	-0.10226533    	 0.16621339E-03
  1076.0000    	  1077.0000    	-0.79330107E-01	 0.14406008E-03
  1077.0000    	  1078.0000    	-0.58749375E-01	 0.12373932E-03
  1078.0000    	  1079.0000    	-0.24353375    	 0.37337206E-03
  1079.0000    	  1080.0000    	-0.23900769    	 0.37455193E-03
  1080.0000    	  1081.0000    	-0.22813415    	 0.33749428E-03
  1081.0000    	  1082.0000    	-0.21433269    	 0.29967227E-03
  1082.0000    	  1083.0000    	-0.19581994    	 0.26994134E-03
  1083.0000    	  1084.0000    	-0.17346130    	 0.24766400E-03
  1084.0000    	  1085.0000    	-0.14944340    	 0.21529690E-03
  1085.0000    	  1086.0000    	-0.12474421    	 0.18775981E-03
  1086.0000    	  1087.0000    	-0.10018612    	 0.16393727E-03
  1087.0000    	  1088.0000    	-0.77294992E-01	 0.14174725E-03
  1088.0000    	  1089.0000    	-0.56920971E-01	 0.12169800E-03
  1089.0000    	  1090.0000    	-0.24010885    	 0.38678555E-03
  1090.0000    	  1091.0000    	-0.23499156    	 0.33088241E-03
  1091.0000    	  1092.0000    	-0.22544620    	 0.32614160E-03
  1092.0000    	  1093.0000    	-0.21092784    	 0.32059840E-03
  1093.0000    	  1094.0000    	-0.19250993    	 0.27669247E-03
  1094.0000    	  1095.0000    	-0.17074043    	 0.23882016E-03
  1095.0000    	  1096.0000    	-0.14697546    	 0.22795795E-03
  1096.0000    	  1097.0000    	-0.12180110    	 0.18495753E-03
  1097.0000    	  1098.0000    	-0.97715197E-01	 0.16127697E-03
  1098.0000    	  1099.0000    	-0.75452952E-01	 0.14028311E-03
  1099.0000    	  1100.0000    	-0.55466512E-01	 0.11984452E-03
  1100.0000    	  1101.0000    	-0.23687793    	 0.36968700E-03
  1101.0000    	  1102.0000    	-0.23217889    	 0.32004887E-03
  1102.0000    	  1103.0000    	-0.22249595    	 0.30429470E-03
  1103.0000    	  1104.0000    	-0.20836055    	 0.31503155E-03
  1104.0000    	  1105.0000    	-0.18945244    	 0.25951697E-03
  1105.0000    	  1106.0000    	-0.16800218    	 0.23285762E-03
  1106.0000    	  1107.0000    	-0.14416212    	 0.20680643E-03
  1107.0000    	  1108.0000    	-0.11917283    	 0.18174076E-03
  1108.0000    	  1109.0000    	-0.95558212E-01	 0.15890663E-03
  1109.0000    	  1110.0000    	-0.73590888E-01	 0.13764246E-03
  1110.0000    	  1111.0000    	-0.53814718E-01	 0.11769484E-03
  1111.0000    	  1112.0000    	-0.23453268    	 0.35685344E-03
  1112.0000    	  1113.0000    	-0.22916140    	 0.31844260E-03
  1113.0000    	  1114.0000    	-0.21938372    	 0.29483960E-03
  1114.0000    	  1115.0000    	-0.20522290    	 0.27474674E-03
  1115.0000    	  1116.0000    	-0.18693672    	 0.25676461E-03
  1116.0000    	  1117.0000    	-0.16518167    	 0.22961620E-03
  1117.0000    	  1118.0000    	-0.14143248    	 0.20340515E-03
  1118.0000    	  1119.0000    	-0.11711529    	 0.17931727E-03
  1119.0000    	  1120.0000    	-0.93465939E-01	 0.15901956E-03
  1120.0000    	  1121.0000    	-0.71519510E-01	 0.13602692E-03
  1121.0000    	  1122.0000    	-0.52159183E-01	 0.11577264E-03
  1122.0000    	  1123.0000    	-0.23108106    	 0.32380163E-03
  1123.0000    	  1124.0000    	-0.22610721    	 0.31311961E-03
  1124.0000    	  1125.0000    	-0.21654108    	 0.28988040E-03
  1125.0000    	  1126.0000    	-0.20219236    	 0.28421850E-03
  1126.0000    	  1127.0000    	-0.18382033    	 0.24904693E-03
  1127.0000    	  1128.0000    	-0.16225294    	 0.22439443E-03
  1128.0000    	  1129.0000    	-0.13893981    	 0.20051859E-03
  1129.0000    	  1130.0000    	-0.11481857    	 0.17697696E-03
  1130.0000    	  1131.0000    	-0.91356338E-01	 0.15430713E-03
  1131.0000    	  1132.0000    	-0.69590169E-01	 0.13309047E-03
  1132.0000    	  1133.0000    	-0.50590380E-01	 0.11377566E-03
  1133.0000    	  1134.0000    	-0.22817314    	 0.33398848E-03
  1134.0000    	  1135.0000    	-0.22323162    	 0.31020599E-03
  1135.0000    	  1136.0000    	-0.21362270    	 0.28426246E-03
  1136.0000    	  1137.0000    	-0.19932429    	 0.28163025E-03
  1137.0000    	  1138.0000    	-0.18107344    	 0.24326328E-03
  1138.0000    	  1139.0000    	-0.15969445    	 0.22438558E-03
  1139.0000    	  1140.0000    	-0.13641552    	 0.19752615E-03
  1140.0000    	  1141.0000    	-0.11250768    	 0.17442300E-03
  1141.0000    	  1142.0000    	-0.89016357E-01	 0.15180695E-03
  1142.0000    	  1143.0000    	-0.67759860E-01	 0.13115524E-03
  1143.0000    	  1144.0000    	-0.49124712E-01	 0.11200208E-03
  1144.0000    	  1145.0000    	-0.22546829    	 0.31054569E-03
  1145.0000    	  1146.0000    	-0.22062277    	 0.29441723E-03
  1146.0000    	  1147.0000    	-0.21095778    	 0.28097676E-03
  1147.0000    	  1148.0000    	-0.19673026    	 0.26046192E-03
  1148.0000    	  1149.0000    	-0.17826655    	 0.23953673E-03
  1149.0000    	  1150.0000    	-0.15695082    	 0.21769022E-03
  1150.0000    	  1151.0000    	-0.13383362    	 0.19480447E-03
  1151.0000    	  1152.0000    	-0.10992399    	 0.17172801E-03
  1152.0000    	  1153.0000    	-0.86949512E-01	 0.15031967E-03
  1153.0000    	  1154.0000    	-0.66172149E-01	 0.12942409E-03
  1154.0000    	  1155.0000    	-0.47668940E-01	 0.11004147E-03
  1155.0000    	  1156.0000    	-0.22273959    	 0.30233831E-03
  1156.0000    	  1157.0000    	-0.21746875    	 0.28820778E-03
  1157.0000    	  1158.0000    	-0.20811337    	 0.27525554E-03
  1158.0000    	  1159.0000    	-0.19355145    	 0.25503289E-03
  1159.0000    	  1160.0000    	-0.17573731    	 0.23592619E-03
  1160.0000    	  1161.0000    	-0.15453448    	 0.21476072E-03
  1161.0000    	  1162.0000    	-0.13152731    	 0.19205009E-03
  1162.0000    	  1163.0000    	-0.10746599    	 0.16914009E-03
  1163.0000    	  1164.0000    	-0.85312654E-01	 0.14785115E-03
  1164.0000    	  1165.0000    	-0.64353434E-01	 0.12721181E-03
  1165.0000    	  1166.0000    	-0.46232007E-01	 0.10822441E-03
  1166.0000    	  1167.0000    	-0.21992534    	 0.31180845E-03
  1167.0000    	  1168.0000    	-0.21490201    	 0.29391897E-03
  1168.0000    	  1169.0000    	-0.20518509    	 0.27120148E-03
  1169.0000    	  1170.0000    	-0.19102119    	 0.25264015E-03
  1170.0000    	  1171.0000    	-0.17293813    	 0.23280928E-03
  1171.0000    	  1172.0000    	-0.15161896    	 0.21175625E-03
  1172.0000    	  1173.0000    	-0.12869706    	 0.18929378E-03
  1173.0000    	  1174.0000    	-0.10570728    	 0.16725808E-03
  1174.0000    	  1175.0000    	-0.83123964E-01	 0.14562397E-03
  1175.0000    	  1176.0000    	-0.62609452E-01	 0.12529258E-03
  1176.0000    	  1177.0000    	-0.44963809E-01	 0.10671973E-03
  1177.0000    	  1178.0000    	-0.21703498    	 0.29064263E-03
  1178.0000    	  1179.0000    	-0.21185625    	 0.27625947E-03
  1179.0000    	  1180.0000    	-0.20239110    	 0.26389806E-03
  1180.0000    	  1181.0000    	-0.18807383    	 0.24827774E-03
