# xi1
# underflow	  62.516591    	 0.60783759E-02
# overflow	 0.37737665E-01	 0.64013652E-04
# sum	  72.360408    	 0.61574424E-02
# xmin	xmax	cross	numerror
  1034.0000    	  1035.0000    	 0.11557397E-01	 0.40631896E-04
  1035.0000    	  1036.0000    	 0.13321317E-01	 0.39578945E-04
  1036.0000    	  1037.0000    	 0.16636783E-01	 0.44503144E-04
  1037.0000    	  1038.0000    	 0.21309227E-01	 0.48277000E-04
  1038.0000    	  1039.0000    	 0.26733015E-01	 0.59237473E-04
  1039.0000    	  1040.0000    	 0.32273153E-01	 0.74575787E-04
  1040.0000    	  1041.0000    	 0.36863738E-01	 0.85043208E-04
  1041.0000    	  1042.0000    	 0.39871826E-01	 0.96368847E-04
  1042.0000    	  1043.0000    	 0.41078941E-01	 0.92478865E-04
  1043.0000    	  1044.0000    	 0.39509351E-01	 0.89933982E-04
  1044.0000    	  1045.0000    	 0.35582162E-01	 0.84247978E-04
  1045.0000    	  1046.0000    	 0.10947502E-01	 0.35594469E-04
  1046.0000    	  1047.0000    	 0.12673154E-01	 0.35526291E-04
  1047.0000    	  1048.0000    	 0.16013686E-01	 0.40488458E-04
  1048.0000    	  1049.0000    	 0.20683707E-01	 0.45835671E-04
  1049.0000    	  1050.0000    	 0.25844063E-01	 0.57170678E-04
  1050.0000    	  1051.0000    	 0.31378657E-01	 0.68759067E-04
  1051.0000    	  1052.0000    	 0.35721987E-01	 0.76277321E-04
  1052.0000    	  1053.0000    	 0.38975268E-01	 0.85272318E-04
  1053.0000    	  1054.0000    	 0.39913213E-01	 0.85108228E-04
  1054.0000    	  1055.0000    	 0.38509306E-01	 0.89488752E-04
  1055.0000    	  1056.0000    	 0.34538939E-01	 0.80473639E-04
  1056.0000    	  1057.0000    	 0.10439398E-01	 0.35569873E-04
  1057.0000    	  1058.0000    	 0.12017551E-01	 0.33886286E-04
  1058.0000    	  1059.0000    	 0.15353837E-01	 0.37002336E-04
  1059.0000    	  1060.0000    	 0.19923167E-01	 0.43171770E-04
  1060.0000    	  1061.0000    	 0.25162910E-01	 0.51458352E-04
