# xi1
# underflow	 -132.00545    	 0.22296399E-01
# overflow	-0.81454952    	 0.53629805E-03
# sum	 -242.44655    	 0.23493459E-01
# xmin	xmax	cross	numerror
  1034.0000    	  1035.0000    	-0.37356573    	 0.70984470E-03
  1035.0000    	  1036.0000    	-0.36521805    	 0.65493593E-03
  1036.0000    	  1037.0000    	-0.34655720    	 0.64885058E-03
  1037.0000    	  1038.0000    	-0.32096332    	 0.55674145E-03
  1038.0000    	  1039.0000    	-0.29004320    	 0.49662463E-03
  1039.0000    	  1040.0000    	-0.25393781    	 0.44007590E-03
  1040.0000    	  1041.0000    	-0.21415505    	 0.37289287E-03
  1041.0000    	  1042.0000    	-0.17381809    	 0.32154083E-03
  1042.0000    	  1043.0000    	-0.13428006    	 0.24865809E-03
  1043.0000    	  1044.0000    	-0.97476349E-01	 0.19997768E-03
  1044.0000    	  1045.0000    	-0.65360716E-01	 0.16027770E-03
  1045.0000    	  1046.0000    	-0.36763735    	 0.64979555E-03
  1046.0000    	  1047.0000    	-0.35795440    	 0.60053851E-03
  1047.0000    	  1048.0000    	-0.34140709    	 0.59267602E-03
  1048.0000    	  1049.0000    	-0.31638084    	 0.52903538E-03
  1049.0000    	  1050.0000    	-0.28398239    	 0.49485983E-03
  1050.0000    	  1051.0000    	-0.24856028    	 0.42052135E-03
  1051.0000    	  1052.0000    	-0.20888596    	 0.35304875E-03
  1052.0000    	  1053.0000    	-0.16978674    	 0.29915391E-03
  1053.0000    	  1054.0000    	-0.13067158    	 0.24184617E-03
  1054.0000    	  1055.0000    	-0.94647139E-01	 0.20241785E-03
  1055.0000    	  1056.0000    	-0.62799828E-01	 0.15751606E-03
  1056.0000    	  1057.0000    	-0.36233879    	 0.65513295E-03
  1057.0000    	  1058.0000    	-0.35163146    	 0.60380856E-03
  1058.0000    	  1059.0000    	-0.33547354    	 0.55506707E-03
  1059.0000    	  1060.0000    	-0.31025186    	 0.51151364E-03
  1060.0000    	  1061.0000    	-0.27910736    	 0.45028319E-03
  1061.0000    	  1062.0000    	-0.24402801    	 0.40337157E-03
  1062.0000    	  1063.0000    	-0.20473553    	 0.35647368E-03
  1063.0000    	  1064.0000    	-0.16539209    	 0.29384877E-03
  1064.0000    	  1065.0000    	-0.12731734    	 0.24414703E-03
  1065.0000    	  1066.0000    	-0.91541208E-01	 0.19050927E-03
  1066.0000    	  1067.0000    	-0.60545081E-01	 0.15234083E-03
  1067.0000    	  1068.0000    	-0.35547894    	 0.59307686E-03
  1068.0000    	  1069.0000    	-0.34690768    	 0.55065886E-03
  1069.0000    	  1070.0000    	-0.32969808    	 0.52191351E-03
  1070.0000    	  1071.0000    	-0.30505222    	 0.49614727E-03
  1071.0000    	  1072.0000    	-0.27424221    	 0.43431270E-03
  1072.0000    	  1073.0000    	-0.23824309    	 0.39406062E-03
  1073.0000    	  1074.0000    	-0.20102869    	 0.33371907E-03
  1074.0000    	  1075.0000    	-0.16172237    	 0.28552907E-03
  1075.0000    	  1076.0000    	-0.12356660    	 0.22915005E-03
  1076.0000    	  1077.0000    	-0.89131022E-01	 0.18659184E-03
  1077.0000    	  1078.0000    	-0.58325938E-01	 0.14898138E-03
  1078.0000    	  1079.0000    	-0.34930624    	 0.56110288E-03
  1079.0000    	  1080.0000    	-0.34017450    	 0.52904104E-03
  1080.0000    	  1081.0000    	-0.32359984    	 0.53230891E-03
  1081.0000    	  1082.0000    	-0.29905455    	 0.46616562E-03
  1082.0000    	  1083.0000    	-0.26813883    	 0.41369928E-03
  1083.0000    	  1084.0000    	-0.23448081    	 0.39498302E-03
  1084.0000    	  1085.0000    	-0.19599321    	 0.31727636E-03
  1085.0000    	  1086.0000    	-0.15765785    	 0.27522193E-03
  1086.0000    	  1087.0000    	-0.12045637    	 0.22340838E-03
  1087.0000    	  1088.0000    	-0.86289464E-01	 0.18274697E-03
  1088.0000    	  1089.0000    	-0.56247209E-01	 0.14545673E-03
  1089.0000    	  1090.0000    	-0.34368601    	 0.54173930E-03
  1090.0000    	  1091.0000    	-0.33458831    	 0.50983497E-03
  1091.0000    	  1092.0000    	-0.31871646    	 0.48667148E-03
  1092.0000    	  1093.0000    	-0.29403571    	 0.45333558E-03
  1093.0000    	  1094.0000    	-0.26370358    	 0.43621707E-03
  1094.0000    	  1095.0000    	-0.22875966    	 0.37742757E-03
  1095.0000    	  1096.0000    	-0.19191750    	 0.31239287E-03
  1096.0000    	  1097.0000    	-0.15388622    	 0.26644179E-03
  1097.0000    	  1098.0000    	-0.11719858    	 0.22050772E-03
  1098.0000    	  1099.0000    	-0.83818062E-01	 0.17922956E-03
  1099.0000    	  1100.0000    	-0.54120573E-01	 0.14228568E-03
  1100.0000    	  1101.0000    	-0.33799375    	 0.52484282E-03
  1101.0000    	  1102.0000    	-0.32898837    	 0.54025406E-03
  1102.0000    	  1103.0000    	-0.31285114    	 0.50400879E-03
  1103.0000    	  1104.0000    	-0.28799911    	 0.42699959E-03
  1104.0000    	  1105.0000    	-0.25864531    	 0.41754618E-03
  1105.0000    	  1106.0000    	-0.22451295    	 0.34784480E-03
  1106.0000    	  1107.0000    	-0.18812439    	 0.31068429E-03
  1107.0000    	  1108.0000    	-0.15038046    	 0.26210596E-03
  1108.0000    	  1109.0000    	-0.11447489    	 0.21448637E-03
  1109.0000    	  1110.0000    	-0.80749230E-01	 0.17420951E-03
  1110.0000    	  1111.0000    	-0.52002434E-01	 0.13865808E-03
  1111.0000    	  1112.0000    	-0.33189964    	 0.50969974E-03
  1112.0000    	  1113.0000    	-0.32427617    	 0.49332080E-03
  1113.0000    	  1114.0000    	-0.30671146    	 0.45075920E-03
  1114.0000    	  1115.0000    	-0.28352752    	 0.42710102E-03
  1115.0000    	  1116.0000    	-0.25332358    	 0.38997798E-03
  1116.0000    	  1117.0000    	-0.21959853    	 0.34109378E-03
  1117.0000    	  1118.0000    	-0.18322233    	 0.29383091E-03
  1118.0000    	  1119.0000    	-0.14654721    	 0.25163179E-03
  1119.0000    	  1120.0000    	-0.11078757    	 0.20953652E-03
  1120.0000    	  1121.0000    	-0.78464576E-01	 0.17095602E-03
  1121.0000    	  1122.0000    	-0.50210273E-01	 0.13589186E-03
  1122.0000    	  1123.0000    	-0.32704911    	 0.50329318E-03
  1123.0000    	  1124.0000    	-0.31852226    	 0.48197742E-03
  1124.0000    	  1125.0000    	-0.30165494    	 0.44432255E-03
  1125.0000    	  1126.0000    	-0.27837245    	 0.41630708E-03
  1126.0000    	  1127.0000    	-0.24886883    	 0.37187178E-03
  1127.0000    	  1128.0000    	-0.21533837    	 0.33953968E-03
  1128.0000    	  1129.0000    	-0.17960509    	 0.28971485E-03
  1129.0000    	  1130.0000    	-0.14307351    	 0.24586930E-03
  1130.0000    	  1131.0000    	-0.10798520    	 0.20520173E-03
  1131.0000    	  1132.0000    	-0.75774443E-01	 0.16689822E-03
  1132.0000    	  1133.0000    	-0.48135861E-01	 0.13280456E-03
  1133.0000    	  1134.0000    	-0.32152225    	 0.48686558E-03
  1134.0000    	  1135.0000    	-0.31279893    	 0.45985932E-03
  1135.0000    	  1136.0000    	-0.29689481    	 0.46687915E-03
