# xi4
# underflow	  50.488639    	 0.11909382E-01
# overflow	  1.0838794    	 0.20522616E-02
# sum	  143.82774    	 0.21878181E-01
# xmin	xmax	cross	numerror
  1034.0000    	  1035.0000    	 0.11263267    	 0.10476082E-02
  1035.0000    	  1036.0000    	 0.12963631    	 0.91965600E-03
  1036.0000    	  1037.0000    	 0.13837085    	 0.85554569E-03
  1037.0000    	  1038.0000    	 0.14936653    	 0.74108493E-03
  1038.0000    	  1039.0000    	 0.16249890    	 0.72424156E-03
  1039.0000    	  1040.0000    	 0.17460589    	 0.73365143E-03
  1040.0000    	  1041.0000    	 0.18553890    	 0.74620022E-03
  1041.0000    	  1042.0000    	 0.19507439    	 0.79702504E-03
  1042.0000    	  1043.0000    	 0.20035540    	 0.90195082E-03
  1043.0000    	  1044.0000    	 0.42168930E-02	 0.14405235E-03
  1044.0000    	  1045.0000    	 0.19167514    	 0.11770243E-02
  1045.0000    	  1046.0000    	 0.12129032    	 0.10970934E-02
  1046.0000    	  1047.0000    	 0.12930410    	 0.10051466E-02
  1047.0000    	  1048.0000    	 0.13538607    	 0.84295910E-03
  1048.0000    	  1049.0000    	 0.14840076    	 0.75137422E-03
  1049.0000    	  1050.0000    	 0.15879174    	 0.70374298E-03
  1050.0000    	  1051.0000    	 0.17270266    	 0.69331897E-03
  1051.0000    	  1052.0000    	 0.18434972    	 0.74718350E-03
  1052.0000    	  1053.0000    	 0.19190217    	 0.79027311E-03
  1053.0000    	  1054.0000    	 0.19612606    	 0.84549555E-03
  1054.0000    	  1055.0000    	 0.19511517    	 0.98571456E-03
  1055.0000    	  1056.0000    	 0.17902449    	 0.11337554E-02
  1056.0000    	  1057.0000    	 0.11887153    	 0.10826327E-02
  1057.0000    	  1058.0000    	 0.10409285    	 0.78944945E-03
  1058.0000    	  1059.0000    	 0.13394045    	 0.79886400E-03
  1059.0000    	  1060.0000    	 0.14322977    	 0.75234422E-03
  1060.0000    	  1061.0000    	 0.15862011    	 0.70960245E-03
  1061.0000    	  1062.0000    	 0.16929038    	 0.68034111E-03
  1062.0000    	  1063.0000    	 0.18272820    	 0.73677561E-03
  1063.0000    	  1064.0000    	 0.18970206    	 0.79886179E-03
