# xi0
# underflow	  12.332595    	 0.24107796E-02
# overflow	-0.37867257E-01	 0.23465896E-04
# sum	  9.5925500    	 0.24185134E-02
# xmin	xmax	cross	numerror
  2024.0000    	  2025.0000    	-0.77892856E-02	 0.14360553E-04
  2025.0000    	  2026.0000    	-0.72483855E-02	 0.13031048E-04
  2026.0000    	  2027.0000    	-0.62995087E-02	 0.10844560E-04
  2027.0000    	  2028.0000    	-0.48826440E-02	 0.74676050E-05
  2028.0000    	  2029.0000    	-0.31777661E-02	 0.51090384E-05
  2029.0000    	  2030.0000    	-0.16152156E-02	 0.38817310E-05
  2030.0000    	  2031.0000    	-0.41812784E-03	 0.35719912E-05
  2031.0000    	  2032.0000    	 0.26966025E-03	 0.40071736E-05
  2032.0000    	  2033.0000    	 0.62049674E-03	 0.41179068E-05
  2033.0000    	  2034.0000    	 0.26810709E-03	 0.41128164E-05
  2034.0000    	  2035.0000    	-0.33965917E-03	 0.44497628E-05
  2035.0000    	  2036.0000    	-0.77642908E-02	 0.13250276E-04
  2036.0000    	  2037.0000    	-0.72774090E-02	 0.12500380E-04
  2037.0000    	  2038.0000    	-0.62954478E-02	 0.98929869E-05
  2038.0000    	  2039.0000    	-0.48804122E-02	 0.75353479E-05
  2039.0000    	  2040.0000    	-0.31991195E-02	 0.51324585E-05
  2040.0000    	  2041.0000    	-0.16309385E-02	 0.38329115E-05
  2041.0000    	  2042.0000    	-0.45514942E-03	 0.35165942E-05
  2042.0000    	  2043.0000    	 0.23179824E-03	 0.39719505E-05
  2043.0000    	  2044.0000    	 0.58431716E-03	 0.40192887E-05
  2044.0000    	  2045.0000    	 0.22826640E-03	 0.40040409E-05
  2045.0000    	  2046.0000    	-0.36248749E-03	 0.44146921E-05
  2046.0000    	  2047.0000    	-0.77955646E-02	 0.13093347E-04
  2047.0000    	  2048.0000    	-0.72671181E-02	 0.11349830E-04
  2048.0000    	  2049.0000    	-0.62976280E-02	 0.97772228E-05
  2049.0000    	  2050.0000    	-0.48728387E-02	 0.73371247E-05
  2050.0000    	  2051.0000    	-0.32047498E-02	 0.52182900E-05
  2051.0000    	  2052.0000    	-0.16482666E-02	 0.37829642E-05
  2052.0000    	  2053.0000    	-0.48426724E-03	 0.35818479E-05
  2053.0000    	  2054.0000    	 0.20424980E-03	 0.39281853E-05
  2054.0000    	  2055.0000    	 0.54266532E-03	 0.40046577E-05
  2055.0000    	  2056.0000    	 0.19591841E-03	 0.40426894E-05
  2056.0000    	  2057.0000    	-0.37953227E-03	 0.43778811E-05
  2057.0000    	  2058.0000    	-0.77686813E-02	 0.11962394E-04
  2058.0000    	  2059.0000    	-0.72385735E-02	 0.10925552E-04
  2059.0000    	  2060.0000    	-0.62719099E-02	 0.92244794E-05
  2060.0000    	  2061.0000    	-0.48764887E-02	 0.71933699E-05
  2061.0000    	  2062.0000    	-0.32079788E-02	 0.50655815E-05
  2062.0000    	  2063.0000    	-0.16681717E-02	 0.38340945E-05
