# xi3
# underflow	  15.070883    	 0.64422398E-03
# overflow	 0.17282676E-01	 0.22961024E-04
# sum	  17.221832    	 0.69976744E-03
# xmin	xmax	cross	numerror
  3124.0000    	  3125.0000    	 0.48986696E-02	 0.17995776E-04
  3125.0000    	  3126.0000    	 0.49275819E-02	 0.16559668E-04
  3126.0000    	  3127.0000    	 0.49334531E-02	 0.15364609E-04
  3127.0000    	  3128.0000    	 0.49068942E-02	 0.14473632E-04
  3128.0000    	  3129.0000    	 0.47946271E-02	 0.13994957E-04
  3129.0000    	  3130.0000    	 0.45362204E-02	 0.15660813E-04
  3130.0000    	  3131.0000    	 0.40463965E-02	 0.14123305E-04
  3131.0000    	  3132.0000    	 0.14722091E-03	 0.32035391E-05
  3132.0000    	  3133.0000    	 0.26572284E-02	 0.12789521E-04
  3133.0000    	  3134.0000    	 0.19527534E-02	 0.96002750E-05
  3134.0000    	  3135.0000    	 0.11943153E-02	 0.62500265E-05
  3135.0000    	  3136.0000    	 0.47402996E-02	 0.17657378E-04
  3136.0000    	  3137.0000    	 0.48400882E-02	 0.16348317E-04
  3137.0000    	  3138.0000    	 0.48427905E-02	 0.15117582E-04
  3138.0000    	  3139.0000    	 0.48370167E-02	 0.14218083E-04
  3139.0000    	  3140.0000    	 0.47058320E-02	 0.13588387E-04
  3140.0000    	  3141.0000    	 0.44503724E-02	 0.13071749E-04
  3141.0000    	  3142.0000    	 0.40186538E-02	 0.12925928E-04
  3142.0000    	  3143.0000    	 0.25313141E-02	 0.10654715E-04
  3143.0000    	  3144.0000    	 0.26392919E-02	 0.11851112E-04
  3144.0000    	  3145.0000    	 0.19060560E-02	 0.84600778E-05
  3145.0000    	  3146.0000    	 0.11739840E-02	 0.61092558E-05
  3146.0000    	  3147.0000    	 0.47531165E-02	 0.17671269E-04
  3147.0000    	  3148.0000    	 0.47829133E-02	 0.16235396E-04
  3148.0000    	  3149.0000    	 0.47994875E-02	 0.15033116E-04
  3149.0000    	  3150.0000    	 0.47769809E-02	 0.14074114E-04
  3150.0000    	  3151.0000    	 0.46407538E-02	 0.13200631E-04
  3151.0000    	  3152.0000    	 0.43546911E-02	 0.12449586E-04
  3152.0000    	  3153.0000    	 0.39657066E-02	 0.12014485E-04
  3153.0000    	  3154.0000    	 0.32279324E-02	 0.11007714E-04
  3154.0000    	  3155.0000    	 0.25971939E-02	 0.10436499E-04
  3155.0000    	  3156.0000    	 0.18829698E-02	 0.80160647E-05
  3156.0000    	  3157.0000    	 0.11464368E-02	 0.54129389E-05
  3157.0000    	  3158.0000    	 0.46812469E-02	 0.17553232E-04
  3158.0000    	  3159.0000    	 0.47147212E-02	 0.16108632E-04
  3159.0000    	  3160.0000    	 0.47297081E-02	 0.14877605E-04
  3160.0000    	  3161.0000    	 0.46994597E-02	 0.13896520E-04
  3161.0000    	  3162.0000    	 0.45937587E-02	 0.13010487E-04
  3162.0000    	  3163.0000    	 0.43108868E-02	 0.12070227E-04
  3163.0000    	  3164.0000    	 0.39108246E-02	 0.11462638E-04
  3164.0000    	  3165.0000    	 0.33095177E-02	 0.10164982E-04
  3165.0000    	  3166.0000    	 0.26019311E-02	 0.86687905E-05
  3166.0000    	  3167.0000    	 0.18534897E-02	 0.69612058E-05
  3167.0000    	  3168.0000    	 0.11227290E-02	 0.54014406E-05
  3168.0000    	  3169.0000    	 0.46338865E-02	 0.17445279E-04
  3169.0000    	  3170.0000    	 0.46541862E-02	 0.15967782E-04
  3170.0000    	  3171.0000    	 0.46269173E-02	 0.14677229E-04
  3171.0000    	  3172.0000    	 0.46118565E-02	 0.13694146E-04
  3172.0000    	  3173.0000    	 0.45150954E-02	 0.12792935E-04
  3173.0000    	  3174.0000    	 0.42393473E-02	 0.11746341E-04
  3174.0000    	  3175.0000    	 0.38526048E-02	 0.10771154E-04
  3175.0000    	  3176.0000    	 0.32706882E-02	 0.94602852E-05
  3176.0000    	  3177.0000    	 0.25553150E-02	 0.77609614E-05
  3177.0000    	  3178.0000    	 0.18326067E-02	 0.68449639E-05
  3178.0000    	  3179.0000    	 0.10980312E-02	 0.54339154E-05
  3179.0000    	  3180.0000    	 0.45568387E-02	 0.17440456E-04
  3180.0000    	  3181.0000    	 0.45667328E-02	 0.15787663E-04
  3181.0000    	  3182.0000    	 0.45814844E-02	 0.14539553E-04
  3182.0000    	  3183.0000    	 0.45712667E-02	 0.13503020E-04
  3183.0000    	  3184.0000    	 0.44405915E-02	 0.12562354E-04
  3184.0000    	  3185.0000    	 0.41942880E-02	 0.11582207E-04
  3185.0000    	  3186.0000    	 0.37584227E-02	 0.10311981E-04
  3186.0000    	  3187.0000    	 0.32297952E-02	 0.91567439E-05
  3187.0000    	  3188.0000    	 0.25234755E-02	 0.79028273E-05
  3188.0000    	  3189.0000    	 0.17806839E-02	 0.61856221E-05
  3189.0000    	  3190.0000    	 0.10650264E-02	 0.50678939E-05
  3190.0000    	  3191.0000    	 0.45048735E-02	 0.17182541E-04
  3191.0000    	  3192.0000    	 0.45045643E-02	 0.15662313E-04
  3192.0000    	  3193.0000    	 0.45377444E-02	 0.14446116E-04
  3193.0000    	  3194.0000    	 0.44961077E-02	 0.13392178E-04
  3194.0000    	  3195.0000    	 0.43818582E-02	 0.12487138E-04
  3195.0000    	  3196.0000    	 0.41327614E-02	 0.11517786E-04
  3196.0000    	  3197.0000    	 0.37274348E-02	 0.10131161E-04
  3197.0000    	  3198.0000    	 0.31739310E-02	 0.90344439E-05
  3198.0000    	  3199.0000    	 0.24062909E-02	 0.70279708E-05
  3199.0000    	  3200.0000    	 0.17519009E-02	 0.63694921E-05
  3200.0000    	  3201.0000    	 0.10422345E-02	 0.49905427E-05
