# xi0
# underflow	  15.401552    	 0.69485417E-02
# overflow	  1.4828886    	 0.10367929E-02
# sum	  272.55176    	 0.17719401E-01
# xmin	xmax	cross	numerror
  0.0000000    	  1.0000000    	 0.77159250    	 0.13139996E-02
  1.0000000    	  2.0000000    	 0.69898423    	 0.12319337E-02
  2.0000000    	  3.0000000    	 0.61069873    	 0.11303154E-02
  3.0000000    	  4.0000000    	 0.51252611    	 0.10104121E-02
  4.0000000    	  5.0000000    	 0.41023238    	 0.90069673E-03
  5.0000000    	  6.0000000    	 0.30779110    	 0.80602707E-03
  6.0000000    	  7.0000000    	 0.21242963    	 0.72511556E-03
  7.0000000    	  8.0000000    	 0.12870163    	 0.64811543E-03
  8.0000000    	  9.0000000    	 0.60104944E-01	 0.59950200E-03
  9.0000000    	  10.000000    	 0.12682356E-01	 0.56767412E-03
  10.000000    	  11.000000    	-0.11318051E-01	 0.53902001E-03
  11.000000    	  12.000000    	-0.10416020E-01	 0.55007144E-03
  12.000000    	  13.000000    	 0.14078884E-01	 0.55824841E-03
  13.000000    	  14.000000    	 0.60514731E-01	 0.59968700E-03
  14.000000    	  15.000000    	 0.12868530    	 0.64728864E-03
  15.000000    	  16.000000    	 0.21241890    	 0.72375485E-03
  16.000000    	  17.000000    	 0.30772661    	 0.80856520E-03
  17.000000    	  18.000000    	 0.41068425    	 0.92284060E-03
  18.000000    	  19.000000    	 0.51324630    	 0.10461242E-02
  19.000000    	  20.000000    	 0.60855572    	 0.11037553E-02
  20.000000    	  21.000000    	 0.69980090    	 0.12364936E-02
  21.000000    	  22.000000    	 0.77081547    	 0.13158591E-02
  22.000000    	  23.000000    	 0.73668075    	 0.12582743E-02
  23.000000    	  24.000000    	 0.67031667    	 0.11538088E-02
  24.000000    	  25.000000    	 0.58813412    	 0.10646770E-02
  25.000000    	  26.000000    	 0.49804799    	 0.94613808E-03
  26.000000    	  27.000000    	 0.40010428    	 0.85377549E-03
  27.000000    	  28.000000    	 0.30338989    	 0.76005400E-03
  28.000000    	  29.000000    	 0.21121639    	 0.67264136E-03
  29.000000    	  30.000000    	 0.13105613    	 0.61209319E-03
  30.000000    	  31.000000    	 0.66689391E-01	 0.56314106E-03
  31.000000    	  32.000000    	 0.20865577E-01	 0.52492165E-03
  32.000000    	  33.000000    	-0.35694944E-02	 0.50324156E-03
  33.000000    	  34.000000    	-0.32215053E-02	 0.50799683E-03
  34.000000    	  35.000000    	 0.20522125E-01	 0.52539690E-03
  35.000000    	  36.000000    	 0.66299403E-01	 0.55950500E-03
  36.000000    	  37.000000    	 0.13123436    	 0.61180484E-03
  37.000000    	  38.000000    	 0.21195955    	 0.68373009E-03
  38.000000    	  39.000000    	 0.30332310    	 0.74784664E-03
  39.000000    	  40.000000    	 0.40050235    	 0.84755532E-03
  40.000000    	  41.000000    	 0.49706806    	 0.96784970E-03
  41.000000    	  42.000000    	 0.58819051    	 0.10412570E-02
  42.000000    	  43.000000    	 0.66967141    	 0.11465908E-02
  43.000000    	  44.000000    	 0.73546460    	 0.12325069E-02
  44.000000    	  45.000000    	 0.70260221    	 0.11494831E-02
  45.000000    	  46.000000    	 0.64076171    	 0.10506031E-02
  46.000000    	  47.000000    	 0.56770175    	 0.98295594E-03
  47.000000    	  48.000000    	 0.48105306    	 0.88230182E-03
  48.000000    	  49.000000    	 0.39015012    	 0.80336857E-03
  49.000000    	  50.000000    	 0.29771013    	 0.71302029E-03
  50.000000    	  51.000000    	 0.21034897    	 0.63990113E-03
  51.000000    	  52.000000    	 0.13286098    	 0.56638050E-03
  52.000000    	  53.000000    	 0.70247220E-01	 0.52645018E-03
  53.000000    	  54.000000    	 0.26471321E-01	 0.49214221E-03
  54.000000    	  55.000000    	 0.44688650E-02	 0.47812851E-03
  55.000000    	  56.000000    	 0.39488951E-02	 0.47764340E-03
  56.000000    	  57.000000    	 0.26442596E-01	 0.49421279E-03
  57.000000    	  58.000000    	 0.70285085E-01	 0.52183436E-03
  58.000000    	  59.000000    	 0.13296879    	 0.57861087E-03
  59.000000    	  60.000000    	 0.21044447    	 0.63303482E-03
  60.000000    	  61.000000    	 0.29686226    	 0.70859955E-03
  61.000000    	  62.000000    	 0.38854187    	 0.78067922E-03
  62.000000    	  63.000000    	 0.48229349    	 0.90013181E-03
  63.000000    	  64.000000    	 0.56879465    	 0.98915476E-03
  64.000000    	  65.000000    	 0.64285117    	 0.10707664E-02
  65.000000    	  66.000000    	 0.70348987    	 0.11929352E-02
  66.000000    	  67.000000    	 0.67059729    	 0.10964944E-02
  67.000000    	  68.000000    	 0.61617533    	 0.10079940E-02
  68.000000    	  69.000000    	 0.54702879    	 0.91720686E-03
  69.000000    	  70.000000    	 0.46582248    	 0.83632939E-03
  70.000000    	  71.000000    	 0.37983467    	 0.74419938E-03
  71.000000    	  72.000000    	 0.29195460    	 0.66469355E-03
  72.000000    	  73.000000    	 0.20817257    	 0.60189534E-03
  73.000000    	  74.000000    	 0.13402937    	 0.53991764E-03
  74.000000    	  75.000000    	 0.73622349E-01	 0.49602630E-03
  75.000000    	  76.000000    	 0.31398075E-01	 0.46374762E-03
  76.000000    	  77.000000    	 0.97626626E-02	 0.45225928E-03
  77.000000    	  78.000000    	 0.91811150E-02	 0.46115064E-03
  78.000000    	  79.000000    	 0.31476202E-01	 0.46601281E-03
  79.000000    	  80.000000    	 0.73887434E-01	 0.49038468E-03
  80.000000    	  81.000000    	 0.13410682    	 0.53288645E-03
  81.000000    	  82.000000    	 0.20826067    	 0.59717516E-03
  82.000000    	  83.000000    	 0.29201456    	 0.66790721E-03
  83.000000    	  84.000000    	 0.37923866    	 0.74771546E-03
  84.000000    	  85.000000    	 0.46595656    	 0.84616508E-03
  85.000000    	  86.000000    	 0.54772544    	 0.94243156E-03
  86.000000    	  87.000000    	 0.61564045    	 0.10552042E-02
  87.000000    	  88.000000    	 0.67097658    	 0.10918721E-02
  88.000000    	  89.000000    	 0.64223936    	 0.10313351E-02
  89.000000    	  90.000000    	 0.59154660    	 0.94852874E-03
  90.000000    	  91.000000    	 0.52739900    	 0.87868774E-03
  91.000000    	  92.000000    	 0.45214192    	 0.80656917E-03
  92.000000    	  93.000000    	 0.36874872    	 0.69754704E-03
