# xi0
# underflow	  2.0613113    	 0.11112649E-02
# overflow	 0.41707817    	 0.29339024E-03
# sum	  46.680418    	 0.36667750E-02
# xmin	xmax	cross	numerror
  2068.0000    	  2069.0000    	 0.65342972E-01	 0.20563191E-03
  2069.0000    	  2070.0000    	 0.68925911E-01	 0.19893084E-03
  2070.0000    	  2071.0000    	 0.69204576E-01	 0.17698997E-03
  2071.0000    	  2072.0000    	 0.65692015E-01	 0.15903979E-03
  2072.0000    	  2073.0000    	 0.59553075E-01	 0.14292049E-03
  2073.0000    	  2074.0000    	 0.50787292E-01	 0.12595238E-03
  2074.0000    	  2075.0000    	 0.40675471E-01	 0.11440760E-03
  2075.0000    	  2076.0000    	 0.30600003E-01	 0.10410543E-03
  2076.0000    	  2077.0000    	 0.21544710E-01	 0.97465202E-04
  2077.0000    	  2078.0000    	 0.15043880E-01	 0.94700899E-04
  2078.0000    	  2079.0000    	 0.11380675E-01	 0.93596650E-04
  2079.0000    	  2080.0000    	 0.11554642E-01	 0.93623412E-04
  2080.0000    	  2081.0000    	 0.15101387E-01	 0.95133256E-04
  2081.0000    	  2082.0000    	 0.21529397E-01	 0.97344793E-04
  2082.0000    	  2083.0000    	 0.30649771E-01	 0.10304917E-03
  2083.0000    	  2084.0000    	 0.40640143E-01	 0.11316217E-03
  2084.0000    	  2085.0000    	 0.50734822E-01	 0.12647453E-03
  2085.0000    	  2086.0000    	 0.59487119E-01	 0.14199780E-03
  2086.0000    	  2087.0000    	 0.65710089E-01	 0.16732689E-03
  2087.0000    	  2088.0000    	 0.69149906E-01	 0.17482078E-03
  2088.0000    	  2089.0000    	 0.69014347E-01	 0.19527261E-03
  2089.0000    	  2090.0000    	 0.65298699E-01	 0.20593521E-03
  2090.0000    	  2091.0000    	 0.63894813E-01	 0.18453237E-03
  2091.0000    	  2092.0000    	 0.67573328E-01	 0.18069916E-03
  2092.0000    	  2093.0000    	 0.67862706E-01	 0.16699413E-03
  2093.0000    	  2094.0000    	 0.64715814E-01	 0.15299011E-03
  2094.0000    	  2095.0000    	 0.58409151E-01	 0.13558907E-03
  2095.0000    	  2096.0000    	 0.49724559E-01	 0.12276296E-03
  2096.0000    	  2097.0000    	 0.40045579E-01	 0.11251651E-03
  2097.0000    	  2098.0000    	 0.30035027E-01	 0.10200497E-03
  2098.0000    	  2099.0000    	 0.21200036E-01	 0.96583565E-04
  2099.0000    	  2100.0000    	 0.14516301E-01	 0.93710793E-04
  2100.0000    	  2101.0000    	 0.11089245E-01	 0.92501923E-04
  2101.0000    	  2102.0000    	 0.10898361E-01	 0.92268183E-04
  2102.0000    	  2103.0000    	 0.14394980E-01	 0.92935712E-04
  2103.0000    	  2104.0000    	 0.21121853E-01	 0.96176518E-04
  2104.0000    	  2105.0000    	 0.30088847E-01	 0.10213144E-03
  2105.0000    	  2106.0000    	 0.39863224E-01	 0.11181699E-03
  2106.0000    	  2107.0000    	 0.49855899E-01	 0.12203127E-03
  2107.0000    	  2108.0000    	 0.58317531E-01	 0.13757650E-03
  2108.0000    	  2109.0000    	 0.64750309E-01	 0.15548637E-03
  2109.0000    	  2110.0000    	 0.67633123E-01	 0.16268029E-03
  2110.0000    	  2111.0000    	 0.67528233E-01	 0.18269307E-03
  2111.0000    	  2112.0000    	 0.64171759E-01	 0.19294825E-03
  2112.0000    	  2113.0000    	 0.62935061E-01	 0.18091591E-03
  2113.0000    	  2114.0000    	 0.66410360E-01	 0.17291084E-03
  2114.0000    	  2115.0000    	 0.66679811E-01	 0.15922591E-03
  2115.0000    	  2116.0000    	 0.63794534E-01	 0.14493522E-03
  2116.0000    	  2117.0000    	 0.57362328E-01	 0.13574410E-03
  2117.0000    	  2118.0000    	 0.49036352E-01	 0.11788587E-03
  2118.0000    	  2119.0000    	 0.39160188E-01	 0.10833379E-03
  2119.0000    	  2120.0000    	 0.29178969E-01	 0.99830251E-04
  2120.0000    	  2121.0000    	 0.20630918E-01	 0.95292571E-04
  2121.0000    	  2122.0000    	 0.13940067E-01	 0.92045250E-04
  2122.0000    	  2123.0000    	 0.10523014E-01	 0.90687879E-04
  2123.0000    	  2124.0000    	 0.10658277E-01	 0.90919133E-04
  2124.0000    	  2125.0000    	 0.14099565E-01	 0.92335680E-04
  2125.0000    	  2126.0000    	 0.20689876E-01	 0.95184582E-04
  2126.0000    	  2127.0000    	 0.29154736E-01	 0.10021884E-03
  2127.0000    	  2128.0000    	 0.39269108E-01	 0.10780271E-03
  2128.0000    	  2129.0000    	 0.48962862E-01	 0.11777582E-03
  2129.0000    	  2130.0000    	 0.57441904E-01	 0.12919419E-03
  2130.0000    	  2131.0000    	 0.63515029E-01	 0.14468640E-03
  2131.0000    	  2132.0000    	 0.66873293E-01	 0.15994968E-03
  2132.0000    	  2133.0000    	 0.66189280E-01	 0.17035872E-03
  2133.0000    	  2134.0000    	 0.62603718E-01	 0.17333426E-03
  2134.0000    	  2135.0000    	 0.61632579E-01	 0.17480122E-03
  2135.0000    	  2136.0000    	 0.65205056E-01	 0.16136338E-03
  2136.0000    	  2137.0000    	 0.65462457E-01	 0.15248162E-03
  2137.0000    	  2138.0000    	 0.62525317E-01	 0.14134669E-03
  2138.0000    	  2139.0000    	 0.56512331E-01	 0.12957343E-03
  2139.0000    	  2140.0000    	 0.48070301E-01	 0.11813794E-03
  2140.0000    	  2141.0000    	 0.38410820E-01	 0.10606279E-03
  2141.0000    	  2142.0000    	 0.28693686E-01	 0.98548942E-04
  2142.0000    	  2143.0000    	 0.19920407E-01	 0.93721240E-04
  2143.0000    	  2144.0000    	 0.13529080E-01	 0.90775669E-04
  2144.0000    	  2145.0000    	 0.10092732E-01	 0.89928553E-04
  2145.0000    	  2146.0000    	 0.10060325E-01	 0.89733527E-04
  2146.0000    	  2147.0000    	 0.13375920E-01	 0.90703650E-04
  2147.0000    	  2148.0000    	 0.19945496E-01	 0.93504955E-04
  2148.0000    	  2149.0000    	 0.28620216E-01	 0.98723004E-04
  2149.0000    	  2150.0000    	 0.38361413E-01	 0.10576219E-03
  2150.0000    	  2151.0000    	 0.48049650E-01	 0.11509113E-03
  2151.0000    	  2152.0000    	 0.56385569E-01	 0.12767324E-03
  2152.0000    	  2153.0000    	 0.62490981E-01	 0.13884759E-03
  2153.0000    	  2154.0000    	 0.65512166E-01	 0.15380970E-03
  2154.0000    	  2155.0000    	 0.65201087E-01	 0.16237479E-03
  2155.0000    	  2156.0000    	 0.61574004E-01	 0.17579876E-03
  2156.0000    	  2157.0000    	 0.60333969E-01	 0.17201419E-03
  2157.0000    	  2158.0000    	 0.63637370E-01	 0.15595614E-03
  2158.0000    	  2159.0000    	 0.64441540E-01	 0.15105415E-03
  2159.0000    	  2160.0000    	 0.61409893E-01	 0.13408779E-03
  2160.0000    	  2161.0000    	 0.55560576E-01	 0.12342694E-03
  2161.0000    	  2162.0000    	 0.47127310E-01	 0.11345015E-03
  2162.0000    	  2163.0000    	 0.37679708E-01	 0.10451750E-03
  2163.0000    	  2164.0000    	 0.27904566E-01	 0.97174992E-04
  2164.0000    	  2165.0000    	 0.19464125E-01	 0.92777974E-04
  2165.0000    	  2166.0000    	 0.13061184E-01	 0.89694444E-04
  2166.0000    	  2167.0000    	 0.97063612E-02	 0.89071602E-04
  2167.0000    	  2168.0000    	 0.97609779E-02	 0.88798393E-04
  2168.0000    	  2169.0000    	 0.13113134E-01	 0.89639244E-04
  2169.0000    	  2170.0000    	 0.19400655E-01	 0.92609375E-04
  2170.0000    	  2171.0000    	 0.28033598E-01	 0.96827501E-04
  2171.0000    	  2172.0000    	 0.37646124E-01	 0.10415790E-03
  2172.0000    	  2173.0000    	 0.47473299E-01	 0.11244408E-03
  2173.0000    	  2174.0000    	 0.55451280E-01	 0.12348696E-03
  2174.0000    	  2175.0000    	 0.61394910E-01	 0.13905323E-03
  2175.0000    	  2176.0000    	 0.64166465E-01	 0.14693421E-03
