# xi0
# underflow	  62.151493    	 0.19616697E-01
# overflow	  10.534192    	 0.48637612E-02
# sum	  1353.5359    	 0.62490255E-01
# xmin	xmax	cross	numerror
  2068.0000    	  2069.0000    	 0.39572487    	 0.17136389E-02
  2069.0000    	  2070.0000    	 0.56451731    	 0.20114975E-02
  2070.0000    	  2071.0000    	 0.73012324    	 0.22130465E-02
  2071.0000    	  2072.0000    	 0.88975281    	 0.21436444E-02
  2072.0000    	  2073.0000    	  1.0444750    	 0.21521788E-02
  2073.0000    	  2074.0000    	  1.2022381    	 0.22468390E-02
  2074.0000    	  2075.0000    	  1.3529355    	 0.23009844E-02
  2075.0000    	  2076.0000    	  1.4955450    	 0.23461226E-02
  2076.0000    	  2077.0000    	  1.6293906    	 0.23666630E-02
  2077.0000    	  2078.0000    	  1.7479777    	 0.25468547E-02
  2078.0000    	  2079.0000    	  1.8397308    	 0.25567267E-02
  2079.0000    	  2080.0000    	  1.9038640    	 0.28088509E-02
  2080.0000    	  2081.0000    	  1.9357919    	 0.28217549E-02
  2081.0000    	  2082.0000    	  1.9354793    	 0.28237211E-02
  2082.0000    	  2083.0000    	  1.8921402    	 0.30308253E-02
  2083.0000    	  2084.0000    	  1.8157625    	 0.28139421E-02
  2084.0000    	  2085.0000    	  1.7080833    	 0.28663324E-02
  2085.0000    	  2086.0000    	  1.5669495    	 0.29101760E-02
  2086.0000    	  2087.0000    	  1.3915838    	 0.27033851E-02
  2087.0000    	  2088.0000    	  1.2091566    	 0.25846374E-02
  2088.0000    	  2089.0000    	  1.0171967    	 0.26906167E-02
  2089.0000    	  2090.0000    	 0.82116431    	 0.23063217E-02
  2090.0000    	  2091.0000    	 0.39098299    	 0.16421340E-02
  2091.0000    	  2092.0000    	 0.55299532    	 0.17714003E-02
  2092.0000    	  2093.0000    	 0.71834342    	 0.20615354E-02
  2093.0000    	  2094.0000    	 0.87680137    	 0.20733034E-02
  2094.0000    	  2095.0000    	  1.0280117    	 0.20902542E-02
  2095.0000    	  2096.0000    	  1.1776310    	 0.21617072E-02
  2096.0000    	  2097.0000    	  1.3260725    	 0.21929087E-02
  2097.0000    	  2098.0000    	  1.4682032    	 0.22352007E-02
  2098.0000    	  2099.0000    	  1.5980213    	 0.22802251E-02
  2099.0000    	  2100.0000    	  1.7138192    	 0.25022815E-02
  2100.0000    	  2101.0000    	  1.8046558    	 0.24290616E-02
  2101.0000    	  2102.0000    	  1.8666748    	 0.26999068E-02
  2102.0000    	  2103.0000    	  1.8990539    	 0.26475447E-02
  2103.0000    	  2104.0000    	  1.8951092    	 0.27112311E-02
  2104.0000    	  2105.0000    	  1.8591419    	 0.26624806E-02
  2105.0000    	  2106.0000    	  1.7831501    	 0.29856127E-02
  2106.0000    	  2107.0000    	  1.6736493    	 0.27864572E-02
  2107.0000    	  2108.0000    	  1.5331392    	 0.30556085E-02
  2108.0000    	  2109.0000    	  1.3654669    	 0.26417972E-02
  2109.0000    	  2110.0000    	  1.1877896    	 0.25394383E-02
  2110.0000    	  2111.0000    	 0.99219716    	 0.24990471E-02
  2111.0000    	  2112.0000    	 0.80735340    	 0.22540422E-02
  2112.0000    	  2113.0000    	 0.38266343    	 0.14914084E-02
  2113.0000    	  2114.0000    	 0.54313603    	 0.17169525E-02
  2114.0000    	  2115.0000    	 0.70392276    	 0.18315428E-02
  2115.0000    	  2116.0000    	 0.85998625    	 0.20732261E-02
  2116.0000    	  2117.0000    	  1.0089358    	 0.20064241E-02
  2117.0000    	  2118.0000    	  1.1578368    	 0.21388798E-02
  2118.0000    	  2119.0000    	  1.3034017    	 0.21059935E-02
  2119.0000    	  2120.0000    	  1.4376234    	 0.21375712E-02
  2120.0000    	  2121.0000    	  1.5724061    	 0.23676775E-02
  2121.0000    	  2122.0000    	  1.6819859    	 0.23754007E-02
  2122.0000    	  2123.0000    	  1.7671739    	 0.24111997E-02
  2123.0000    	  2124.0000    	  1.8326563    	 0.25135049E-02
  2124.0000    	  2125.0000    	  1.8618255    	 0.25504422E-02
  2125.0000    	  2126.0000    	  1.8610669    	 0.26011989E-02
  2126.0000    	  2127.0000    	  1.8192957    	 0.26539860E-02
  2127.0000    	  2128.0000    	  1.7507070    	 0.27197413E-02
  2128.0000    	  2129.0000    	  1.6372394    	 0.26512734E-02
  2129.0000    	  2130.0000    	  1.5003752    	 0.26015367E-02
