# xi0
# underflow	 -5.3997770    	 0.25374387E-02
# overflow	-0.76614350    	 0.83982637E-03
# sum	 -124.16179    	 0.83131132E-02
# xmin	xmax	cross	numerror
  4048.0000    	  4049.0000    	 0.15384081E-01	 0.29129052E-03
  4049.0000    	  4050.0000    	-0.29859188E-02	 0.22900012E-03
  4050.0000    	  4051.0000    	-0.28027071E-01	 0.21661729E-03
  4051.0000    	  4052.0000    	-0.61578482E-01	 0.22350751E-03
  4052.0000    	  4053.0000    	-0.97877342E-01	 0.23967081E-03
  4053.0000    	  4054.0000    	-0.13261942    	 0.27394611E-03
  4054.0000    	  4055.0000    	-0.16226817    	 0.29625341E-03
  4055.0000    	  4056.0000    	-0.18710105    	 0.31918732E-03
  4056.0000    	  4057.0000    	-0.20687021    	 0.31471953E-03
  4057.0000    	  4058.0000    	-0.21970710    	 0.33115161E-03
  4058.0000    	  4059.0000    	-0.22658146    	 0.34512833E-03
  4059.0000    	  4060.0000    	-0.22630315    	 0.32261927E-03
  4060.0000    	  4061.0000    	-0.22023250    	 0.32598592E-03
  4061.0000    	  4062.0000    	-0.20686448    	 0.33303439E-03
  4062.0000    	  4063.0000    	-0.18797003    	 0.31440377E-03
  4063.0000    	  4064.0000    	-0.16287459    	 0.30079930E-03
  4064.0000    	  4065.0000    	-0.13211749    	 0.27231077E-03
  4065.0000    	  4066.0000    	-0.97789912E-01	 0.25379018E-03
  4066.0000    	  4067.0000    	-0.61480115E-01	 0.22064451E-03
  4067.0000    	  4068.0000    	-0.28126163E-01	 0.20818626E-03
  4068.0000    	  4069.0000    	-0.24928746E-02	 0.24574972E-03
  4069.0000    	  4070.0000    	 0.15816516E-01	 0.29089352E-03
  4070.0000    	  4071.0000    	 0.16118042E-01	 0.28501983E-03
  4071.0000    	  4072.0000    	-0.23450343E-02	 0.22462945E-03
  4072.0000    	  4073.0000    	-0.27027853E-01	 0.21010266E-03
  4073.0000    	  4074.0000    	-0.59879837E-01	 0.21153263E-03
  4074.0000    	  4075.0000    	-0.95720152E-01	 0.23455914E-03
  4075.0000    	  4076.0000    	-0.12992931    	 0.25321147E-03
  4076.0000    	  4077.0000    	-0.16009030    	 0.27599954E-03
  4077.0000    	  4078.0000    	-0.18469386    	 0.28879607E-03
  4078.0000    	  4079.0000    	-0.20359265    	 0.29346640E-03
  4079.0000    	  4080.0000    	-0.21670637    	 0.29753326E-03
  4080.0000    	  4081.0000    	-0.22272039    	 0.30262161E-03
  4081.0000    	  4082.0000    	-0.22271704    	 0.29882545E-03
  4082.0000    	  4083.0000    	-0.21659452    	 0.30078847E-03
  4083.0000    	  4084.0000    	-0.20341981    	 0.29501134E-03
  4084.0000    	  4085.0000    	-0.18439266    	 0.30196907E-03
  4085.0000    	  4086.0000    	-0.15972946    	 0.28366631E-03
  4086.0000    	  4087.0000    	-0.12964024    	 0.25533496E-03
  4087.0000    	  4088.0000    	-0.95419132E-01	 0.22763326E-03
  4088.0000    	  4089.0000    	-0.59760693E-01	 0.21341694E-03
  4089.0000    	  4090.0000    	-0.27254437E-01	 0.20211258E-03
  4090.0000    	  4091.0000    	-0.22464714E-02	 0.22417776E-03
  4091.0000    	  4092.0000    	 0.15926855E-01	 0.27330317E-03
  4092.0000    	  4093.0000    	 0.16340518E-01	 0.25235499E-03
  4093.0000    	  4094.0000    	-0.16575163E-02	 0.21418856E-03
  4094.0000    	  4095.0000    	-0.26159647E-01	 0.20146812E-03
  4095.0000    	  4096.0000    	-0.58146668E-01	 0.20986940E-03
  4096.0000    	  4097.0000    	-0.93460756E-01	 0.23116345E-03
  4097.0000    	  4098.0000    	-0.12739897    	 0.24108086E-03
  4098.0000    	  4099.0000    	-0.15624115    	 0.26975683E-03
  4099.0000    	  4100.0000    	-0.18169113    	 0.26807565E-03
  4100.0000    	  4101.0000    	-0.20048658    	 0.29972673E-03
  4101.0000    	  4102.0000    	-0.21307254    	 0.28777321E-03
  4102.0000    	  4103.0000    	-0.21988470    	 0.29197218E-03
  4103.0000    	  4104.0000    	-0.21992541    	 0.30647380E-03
  4104.0000    	  4105.0000    	-0.21313737    	 0.29238838E-03
  4105.0000    	  4106.0000    	-0.20048712    	 0.27997050E-03
  4106.0000    	  4107.0000    	-0.18166923    	 0.27176872E-03
  4107.0000    	  4108.0000    	-0.15695778    	 0.26241340E-03
  4108.0000    	  4109.0000    	-0.12717630    	 0.25172265E-03
  4109.0000    	  4110.0000    	-0.93349008E-01	 0.21701595E-03
  4110.0000    	  4111.0000    	-0.58060855E-01	 0.21130760E-03
  4111.0000    	  4112.0000    	-0.25994981E-01	 0.20089184E-03
  4112.0000    	  4113.0000    	-0.17056179E-02	 0.21595160E-03
  4113.0000    	  4114.0000    	 0.16627507E-01	 0.26175447E-03
  4114.0000    	  4115.0000    	 0.17105302E-01	 0.25250868E-03
  4115.0000    	  4116.0000    	-0.61146001E-03	 0.21992596E-03
  4116.0000    	  4117.0000    	-0.25095265E-01	 0.19514429E-03
  4117.0000    	  4118.0000    	-0.56592776E-01	 0.19830152E-03
  4118.0000    	  4119.0000    	-0.91408922E-01	 0.21979791E-03
  4119.0000    	  4120.0000    	-0.12439208    	 0.23353733E-03
  4120.0000    	  4121.0000    	-0.15414189    	 0.24769106E-03
  4121.0000    	  4122.0000    	-0.17884078    	 0.26973672E-03
  4122.0000    	  4123.0000    	-0.19725455    	 0.27337850E-03
  4123.0000    	  4124.0000    	-0.20969201    	 0.28499406E-03
  4124.0000    	  4125.0000    	-0.21625126    	 0.29005941E-03
  4125.0000    	  4126.0000    	-0.21584308    	 0.28039727E-03
  4126.0000    	  4127.0000    	-0.21016181    	 0.28222893E-03
  4127.0000    	  4128.0000    	-0.19710785    	 0.28011813E-03
  4128.0000    	  4129.0000    	-0.17843900    	 0.27659838E-03
  4129.0000    	  4130.0000    	-0.15407148    	 0.25196402E-03
  4130.0000    	  4131.0000    	-0.12478712    	 0.24387098E-03
