# xi0
# underflow	 0.31648818E-01	 0.78084372E-03
# overflow	-0.12126415    	 0.34218149E-03
# sum	 -3.9450168    	 0.27955713E-02
# xmin	xmax	cross	numerror
  6248.0000    	  6249.0000    	-0.33109351E-01	 0.18719961E-03
  6249.0000    	  6250.0000    	-0.35945359E-01	 0.15401595E-03
  6250.0000    	  6251.0000    	-0.35413414E-01	 0.12400225E-03
  6251.0000    	  6252.0000    	-0.32123374E-01	 0.96968316E-04
  6252.0000    	  6253.0000    	-0.26781201E-01	 0.74861052E-04
  6253.0000    	  6254.0000    	-0.20754939E-01	 0.56239946E-04
  6254.0000    	  6255.0000    	-0.14687187E-01	 0.50288079E-04
  6255.0000    	  6256.0000    	-0.80088139E-02	 0.41793368E-04
  6256.0000    	  6257.0000    	-0.91313290E-03	 0.37525057E-04
  6257.0000    	  6258.0000    	 0.61685259E-02	 0.36322548E-04
  6258.0000    	  6259.0000    	 0.13102405E-01	 0.44257155E-04
  6259.0000    	  6260.0000    	 0.19335879E-01	 0.46223212E-04
  6260.0000    	  6261.0000    	 0.24554611E-01	 0.53107693E-04
  6261.0000    	  6262.0000    	 0.28147724E-01	 0.60391797E-04
  6262.0000    	  6263.0000    	 0.29530356E-01	 0.60882418E-04
  6263.0000    	  6264.0000    	 0.28509147E-01	 0.68689632E-04
  6264.0000    	  6265.0000    	 0.25264455E-01	 0.71949183E-04
  6265.0000    	  6266.0000    	 0.21080134E-01	 0.73108718E-04
  6266.0000    	  6267.0000    	 0.16235489E-01	 0.68635209E-04
  6267.0000    	  6268.0000    	 0.98074628E-02	 0.70198579E-04
  6268.0000    	  6269.0000    	 0.29011746E-02	 0.82532245E-04
  6269.0000    	  6270.0000    	-0.25585889E-02	 0.10425638E-03
  6270.0000    	  6271.0000    	-0.32942890E-01	 0.17157300E-03
  6271.0000    	  6272.0000    	-0.35447073E-01	 0.14339802E-03
  6272.0000    	  6273.0000    	-0.35102345E-01	 0.11987650E-03
  6273.0000    	  6274.0000    	-0.31838864E-01	 0.92671253E-04
  6274.0000    	  6275.0000    	-0.26449170E-01	 0.70465696E-04
  6275.0000    	  6276.0000    	-0.20658725E-01	 0.56444706E-04
  6276.0000    	  6277.0000    	-0.14501895E-01	 0.44940600E-04
