# xi0
# underflow	 0.88346286    	 0.70210492E-03
# overflow	 0.29659059    	 0.27508021E-03
# sum	  27.133293    	 0.23112882E-02
# xmin	xmax	cross	numerror
  6248.0000    	  6249.0000    	 0.49087437E-02	 0.11089534E-03
  6249.0000    	  6250.0000    	 0.22348997E-02	 0.77455071E-04
  6250.0000    	  6251.0000    	 0.62325828E-03	 0.58186257E-04
  6251.0000    	  6252.0000    	 0.14773178E-02	 0.50279660E-04
  6252.0000    	  6253.0000    	 0.55593247E-02	 0.47998254E-04
  6253.0000    	  6254.0000    	 0.12324043E-01	 0.45259320E-04
  6254.0000    	  6255.0000    	 0.21068322E-01	 0.55605984E-04
  6255.0000    	  6256.0000    	 0.30500840E-01	 0.65976947E-04
  6256.0000    	  6257.0000    	 0.39570680E-01	 0.78900579E-04
  6257.0000    	  6258.0000    	 0.46564607E-01	 0.87772144E-04
  6258.0000    	  6259.0000    	 0.50723107E-01	 0.10905798E-03
  6259.0000    	  6260.0000    	 0.50469768E-01	 0.95608074E-04
  6260.0000    	  6261.0000    	 0.46605507E-01	 0.88146772E-04
  6261.0000    	  6262.0000    	 0.39482928E-01	 0.80424243E-04
  6262.0000    	  6263.0000    	 0.30530057E-01	 0.64661439E-04
  6263.0000    	  6264.0000    	 0.21064177E-01	 0.51980477E-04
  6264.0000    	  6265.0000    	 0.12283976E-01	 0.46056177E-04
  6265.0000    	  6266.0000    	 0.54919364E-02	 0.46908174E-04
  6266.0000    	  6267.0000    	 0.15173776E-02	 0.48971277E-04
  6267.0000    	  6268.0000    	 0.54362492E-03	 0.57545293E-04
  6268.0000    	  6269.0000    	 0.19162776E-02	 0.79596670E-04
  6269.0000    	  6270.0000    	 0.50002368E-02	 0.11225767E-03
  6270.0000    	  6271.0000    	 0.48170614E-02	 0.10042174E-03
  6271.0000    	  6272.0000    	 0.21171322E-02	 0.73319718E-04
  6272.0000    	  6273.0000    	 0.62992356E-03	 0.56253402E-04
  6273.0000    	  6274.0000    	 0.14574649E-02	 0.47092530E-04
  6274.0000    	  6275.0000    	 0.54123085E-02	 0.44515909E-04
  6275.0000    	  6276.0000    	 0.12177576E-01	 0.45679020E-04
  6276.0000    	  6277.0000    	 0.20735126E-01	 0.50378270E-04
  6277.0000    	  6278.0000    	 0.30171024E-01	 0.61137445E-04
  6278.0000    	  6279.0000    	 0.39036593E-01	 0.76990605E-04
  6279.0000    	  6280.0000    	 0.46045920E-01	 0.77302325E-04
  6280.0000    	  6281.0000    	 0.50166089E-01	 0.85971587E-04
  6281.0000    	  6282.0000    	 0.50136620E-01	 0.84300992E-04
  6282.0000    	  6283.0000    	 0.46124473E-01	 0.82230320E-04
  6283.0000    	  6284.0000    	 0.38963510E-01	 0.72042188E-04
  6284.0000    	  6285.0000    	 0.30135645E-01	 0.63192938E-04
  6285.0000    	  6286.0000    	 0.20760853E-01	 0.50776104E-04
  6286.0000    	  6287.0000    	 0.12172720E-01	 0.44905863E-04
  6287.0000    	  6288.0000    	 0.54885763E-02	 0.43460268E-04
  6288.0000    	  6289.0000    	 0.13990725E-02	 0.46577732E-04
  6289.0000    	  6290.0000    	 0.59438252E-03	 0.55351651E-04
  6290.0000    	  6291.0000    	 0.21508845E-02	 0.72628707E-04
  6291.0000    	  6292.0000    	 0.53124183E-02	 0.10775213E-03
  6292.0000    	  6293.0000    	 0.54172454E-02	 0.96838857E-04
  6293.0000    	  6294.0000    	 0.22795025E-02	 0.71733713E-04
  6294.0000    	  6295.0000    	 0.53757996E-03	 0.52924158E-04
  6295.0000    	  6296.0000    	 0.14738536E-02	 0.45396194E-04
  6296.0000    	  6297.0000    	 0.53531623E-02	 0.41881615E-04
  6297.0000    	  6298.0000    	 0.11945364E-01	 0.44336314E-04
  6298.0000    	  6299.0000    	 0.20487537E-01	 0.48987222E-04
  6299.0000    	  6300.0000    	 0.29779215E-01	 0.57304701E-04
  6300.0000    	  6301.0000    	 0.38476454E-01	 0.67177755E-04
  6301.0000    	  6302.0000    	 0.45524465E-01	 0.72605432E-04
  6302.0000    	  6303.0000    	 0.49424866E-01	 0.77747809E-04
  6303.0000    	  6304.0000    	 0.49507598E-01	 0.80645831E-04
  6304.0000    	  6305.0000    	 0.45401340E-01	 0.69784697E-04
  6305.0000    	  6306.0000    	 0.38587086E-01	 0.65277797E-04
  6306.0000    	  6307.0000    	 0.29707052E-01	 0.57556774E-04
  6307.0000    	  6308.0000    	 0.20410791E-01	 0.49378851E-04
  6308.0000    	  6309.0000    	 0.11954745E-01	 0.45759763E-04
  6309.0000    	  6310.0000    	 0.53299237E-02	 0.41420638E-04
  6310.0000    	  6311.0000    	 0.15005682E-02	 0.45287865E-04
  6311.0000    	  6312.0000    	 0.61282681E-03	 0.54564913E-04
  6312.0000    	  6313.0000    	 0.22158195E-02	 0.73096942E-04
  6313.0000    	  6314.0000    	 0.54784055E-02	 0.97830613E-04
  6314.0000    	  6315.0000    	 0.55319500E-02	 0.89980032E-04
  6315.0000    	  6316.0000    	 0.23242229E-02	 0.70340300E-04
  6316.0000    	  6317.0000    	 0.65250385E-03	 0.54329980E-04
  6317.0000    	  6318.0000    	 0.14936320E-02	 0.44042290E-04
  6318.0000    	  6319.0000    	 0.52552118E-02	 0.41829148E-04
  6319.0000    	  6320.0000    	 0.11754206E-01	 0.43345213E-04
  6320.0000    	  6321.0000    	 0.20117009E-01	 0.51045800E-04
  6321.0000    	  6322.0000    	 0.29321061E-01	 0.54942036E-04
  6322.0000    	  6323.0000    	 0.37970158E-01	 0.61125331E-04
  6323.0000    	  6324.0000    	 0.45006155E-01	 0.71637697E-04
  6324.0000    	  6325.0000    	 0.48859094E-01	 0.70005315E-04
  6325.0000    	  6326.0000    	 0.48825047E-01	 0.70349412E-04
  6326.0000    	  6327.0000    	 0.44951228E-01	 0.66566642E-04
  6327.0000    	  6328.0000    	 0.37983124E-01	 0.60311607E-04
  6328.0000    	  6329.0000    	 0.29448671E-01	 0.55266027E-04
  6329.0000    	  6330.0000    	 0.20191940E-01	 0.48594957E-04
  6330.0000    	  6331.0000    	 0.11817736E-01	 0.43485678E-04
  6331.0000    	  6332.0000    	 0.52352197E-02	 0.41386859E-04
  6332.0000    	  6333.0000    	 0.14284281E-02	 0.44011088E-04
  6333.0000    	  6334.0000    	 0.68755688E-03	 0.58570465E-04
  6334.0000    	  6335.0000    	 0.24156127E-02	 0.73502463E-04
  6335.0000    	  6336.0000    	 0.48562535E-02	 0.88320422E-04
  6336.0000    	  6337.0000    	 0.57493309E-02	 0.87502489E-04
  6337.0000    	  6338.0000    	 0.25296621E-02	 0.74470329E-04
  6338.0000    	  6339.0000    	 0.64663949E-03	 0.54476409E-04
  6339.0000    	  6340.0000    	 0.15287080E-02	 0.46610146E-04
  6340.0000    	  6341.0000    	 0.51745552E-02	 0.41484862E-04
  6341.0000    	  6342.0000    	 0.11630436E-01	 0.43435105E-04
  6342.0000    	  6343.0000    	 0.19844706E-01	 0.47457110E-04
  6343.0000    	  6344.0000    	 0.28952999E-01	 0.53572202E-04
  6344.0000    	  6345.0000    	 0.37520184E-01	 0.58350090E-04
  6345.0000    	  6346.0000    	 0.44315629E-01	 0.64884801E-04
  6346.0000    	  6347.0000    	 0.48167949E-01	 0.66502205E-04
  6347.0000    	  6348.0000    	 0.48235034E-01	 0.66210686E-04
