# xi0
# underflow	 -3437.5319    	  3.4802064    
# overflow	 -13.115599    	 0.29551133    
# sum	 -5556.9212    	  4.8894088    
# xmin	xmax	cross	numerror
  0.0000000    	  1.0000000    	 -6.4108089    	 0.17832802    
  1.0000000    	  2.0000000    	 -6.0149646    	 0.17325398    
  2.0000000    	  3.0000000    	 -6.0634317    	 0.17406608    
  3.0000000    	  4.0000000    	 -6.2774897    	 0.17011630    
  4.0000000    	  5.0000000    	 -6.1970005    	 0.17764490    
  5.0000000    	  6.0000000    	 -6.3159717    	 0.16717601    
  6.0000000    	  7.0000000    	 -6.3061093    	 0.17004578    
  7.0000000    	  8.0000000    	 -6.0253634    	 0.16895936    
  8.0000000    	  9.0000000    	 -6.0611388    	 0.15961982    
  9.0000000    	  10.000000    	 -5.6313811    	 0.15413344    
  10.000000    	  11.000000    	 -5.3426139    	 0.16461337    
  11.000000    	  12.000000    	 -6.1499182    	 0.17860314    
  12.000000    	  13.000000    	 -6.0609993    	 0.17368002    
  13.000000    	  14.000000    	 -5.9622071    	 0.17191941    
  14.000000    	  15.000000    	 -6.1408840    	 0.16467672    
  15.000000    	  16.000000    	 -5.8809031    	 0.16246385    
  16.000000    	  17.000000    	 -5.9794147    	 0.16097132    
  17.000000    	  18.000000    	 -5.9462368    	 0.16709862    
  18.000000    	  19.000000    	 -5.8273809    	 0.16490889    
  19.000000    	  20.000000    	 -5.5223841    	 0.16371084    
  20.000000    	  21.000000    	 -5.5558303    	 0.15126373    
  21.000000    	  22.000000    	 -5.2600031    	 0.15600796    
  22.000000    	  23.000000    	 -5.6661117    	 0.17790598    
  23.000000    	  24.000000    	 -5.9010110    	 0.18028045    
  24.000000    	  25.000000    	 -6.0338820    	 0.17213937    
  25.000000    	  26.000000    	 -5.7012401    	 0.16178475    
  26.000000    	  27.000000    	 -5.7567595    	 0.16182181    
  27.000000    	  28.000000    	 -5.5195959    	 0.16171088    
  28.000000    	  29.000000    	 -5.7169012    	 0.16844877    
