# xi4
# underflow	  2366.1562    	  1.2448900    
# overflow	 -1.6021268    	 0.81106782E-01
# sum	  2242.2601    	  1.4911673    
# xmin	xmax	cross	numerror
  0.0000000    	  1.0000000    	-0.36516319    	 0.57481311E-01
  1.0000000    	  2.0000000    	-0.19773327    	 0.54563636E-01
  2.0000000    	  3.0000000    	-0.33357809    	 0.52225903E-01
  3.0000000    	  4.0000000    	-0.30461274    	 0.51155600E-01
  4.0000000    	  5.0000000    	-0.26028717    	 0.50621381E-01
  5.0000000    	  6.0000000    	-0.35322185    	 0.53719894E-01
  6.0000000    	  7.0000000    	-0.40752236    	 0.49809019E-01
  7.0000000    	  8.0000000    	-0.28775125    	 0.46522561E-01
  8.0000000    	  9.0000000    	-0.37183841    	 0.45174880E-01
  9.0000000    	  10.000000    	-0.57945580E-01	 0.41318608E-01
  10.000000    	  11.000000    	-0.22349451    	 0.37075046E-01
  11.000000    	  12.000000    	-0.29401542    	 0.50373084E-01
  12.000000    	  13.000000    	-0.38287020    	 0.55583188E-01
  13.000000    	  14.000000    	-0.33182522    	 0.50340781E-01
  14.000000    	  15.000000    	-0.25823824    	 0.47327739E-01
  15.000000    	  16.000000    	-0.36087712    	 0.49425116E-01
  16.000000    	  17.000000    	-0.37731413    	 0.58235082E-01
  17.000000    	  18.000000    	-0.31795542    	 0.47112901E-01
  18.000000    	  19.000000    	-0.35175068    	 0.44585017E-01
  19.000000    	  20.000000    	-0.26814348    	 0.43156500E-01
  20.000000    	  21.000000    	-0.18565942    	 0.38492679E-01
  21.000000    	  22.000000    	-0.20087587    	 0.35066668E-01
  22.000000    	  23.000000    	-0.18918551    	 0.49712394E-01
  23.000000    	  24.000000    	-0.24583030    	 0.49788787E-01
  24.000000    	  25.000000    	-0.27425688    	 0.48244279E-01
  25.000000    	  26.000000    	-0.30280690    	 0.48886314E-01
  26.000000    	  27.000000    	-0.32817130    	 0.46559480E-01
  27.000000    	  28.000000    	-0.31497503    	 0.49007285E-01
  28.000000    	  29.000000    	-0.32389522    	 0.45731681E-01
  29.000000    	  30.000000    	-0.36646916    	 0.45027193E-01
  30.000000    	  31.000000    	-0.21958835    	 0.42222317E-01
  31.000000    	  32.000000    	-0.28066195    	 0.35971024E-01
  32.000000    	  33.000000    	-0.14596379    	 0.33132663E-01
  33.000000    	  34.000000    	-0.34036819    	 0.50861233E-01
  34.000000    	  35.000000    	-0.30738547    	 0.45236333E-01
  35.000000    	  36.000000    	-0.38590889    	 0.47511331E-01
  36.000000    	  37.000000    	-0.31842824    	 0.44919149E-01
  37.000000    	  38.000000    	-0.37339574    	 0.46854743E-01
  38.000000    	  39.000000    	-0.24344585    	 0.45259119E-01
  39.000000    	  40.000000    	-0.35228651    	 0.46265829E-01
  40.000000    	  41.000000    	-0.32768260    	 0.40785362E-01
  41.000000    	  42.000000    	-0.33070907    	 0.39289395E-01
  42.000000    	  43.000000    	-0.35843909    	 0.36431358E-01
  43.000000    	  44.000000    	-0.21392068    	 0.33395319E-01
  44.000000    	  45.000000    	-0.34253914    	 0.47652917E-01
  45.000000    	  46.000000    	-0.32386687    	 0.47986816E-01
  46.000000    	  47.000000    	-0.32416461    	 0.46132932E-01
  47.000000    	  48.000000    	-0.26166496    	 0.42152040E-01
  48.000000    	  49.000000    	-0.29195086    	 0.46451311E-01
  49.000000    	  50.000000    	-0.32669961    	 0.45280592E-01
  50.000000    	  51.000000    	-0.34205159    	 0.41387216E-01
  51.000000    	  52.000000    	-0.28436770    	 0.38721811E-01
  52.000000    	  53.000000    	-0.23919189    	 0.35383109E-01
  53.000000    	  54.000000    	-0.28147745    	 0.34208439E-01
  54.000000    	  55.000000    	-0.19293195    	 0.36714280E-01
  55.000000    	  56.000000    	-0.16326707    	 0.44598789E-01
  56.000000    	  57.000000    	-0.33872542    	 0.45306292E-01
  57.000000    	  58.000000    	-0.21958863    	 0.43186689E-01
  58.000000    	  59.000000    	-0.40391544    	 0.46009086E-01
  59.000000    	  60.000000    	-0.28671656    	 0.46381137E-01
  60.000000    	  61.000000    	-0.31600059    	 0.42601694E-01
  61.000000    	  62.000000    	-0.32137877    	 0.42253660E-01
  62.000000    	  63.000000    	-0.27202641    	 0.38952026E-01
  63.000000    	  64.000000    	-0.28665457    	 0.34250193E-01
  64.000000    	  65.000000    	-0.18548649    	 0.33692699E-01
  65.000000    	  66.000000    	-0.24129167    	 0.32756288E-01
  66.000000    	  67.000000    	-0.32902732    	 0.46903260E-01
  67.000000    	  68.000000    	-0.32592696    	 0.46453697E-01
  68.000000    	  69.000000    	-0.27279800    	 0.42085739E-01
  69.000000    	  70.000000    	-0.24045697    	 0.43194130E-01
  70.000000    	  71.000000    	-0.30510295    	 0.43826591E-01
  71.000000    	  72.000000    	-0.24609867    	 0.43440166E-01
  72.000000    	  73.000000    	-0.28545784    	 0.39911185E-01
  73.000000    	  74.000000    	-0.30724669    	 0.38733961E-01
  74.000000    	  75.000000    	-0.26687828    	 0.35619656E-01
  75.000000    	  76.000000    	-0.25094154    	 0.31699146E-01
  76.000000    	  77.000000    	-0.25647194    	 0.28414470E-01
  77.000000    	  78.000000    	-0.19131781    	 0.45623157E-01
  78.000000    	  79.000000    	-0.18254636    	 0.44871369E-01
  79.000000    	  80.000000    	-0.32327820    	 0.46518198E-01
  80.000000    	  81.000000    	-0.29321536    	 0.43733435E-01
  81.000000    	  82.000000    	-0.30257138    	 0.40661692E-01
  82.000000    	  83.000000    	-0.26794291    	 0.39536807E-01
  83.000000    	  84.000000    	-0.29381099    	 0.36560664E-01
  84.000000    	  85.000000    	-0.25954396    	 0.36172709E-01
  85.000000    	  86.000000    	-0.29240248    	 0.35819742E-01
  86.000000    	  87.000000    	-0.21572099    	 0.32687941E-01
  87.000000    	  88.000000    	-0.23610818    	 0.30184093E-01
  88.000000    	  89.000000    	-0.23438877    	 0.42892481E-01
  89.000000    	  90.000000    	-0.31726523    	 0.43031061E-01
  90.000000    	  91.000000    	-0.26648753    	 0.40914411E-01
  91.000000    	  92.000000    	-0.20983315    	 0.41031786E-01
  92.000000    	  93.000000    	-0.25564931    	 0.38226260E-01
  93.000000    	  94.000000    	-0.30903295    	 0.35768576E-01
  94.000000    	  95.000000    	-0.28724288    	 0.37520609E-01
  95.000000    	  96.000000    	-0.26552778    	 0.36307947E-01
  96.000000    	  97.000000    	-0.23636695    	 0.31681072E-01
  97.000000    	  98.000000    	-0.21942919    	 0.30901760E-01
  98.000000    	  99.000000    	-0.13735571    	 0.29528847E-01
  99.000000    	  100.00000    	-0.23877511    	 0.36954138E-01
  100.00000    	  101.00000    	-0.30294839    	 0.39744446E-01
  101.00000    	  102.00000    	-0.25429262    	 0.36320138E-01
  102.00000    	  103.00000    	-0.27059061    	 0.36179904E-01
  103.00000    	  104.00000    	-0.30155235    	 0.37007177E-01
  104.00000    	  105.00000    	-0.25344480    	 0.33576482E-01
  105.00000    	  106.00000    	-0.27590267    	 0.36242004E-01
  106.00000    	  107.00000    	-0.23009946    	 0.33163849E-01
  107.00000    	  108.00000    	-0.25841943    	 0.34665749E-01
  108.00000    	  109.00000    	-0.20252705    	 0.32000840E-01
  109.00000    	  110.00000    	-0.18418527    	 0.27750119E-01
  110.00000    	  111.00000    	-0.28536993    	 0.37383171E-01
  111.00000    	  112.00000    	-0.26842925    	 0.39169303E-01
  112.00000    	  113.00000    	-0.26258154    	 0.37910186E-01
  113.00000    	  114.00000    	-0.26912300    	 0.36537654E-01
  114.00000    	  115.00000    	-0.14431894    	 0.38040430E-01
  115.00000    	  116.00000    	-0.26783502    	 0.33479843E-01
  116.00000    	  117.00000    	-0.24658383    	 0.34041048E-01
  117.00000    	  118.00000    	-0.25569643    	 0.34284193E-01
