# xi0
# underflow	  288.55378    	 0.67868943    
# overflow	-0.90302114    	 0.31913823E-01
# sum	  166.68192    	 0.82134640    
# xmin	xmax	cross	numerror
  1034.0000    	  1035.0000    	-0.32106135    	 0.26607008E-01
  1035.0000    	  1036.0000    	-0.32854913    	 0.26108178E-01
  1036.0000    	  1037.0000    	-0.31523109    	 0.25834638E-01
  1037.0000    	  1038.0000    	-0.31353923    	 0.24076728E-01
  1038.0000    	  1039.0000    	-0.29692140    	 0.23516801E-01
  1039.0000    	  1040.0000    	-0.30339676    	 0.25045197E-01
  1040.0000    	  1041.0000    	-0.22214980    	 0.21551651E-01
  1041.0000    	  1042.0000    	-0.26140769    	 0.20425444E-01
  1042.0000    	  1043.0000    	-0.22667863    	 0.19419952E-01
  1043.0000    	  1044.0000    	-0.17051486    	 0.15490682E-01
  1044.0000    	  1045.0000    	-0.12880562    	 0.12572285E-01
  1045.0000    	  1046.0000    	-0.31345355    	 0.25937829E-01
  1046.0000    	  1047.0000    	-0.31448828    	 0.25113116E-01
  1047.0000    	  1048.0000    	-0.31761078    	 0.25562414E-01
  1048.0000    	  1049.0000    	-0.32856095    	 0.25700017E-01
  1049.0000    	  1050.0000    	-0.29802158    	 0.24622716E-01
  1050.0000    	  1051.0000    	-0.25287870    	 0.23330353E-01
  1051.0000    	  1052.0000    	-0.28172480    	 0.20841078E-01
  1052.0000    	  1053.0000    	-0.23325317    	 0.18886553E-01
  1053.0000    	  1054.0000    	-0.20008451    	 0.18778549E-01
  1054.0000    	  1055.0000    	-0.15505685    	 0.14780252E-01
  1055.0000    	  1056.0000    	-0.11494846    	 0.11887303E-01
  1056.0000    	  1057.0000    	-0.29621503    	 0.25911445E-01
  1057.0000    	  1058.0000    	-0.29739687    	 0.25198437E-01
  1058.0000    	  1059.0000    	-0.31633819    	 0.25974089E-01
  1059.0000    	  1060.0000    	-0.28720172    	 0.26587559E-01
  1060.0000    	  1061.0000    	-0.27071787    	 0.24583736E-01
  1061.0000    	  1062.0000    	-0.27621971    	 0.22525531E-01
  1062.0000    	  1063.0000    	-0.23865449    	 0.22985100E-01
  1063.0000    	  1064.0000    	-0.22648606    	 0.19329950E-01
  1064.0000    	  1065.0000    	-0.19034393    	 0.17448871E-01
  1065.0000    	  1066.0000    	-0.15956832    	 0.13851055E-01
  1066.0000    	  1067.0000    	-0.12011840    	 0.11476493E-01
  1067.0000    	  1068.0000    	-0.35569179    	 0.25677682E-01
  1068.0000    	  1069.0000    	-0.34677831    	 0.26113951E-01
  1069.0000    	  1070.0000    	-0.31490715    	 0.25116762E-01
  1070.0000    	  1071.0000    	-0.29634443    	 0.24311971E-01
  1071.0000    	  1072.0000    	-0.32552016    	 0.24568244E-01
  1072.0000    	  1073.0000    	-0.25663589    	 0.22976680E-01
  1073.0000    	  1074.0000    	-0.20887227    	 0.22547821E-01
  1074.0000    	  1075.0000    	-0.22864210    	 0.19993984E-01
  1075.0000    	  1076.0000    	-0.18925253    	 0.16699312E-01
  1076.0000    	  1077.0000    	-0.17608838    	 0.13208870E-01
  1077.0000    	  1078.0000    	-0.13171670    	 0.12081365E-01
  1078.0000    	  1079.0000    	-0.35651556    	 0.25981002E-01
  1079.0000    	  1080.0000    	-0.29443352    	 0.25653417E-01
  1080.0000    	  1081.0000    	-0.31485200    	 0.25087499E-01
  1081.0000    	  1082.0000    	-0.27443550    	 0.22849321E-01
  1082.0000    	  1083.0000    	-0.28925919    	 0.24390133E-01
  1083.0000    	  1084.0000    	-0.31319915    	 0.22196612E-01
  1084.0000    	  1085.0000    	-0.23416409    	 0.22382583E-01
  1085.0000    	  1086.0000    	-0.19679690    	 0.17994992E-01
  1086.0000    	  1087.0000    	-0.20719264    	 0.16128242E-01
  1087.0000    	  1088.0000    	-0.15737838    	 0.12772668E-01
  1088.0000    	  1089.0000    	-0.12235175    	 0.11496206E-01
  1089.0000    	  1090.0000    	-0.31806031    	 0.26430763E-01
  1090.0000    	  1091.0000    	-0.35029766    	 0.24622970E-01
