# xi1
# underflow	 -415.16197    	 0.72863654    
# overflow	 -2.3013654    	 0.77114187E-01
# sum	 -689.51934    	  1.3152083    
# xmin	xmax	cross	numerror
  1034.0000    	  1035.0000    	-0.97429839    	 0.71541706E-01
  1035.0000    	  1036.0000    	-0.75832031    	 0.69248823E-01
  1036.0000    	  1037.0000    	-0.75555644    	 0.65890334E-01
  1037.0000    	  1038.0000    	-0.83982775    	 0.63816273E-01
  1038.0000    	  1039.0000    	-0.75017412    	 0.55976313E-01
  1039.0000    	  1040.0000    	-0.58429510    	 0.50903056E-01
  1040.0000    	  1041.0000    	-0.56750712    	 0.49985430E-01
  1041.0000    	  1042.0000    	-0.48119834    	 0.43157454E-01
  1042.0000    	  1043.0000    	-0.42604041    	 0.37201053E-01
  1043.0000    	  1044.0000    	-0.31782932    	 0.31283469E-01
  1044.0000    	  1045.0000    	-0.25717349    	 0.26514640E-01
  1045.0000    	  1046.0000    	-0.71659745    	 0.69851592E-01
  1046.0000    	  1047.0000    	-0.83940405    	 0.67769944E-01
  1047.0000    	  1048.0000    	-0.84374805    	 0.70139568E-01
  1048.0000    	  1049.0000    	-0.74736724    	 0.62906335E-01
  1049.0000    	  1050.0000    	-0.71779896    	 0.59075471E-01
  1050.0000    	  1051.0000    	-0.54712618    	 0.51148273E-01
  1051.0000    	  1052.0000    	-0.58857227    	 0.45672524E-01
  1052.0000    	  1053.0000    	-0.45914597    	 0.42477342E-01
  1053.0000    	  1054.0000    	-0.41717289    	 0.37289338E-01
  1054.0000    	  1055.0000    	-0.30337875    	 0.30692370E-01
  1055.0000    	  1056.0000    	-0.28568839    	 0.26916560E-01
  1056.0000    	  1057.0000    	-0.93248853    	 0.71253308E-01
  1057.0000    	  1058.0000    	-0.93470555    	 0.70939224E-01
  1058.0000    	  1059.0000    	-0.84022894    	 0.72956554E-01
  1059.0000    	  1060.0000    	-0.77013523    	 0.62674214E-01
  1060.0000    	  1061.0000    	-0.58838860    	 0.59766830E-01
  1061.0000    	  1062.0000    	-0.59017169    	 0.47645347E-01
  1062.0000    	  1063.0000    	-0.52750018    	 0.47085390E-01
  1063.0000    	  1064.0000    	-0.43923501    	 0.40588616E-01
  1064.0000    	  1065.0000    	-0.40744544    	 0.38172115E-01
  1065.0000    	  1066.0000    	-0.29146664    	 0.28899401E-01
  1066.0000    	  1067.0000    	-0.21704742    	 0.25706015E-01
  1067.0000    	  1068.0000    	-0.97497107    	 0.67595781E-01
  1068.0000    	  1069.0000    	-0.81469061    	 0.72226238E-01
  1069.0000    	  1070.0000    	-0.73065472    	 0.70429048E-01
  1070.0000    	  1071.0000    	-0.67634166    	 0.65463103E-01
  1071.0000    	  1072.0000    	-0.65776292    	 0.56808060E-01
  1072.0000    	  1073.0000    	-0.65393457    	 0.50658054E-01
  1073.0000    	  1074.0000    	-0.49854837    	 0.42163022E-01
  1074.0000    	  1075.0000    	-0.45079944    	 0.42607365E-01
  1075.0000    	  1076.0000    	-0.36317039    	 0.34991419E-01
  1076.0000    	  1077.0000    	-0.29703536    	 0.34088473E-01
  1077.0000    	  1078.0000    	-0.23250095    	 0.26736360E-01
  1078.0000    	  1079.0000    	-0.84585777    	 0.67647262E-01
  1079.0000    	  1080.0000    	-0.79178741    	 0.68729004E-01
  1080.0000    	  1081.0000    	-0.78313934    	 0.64639882E-01
  1081.0000    	  1082.0000    	-0.67918726    	 0.63162031E-01
  1082.0000    	  1083.0000    	-0.62530588    	 0.54516157E-01
  1083.0000    	  1084.0000    	-0.57981529    	 0.48606302E-01
  1084.0000    	  1085.0000    	-0.45994042    	 0.41717425E-01
  1085.0000    	  1086.0000    	-0.43691126    	 0.39017115E-01
  1086.0000    	  1087.0000    	-0.35180923    	 0.32941382E-01
  1087.0000    	  1088.0000    	-0.34879717    	 0.31096991E-01
  1088.0000    	  1089.0000    	-0.28731738    	 0.27379413E-01
  1089.0000    	  1090.0000    	-0.70201380    	 0.70415041E-01
  1090.0000    	  1091.0000    	-0.77391110    	 0.67753062E-01
  1091.0000    	  1092.0000    	-0.73458368    	 0.65935909E-01
  1092.0000    	  1093.0000    	-0.62882657    	 0.62294147E-01
  1093.0000    	  1094.0000    	-0.58874693    	 0.52022140E-01
  1094.0000    	  1095.0000    	-0.53540861    	 0.48466342E-01
  1095.0000    	  1096.0000    	-0.47739219    	 0.43614530E-01
  1096.0000    	  1097.0000    	-0.36763846    	 0.40339507E-01
  1097.0000    	  1098.0000    	-0.33037537    	 0.35384435E-01
  1098.0000    	  1099.0000    	-0.25063129    	 0.32068594E-01
  1099.0000    	  1100.0000    	-0.20559790    	 0.28166987E-01
  1100.0000    	  1101.0000    	-0.84433405    	 0.70036255E-01
  1101.0000    	  1102.0000    	-0.76588415    	 0.62174708E-01
  1102.0000    	  1103.0000    	-0.75321784    	 0.61590752E-01
