# xi3
# underflow	  10.723048    	 0.27726564E-01
# overflow	 0.31614182E-01	 0.25400539E-02
# sum	  13.500593    	 0.35628822E-01
# xmin	xmax	cross	numerror
  2024.0000    	  2025.0000    	 0.13124344E-02	 0.70350542E-03
  2025.0000    	  2026.0000    	 0.20404087E-02	 0.73047486E-03
  2026.0000    	  2027.0000    	 0.21146438E-02	 0.81121334E-03
  2027.0000    	  2028.0000    	 0.31941877E-02	 0.83486670E-03
  2028.0000    	  2029.0000    	 0.36916698E-02	 0.92454240E-03
  2029.0000    	  2030.0000    	 0.44148678E-02	 0.94906830E-03
  2030.0000    	  2031.0000    	 0.64817563E-02	 0.10800464E-02
  2031.0000    	  2032.0000    	 0.68863399E-02	 0.12798064E-02
  2032.0000    	  2033.0000    	 0.59715202E-02	 0.11489601E-02
  2033.0000    	  2034.0000    	 0.59560385E-02	 0.12135564E-02
  2034.0000    	  2035.0000    	 0.37172186E-02	 0.11017499E-02
  2035.0000    	  2036.0000    	 0.24380499E-02	 0.71030165E-03
  2036.0000    	  2037.0000    	 0.10150301E-02	 0.67867936E-03
  2037.0000    	  2038.0000    	 0.34205463E-02	 0.81895535E-03
  2038.0000    	  2039.0000    	 0.35401891E-02	 0.81322772E-03
  2039.0000    	  2040.0000    	 0.53879362E-02	 0.88241584E-03
  2040.0000    	  2041.0000    	 0.72607289E-02	 0.94322665E-03
  2041.0000    	  2042.0000    	 0.42150876E-02	 0.10424458E-02
  2042.0000    	  2043.0000    	 0.71723718E-02	 0.12025649E-02
  2043.0000    	  2044.0000    	 0.25945569E-02	 0.11990245E-02
  2044.0000    	  2045.0000    	 0.41977361E-02	 0.11426267E-02
  2045.0000    	  2046.0000    	 0.32966584E-02	 0.10015666E-02
  2046.0000    	  2047.0000    	 0.16625730E-02	 0.62097408E-03
  2047.0000    	  2048.0000    	 0.35897365E-02	 0.64897052E-03
  2048.0000    	  2049.0000    	 0.17339632E-02	 0.85361729E-03
  2049.0000    	  2050.0000    	 0.32770920E-02	 0.72909213E-03
  2050.0000    	  2051.0000    	 0.40096800E-02	 0.84537530E-03
  2051.0000    	  2052.0000    	 0.44039730E-02	 0.89638251E-03
  2052.0000    	  2053.0000    	 0.76099210E-02	 0.10100199E-02
  2053.0000    	  2054.0000    	 0.57435098E-02	 0.11330638E-02
  2054.0000    	  2055.0000    	 0.61058406E-02	 0.11391120E-02
  2055.0000    	  2056.0000    	 0.55134149E-02	 0.11757807E-02
  2056.0000    	  2057.0000    	 0.46737180E-02	 0.94222811E-03
  2057.0000    	  2058.0000    	 0.12179123E-02	 0.60063485E-03
  2058.0000    	  2059.0000    	 0.15279357E-02	 0.69222836E-03
  2059.0000    	  2060.0000    	 0.32605791E-02	 0.81443444E-03
  2060.0000    	  2061.0000    	 0.56298639E-02	 0.78625418E-03
  2061.0000    	  2062.0000    	 0.49476705E-02	 0.91127993E-03
  2062.0000    	  2063.0000    	 0.64245701E-02	 0.10004444E-02
  2063.0000    	  2064.0000    	 0.57317409E-02	 0.10575073E-02
  2064.0000    	  2065.0000    	 0.59930366E-02	 0.11155827E-02
  2065.0000    	  2066.0000    	 0.70664942E-02	 0.10910080E-02
  2066.0000    	  2067.0000    	 0.42287880E-02	 0.12170609E-02
  2067.0000    	  2068.0000    	 0.50937833E-02	 0.97161271E-03
  2068.0000    	  2069.0000    	 0.25745097E-02	 0.63838465E-03
  2069.0000    	  2070.0000    	 0.14822421E-02	 0.75886760E-03
  2070.0000    	  2071.0000    	 0.25345544E-02	 0.80853790E-03
  2071.0000    	  2072.0000    	 0.36620005E-02	 0.76893867E-03
  2072.0000    	  2073.0000    	 0.41549519E-02	 0.96751204E-03
  2073.0000    	  2074.0000    	 0.58285265E-02	 0.97650163E-03
  2074.0000    	  2075.0000    	 0.79306605E-02	 0.11086475E-02
  2075.0000    	  2076.0000    	 0.60826909E-02	 0.11583062E-02
  2076.0000    	  2077.0000    	 0.70339399E-02	 0.10986194E-02
  2077.0000    	  2078.0000    	 0.53789191E-02	 0.11245737E-02
  2078.0000    	  2079.0000    	 0.27705551E-02	 0.89054126E-03
  2079.0000    	  2080.0000    	 0.15183281E-02	 0.66427630E-03
  2080.0000    	  2081.0000    	 0.22925925E-02	 0.72185521E-03
  2081.0000    	  2082.0000    	 0.38238334E-02	 0.77255469E-03
  2082.0000    	  2083.0000    	 0.28602396E-02	 0.74715436E-03
  2083.0000    	  2084.0000    	 0.44116675E-02	 0.83407182E-03
  2084.0000    	  2085.0000    	 0.34330267E-02	 0.11037155E-02
  2085.0000    	  2086.0000    	 0.47605800E-02	 0.10551091E-02
  2086.0000    	  2087.0000    	 0.67425375E-02	 0.11702208E-02
  2087.0000    	  2088.0000    	 0.50688034E-02	 0.11139114E-02
  2088.0000    	  2089.0000    	 0.64379189E-02	 0.10988081E-02
  2089.0000    	  2090.0000    	 0.46715368E-02	 0.95430902E-03
  2090.0000    	  2091.0000    	 0.15966609E-02	 0.65556540E-03
  2091.0000    	  2092.0000    	 0.23029787E-02	 0.69474046E-03
  2092.0000    	  2093.0000    	 0.35637049E-02	 0.72877922E-03
  2093.0000    	  2094.0000    	 0.36322997E-02	 0.76460905E-03
  2094.0000    	  2095.0000    	 0.41941751E-02	 0.85193219E-03
  2095.0000    	  2096.0000    	 0.75106795E-02	 0.10614992E-02
  2096.0000    	  2097.0000    	 0.49012095E-02	 0.10014304E-02
  2097.0000    	  2098.0000    	 0.52963099E-02	 0.10449859E-02
  2098.0000    	  2099.0000    	 0.59503014E-02	 0.10793218E-02
  2099.0000    	  2100.0000    	 0.34297983E-02	 0.10687593E-02
  2100.0000    	  2101.0000    	 0.59071279E-02	 0.10088749E-02
  2101.0000    	  2102.0000    	 0.12677994E-02	 0.61651516E-03
  2102.0000    	  2103.0000    	 0.26829958E-02	 0.73674012E-03
  2103.0000    	  2104.0000    	 0.25413169E-02	 0.83046530E-03
  2104.0000    	  2105.0000    	 0.34470487E-02	 0.79061458E-03
  2105.0000    	  2106.0000    	 0.48144929E-02	 0.85929166E-03
  2106.0000    	  2107.0000    	 0.53911906E-02	 0.94435733E-03
  2107.0000    	  2108.0000    	 0.60902232E-02	 0.10157573E-02
  2108.0000    	  2109.0000    	 0.71756361E-02	 0.10360147E-02
  2109.0000    	  2110.0000    	 0.49507333E-02	 0.10952655E-02
  2110.0000    	  2111.0000    	 0.56534531E-02	 0.97708407E-03
  2111.0000    	  2112.0000    	 0.38139707E-02	 0.94860302E-03
  2112.0000    	  2113.0000    	 0.24244952E-02	 0.62757575E-03
  2113.0000    	  2114.0000    	 0.11328837E-02	 0.66427085E-03
  2114.0000    	  2115.0000    	 0.19050679E-02	 0.67250649E-03
  2115.0000    	  2116.0000    	 0.37519610E-02	 0.78811862E-03
  2116.0000    	  2117.0000    	 0.36982586E-02	 0.81650590E-03
  2117.0000    	  2118.0000    	 0.40839400E-02	 0.97498082E-03
  2118.0000    	  2119.0000    	 0.51893901E-02	 0.94961855E-03
  2119.0000    	  2120.0000    	 0.63785572E-02	 0.10180668E-02
  2120.0000    	  2121.0000    	 0.67631380E-02	 0.10618427E-02
  2121.0000    	  2122.0000    	 0.62778473E-02	 0.98226539E-03
  2122.0000    	  2123.0000    	 0.44200962E-02	 0.90524262E-03
  2123.0000    	  2124.0000    	 0.23681514E-02	 0.64024795E-03
  2124.0000    	  2125.0000    	 0.17514532E-02	 0.65581386E-03
  2125.0000    	  2126.0000    	 0.28739360E-02	 0.65986505E-03
  2126.0000    	  2127.0000    	 0.30576507E-02	 0.73919817E-03
  2127.0000    	  2128.0000    	 0.47161513E-02	 0.96325939E-03
  2128.0000    	  2129.0000    	 0.61748256E-02	 0.10039131E-02
  2129.0000    	  2130.0000    	 0.63656791E-02	 0.10126337E-02
  2130.0000    	  2131.0000    	 0.59178007E-02	 0.10057194E-02
  2131.0000    	  2132.0000    	 0.61163756E-02	 0.10443852E-02
  2132.0000    	  2133.0000    	 0.40545959E-02	 0.87976767E-03
  2133.0000    	  2134.0000    	 0.28693889E-02	 0.86611535E-03
  2134.0000    	  2135.0000    	 0.12069318E-02	 0.58598883E-03
  2135.0000    	  2136.0000    	 0.29711159E-02	 0.67305309E-03
  2136.0000    	  2137.0000    	 0.25447041E-02	 0.69041390E-03
  2137.0000    	  2138.0000    	 0.38891333E-02	 0.72700949E-03
  2138.0000    	  2139.0000    	 0.37124651E-02	 0.91774861E-03
  2139.0000    	  2140.0000    	 0.52674826E-02	 0.10036576E-02
  2140.0000    	  2141.0000    	 0.59273132E-02	 0.10183616E-02
  2141.0000    	  2142.0000    	 0.75326133E-02	 0.10664759E-02
  2142.0000    	  2143.0000    	 0.46876005E-02	 0.11172618E-02
  2143.0000    	  2144.0000    	 0.42637241E-02	 0.95100070E-03
  2144.0000    	  2145.0000    	 0.40028814E-02	 0.82354329E-03
  2145.0000    	  2146.0000    	 0.16954566E-02	 0.59114753E-03
  2146.0000    	  2147.0000    	 0.25569532E-02	 0.61805785E-03
  2147.0000    	  2148.0000    	 0.36447156E-02	 0.71258781E-03
  2148.0000    	  2149.0000    	 0.42008970E-02	 0.79751726E-03
  2149.0000    	  2150.0000    	 0.52993931E-02	 0.88414405E-03
  2150.0000    	  2151.0000    	 0.42497729E-02	 0.98807988E-03
  2151.0000    	  2152.0000    	 0.75698701E-02	 0.96975262E-03
  2152.0000    	  2153.0000    	 0.61987107E-02	 0.11001255E-02
  2153.0000    	  2154.0000    	 0.42732648E-02	 0.11974772E-02
  2154.0000    	  2155.0000    	 0.56737567E-02	 0.97526308E-03
  2155.0000    	  2156.0000    	 0.28160069E-02	 0.83767530E-03
  2156.0000    	  2157.0000    	 0.12806700E-02	 0.59383937E-03
  2157.0000    	  2158.0000    	 0.29369925E-02	 0.61358875E-03
  2158.0000    	  2159.0000    	 0.23409181E-02	 0.65227989E-03
  2159.0000    	  2160.0000    	 0.22902976E-02	 0.79336337E-03
  2160.0000    	  2161.0000    	 0.59631812E-02	 0.98661719E-03
  2161.0000    	  2162.0000    	 0.41947619E-02	 0.93914215E-03
  2162.0000    	  2163.0000    	 0.78504133E-02	 0.93558857E-03
  2163.0000    	  2164.0000    	 0.58461162E-02	 0.11299727E-02
  2164.0000    	  2165.0000    	 0.55342358E-02	 0.10387204E-02
  2165.0000    	  2166.0000    	 0.52048727E-02	 0.10632753E-02
  2166.0000    	  2167.0000    	 0.21844212E-02	 0.79613095E-03
  2167.0000    	  2168.0000    	 0.24825496E-02	 0.64699038E-03
  2168.0000    	  2169.0000    	 0.19973340E-02	 0.62293005E-03
  2169.0000    	  2170.0000    	 0.24993710E-02	 0.63976556E-03
  2170.0000    	  2171.0000    	 0.31835264E-02	 0.68597560E-03
  2171.0000    	  2172.0000    	 0.45890967E-02	 0.75648674E-03
  2172.0000    	  2173.0000    	 0.53896222E-02	 0.10063745E-02
  2173.0000    	  2174.0000    	 0.46155776E-02	 0.90455716E-03
  2174.0000    	  2175.0000    	 0.59972086E-02	 0.11225012E-02
  2175.0000    	  2176.0000    	 0.69876857E-02	 0.10296673E-02
  2176.0000    	  2177.0000    	 0.52992729E-02	 0.97540507E-03
  2177.0000    	  2178.0000    	 0.43414035E-02	 0.86146602E-03
