# xi4
# underflow	  199.76968    	 0.17528417    
# overflow	 0.12667531    	 0.84034039E-02
# sum	  212.49669    	 0.20414259    
# xmin	xmax	cross	numerror
  2024.0000    	  2025.0000    	 0.29103022E-01	 0.78102921E-02
  2025.0000    	  2026.0000    	 0.34393531E-01	 0.45456126E-02
  2026.0000    	  2027.0000    	 0.36021438E-01	 0.71774667E-02
  2027.0000    	  2028.0000    	 0.39812881E-01	 0.62952281E-02
  2028.0000    	  2029.0000    	 0.35981859E-01	 0.63426738E-02
  2029.0000    	  2030.0000    	 0.45527313E-01	 0.62643580E-02
  2030.0000    	  2031.0000    	 0.38271186E-01	 0.55529685E-02
  2031.0000    	  2032.0000    	 0.27071408E-01	 0.51352007E-02
  2032.0000    	  2033.0000    	 0.15324828E-01	 0.41933460E-02
  2033.0000    	  2034.0000    	 0.21771984E-02	 0.34174176E-02
  2034.0000    	  2035.0000    	 0.84477217E-02	 0.26455594E-02
  2035.0000    	  2036.0000    	 0.20892083E-01	 0.72599996E-02
  2036.0000    	  2037.0000    	 0.37924789E-01	 0.71830065E-02
  2037.0000    	  2038.0000    	 0.35393660E-01	 0.67834538E-02
  2038.0000    	  2039.0000    	 0.37431286E-01	 0.68524712E-02
  2039.0000    	  2040.0000    	 0.36550098E-01	 0.69145257E-02
  2040.0000    	  2041.0000    	 0.23283128E-01	 0.63625708E-02
  2041.0000    	  2042.0000    	 0.40151551E-01	 0.57806042E-02
  2042.0000    	  2043.0000    	 0.31693477E-01	 0.52195673E-02
  2043.0000    	  2044.0000    	 0.17471823E-01	 0.43652896E-02
  2044.0000    	  2045.0000    	 0.16444331E-01	 0.34719171E-02
  2045.0000    	  2046.0000    	 0.31341819E-02	 0.21752888E-02
  2046.0000    	  2047.0000    	 0.23095247E-01	 0.66124336E-02
  2047.0000    	  2048.0000    	 0.47752502E-02	 0.57329757E-02
  2048.0000    	  2049.0000    	 0.36911651E-01	 0.69577671E-02
  2049.0000    	  2050.0000    	 0.42866959E-01	 0.62968102E-02
  2050.0000    	  2051.0000    	 0.50668150E-01	 0.75789858E-02
  2051.0000    	  2052.0000    	 0.40973874E-01	 0.54293211E-02
  2052.0000    	  2053.0000    	 0.32397929E-01	 0.57392860E-02
  2053.0000    	  2054.0000    	 0.39860160E-02	 0.48479106E-02
  2054.0000    	  2055.0000    	 0.15659569E-01	 0.37375699E-02
  2055.0000    	  2056.0000    	 0.20672026E-01	 0.34001311E-02
  2056.0000    	  2057.0000    	 0.54199844E-02	 0.20124105E-02
  2057.0000    	  2058.0000    	 0.12287461E-01	 0.59571187E-02
  2058.0000    	  2059.0000    	 0.14487219E-01	 0.66065083E-02
  2059.0000    	  2060.0000    	 0.31000301E-01	 0.71908583E-02
  2060.0000    	  2061.0000    	 0.21378528E-01	 0.65252477E-02
  2061.0000    	  2062.0000    	 0.28779776E-01	 0.66275185E-02
  2062.0000    	  2063.0000    	 0.28244646E-01	 0.61768524E-02
