# xi4
# underflow	  134.54785    	 0.22070448    
# overflow	 0.50583932    	 0.39002209E-01
# sum	  170.14000    	 0.40029428    
# xmin	xmax	cross	numerror
  2024.0000    	  2025.0000    	 0.22186371E-01	 0.14527894E-01
  2025.0000    	  2026.0000    	 0.55843350E-01	 0.90547749E-02
  2026.0000    	  2027.0000    	 0.72627360E-01	 0.14015983E-01
  2027.0000    	  2028.0000    	 0.88860433E-01	 0.14334717E-01
  2028.0000    	  2029.0000    	 0.73826820E-01	 0.15221868E-01
  2029.0000    	  2030.0000    	 0.11370405    	 0.16499732E-01
  2030.0000    	  2031.0000    	 0.10980836    	 0.16743129E-01
  2031.0000    	  2032.0000    	 0.89467741E-01	 0.17176704E-01
  2032.0000    	  2033.0000    	 0.61942853E-01	 0.15839328E-01
  2033.0000    	  2034.0000    	 0.56817488E-02	 0.15748510E-01
  2034.0000    	  2035.0000    	 0.50046792E-01	 0.14224806E-01
  2035.0000    	  2036.0000    	 0.19640483E-01	 0.12312833E-01
  2036.0000    	  2037.0000    	 0.52680192E-01	 0.14643317E-01
  2037.0000    	  2038.0000    	 0.72633134E-01	 0.14276177E-01
  2038.0000    	  2039.0000    	 0.62286912E-01	 0.14876341E-01
  2039.0000    	  2040.0000    	 0.81519080E-01	 0.16759168E-01
  2040.0000    	  2041.0000    	 0.55002381E-01	 0.16756156E-01
  2041.0000    	  2042.0000    	 0.94772753E-01	 0.16840406E-01
  2042.0000    	  2043.0000    	 0.10495900    	 0.18583522E-01
  2043.0000    	  2044.0000    	 0.39731819E-01	 0.16984329E-01
  2044.0000    	  2045.0000    	 0.67310648E-01	 0.17596422E-01
  2045.0000    	  2046.0000    	-0.35778110E-02	 0.12595949E-01
  2046.0000    	  2047.0000    	 0.60497221E-02	 0.12239267E-01
  2047.0000    	  2048.0000    	 0.10911628E-01	 0.11219042E-01
  2048.0000    	  2049.0000    	 0.66127944E-01	 0.14002129E-01
  2049.0000    	  2050.0000    	 0.83614182E-01	 0.14999469E-01
  2050.0000    	  2051.0000    	 0.12460544    	 0.19754598E-01
  2051.0000    	  2052.0000    	 0.97756165E-01	 0.13196258E-01
  2052.0000    	  2053.0000    	 0.95919509E-01	 0.16873945E-01
  2053.0000    	  2054.0000    	 0.96986128E-02	 0.15747276E-01
  2054.0000    	  2055.0000    	 0.76622728E-01	 0.15848732E-01
  2055.0000    	  2056.0000    	 0.10951300    	 0.17270341E-01
  2056.0000    	  2057.0000    	 0.14154302E-01	 0.12108256E-01
  2057.0000    	  2058.0000    	 0.92095300E-02	 0.11670438E-01
  2058.0000    	  2059.0000    	 0.97717082E-02	 0.13250070E-01
  2059.0000    	  2060.0000    	 0.56334614E-01	 0.14896500E-01
  2060.0000    	  2061.0000    	 0.53367353E-01	 0.14924635E-01
  2061.0000    	  2062.0000    	 0.48711475E-01	 0.15719264E-01
  2062.0000    	  2063.0000    	 0.61050998E-01	 0.16390135E-01
  2063.0000    	  2064.0000    	 0.90416390E-01	 0.16574372E-01
  2064.0000    	  2065.0000    	 0.11860623    	 0.16551477E-01
  2065.0000    	  2066.0000    	 0.11774533    	 0.17033670E-01
  2066.0000    	  2067.0000    	-0.14052318E-01	 0.14379446E-01
  2067.0000    	  2068.0000    	 0.50176113E-01	 0.15196122E-01
  2068.0000    	  2069.0000    	 0.34565469E-01	 0.11006855E-01
  2069.0000    	  2070.0000    	 0.68419323E-01	 0.13217392E-01
  2070.0000    	  2071.0000    	 0.75604015E-01	 0.13802852E-01
  2071.0000    	  2072.0000    	 0.66067187E-01	 0.13415883E-01
  2072.0000    	  2073.0000    	 0.99480158E-01	 0.15000504E-01
  2073.0000    	  2074.0000    	 0.71230277E-01	 0.14837059E-01
  2074.0000    	  2075.0000    	 0.85585926E-01	 0.19111291E-01
  2075.0000    	  2076.0000    	 0.65526413E-01	 0.16523111E-01
  2076.0000    	  2077.0000    	 0.71481322E-01	 0.15265134E-01
  2077.0000    	  2078.0000    	 0.57528186E-01	 0.14733572E-01
  2078.0000    	  2079.0000    	 0.11737085E-01	 0.14001967E-01
  2079.0000    	  2080.0000    	 0.31210296E-01	 0.13444099E-01
  2080.0000    	  2081.0000    	 0.80880640E-01	 0.14930019E-01
  2081.0000    	  2082.0000    	 0.46476490E-01	 0.12840801E-01
  2082.0000    	  2083.0000    	 0.82768501E-01	 0.13718164E-01
  2083.0000    	  2084.0000    	 0.58775987E-01	 0.14793921E-01
  2084.0000    	  2085.0000    	 0.90317292E-01	 0.15332407E-01
  2085.0000    	  2086.0000    	 0.50618793E-01	 0.16186907E-01
  2086.0000    	  2087.0000    	 0.66268339E-01	 0.15912821E-01
  2087.0000    	  2088.0000    	 0.51640348E-01	 0.15869760E-01
  2088.0000    	  2089.0000    	 0.39542270E-01	 0.14752088E-01
  2089.0000    	  2090.0000    	 0.43831292E-02	 0.15501622E-01
  2090.0000    	  2091.0000    	 0.48646203E-01	 0.13511770E-01
  2091.0000    	  2092.0000    	 0.48030150E-02	 0.12834353E-01
  2092.0000    	  2093.0000    	 0.63758804E-01	 0.14443817E-01
  2093.0000    	  2094.0000    	 0.59055336E-01	 0.11820188E-01
  2094.0000    	  2095.0000    	 0.68857946E-01	 0.15361103E-01
  2095.0000    	  2096.0000    	 0.54808320E-01	 0.16080365E-01
  2096.0000    	  2097.0000    	 0.81091523E-01	 0.17238521E-01
  2097.0000    	  2098.0000    	 0.69634962E-01	 0.15383512E-01
  2098.0000    	  2099.0000    	 0.67365524E-01	 0.15843899E-01
  2099.0000    	  2100.0000    	 0.51720331E-01	 0.15138457E-01
  2100.0000    	  2101.0000    	 0.40783456E-01	 0.15658697E-01
  2101.0000    	  2102.0000    	 0.35392945E-01	 0.10946728E-01
  2102.0000    	  2103.0000    	 0.53666032E-01	 0.13117407E-01
  2103.0000    	  2104.0000    	 0.55640436E-01	 0.12031342E-01
  2104.0000    	  2105.0000    	 0.52411300E-01	 0.13814234E-01
  2105.0000    	  2106.0000    	 0.72976155E-01	 0.15221660E-01
  2106.0000    	  2107.0000    	 0.60774361E-01	 0.14859891E-01
  2107.0000    	  2108.0000    	 0.62337075E-01	 0.18799459E-01
  2108.0000    	  2109.0000    	 0.88766685E-01	 0.15351125E-01
  2109.0000    	  2110.0000    	 0.77004270E-01	 0.16184670E-01
  2110.0000    	  2111.0000    	 0.62123449E-01	 0.99010583E-02
  2111.0000    	  2112.0000    	 0.46991212E-01	 0.93930623E-02
  2112.0000    	  2113.0000    	 0.36720260E-01	 0.11359919E-01
  2113.0000    	  2114.0000    	 0.11011851E-01	 0.11239702E-01
  2114.0000    	  2115.0000    	 0.49867561E-01	 0.11795906E-01
  2115.0000    	  2116.0000    	 0.61007901E-01	 0.13727922E-01
  2116.0000    	  2117.0000    	 0.78336489E-01	 0.15999219E-01
  2117.0000    	  2118.0000    	 0.47233870E-01	 0.13696493E-01
  2118.0000    	  2119.0000    	 0.99079857E-01	 0.15060380E-01
  2119.0000    	  2120.0000    	 0.65774134E-01	 0.14067421E-01
  2120.0000    	  2121.0000    	 0.66448571E-01	 0.14801290E-01
  2121.0000    	  2122.0000    	 0.69965400E-01	 0.14958869E-01
  2122.0000    	  2123.0000    	 0.45743552E-01	 0.13253510E-01
  2123.0000    	  2124.0000    	 0.27146526E-01	 0.11304776E-01
  2124.0000    	  2125.0000    	 0.38094640E-01	 0.11096219E-01
  2125.0000    	  2126.0000    	 0.21842553E-01	 0.11736681E-01
  2126.0000    	  2127.0000    	 0.40004818E-01	 0.13833514E-01
  2127.0000    	  2128.0000    	 0.70230079E-01	 0.13776684E-01
  2128.0000    	  2129.0000    	 0.90382654E-01	 0.15541895E-01
  2129.0000    	  2130.0000    	 0.53677607E-01	 0.16315677E-01
  2130.0000    	  2131.0000    	 0.77612809E-01	 0.15116580E-01
  2131.0000    	  2132.0000    	 0.80762693E-01	 0.15253464E-01
  2132.0000    	  2133.0000    	 0.34289838E-01	 0.14243560E-01
  2133.0000    	  2134.0000    	 0.58324684E-01	 0.12473915E-01
  2134.0000    	  2135.0000    	 0.23440129E-01	 0.12806094E-01
  2135.0000    	  2136.0000    	 0.45124804E-01	 0.13802534E-01
  2136.0000    	  2137.0000    	 0.59796232E-01	 0.14276351E-01
  2137.0000    	  2138.0000    	 0.77881147E-01	 0.13931536E-01
  2138.0000    	  2139.0000    	 0.61246939E-01	 0.16005637E-01
  2139.0000    	  2140.0000    	 0.57491809E-01	 0.15870189E-01
  2140.0000    	  2141.0000    	 0.91344509E-01	 0.15366135E-01
  2141.0000    	  2142.0000    	 0.81045755E-01	 0.14669967E-01
  2142.0000    	  2143.0000    	 0.74073976E-01	 0.14749054E-01
  2143.0000    	  2144.0000    	 0.76999448E-01	 0.15424285E-01
  2144.0000    	  2145.0000    	 0.66328802E-01	 0.13646987E-01
  2145.0000    	  2146.0000    	 0.14189250E-01	 0.12771854E-01
  2146.0000    	  2147.0000    	 0.96731020E-02	 0.12209203E-01
  2147.0000    	  2148.0000    	 0.64555726E-01	 0.12319324E-01
  2148.0000    	  2149.0000    	 0.57334258E-01	 0.13520738E-01
  2149.0000    	  2150.0000    	 0.69990454E-01	 0.13313141E-01
  2150.0000    	  2151.0000    	 0.10311931    	 0.15340431E-01
  2151.0000    	  2152.0000    	 0.90648444E-01	 0.16264178E-01
  2152.0000    	  2153.0000    	 0.74652921E-01	 0.15532967E-01
  2153.0000    	  2154.0000    	 0.71240556E-01	 0.14576189E-01
  2154.0000    	  2155.0000    	 0.57930118E-01	 0.16669481E-01
  2155.0000    	  2156.0000    	 0.36662342E-01	 0.14470328E-01
  2156.0000    	  2157.0000    	 0.32548260E-01	 0.11631114E-01
  2157.0000    	  2158.0000    	-0.83190163E-03	 0.12386204E-01
  2158.0000    	  2159.0000    	 0.65564610E-01	 0.13099267E-01
  2159.0000    	  2160.0000    	 0.78429684E-01	 0.14765690E-01
  2160.0000    	  2161.0000    	 0.64283409E-01	 0.14921162E-01
  2161.0000    	  2162.0000    	 0.57941775E-01	 0.11751909E-01
  2162.0000    	  2163.0000    	 0.57225235E-01	 0.13727357E-01
  2163.0000    	  2164.0000    	 0.10578927    	 0.17481729E-01
  2164.0000    	  2165.0000    	 0.48442636E-01	 0.14450132E-01
  2165.0000    	  2166.0000    	 0.85631236E-01	 0.16131220E-01
  2166.0000    	  2167.0000    	 0.71340688E-01	 0.12490842E-01
  2167.0000    	  2168.0000    	 0.13746106E-01	 0.96369257E-02
  2168.0000    	  2169.0000    	 0.52847405E-01	 0.15094038E-01
  2169.0000    	  2170.0000    	 0.74894653E-01	 0.13829099E-01
  2170.0000    	  2171.0000    	 0.28636917E-01	 0.15707667E-01
  2171.0000    	  2172.0000    	 0.31893825E-01	 0.16097101E-01
