# xi1
# underflow	  38.522417    	 0.91234107E-01
# overflow	 0.97344030E-02	 0.24875505E-02
# sum	  41.635949    	 0.10634193    
# xmin	xmax	cross	numerror
  4224.0000    	  4225.0000    	 0.24100985E-02	 0.11473231E-02
  4225.0000    	  4226.0000    	 0.30596587E-02	 0.11682979E-02
  4226.0000    	  4227.0000    	 0.10487705E-02	 0.12652264E-02
  4227.0000    	  4228.0000    	 0.89479757E-03	 0.11779259E-02
  4228.0000    	  4229.0000    	-0.75780566E-03	 0.13041183E-02
  4229.0000    	  4230.0000    	-0.22182098E-02	 0.18283920E-02
  4230.0000    	  4231.0000    	 0.31334581E-02	 0.17370599E-02
  4231.0000    	  4232.0000    	 0.27717144E-02	 0.17824345E-02
  4232.0000    	  4233.0000    	 0.23682478E-02	 0.14342753E-02
  4233.0000    	  4234.0000    	-0.45687226E-03	 0.14330234E-02
  4234.0000    	  4235.0000    	-0.24840694E-02	 0.12012248E-02
  4235.0000    	  4236.0000    	 0.19138471E-02	 0.12882019E-02
  4236.0000    	  4237.0000    	 0.25133993E-02	 0.12022701E-02
  4237.0000    	  4238.0000    	 0.44843514E-02	 0.12048266E-02
  4238.0000    	  4239.0000    	-0.31403191E-03	 0.12421200E-02
  4239.0000    	  4240.0000    	 0.18956048E-02	 0.13665327E-02
  4240.0000    	  4241.0000    	 0.51735376E-02	 0.16833093E-02
  4241.0000    	  4242.0000    	-0.48181697E-03	 0.15281914E-02
  4242.0000    	  4243.0000    	 0.93017284E-03	 0.15332703E-02
  4243.0000    	  4244.0000    	 0.15247115E-02	 0.16558178E-02
  4244.0000    	  4245.0000    	-0.35428679E-03	 0.13653949E-02
  4245.0000    	  4246.0000    	-0.20610546E-02	 0.13024999E-02
  4246.0000    	  4247.0000    	 0.40380188E-02	 0.11725322E-02
  4247.0000    	  4248.0000    	 0.18568323E-02	 0.10036839E-02
  4248.0000    	  4249.0000    	 0.15353285E-02	 0.13726648E-02
  4249.0000    	  4250.0000    	 0.24888073E-03	 0.15348686E-02
  4250.0000    	  4251.0000    	 0.19990725E-02	 0.11501275E-02
  4251.0000    	  4252.0000    	-0.84036091E-03	 0.15326936E-02
  4252.0000    	  4253.0000    	-0.21081891E-02	 0.13830871E-02
  4253.0000    	  4254.0000    	-0.12950080E-02	 0.17571059E-02
  4254.0000    	  4255.0000    	 0.12916815E-02	 0.15160429E-02
  4255.0000    	  4256.0000    	 0.25938043E-03	 0.14263366E-02
  4256.0000    	  4257.0000    	 0.12443241E-02	 0.15576521E-02
  4257.0000    	  4258.0000    	 0.24210707E-02	 0.10405614E-02
  4258.0000    	  4259.0000    	 0.26472027E-02	 0.12643527E-02
  4259.0000    	  4260.0000    	-0.32894827E-03	 0.12297286E-02
  4260.0000    	  4261.0000    	 0.49677012E-02	 0.13647412E-02
  4261.0000    	  4262.0000    	 0.55589983E-03	 0.11994021E-02
  4262.0000    	  4263.0000    	 0.47044614E-02	 0.14977048E-02
  4263.0000    	  4264.0000    	-0.62849448E-03	 0.14933908E-02
  4264.0000    	  4265.0000    	-0.89570248E-03	 0.16223774E-02
  4265.0000    	  4266.0000    	-0.10733920E-02	 0.14662837E-02
  4266.0000    	  4267.0000    	 0.29664481E-03	 0.16973290E-02
  4267.0000    	  4268.0000    	 0.70342743E-03	 0.14745750E-02
  4268.0000    	  4269.0000    	-0.46752489E-03	 0.10962853E-02
  4269.0000    	  4270.0000    	 0.10131512E-03	 0.11066509E-02
  4270.0000    	  4271.0000    	 0.14369541E-02	 0.11292949E-02
  4271.0000    	  4272.0000    	-0.42663976E-03	 0.11781053E-02
  4272.0000    	  4273.0000    	-0.64549711E-03	 0.12138984E-02
  4273.0000    	  4274.0000    	 0.17638078E-02	 0.16181727E-02
  4274.0000    	  4275.0000    	 0.26060416E-03	 0.15153386E-02
  4275.0000    	  4276.0000    	 0.50149326E-02	 0.15363816E-02
  4276.0000    	  4277.0000    	 0.92718542E-03	 0.16704017E-02
  4277.0000    	  4278.0000    	 0.30198821E-02	 0.18139562E-02
  4278.0000    	  4279.0000    	 0.21902938E-02	 0.14938563E-02
  4279.0000    	  4280.0000    	 0.23498575E-02	 0.11559604E-02
  4280.0000    	  4281.0000    	 0.76231082E-03	 0.93764305E-03
  4281.0000    	  4282.0000    	 0.75057832E-04	 0.11648432E-02
  4282.0000    	  4283.0000    	 0.30502143E-02	 0.12119726E-02
  4283.0000    	  4284.0000    	 0.29232246E-02	 0.12180848E-02
  4284.0000    	  4285.0000    	 0.32465900E-02	 0.15716608E-02
  4285.0000    	  4286.0000    	 0.37063677E-02	 0.15644572E-02
  4286.0000    	  4287.0000    	-0.15962986E-02	 0.16814777E-02
  4287.0000    	  4288.0000    	 0.22283699E-04	 0.17434930E-02
  4288.0000    	  4289.0000    	-0.22668435E-02	 0.14797007E-02
  4289.0000    	  4290.0000    	 0.32109504E-03	 0.15034009E-02
  4290.0000    	  4291.0000    	 0.26679317E-02	 0.87973400E-03
  4291.0000    	  4292.0000    	 0.45889516E-02	 0.10785128E-02
  4292.0000    	  4293.0000    	 0.78969256E-03	 0.12086994E-02
  4293.0000    	  4294.0000    	 0.18392924E-02	 0.13152510E-02
  4294.0000    	  4295.0000    	 0.40488695E-03	 0.13236515E-02
  4295.0000    	  4296.0000    	 0.14112025E-02	 0.15198755E-02
  4296.0000    	  4297.0000    	-0.68029466E-03	 0.12204691E-02
  4297.0000    	  4298.0000    	 0.36234402E-02	 0.14405967E-02
  4298.0000    	  4299.0000    	-0.10339856E-02	 0.15397305E-02
  4299.0000    	  4300.0000    	-0.51658604E-04	 0.17538312E-02
  4300.0000    	  4301.0000    	-0.11358291E-02	 0.95900835E-03
  4301.0000    	  4302.0000    	 0.33683590E-02	 0.11314039E-02
  4302.0000    	  4303.0000    	 0.26982325E-02	 0.12505559E-02
  4303.0000    	  4304.0000    	 0.43998532E-02	 0.15333604E-02
  4304.0000    	  4305.0000    	 0.15562371E-02	 0.12814188E-02
  4305.0000    	  4306.0000    	 0.32414645E-02	 0.11650372E-02
  4306.0000    	  4307.0000    	 0.87937848E-03	 0.13070227E-02
  4307.0000    	  4308.0000    	 0.17389292E-02	 0.15130845E-02
  4308.0000    	  4309.0000    	 0.22493488E-02	 0.15944235E-02
  4309.0000    	  4310.0000    	 0.18705162E-03	 0.15768678E-02
  4310.0000    	  4311.0000    	-0.38892668E-03	 0.12676566E-02
  4311.0000    	  4312.0000    	 0.20416881E-02	 0.10017796E-02
  4312.0000    	  4313.0000    	 0.17053530E-02	 0.89949183E-03
  4313.0000    	  4314.0000    	 0.12961898E-02	 0.92456930E-03
  4314.0000    	  4315.0000    	 0.27904087E-02	 0.10821828E-02
  4315.0000    	  4316.0000    	 0.32320150E-02	 0.13238670E-02
  4316.0000    	  4317.0000    	 0.34292145E-02	 0.14318627E-02
  4317.0000    	  4318.0000    	 0.22249852E-02	 0.12794308E-02
  4318.0000    	  4319.0000    	 0.23293873E-02	 0.13524214E-02
  4319.0000    	  4320.0000    	 0.88210490E-03	 0.18288257E-02
