# xi4
# underflow	 -11541.641    	  4.6061034    
# overflow	  1.2639195    	 0.23218513    
# sum	 -11817.803    	  5.4701748    
# xmin	xmax	cross	numerror
  0.0000000    	  1.0000000    	 -1.5902589    	 0.20569804    
  1.0000000    	  2.0000000    	 -2.0130970    	 0.22839723    
  2.0000000    	  3.0000000    	 -1.8914903    	 0.19725302    
  3.0000000    	  4.0000000    	 -1.5613009    	 0.19263640    
  4.0000000    	  5.0000000    	 -1.5877880    	 0.19942115    
  5.0000000    	  6.0000000    	 -1.1259681    	 0.18691865    
  6.0000000    	  7.0000000    	 -1.1771162    	 0.18316221    
  7.0000000    	  8.0000000    	 -1.6652496    	 0.17996281    
  8.0000000    	  9.0000000    	-0.97493136    	 0.17348171    
  9.0000000    	  10.000000    	-0.96743914    	 0.15497228    
  10.000000    	  11.000000    	-0.81990828    	 0.14070430    
  11.000000    	  12.000000    	 -1.2631705    	 0.18982404    
  12.000000    	  13.000000    	 -1.1663838    	 0.23443471    
  13.000000    	  14.000000    	 -1.6095846    	 0.19404683    
  14.000000    	  15.000000    	 -1.5719986    	 0.19437837    
  15.000000    	  16.000000    	 -1.3051425    	 0.18764748    
  16.000000    	  17.000000    	 -1.0591016    	 0.20220145    
  17.000000    	  18.000000    	 -1.3043331    	 0.16609268    
  18.000000    	  19.000000    	 -1.1436566    	 0.18204256    
  19.000000    	  20.000000    	 -1.1125334    	 0.16889256    
  20.000000    	  21.000000    	-0.91768628    	 0.15032006    
  21.000000    	  22.000000    	-0.56820394    	 0.13600717    
  22.000000    	  23.000000    	 -1.4433105    	 0.19620972    
  23.000000    	  24.000000    	 -1.5784610    	 0.20891647    
  24.000000    	  25.000000    	 -1.7017210    	 0.19121802    
  25.000000    	  26.000000    	 -1.4832537    	 0.19288106    
  26.000000    	  27.000000    	 -1.4340738    	 0.18229801    
  27.000000    	  28.000000    	 -1.3214487    	 0.17934421    
  28.000000    	  29.000000    	 -1.1260355    	 0.18035505    
  29.000000    	  30.000000    	-0.77314816    	 0.18321965    
  30.000000    	  31.000000    	 -1.0386589    	 0.15654707    
  31.000000    	  32.000000    	-0.73104508    	 0.14007209    
  32.000000    	  33.000000    	-0.72113760    	 0.12632500    
  33.000000    	  34.000000    	 -1.1251021    	 0.19431625    
  34.000000    	  35.000000    	 -1.4824067    	 0.18590107    
  35.000000    	  36.000000    	 -1.6022872    	 0.19956502    
  36.000000    	  37.000000    	 -1.0982962    	 0.18131190    
  37.000000    	  38.000000    	 -1.5435545    	 0.17296581    
  38.000000    	  39.000000    	 -1.2190730    	 0.17475988    
  39.000000    	  40.000000    	 -1.2227202    	 0.17072806    
  40.000000    	  41.000000    	 -1.2540373    	 0.14901660    
  41.000000    	  42.000000    	-0.92530536    	 0.15089174    
  42.000000    	  43.000000    	-0.84208331    	 0.13467519    
  43.000000    	  44.000000    	-0.47010084    	 0.12821173    
  44.000000    	  45.000000    	 -1.1565313    	 0.19308828    
  45.000000    	  46.000000    	 -1.5180091    	 0.18767788    
  46.000000    	  47.000000    	 -1.2479007    	 0.19576241    
  47.000000    	  48.000000    	 -1.4904692    	 0.16313309    
  48.000000    	  49.000000    	 -1.3095921    	 0.17429372    
  49.000000    	  50.000000    	 -1.2799388    	 0.17002167    
  50.000000    	  51.000000    	-0.94280732    	 0.15914117    
  51.000000    	  52.000000    	-0.91528308    	 0.15279955    
  52.000000    	  53.000000    	-0.97375623    	 0.14368257    
  53.000000    	  54.000000    	-0.59700319    	 0.13809100    
  54.000000    	  55.000000    	-0.66294210    	 0.13081930    
  55.000000    	  56.000000    	 -1.7465631    	 0.17593070    
  56.000000    	  57.000000    	 -1.5316644    	 0.18198413    
  57.000000    	  58.000000    	 -1.2057907    	 0.17470898    
  58.000000    	  59.000000    	 -1.2440735    	 0.17364700    
  59.000000    	  60.000000    	 -1.4832334    	 0.17271365    
  60.000000    	  61.000000    	-0.99887813    	 0.14473032    
  61.000000    	  62.000000    	-0.89934561    	 0.15104605    
  62.000000    	  63.000000    	 -1.1319397    	 0.14552487    
  63.000000    	  64.000000    	-0.81072630    	 0.14122830    
  64.000000    	  65.000000    	-0.67276572    	 0.13293340    
  65.000000    	  66.000000    	-0.43692799    	 0.11769484    
  66.000000    	  67.000000    	 -1.1639359    	 0.20094803    
  67.000000    	  68.000000    	 -1.2192655    	 0.18144464    
  68.000000    	  69.000000    	 -1.4354101    	 0.16572567    
  69.000000    	  70.000000    	 -1.3185253    	 0.16732202    
  70.000000    	  71.000000    	 -1.1636097    	 0.16293225    
  71.000000    	  72.000000    	 -1.1280546    	 0.14802365    
  72.000000    	  73.000000    	-0.96710592    	 0.13108806    
  73.000000    	  74.000000    	-0.60105611    	 0.13979281    
  74.000000    	  75.000000    	-0.74761110    	 0.14115761    
  75.000000    	  76.000000    	-0.40409255    	 0.12003520    
  76.000000    	  77.000000    	-0.32188714    	 0.10324411    
  77.000000    	  78.000000    	 -1.2759933    	 0.17300664    
  78.000000    	  79.000000    	 -1.3964725    	 0.17834811    
  79.000000    	  80.000000    	 -1.1473822    	 0.17745750    
  80.000000    	  81.000000    	 -1.2178401    	 0.17583529    
  81.000000    	  82.000000    	-0.93057618    	 0.15447663    
  82.000000    	  83.000000    	 -1.0755273    	 0.15052460    
  83.000000    	  84.000000    	 -1.0218570    	 0.13009288    
  84.000000    	  85.000000    	-0.89074884    	 0.12866336    
  85.000000    	  86.000000    	-0.70084710    	 0.13344849    
  86.000000    	  87.000000    	-0.54278387    	 0.11764291    
  87.000000    	  88.000000    	-0.20148958    	 0.10175594    
  88.000000    	  89.000000    	 -1.0610503    	 0.15917878    
  89.000000    	  90.000000    	 -1.1900096    	 0.18515987    
  90.000000    	  91.000000    	 -1.3150810    	 0.17151193    
  91.000000    	  92.000000    	 -1.2190577    	 0.16274747    
  92.000000    	  93.000000    	 -1.1634757    	 0.14965842    
  93.000000    	  94.000000    	-0.97206579    	 0.14270169    
  94.000000    	  95.000000    	-0.67406563    	 0.14268012    
  95.000000    	  96.000000    	-0.94490734    	 0.14612614    
  96.000000    	  97.000000    	-0.38303765    	 0.11415697    
  97.000000    	  98.000000    	-0.52921552    	 0.11273484    
  98.000000    	  99.000000    	-0.36028361    	 0.99875862E-01
  99.000000    	  100.00000    	 -1.1703528    	 0.14830986    
  100.00000    	  101.00000    	 -1.2154033    	 0.16652750    
  101.00000    	  102.00000    	 -1.2435013    	 0.15675594    
  102.00000    	  103.00000    	 -1.0975914    	 0.13742614    
  103.00000    	  104.00000    	-0.96982770    	 0.15177862    
  104.00000    	  105.00000    	-0.91998506    	 0.13255242    
  105.00000    	  106.00000    	-0.98111738    	 0.14943546    
  106.00000    	  107.00000    	-0.64976012    	 0.14312338    
  107.00000    	  108.00000    	-0.50223268    	 0.12116175    
  108.00000    	  109.00000    	-0.43980497    	 0.11633568    
  109.00000    	  110.00000    	-0.23980131    	 0.96642552E-01
  110.00000    	  111.00000    	 -1.0518421    	 0.16257146    
  111.00000    	  112.00000    	 -1.0639666    	 0.15999498    
