# xi0
# underflow	  31.764422    	 0.84520618E-01
# overflow	 0.39698893E-02	 0.15019837E-02
# sum	  30.414681    	 0.90417704E-01
# xmin	xmax	cross	numerror
  4224.0000    	  4225.0000    	-0.25280519E-02	 0.17708067E-02
  4225.0000    	  4226.0000    	-0.34356497E-02	 0.16992564E-02
  4226.0000    	  4227.0000    	-0.63411182E-02	 0.16033240E-02
  4227.0000    	  4228.0000    	-0.38058826E-02	 0.14085656E-02
  4228.0000    	  4229.0000    	-0.44805427E-02	 0.13735376E-02
  4229.0000    	  4230.0000    	-0.17735362E-02	 0.10862641E-02
  4230.0000    	  4231.0000    	 0.29792816E-03	 0.94401166E-03
  4231.0000    	  4232.0000    	-0.99229900E-03	 0.76331524E-03
  4232.0000    	  4233.0000    	-0.31472033E-03	 0.95968771E-03
  4233.0000    	  4234.0000    	-0.18810046E-02	 0.71189549E-03
  4234.0000    	  4235.0000    	-0.64075502E-03	 0.66047370E-03
  4235.0000    	  4236.0000    	-0.26652485E-02	 0.15376500E-02
  4236.0000    	  4237.0000    	 0.19205245E-02	 0.20032455E-02
  4237.0000    	  4238.0000    	-0.61434352E-02	 0.14804404E-02
  4238.0000    	  4239.0000    	-0.48015689E-02	 0.14191505E-02
  4239.0000    	  4240.0000    	-0.58987466E-03	 0.12646160E-02
  4240.0000    	  4241.0000    	-0.23193274E-03	 0.91597539E-03
  4241.0000    	  4242.0000    	-0.20643600E-02	 0.90532053E-03
  4242.0000    	  4243.0000    	-0.14353071E-02	 0.93450707E-03
  4243.0000    	  4244.0000    	-0.12730388E-02	 0.82724079E-03
  4244.0000    	  4245.0000    	-0.84063146E-03	 0.56467387E-03
  4245.0000    	  4246.0000    	-0.68288893E-03	 0.57676002E-03
  4246.0000    	  4247.0000    	-0.43295609E-02	 0.17782324E-02
  4247.0000    	  4248.0000    	-0.20268738E-02	 0.21195505E-02
  4248.0000    	  4249.0000    	-0.39785532E-02	 0.15502725E-02
  4249.0000    	  4250.0000    	-0.31327193E-02	 0.13299866E-02
  4250.0000    	  4251.0000    	-0.22014015E-02	 0.11989576E-02
  4251.0000    	  4252.0000    	-0.33624829E-02	 0.10894490E-02
  4252.0000    	  4253.0000    	-0.13831958E-02	 0.83274254E-03
  4253.0000    	  4254.0000    	-0.12555769E-02	 0.76158599E-03
  4254.0000    	  4255.0000    	 0.24664465E-03	 0.77794682E-03
  4255.0000    	  4256.0000    	 0.62956575E-03	 0.63391224E-03
  4256.0000    	  4257.0000    	-0.11257277E-02	 0.76176950E-03
  4257.0000    	  4258.0000    	-0.36672051E-02	 0.16954295E-02
  4258.0000    	  4259.0000    	 0.82118485E-03	 0.16157914E-02
  4259.0000    	  4260.0000    	-0.41827164E-02	 0.17965507E-02
  4260.0000    	  4261.0000    	-0.21990944E-02	 0.12812497E-02
  4261.0000    	  4262.0000    	-0.39607873E-02	 0.15020561E-02
  4262.0000    	  4263.0000    	-0.30749340E-02	 0.10822199E-02
  4263.0000    	  4264.0000    	-0.42544844E-03	 0.83640577E-03
  4264.0000    	  4265.0000    	-0.51668375E-03	 0.71643453E-03
  4265.0000    	  4266.0000    	-0.14595822E-02	 0.57819076E-03
