# xi2
# underflow	  2672.3250    	 0.70421673    
# overflow	  3.3427890    	 0.11780587    
# sum	  3301.9929    	  1.1729474    
# xmin	xmax	cross	numerror
  0.0000000    	  1.0000000    	  2.1938076    	 0.46922560E-01
  1.0000000    	  2.0000000    	  2.1587352    	 0.44692617E-01
  2.0000000    	  3.0000000    	  2.1744839    	 0.41847764E-01
  3.0000000    	  4.0000000    	  2.1105744    	 0.42678190E-01
  4.0000000    	  5.0000000    	  2.0485908    	 0.42090688E-01
  5.0000000    	  6.0000000    	  2.0743486    	 0.39617886E-01
  6.0000000    	  7.0000000    	  1.9340827    	 0.38602778E-01
  7.0000000    	  8.0000000    	  1.9138315    	 0.36967427E-01
  8.0000000    	  9.0000000    	  1.7877111    	 0.37388306E-01
  9.0000000    	  10.000000    	  1.7400921    	 0.35725115E-01
  10.000000    	  11.000000    	  1.6929670    	 0.37281809E-01
  11.000000    	  12.000000    	  2.1572618    	 0.43650913E-01
  12.000000    	  13.000000    	  2.1149062    	 0.44555052E-01
  13.000000    	  14.000000    	  2.1039791    	 0.45656511E-01
  14.000000    	  15.000000    	  2.0614409    	 0.39656905E-01
  15.000000    	  16.000000    	  2.0252933    	 0.38883512E-01
  16.000000    	  17.000000    	  1.9090313    	 0.38818274E-01
  17.000000    	  18.000000    	  1.8906916    	 0.38563381E-01
  18.000000    	  19.000000    	  1.7864129    	 0.36091812E-01
  19.000000    	  20.000000    	  1.7371872    	 0.37491833E-01
  20.000000    	  21.000000    	  1.7107422    	 0.35925052E-01
  21.000000    	  22.000000    	  1.5100263    	 0.35641019E-01
  22.000000    	  23.000000    	  2.0015280    	 0.44467888E-01
  23.000000    	  24.000000    	  2.0374846    	 0.43106897E-01
  24.000000    	  25.000000    	  2.0287574    	 0.45011270E-01
  25.000000    	  26.000000    	  1.9149119    	 0.40398439E-01
  26.000000    	  27.000000    	  1.8990508    	 0.39312967E-01
  27.000000    	  28.000000    	  1.7717070    	 0.36892091E-01
  28.000000    	  29.000000    	  1.7827605    	 0.38032799E-01
  29.000000    	  30.000000    	  1.7317019    	 0.37294982E-01
  30.000000    	  31.000000    	  1.6239847    	 0.36205988E-01
  31.000000    	  32.000000    	  1.5541693    	 0.35192875E-01
  32.000000    	  33.000000    	  1.4527544    	 0.33978572E-01
  33.000000    	  34.000000    	  1.9667961    	 0.44018002E-01
  34.000000    	  35.000000    	  2.0050547    	 0.41763827E-01
  35.000000    	  36.000000    	  1.8790445    	 0.44842649E-01
  36.000000    	  37.000000    	  1.9275212    	 0.39410121E-01
  37.000000    	  38.000000    	  1.8238250    	 0.40371772E-01
  38.000000    	  39.000000    	  1.7500879    	 0.37042802E-01
  39.000000    	  40.000000    	  1.6991888    	 0.37472408E-01
  40.000000    	  41.000000    	  1.5693127    	 0.36053722E-01
  41.000000    	  42.000000    	  1.5259876    	 0.34276528E-01
