# xi0
# underflow	  28.022661    	 0.61777141E-01
# overflow	 0.17428726E-01	 0.37145353E-02
# sum	  36.846822    	 0.78623966E-01
# xmin	xmax	cross	numerror
  1034.0000    	  1035.0000    	 0.58028838E-02	 0.15956367E-02
  1035.0000    	  1036.0000    	 0.89505999E-02	 0.19113885E-02
  1036.0000    	  1037.0000    	 0.18272437E-01	 0.18858943E-02
  1037.0000    	  1038.0000    	 0.19000964E-01	 0.20980970E-02
  1038.0000    	  1039.0000    	 0.27646221E-01	 0.25515252E-02
  1039.0000    	  1040.0000    	 0.32358119E-01	 0.31086513E-02
  1040.0000    	  1041.0000    	 0.32987578E-01	 0.28335975E-02
  1041.0000    	  1042.0000    	 0.36936218E-01	 0.34907174E-02
  1042.0000    	  1043.0000    	 0.39060529E-01	 0.38290978E-02
  1043.0000    	  1044.0000    	 0.45853983E-01	 0.30853154E-02
  1044.0000    	  1045.0000    	 0.32180795E-01	 0.27913846E-02
  1045.0000    	  1046.0000    	 0.63108793E-02	 0.14362567E-02
  1046.0000    	  1047.0000    	 0.87348318E-02	 0.17143931E-02
  1047.0000    	  1048.0000    	 0.66584490E-02	 0.21195186E-02
  1048.0000    	  1049.0000    	 0.20353044E-01	 0.20973666E-02
  1049.0000    	  1050.0000    	 0.24629437E-01	 0.24299704E-02
  1050.0000    	  1051.0000    	 0.27763099E-01	 0.29434566E-02
  1051.0000    	  1052.0000    	 0.38130225E-01	 0.29877332E-02
  1052.0000    	  1053.0000    	 0.38399476E-01	 0.29654707E-02
  1053.0000    	  1054.0000    	 0.39554675E-01	 0.38502952E-02
  1054.0000    	  1055.0000    	 0.30030415E-01	 0.31662357E-02
  1055.0000    	  1056.0000    	 0.36036613E-01	 0.28629150E-02
  1056.0000    	  1057.0000    	 0.88525118E-02	 0.15026032E-02
  1057.0000    	  1058.0000    	 0.92587257E-02	 0.17381010E-02
  1058.0000    	  1059.0000    	 0.16079870E-01	 0.17669645E-02
  1059.0000    	  1060.0000    	 0.15673148E-01	 0.21138861E-02
  1060.0000    	  1061.0000    	 0.21155808E-01	 0.23662159E-02
  1061.0000    	  1062.0000    	 0.32099166E-01	 0.27930050E-02
  1062.0000    	  1063.0000    	 0.36743573E-01	 0.33433100E-02
  1063.0000    	  1064.0000    	 0.36740733E-01	 0.31740336E-02
  1064.0000    	  1065.0000    	 0.47913875E-01	 0.34990495E-02
  1065.0000    	  1066.0000    	 0.39868072E-01	 0.34328743E-02
  1066.0000    	  1067.0000    	 0.32065664E-01	 0.32140774E-02
  1067.0000    	  1068.0000    	 0.37486242E-02	 0.14846294E-02
  1068.0000    	  1069.0000    	 0.71881312E-02	 0.17445742E-02
  1069.0000    	  1070.0000    	 0.95374792E-02	 0.19928880E-02
  1070.0000    	  1071.0000    	 0.19109369E-01	 0.23013149E-02
  1071.0000    	  1072.0000    	 0.21257708E-01	 0.20608835E-02
  1072.0000    	  1073.0000    	 0.27318882E-01	 0.26053596E-02
  1073.0000    	  1074.0000    	 0.36199889E-01	 0.30983343E-02
  1074.0000    	  1075.0000    	 0.37289976E-01	 0.30749111E-02
  1075.0000    	  1076.0000    	 0.32898107E-01	 0.35162792E-02
  1076.0000    	  1077.0000    	 0.30254775E-01	 0.30521402E-02
  1077.0000    	  1078.0000    	 0.28575965E-01	 0.28395753E-02
  1078.0000    	  1079.0000    	 0.74557260E-02	 0.15431541E-02
  1079.0000    	  1080.0000    	 0.97110733E-02	 0.15468094E-02
  1080.0000    	  1081.0000    	 0.15220234E-01	 0.17210349E-02
  1081.0000    	  1082.0000    	 0.15367127E-01	 0.22294146E-02
  1082.0000    	  1083.0000    	 0.24936929E-01	 0.21470640E-02
  1083.0000    	  1084.0000    	 0.31224794E-01	 0.29326414E-02
  1084.0000    	  1085.0000    	 0.37342861E-01	 0.36966909E-02
  1085.0000    	  1086.0000    	 0.34371253E-01	 0.30389467E-02
  1086.0000    	  1087.0000    	 0.34929483E-01	 0.30972909E-02
  1087.0000    	  1088.0000    	 0.34902296E-01	 0.33272930E-02
  1088.0000    	  1089.0000    	 0.31875403E-01	 0.32616438E-02
  1089.0000    	  1090.0000    	 0.27659894E-02	 0.14655230E-02
  1090.0000    	  1091.0000    	 0.56838398E-02	 0.16338020E-02
  1091.0000    	  1092.0000    	 0.10210099E-01	 0.17649167E-02
  1092.0000    	  1093.0000    	 0.18064762E-01	 0.21311581E-02
  1093.0000    	  1094.0000    	 0.25370643E-01	 0.23562099E-02
  1094.0000    	  1095.0000    	 0.28572014E-01	 0.26436485E-02
  1095.0000    	  1096.0000    	 0.32516737E-01	 0.31014770E-02
  1096.0000    	  1097.0000    	 0.34611019E-01	 0.31280661E-02
  1097.0000    	  1098.0000    	 0.36115942E-01	 0.38215087E-02
  1098.0000    	  1099.0000    	 0.29852330E-01	 0.30625066E-02
  1099.0000    	  1100.0000    	 0.23968135E-01	 0.29271178E-02
  1100.0000    	  1101.0000    	 0.39575883E-02	 0.13370341E-02
  1101.0000    	  1102.0000    	 0.78170031E-02	 0.15555789E-02
  1102.0000    	  1103.0000    	 0.12816687E-01	 0.15625415E-02
  1103.0000    	  1104.0000    	 0.15434659E-01	 0.20149838E-02
  1104.0000    	  1105.0000    	 0.26510988E-01	 0.23598797E-02
  1105.0000    	  1106.0000    	 0.25548989E-01	 0.24196846E-02
  1106.0000    	  1107.0000    	 0.36466611E-01	 0.28860311E-02
  1107.0000    	  1108.0000    	 0.33145246E-01	 0.25925012E-02
  1108.0000    	  1109.0000    	 0.30255081E-01	 0.35843388E-02
  1109.0000    	  1110.0000    	 0.32628568E-01	 0.32045849E-02
  1110.0000    	  1111.0000    	 0.25410564E-01	 0.26270014E-02
  1111.0000    	  1112.0000    	 0.54458277E-02	 0.11649243E-02
  1112.0000    	  1113.0000    	 0.58238495E-02	 0.15192321E-02
  1113.0000    	  1114.0000    	 0.12105959E-01	 0.16134469E-02
  1114.0000    	  1115.0000    	 0.19304921E-01	 0.18483435E-02
  1115.0000    	  1116.0000    	 0.21491776E-01	 0.25836987E-02
  1116.0000    	  1117.0000    	 0.26060370E-01	 0.24806204E-02
  1117.0000    	  1118.0000    	 0.29019400E-01	 0.32397163E-02
  1118.0000    	  1119.0000    	 0.29782338E-01	 0.27794681E-02
  1119.0000    	  1120.0000    	 0.38708703E-01	 0.29574872E-02
  1120.0000    	  1121.0000    	 0.36452937E-01	 0.33313985E-02
  1121.0000    	  1122.0000    	 0.27148056E-01	 0.28176750E-02
  1122.0000    	  1123.0000    	 0.47696384E-02	 0.13755157E-02
  1123.0000    	  1124.0000    	 0.85152640E-02	 0.15087018E-02
  1124.0000    	  1125.0000    	 0.73764599E-02	 0.17954975E-02
  1125.0000    	  1126.0000    	 0.14079479E-01	 0.20791656E-02
  1126.0000    	  1127.0000    	 0.24129824E-01	 0.25710556E-02
  1127.0000    	  1128.0000    	 0.24660507E-01	 0.23848555E-02
  1128.0000    	  1129.0000    	 0.22590628E-01	 0.29603069E-02
  1129.0000    	  1130.0000    	 0.29705298E-01	 0.27401161E-02
  1130.0000    	  1131.0000    	 0.31307226E-01	 0.31227117E-02
  1131.0000    	  1132.0000    	 0.31036469E-01	 0.30691952E-02
  1132.0000    	  1133.0000    	 0.25972895E-01	 0.24397613E-02
  1133.0000    	  1134.0000    	 0.38538967E-02	 0.14335026E-02
  1134.0000    	  1135.0000    	 0.36887228E-02	 0.15009771E-02
  1135.0000    	  1136.0000    	 0.91381893E-02	 0.16856030E-02
  1136.0000    	  1137.0000    	 0.17668744E-01	 0.19364790E-02
  1137.0000    	  1138.0000    	 0.18643246E-01	 0.22941067E-02
  1138.0000    	  1139.0000    	 0.26833671E-01	 0.26625792E-02
  1139.0000    	  1140.0000    	 0.31383112E-01	 0.27804648E-02
  1140.0000    	  1141.0000    	 0.36586523E-01	 0.26022500E-02
  1141.0000    	  1142.0000    	 0.32810011E-01	 0.31692899E-02
  1142.0000    	  1143.0000    	 0.30810333E-01	 0.31171487E-02
  1143.0000    	  1144.0000    	 0.28697661E-01	 0.26789797E-02
  1144.0000    	  1145.0000    	 0.20536119E-02	 0.15168489E-02
  1145.0000    	  1146.0000    	 0.55923079E-02	 0.12618546E-02
  1146.0000    	  1147.0000    	 0.10716390E-01	 0.17212348E-02
  1147.0000    	  1148.0000    	 0.12912976E-01	 0.20009067E-02
  1148.0000    	  1149.0000    	 0.18573495E-01	 0.22270870E-02
  1149.0000    	  1150.0000    	 0.26338336E-01	 0.24906589E-02
  1150.0000    	  1151.0000    	 0.26140436E-01	 0.28625863E-02
  1151.0000    	  1152.0000    	 0.30894930E-01	 0.29960026E-02
  1152.0000    	  1153.0000    	 0.31810332E-01	 0.27795612E-02
  1153.0000    	  1154.0000    	 0.26736255E-01	 0.30631352E-02
  1154.0000    	  1155.0000    	 0.21680706E-01	 0.27746362E-02
  1155.0000    	  1156.0000    	 0.38618365E-02	 0.14720543E-02
  1156.0000    	  1157.0000    	 0.58566406E-02	 0.13328993E-02
  1157.0000    	  1158.0000    	 0.79564410E-02	 0.16087697E-02
  1158.0000    	  1159.0000    	 0.16181030E-01	 0.21986902E-02
  1159.0000    	  1160.0000    	 0.20071825E-01	 0.21421245E-02
  1160.0000    	  1161.0000    	 0.24157668E-01	 0.21428199E-02
  1161.0000    	  1162.0000    	 0.28574248E-01	 0.25526208E-02
  1162.0000    	  1163.0000    	 0.29420739E-01	 0.29942283E-02
  1163.0000    	  1164.0000    	 0.32472432E-01	 0.28992454E-02
  1164.0000    	  1165.0000    	 0.27298439E-01	 0.28678228E-02
  1165.0000    	  1166.0000    	 0.27304039E-01	 0.22351698E-02
