# xi0
# underflow	  20.056248    	 0.79342273E-01
# overflow	 0.54683912    	 0.15794679E-01
# sum	  25.954233    	 0.91108709E-01
# xmin	xmax	cross	numerror
  3124.0000    	  3125.0000    	 0.13548153E-01	 0.23275904E-02
  3125.0000    	  3126.0000    	 0.12832968E-01	 0.23508830E-02
  3126.0000    	  3127.0000    	 0.14113808E-01	 0.21197961E-02
  3127.0000    	  3128.0000    	 0.14424856E-01	 0.22234029E-02
  3128.0000    	  3129.0000    	 0.10270206E-01	 0.20137975E-02
  3129.0000    	  3130.0000    	 0.10273506E-01	 0.14253144E-02
  3130.0000    	  3131.0000    	 0.62385433E-02	 0.15898898E-02
  3131.0000    	  3132.0000    	 0.57212429E-02	 0.11621996E-02
  3132.0000    	  3133.0000    	 0.37854686E-02	 0.90749007E-03
  3133.0000    	  3134.0000    	 0.16463582E-02	 0.68399115E-03
  3134.0000    	  3135.0000    	 0.11598953E-02	 0.53214346E-03
  3135.0000    	  3136.0000    	 0.20644739E-01	 0.27696761E-02
  3136.0000    	  3137.0000    	 0.15553538E-01	 0.24507378E-02
  3137.0000    	  3138.0000    	 0.12316881E-01	 0.23374062E-02
  3138.0000    	  3139.0000    	 0.13399615E-01	 0.21754068E-02
  3139.0000    	  3140.0000    	 0.10410263E-01	 0.21481097E-02
  3140.0000    	  3141.0000    	 0.71305679E-02	 0.20516815E-02
  3141.0000    	  3142.0000    	 0.69889629E-02	 0.13741915E-02
  3142.0000    	  3143.0000    	 0.44887963E-02	 0.11962826E-02
  3143.0000    	  3144.0000    	 0.44566630E-02	 0.11178688E-02
  3144.0000    	  3145.0000    	 0.40310749E-02	 0.65699254E-03
  3145.0000    	  3146.0000    	 0.12310915E-02	 0.49524930E-03
  3146.0000    	  3147.0000    	 0.10566821E-01	 0.28527240E-02
  3147.0000    	  3148.0000    	 0.14820130E-01	 0.21850175E-02
  3148.0000    	  3149.0000    	 0.13444721E-01	 0.24476528E-02
  3149.0000    	  3150.0000    	 0.12134319E-01	 0.19440761E-02
  3150.0000    	  3151.0000    	 0.11841540E-01	 0.23085515E-02
  3151.0000    	  3152.0000    	 0.98993146E-02	 0.20204467E-02
  3152.0000    	  3153.0000    	 0.51067225E-02	 0.14673163E-02
  3153.0000    	  3154.0000    	 0.37729633E-02	 0.10010034E-02
  3154.0000    	  3155.0000    	 0.39388356E-02	 0.96508540E-03
  3155.0000    	  3156.0000    	 0.22813470E-02	 0.64843990E-03
  3156.0000    	  3157.0000    	 0.87723047E-03	 0.48460394E-03
  3157.0000    	  3158.0000    	 0.15189943E-01	 0.26250409E-02
  3158.0000    	  3159.0000    	 0.17562537E-01	 0.24064695E-02
  3159.0000    	  3160.0000    	 0.10327300E-01	 0.22747287E-02
  3160.0000    	  3161.0000    	 0.12960741E-01	 0.20057764E-02
  3161.0000    	  3162.0000    	 0.81661869E-02	 0.17200291E-02
  3162.0000    	  3163.0000    	 0.90988402E-02	 0.14704245E-02
  3163.0000    	  3164.0000    	 0.68056752E-02	 0.14918786E-02
  3164.0000    	  3165.0000    	 0.55082771E-02	 0.11280105E-02
  3165.0000    	  3166.0000    	 0.30621815E-02	 0.91302865E-03
  3166.0000    	  3167.0000    	 0.24923865E-02	 0.79491316E-03
  3167.0000    	  3168.0000    	 0.16573767E-02	 0.55035944E-03
  3168.0000    	  3169.0000    	 0.11890721E-01	 0.23243070E-02
  3169.0000    	  3170.0000    	 0.79435193E-02	 0.29648988E-02
  3170.0000    	  3171.0000    	 0.12149486E-01	 0.23777711E-02
  3171.0000    	  3172.0000    	 0.10958011E-01	 0.22123580E-02
  3172.0000    	  3173.0000    	 0.89832715E-02	 0.19291103E-02
  3173.0000    	  3174.0000    	 0.11693273E-01	 0.19665531E-02
  3174.0000    	  3175.0000    	 0.53522033E-02	 0.15462475E-02
  3175.0000    	  3176.0000    	 0.46516689E-02	 0.10977894E-02
  3176.0000    	  3177.0000    	 0.33300626E-02	 0.86625161E-03
  3177.0000    	  3178.0000    	 0.21089810E-02	 0.71526093E-03
  3178.0000    	  3179.0000    	 0.25255197E-02	 0.66052256E-03
  3179.0000    	  3180.0000    	 0.13726779E-01	 0.23196574E-02
  3180.0000    	  3181.0000    	 0.12164127E-01	 0.24741363E-02
  3181.0000    	  3182.0000    	 0.10796606E-01	 0.20081421E-02
  3182.0000    	  3183.0000    	 0.11648537E-01	 0.22384738E-02
  3183.0000    	  3184.0000    	 0.68327151E-02	 0.20572313E-02
  3184.0000    	  3185.0000    	 0.74450931E-02	 0.17649054E-02
  3185.0000    	  3186.0000    	 0.72456147E-02	 0.13049263E-02
  3186.0000    	  3187.0000    	 0.49784264E-02	 0.13276938E-02
  3187.0000    	  3188.0000    	 0.40483803E-02	 0.95444332E-03
  3188.0000    	  3189.0000    	 0.26936743E-02	 0.73768200E-03
  3189.0000    	  3190.0000    	 0.12251226E-02	 0.52189827E-03
  3190.0000    	  3191.0000    	 0.16852301E-01	 0.34467232E-02
  3191.0000    	  3192.0000    	 0.14648932E-01	 0.28084465E-02
  3192.0000    	  3193.0000    	 0.17939781E-01	 0.22652806E-02
  3193.0000    	  3194.0000    	 0.12854412E-01	 0.29966145E-02
  3194.0000    	  3195.0000    	 0.89699963E-02	 0.19096905E-02
  3195.0000    	  3196.0000    	 0.92126149E-02	 0.15654483E-02
  3196.0000    	  3197.0000    	 0.76848947E-02	 0.13979009E-02
  3197.0000    	  3198.0000    	 0.40036213E-02	 0.10918770E-02
  3198.0000    	  3199.0000    	 0.29929961E-02	 0.85847794E-03
  3199.0000    	  3200.0000    	 0.29384846E-02	 0.67148170E-03
  3200.0000    	  3201.0000    	 0.12920566E-02	 0.43289884E-03
  3201.0000    	  3202.0000    	 0.13869266E-01	 0.26445789E-02
  3202.0000    	  3203.0000    	 0.10774662E-01	 0.20888418E-02
  3203.0000    	  3204.0000    	 0.11339383E-01	 0.24112565E-02
  3204.0000    	  3205.0000    	 0.99136978E-02	 0.23505772E-02
  3205.0000    	  3206.0000    	 0.86054407E-02	 0.19155159E-02
  3206.0000    	  3207.0000    	 0.95616245E-02	 0.16072704E-02
  3207.0000    	  3208.0000    	 0.63955686E-02	 0.14855204E-02
  3208.0000    	  3209.0000    	 0.43661450E-02	 0.10903503E-02
