# xi3
# underflow	 -44.557054    	 0.14033517    
# overflow	-0.56277545    	 0.23379244E-01
# sum	 -50.069415    	 0.15190199    
# xmin	xmax	cross	numerror
  3124.0000    	  3125.0000    	-0.13251608E-01	 0.28776703E-02
  3125.0000    	  3126.0000    	-0.11268211E-01	 0.24361069E-02
  3126.0000    	  3127.0000    	-0.10391977E-01	 0.34491506E-02
  3127.0000    	  3128.0000    	-0.88750416E-02	 0.29436297E-02
  3128.0000    	  3129.0000    	-0.11270408E-01	 0.25149440E-02
  3129.0000    	  3130.0000    	-0.89598146E-02	 0.22216941E-02
  3130.0000    	  3131.0000    	-0.85982105E-02	 0.26270221E-02
  3131.0000    	  3132.0000    	-0.67433050E-02	 0.24345600E-02
  3132.0000    	  3133.0000    	-0.11586595E-01	 0.19466960E-02
  3133.0000    	  3134.0000    	-0.12348129E-01	 0.17916083E-02
  3134.0000    	  3135.0000    	-0.68113851E-02	 0.13954038E-02
  3135.0000    	  3136.0000    	-0.73712665E-02	 0.28579411E-02
  3136.0000    	  3137.0000    	-0.51336100E-02	 0.26593117E-02
  3137.0000    	  3138.0000    	-0.13823119E-01	 0.29106974E-02
  3138.0000    	  3139.0000    	-0.78779439E-02	 0.26789400E-02
  3139.0000    	  3140.0000    	-0.71882272E-02	 0.28267663E-02
  3140.0000    	  3141.0000    	-0.12207609E-01	 0.23737077E-02
  3141.0000    	  3142.0000    	-0.94581134E-02	 0.23410362E-02
  3142.0000    	  3143.0000    	-0.78855012E-02	 0.21330619E-02
  3143.0000    	  3144.0000    	-0.13163599E-01	 0.19796316E-02
  3144.0000    	  3145.0000    	-0.51980855E-02	 0.18460008E-02
  3145.0000    	  3146.0000    	-0.39445345E-02	 0.15471872E-02
  3146.0000    	  3147.0000    	-0.83154011E-02	 0.28127529E-02
  3147.0000    	  3148.0000    	-0.56004529E-02	 0.25824537E-02
  3148.0000    	  3149.0000    	-0.41485332E-02	 0.27667377E-02
  3149.0000    	  3150.0000    	-0.13376731E-01	 0.26640402E-02
  3150.0000    	  3151.0000    	-0.12832061E-01	 0.25267242E-02
  3151.0000    	  3152.0000    	-0.71082856E-02	 0.23502264E-02
  3152.0000    	  3153.0000    	-0.94311873E-02	 0.22120381E-02
  3153.0000    	  3154.0000    	-0.92581963E-02	 0.21395671E-02
  3154.0000    	  3155.0000    	-0.88255073E-02	 0.22115653E-02
  3155.0000    	  3156.0000    	-0.30608117E-02	 0.16214675E-02
  3156.0000    	  3157.0000    	-0.54947354E-02	 0.14439346E-02
  3157.0000    	  3158.0000    	-0.33903689E-02	 0.24524166E-02
