# xi3
# underflow	 -1.4846867    	 0.23974102E-01
# overflow	-0.66139915E-03	 0.34495917E-03
# sum	 -1.5714298    	 0.24807568E-01
# xmin	xmax	cross	numerror
  4224.0000    	  4225.0000    	 0.21342860E-03	 0.22509615E-03
  4225.0000    	  4226.0000    	 0.49502738E-03	 0.21554149E-03
  4226.0000    	  4227.0000    	 0.29384650E-03	 0.18522477E-03
  4227.0000    	  4228.0000    	-0.45855942E-04	 0.20081223E-03
  4228.0000    	  4229.0000    	-0.75081380E-04	 0.19912692E-03
  4229.0000    	  4230.0000    	 0.15812360E-03	 0.18455525E-03
  4230.0000    	  4231.0000    	-0.82380728E-04	 0.17057365E-03
  4231.0000    	  4232.0000    	-0.16898861E-03	 0.23875052E-03
  4232.0000    	  4233.0000    	 0.20236387E-03	 0.23007396E-03
  4233.0000    	  4234.0000    	 0.30818620E-04	 0.23841450E-03
  4234.0000    	  4235.0000    	-0.43219338E-03	 0.24905526E-03
  4235.0000    	  4236.0000    	 0.20058258E-03	 0.22143751E-03
  4236.0000    	  4237.0000    	 0.95196420E-04	 0.22961733E-03
  4237.0000    	  4238.0000    	 0.65262309E-04	 0.18421547E-03
  4238.0000    	  4239.0000    	 0.78972724E-04	 0.17296024E-03
  4239.0000    	  4240.0000    	 0.10669562E-03	 0.20044337E-03
  4240.0000    	  4241.0000    	-0.25953955E-03	 0.15445526E-03
  4241.0000    	  4242.0000    	-0.15150592E-03	 0.22107871E-03
  4242.0000    	  4243.0000    	 0.38988570E-04	 0.21227915E-03
  4243.0000    	  4244.0000    	-0.26354773E-03	 0.22660573E-03
  4244.0000    	  4245.0000    	 0.28648175E-03	 0.24037374E-03
  4245.0000    	  4246.0000    	 0.96376392E-04	 0.23626506E-03
  4246.0000    	  4247.0000    	 0.39367088E-03	 0.21519889E-03
  4247.0000    	  4248.0000    	-0.10074305E-03	 0.30181358E-03
  4248.0000    	  4249.0000    	 0.13365655E-05	 0.17647323E-03
  4249.0000    	  4250.0000    	-0.78308347E-04	 0.17817647E-03
  4250.0000    	  4251.0000    	-0.22499264E-04	 0.17209687E-03
  4251.0000    	  4252.0000    	 0.56671436E-04	 0.16513907E-03
  4252.0000    	  4253.0000    	-0.31712852E-03	 0.18516438E-03
  4253.0000    	  4254.0000    	-0.29892323E-03	 0.25454276E-03
  4254.0000    	  4255.0000    	 0.13711433E-04	 0.25695488E-03
  4255.0000    	  4256.0000    	 0.25626554E-04	 0.25899903E-03
  4256.0000    	  4257.0000    	-0.44981641E-04	 0.24865482E-03
  4257.0000    	  4258.0000    	 0.25118405E-03	 0.20804659E-03
  4258.0000    	  4259.0000    	 0.22744100E-03	 0.24408751E-03
  4259.0000    	  4260.0000    	-0.30890982E-04	 0.19721161E-03
  4260.0000    	  4261.0000    	 0.15024178E-03	 0.17313128E-03
  4261.0000    	  4262.0000    	 0.31208064E-04	 0.14410804E-03
