# xi3
# underflow	  14.814357    	 0.89855891E-01
# overflow	 0.21441614E-01	 0.49094242E-02
# sum	  16.926638    	 0.97993110E-01
# xmin	xmax	cross	numerror
  3124.0000    	  3125.0000    	 0.71989283E-02	 0.22564727E-02
  3125.0000    	  3126.0000    	 0.48298012E-02	 0.20909782E-02
  3126.0000    	  3127.0000    	 0.92242495E-02	 0.23698062E-02
  3127.0000    	  3128.0000    	 0.48471151E-02	 0.21452852E-02
  3128.0000    	  3129.0000    	 0.44149975E-02	 0.19435172E-02
  3129.0000    	  3130.0000    	-0.21020142E-04	 0.15766666E-02
  3130.0000    	  3131.0000    	 0.23917899E-02	 0.14301258E-02
  3131.0000    	  3132.0000    	-0.40765698E-02	 0.12239606E-02
  3132.0000    	  3133.0000    	 0.12550407E-03	 0.10504955E-02
  3133.0000    	  3134.0000    	-0.10418496E-02	 0.76701292E-03
  3134.0000    	  3135.0000    	-0.33752827E-03	 0.54567887E-03
  3135.0000    	  3136.0000    	 0.39768887E-02	 0.23079294E-02
  3136.0000    	  3137.0000    	 0.75075633E-03	 0.21905311E-02
  3137.0000    	  3138.0000    	 0.80991180E-02	 0.19664552E-02
  3138.0000    	  3139.0000    	 0.66675806E-02	 0.17986546E-02
  3139.0000    	  3140.0000    	 0.60050779E-02	 0.19122798E-02
  3140.0000    	  3141.0000    	 0.60794266E-02	 0.18765678E-02
  3141.0000    	  3142.0000    	-0.14646347E-02	 0.13752714E-02
  3142.0000    	  3143.0000    	 0.20853972E-02	 0.11617560E-02
  3143.0000    	  3144.0000    	-0.29741721E-04	 0.10104596E-02
  3144.0000    	  3145.0000    	 0.42229986E-03	 0.85843256E-03
  3145.0000    	  3146.0000    	 0.92994063E-03	 0.55095053E-03
  3146.0000    	  3147.0000    	 0.54427365E-02	 0.27049472E-02
  3147.0000    	  3148.0000    	 0.65803796E-02	 0.22841562E-02
  3148.0000    	  3149.0000    	 0.70457108E-02	 0.22697243E-02
  3149.0000    	  3150.0000    	 0.40673630E-02	 0.16845856E-02
  3150.0000    	  3151.0000    	 0.57486298E-02	 0.17774889E-02
  3151.0000    	  3152.0000    	 0.11591319E-02	 0.16663727E-02
  3152.0000    	  3153.0000    	 0.44814717E-02	 0.15603281E-02
  3153.0000    	  3154.0000    	 0.21871522E-02	 0.13198771E-02
  3154.0000    	  3155.0000    	-0.22965598E-02	 0.12090447E-02
  3155.0000    	  3156.0000    	-0.48082278E-03	 0.87252838E-03
  3156.0000    	  3157.0000    	 0.76978561E-04	 0.55056969E-03
  3157.0000    	  3158.0000    	 0.59051920E-02	 0.22600952E-02
  3158.0000    	  3159.0000    	 0.48624457E-02	 0.22927202E-02
