# xi2
# underflow	  81.608009    	 0.46801261E-01
# overflow	 0.29951249E-01	 0.45297908E-02
# sum	  101.13062    	 0.74519809E-01
# xmin	xmax	cross	numerror
  0.0000000    	  1.0000000    	 0.30429022E-02	 0.15077937E-02
  1.0000000    	  2.0000000    	 0.45194710E-02	 0.16709354E-02
  2.0000000    	  3.0000000    	 0.12498634E-01	 0.17720077E-02
  3.0000000    	  4.0000000    	 0.24858131E-01	 0.18240451E-02
  4.0000000    	  5.0000000    	 0.40286059E-01	 0.20578460E-02
  5.0000000    	  6.0000000    	 0.56408932E-01	 0.24681663E-02
  6.0000000    	  7.0000000    	 0.71179798E-01	 0.31351393E-02
  7.0000000    	  8.0000000    	 0.99624377E-01	 0.32524752E-02
  8.0000000    	  9.0000000    	 0.11591382    	 0.36718705E-02
  9.0000000    	  10.000000    	 0.14309863    	 0.41411357E-02
  10.000000    	  11.000000    	 0.16051329    	 0.44646400E-02
  11.000000    	  12.000000    	 0.31285295E-02	 0.13588692E-02
  12.000000    	  13.000000    	 0.80928334E-02	 0.15291334E-02
  13.000000    	  14.000000    	 0.10806530E-01	 0.16338440E-02
  14.000000    	  15.000000    	 0.22500551E-01	 0.17250108E-02
  15.000000    	  16.000000    	 0.37043148E-01	 0.19950481E-02
  16.000000    	  17.000000    	 0.55391094E-01	 0.24645753E-02
  17.000000    	  18.000000    	 0.75061237E-01	 0.29532857E-02
  18.000000    	  19.000000    	 0.90940306E-01	 0.30261635E-02
  19.000000    	  20.000000    	 0.11195811    	 0.37059211E-02
  20.000000    	  21.000000    	 0.13294741    	 0.40831146E-02
  21.000000    	  22.000000    	 0.15734992    	 0.47614748E-02
  22.000000    	  23.000000    	 0.25814332E-02	 0.13625961E-02
  23.000000    	  24.000000    	 0.69564776E-02	 0.14273719E-02
  24.000000    	  25.000000    	 0.11947322E-01	 0.15409687E-02
  25.000000    	  26.000000    	 0.21800230E-01	 0.16969664E-02
  26.000000    	  27.000000    	 0.37379000E-01	 0.20225134E-02
  27.000000    	  28.000000    	 0.51991198E-01	 0.25628388E-02
  28.000000    	  29.000000    	 0.71595326E-01	 0.28661518E-02
  29.000000    	  30.000000    	 0.96724345E-01	 0.29425031E-02
  30.000000    	  31.000000    	 0.10655023    	 0.33940185E-02
  31.000000    	  32.000000    	 0.12770278    	 0.39862826E-02
  32.000000    	  33.000000    	 0.14196404    	 0.43803561E-02
  33.000000    	  34.000000    	 0.34051026E-02	 0.14026806E-02
  34.000000    	  35.000000    	 0.63329902E-02	 0.13909714E-02
  35.000000    	  36.000000    	 0.12113888E-01	 0.15530271E-02
  36.000000    	  37.000000    	 0.27836277E-01	 0.17997612E-02
  37.000000    	  38.000000    	 0.35702659E-01	 0.19930757E-02
  38.000000    	  39.000000    	 0.49874110E-01	 0.24989446E-02
  39.000000    	  40.000000    	 0.72459964E-01	 0.26805830E-02
  40.000000    	  41.000000    	 0.79331443E-01	 0.32934831E-02
  41.000000    	  42.000000    	 0.11026375    	 0.33372664E-02
  42.000000    	  43.000000    	 0.13059890    	 0.39667843E-02
  43.000000    	  44.000000    	 0.14546324    	 0.41194817E-02
