# xi3
# underflow	  4.4417310    	 0.38956158E-01
# overflow	-0.56138595E-03	 0.36177693E-03
# sum	  4.5451790    	 0.40144605E-01
# xmin	xmax	cross	numerror
  4224.0000    	  4225.0000    	-0.45514477E-03	 0.30348186E-03
  4225.0000    	  4226.0000    	-0.52606847E-03	 0.25002136E-03
  4226.0000    	  4227.0000    	 0.20396691E-04	 0.40193559E-03
  4227.0000    	  4228.0000    	-0.16379514E-04	 0.43621862E-03
  4228.0000    	  4229.0000    	 0.56154622E-03	 0.43461480E-03
  4229.0000    	  4230.0000    	-0.70983503E-04	 0.36665239E-03
  4230.0000    	  4231.0000    	 0.70409512E-03	 0.43426651E-03
  4231.0000    	  4232.0000    	 0.49947329E-04	 0.35085813E-03
  4232.0000    	  4233.0000    	-0.30192532E-03	 0.33701653E-03
  4233.0000    	  4234.0000    	-0.34851940E-03	 0.37073805E-03
  4234.0000    	  4235.0000    	-0.40894365E-03	 0.31605908E-03
  4235.0000    	  4236.0000    	-0.23967224E-03	 0.41505459E-03
  4236.0000    	  4237.0000    	 0.19692398E-03	 0.32897959E-03
  4237.0000    	  4238.0000    	 0.26815394E-03	 0.29979599E-03
  4238.0000    	  4239.0000    	-0.19324960E-03	 0.33752513E-03
  4239.0000    	  4240.0000    	 0.12776881E-03	 0.37692650E-03
  4240.0000    	  4241.0000    	 0.44596453E-03	 0.36564130E-03
  4241.0000    	  4242.0000    	 0.60011592E-03	 0.43764837E-03
  4242.0000    	  4243.0000    	-0.14566725E-03	 0.31554580E-03
  4243.0000    	  4244.0000    	 0.24176186E-03	 0.33783305E-03
  4244.0000    	  4245.0000    	 0.15649028E-04	 0.37595553E-03
  4245.0000    	  4246.0000    	-0.53739247E-03	 0.26125797E-03
  4246.0000    	  4247.0000    	 0.78751185E-03	 0.37135756E-03
  4247.0000    	  4248.0000    	 0.26731433E-03	 0.38677178E-03
  4248.0000    	  4249.0000    	 0.38416918E-03	 0.28635800E-03
  4249.0000    	  4250.0000    	-0.76299133E-03	 0.36665943E-03
  4250.0000    	  4251.0000    	 0.51852812E-03	 0.35323714E-03
  4251.0000    	  4252.0000    	-0.44948785E-03	 0.33011674E-03
  4252.0000    	  4253.0000    	-0.22577490E-03	 0.38051313E-03
  4253.0000    	  4254.0000    	-0.12469409E-03	 0.37661291E-03
  4254.0000    	  4255.0000    	-0.11132849E-03	 0.35501336E-03
  4255.0000    	  4256.0000    	-0.45529943E-03	 0.37809434E-03
  4256.0000    	  4257.0000    	 0.34401765E-03	 0.28551517E-03
  4257.0000    	  4258.0000    	 0.51201286E-03	 0.24016861E-03
  4258.0000    	  4259.0000    	 0.11855034E-02	 0.38210264E-03
  4259.0000    	  4260.0000    	 0.52440956E-03	 0.43284004E-03
  4260.0000    	  4261.0000    	-0.16798494E-03	 0.37740896E-03
  4261.0000    	  4262.0000    	 0.56903759E-03	 0.39088967E-03
  4262.0000    	  4263.0000    	 0.65511394E-03	 0.37969896E-03
  4263.0000    	  4264.0000    	 0.49897388E-03	 0.34292449E-03
  4264.0000    	  4265.0000    	-0.14716028E-03	 0.33428025E-03
  4265.0000    	  4266.0000    	 0.33359913E-03	 0.45882703E-03
  4266.0000    	  4267.0000    	-0.22707957E-03	 0.36397351E-03
  4267.0000    	  4268.0000    	 0.34332539E-05	 0.32039873E-03
  4268.0000    	  4269.0000    	 0.25621296E-03	 0.24917871E-03
  4269.0000    	  4270.0000    	-0.20787969E-03	 0.33356771E-03
  4270.0000    	  4271.0000    	-0.40937096E-03	 0.23434011E-03
  4271.0000    	  4272.0000    	-0.59463959E-03	 0.32655535E-03
  4272.0000    	  4273.0000    	-0.10318637E-03	 0.35986623E-03
  4273.0000    	  4274.0000    	-0.83249730E-04	 0.34189623E-03
  4274.0000    	  4275.0000    	 0.24628945E-03	 0.35852317E-03
  4275.0000    	  4276.0000    	 0.24001251E-03	 0.41731149E-03
  4276.0000    	  4277.0000    	-0.27702310E-03	 0.35816095E-03
  4277.0000    	  4278.0000    	-0.51105203E-03	 0.31750942E-03
  4278.0000    	  4279.0000    	-0.60243176E-03	 0.31110213E-03
  4279.0000    	  4280.0000    	 0.22511560E-03	 0.24124095E-03
  4280.0000    	  4281.0000    	 0.75644948E-03	 0.40409579E-03
  4281.0000    	  4282.0000    	-0.42030993E-03	 0.31561639E-03
  4282.0000    	  4283.0000    	 0.28759077E-03	 0.34309193E-03
  4283.0000    	  4284.0000    	 0.12836215E-03	 0.34567565E-03
  4284.0000    	  4285.0000    	 0.60255103E-04	 0.36222976E-03
  4285.0000    	  4286.0000    	 0.10340043E-02	 0.42077861E-03
  4286.0000    	  4287.0000    	 0.30520239E-03	 0.39196707E-03
  4287.0000    	  4288.0000    	-0.20616503E-03	 0.39516368E-03
  4288.0000    	  4289.0000    	-0.37992595E-03	 0.31640113E-03
  4289.0000    	  4290.0000    	 0.84906625E-04	 0.33614052E-03
  4290.0000    	  4291.0000    	 0.27984106E-03	 0.31201305E-03
  4291.0000    	  4292.0000    	-0.10313881E-04	 0.33995671E-03
  4292.0000    	  4293.0000    	-0.22653411E-03	 0.33089406E-03
  4293.0000    	  4294.0000    	-0.12742477E-03	 0.36100689E-03
  4294.0000    	  4295.0000    	 0.10959830E-03	 0.36846245E-03
  4295.0000    	  4296.0000    	 0.71288054E-03	 0.39168021E-03
  4296.0000    	  4297.0000    	-0.10161107E-03	 0.26944803E-03
  4297.0000    	  4298.0000    	 0.23772146E-03	 0.36613682E-03
  4298.0000    	  4299.0000    	-0.11032878E-03	 0.41721636E-03
  4299.0000    	  4300.0000    	 0.64958903E-03	 0.38755220E-03
  4300.0000    	  4301.0000    	 0.28854259E-03	 0.28802475E-03
  4301.0000    	  4302.0000    	 0.43716155E-03	 0.30517463E-03
  4302.0000    	  4303.0000    	 0.12116634E-03	 0.30068538E-03
  4303.0000    	  4304.0000    	 0.41397473E-03	 0.27375702E-03
  4304.0000    	  4305.0000    	-0.12963595E-03	 0.30421971E-03
  4305.0000    	  4306.0000    	-0.33463233E-03	 0.36137081E-03
  4306.0000    	  4307.0000    	 0.84751804E-03	 0.40310692E-03
  4307.0000    	  4308.0000    	 0.15409206E-03	 0.34720215E-03
  4308.0000    	  4309.0000    	-0.57603369E-04	 0.48086109E-03
  4309.0000    	  4310.0000    	 0.26731938E-03	 0.35417517E-03
  4310.0000    	  4311.0000    	 0.33609787E-03	 0.33680165E-03
  4311.0000    	  4312.0000    	 0.17795492E-04	 0.33552304E-03
  4312.0000    	  4313.0000    	 0.42100921E-05	 0.33509216E-03
  4313.0000    	  4314.0000    	 0.10423409E-02	 0.41474442E-03
  4314.0000    	  4315.0000    	-0.15721371E-03	 0.32549383E-03
  4315.0000    	  4316.0000    	 0.39874355E-04	 0.34286320E-03
  4316.0000    	  4317.0000    	 0.48772656E-03	 0.37801226E-03
  4317.0000    	  4318.0000    	 0.34012608E-03	 0.32643440E-03
  4318.0000    	  4319.0000    	 0.20342712E-03	 0.43337152E-03
  4319.0000    	  4320.0000    	 0.58824012E-03	 0.45413327E-03
  4320.0000    	  4321.0000    	 0.57546959E-04	 0.34654000E-03
  4321.0000    	  4322.0000    	 0.45391766E-03	 0.29763916E-03
  4322.0000    	  4323.0000    	-0.19801482E-03	 0.24845021E-03
  4323.0000    	  4324.0000    	 0.38194696E-03	 0.33627905E-03
