# xi4
# underflow	-0.31774269    	 0.98896751E-02
# overflow	 0.54875446E-04	 0.33221372E-04
# sum	-0.31947892    	 0.10030152E-01
# xmin	xmax	cross	numerror
  4224.0000    	  4225.0000    	 0.14187988E-04	 0.10906457E-04
  4225.0000    	  4226.0000    	 0.95287825E-04	 0.52471167E-04
  4226.0000    	  4227.0000    	 0.72064552E-04	 0.49914290E-04
  4227.0000    	  4228.0000    	 0.11940264E-04	 0.17230708E-04
  4228.0000    	  4229.0000    	 0.15808827E-03	 0.99112194E-04
  4229.0000    	  4230.0000    	-0.22989839E-03	 0.97211495E-04
  4230.0000    	  4231.0000    	-0.42705712E-04	 0.83434872E-04
  4231.0000    	  4232.0000    	 0.62320698E-04	 0.86929043E-04
  4232.0000    	  4233.0000    	-0.12204808E-03	 0.66536243E-04
  4233.0000    	  4234.0000    	-0.32681277E-04	 0.58362075E-04
  4234.0000    	  4235.0000    	-0.10302876E-04	 0.16050374E-04
  4235.0000    	  4236.0000    	-0.25397271E-05	 0.26130466E-04
  4236.0000    	  4237.0000    	 0.82597957E-04	 0.48603665E-04
  4237.0000    	  4238.0000    	-0.45708462E-04	 0.77219168E-04
  4238.0000    	  4239.0000    	-0.64432602E-04	 0.54334439E-04
  4239.0000    	  4240.0000    	 0.10934688E-04	 0.82925399E-04
  4240.0000    	  4241.0000    	 0.10082480E-03	 0.96998530E-04
  4241.0000    	  4242.0000    	 0.13045730E-03	 0.88553145E-04
  4242.0000    	  4243.0000    	-0.29224897E-04	 0.88674565E-04
  4243.0000    	  4244.0000    	-0.29106885E-04	 0.78863291E-04
  4244.0000    	  4245.0000    	-0.75868460E-04	 0.57882980E-04
  4245.0000    	  4246.0000    	-0.94125450E-04	 0.60749328E-04
  4246.0000    	  4247.0000    	-0.34473141E-04	 0.46447651E-04
  4247.0000    	  4248.0000    	-0.53342547E-04	 0.93422186E-04
  4248.0000    	  4249.0000    	-0.30023198E-04	 0.68319693E-04
  4249.0000    	  4250.0000    	-0.15668433E-03	 0.89273473E-04
  4250.0000    	  4251.0000    	-0.10991473E-03	 0.64663867E-04
  4251.0000    	  4252.0000    	-0.75705587E-04	 0.99604292E-04
  4252.0000    	  4253.0000    	-0.22615705E-03	 0.89985457E-04
  4253.0000    	  4254.0000    	-0.15295687E-03	 0.95587355E-04
  4254.0000    	  4255.0000    	 0.11206745E-04	 0.77628348E-04
  4255.0000    	  4256.0000    	 0.99567649E-05	 0.59683537E-04
  4256.0000    	  4257.0000    	 0.76120509E-04	 0.57327662E-04
  4257.0000    	  4258.0000    	-0.27774692E-04	 0.90741437E-04
  4258.0000    	  4259.0000    	 0.13072223E-04	 0.38705034E-04
  4259.0000    	  4260.0000    	-0.11927428E-03	 0.65979006E-04
  4260.0000    	  4261.0000    	-0.25161477E-03	 0.65525001E-04
  4261.0000    	  4262.0000    	 0.46399316E-04	 0.94173298E-04
