# xi4
# underflow	 0.84586940E-01	 0.38060066E-02
# overflow	-0.61913296E-04	 0.62996908E-04
# sum	 0.59561703E-01	 0.39723602E-02
# xmin	xmax	cross	numerror
  4224.0000    	  4225.0000    	 0.29822260E-05	 0.41820280E-05
  4225.0000    	  4226.0000    	-0.63303003E-05	 0.76799265E-05
  4226.0000    	  4227.0000    	 0.74322047E-05	 0.87738875E-05
  4227.0000    	  4228.0000    	-0.87056397E-06	 0.59830976E-05
  4228.0000    	  4229.0000    	-0.68611843E-05	 0.18024603E-04
  4229.0000    	  4230.0000    	-0.27007499E-04	 0.22143956E-04
  4230.0000    	  4231.0000    	 0.14479502E-04	 0.30407415E-04
  4231.0000    	  4232.0000    	-0.86818659E-04	 0.33036201E-04
  4232.0000    	  4233.0000    	-0.60489342E-05	 0.42304669E-04
  4233.0000    	  4234.0000    	-0.29648848E-05	 0.44238681E-04
  4234.0000    	  4235.0000    	-0.44705325E-04	 0.17155024E-04
  4235.0000    	  4236.0000    	 0.82677851E-05	 0.10288027E-04
  4236.0000    	  4237.0000    	 0.77787109E-06	 0.30808836E-05
  4237.0000    	  4238.0000    	-0.65704247E-05	 0.87934373E-05
  4238.0000    	  4239.0000    	 0.58252619E-05	 0.85700502E-05
  4239.0000    	  4240.0000    	 0.17425633E-04	 0.18131577E-04
  4240.0000    	  4241.0000    	-0.12747871E-04	 0.24139397E-04
  4241.0000    	  4242.0000    	-0.14905413E-04	 0.28797137E-04
  4242.0000    	  4243.0000    	-0.98060783E-05	 0.38945177E-04
  4243.0000    	  4244.0000    	-0.48104501E-04	 0.46371615E-04
  4244.0000    	  4245.0000    	-0.38940373E-04	 0.47626174E-04
  4245.0000    	  4246.0000    	-0.77540168E-04	 0.60311496E-04
  4246.0000    	  4247.0000    	-0.70562762E-05	 0.45335820E-05
  4247.0000    	  4248.0000    	-0.11014024E-05	 0.11046262E-04
  4248.0000    	  4249.0000    	-0.78786274E-05	 0.13170936E-04
  4249.0000    	  4250.0000    	-0.25938273E-04	 0.15576852E-04
  4250.0000    	  4251.0000    	-0.21908590E-04	 0.11648981E-04
  4251.0000    	  4252.0000    	-0.24409225E-04	 0.26798171E-04
  4252.0000    	  4253.0000    	-0.46055922E-04	 0.25895903E-04
  4253.0000    	  4254.0000    	 0.40723555E-04	 0.38140415E-04
  4254.0000    	  4255.0000    	 0.10486188E-04	 0.44008173E-04
  4255.0000    	  4256.0000    	-0.92285316E-05	 0.60180626E-04
  4256.0000    	  4257.0000    	-0.10084750E-03	 0.63790954E-04
  4257.0000    	  4258.0000    	-0.47029063E-05	 0.11360071E-04
  4258.0000    	  4259.0000    	 0.51605614E-05	 0.84441433E-05
  4259.0000    	  4260.0000    	-0.32325181E-04	 0.11346023E-04
  4260.0000    	  4261.0000    	-0.16359626E-04	 0.95471388E-05
  4261.0000    	  4262.0000    	 0.67124103E-05	 0.15878923E-04
  4262.0000    	  4263.0000    	-0.39804642E-05	 0.61805282E-05
  4263.0000    	  4264.0000    	-0.48987273E-04	 0.29684284E-04
  4264.0000    	  4265.0000    	 0.13833752E-04	 0.26871177E-04
  4265.0000    	  4266.0000    	-0.31666916E-05	 0.38925593E-04
  4266.0000    	  4267.0000    	-0.75851973E-04	 0.52741107E-04
  4267.0000    	  4268.0000    	-0.57231796E-04	 0.58341388E-04
  4268.0000    	  4269.0000    	-0.24184859E-04	 0.98646790E-05
  4269.0000    	  4270.0000    	-0.47000500E-05	 0.80610236E-05
  4270.0000    	  4271.0000    	-0.11070921E-04	 0.12737040E-04
  4271.0000    	  4272.0000    	-0.50772227E-05	 0.13446861E-04
  4272.0000    	  4273.0000    	-0.74381281E-05	 0.19806857E-04
  4273.0000    	  4274.0000    	-0.10626586E-04	 0.11710441E-04
  4274.0000    	  4275.0000    	 0.45957464E-04	 0.31706633E-04
  4275.0000    	  4276.0000    	-0.45774877E-05	 0.31573645E-04
  4276.0000    	  4277.0000    	-0.85846377E-05	 0.38577792E-04
  4277.0000    	  4278.0000    	-0.80848487E-04	 0.38186927E-04
  4278.0000    	  4279.0000    	-0.93311157E-04	 0.61357448E-04
  4279.0000    	  4280.0000    	-0.75190935E-05	 0.52784118E-05
  4280.0000    	  4281.0000    	-0.13541452E-04	 0.12122374E-04
  4281.0000    	  4282.0000    	-0.20980650E-05	 0.13706728E-04
  4282.0000    	  4283.0000    	-0.20366880E-04	 0.13984549E-04
  4283.0000    	  4284.0000    	-0.14755510E-04	 0.20665203E-04
  4284.0000    	  4285.0000    	 0.21602170E-04	 0.19228108E-04
  4285.0000    	  4286.0000    	-0.29070501E-04	 0.34153572E-04
  4286.0000    	  4287.0000    	-0.28701688E-04	 0.32815326E-04
  4287.0000    	  4288.0000    	-0.39161674E-04	 0.43778668E-04
  4288.0000    	  4289.0000    	-0.10250480E-03	 0.48887255E-04
  4289.0000    	  4290.0000    	-0.81811422E-04	 0.60109485E-04
  4290.0000    	  4291.0000    	 0.21191978E-05	 0.30567847E-05
  4291.0000    	  4292.0000    	 0.29017307E-05	 0.24490924E-05
  4292.0000    	  4293.0000    	 0.10642190E-04	 0.10158995E-04
  4293.0000    	  4294.0000    	-0.34291168E-05	 0.11781626E-04
  4294.0000    	  4295.0000    	-0.12491054E-04	 0.19547984E-04
  4295.0000    	  4296.0000    	-0.38313026E-04	 0.19939467E-04
  4296.0000    	  4297.0000    	-0.95466326E-04	 0.26615207E-04
  4297.0000    	  4298.0000    	-0.38353157E-04	 0.31826790E-04
  4298.0000    	  4299.0000    	-0.49195583E-04	 0.32917567E-04
  4299.0000    	  4300.0000    	 0.55819660E-04	 0.60151335E-04
  4300.0000    	  4301.0000    	-0.10906462E-03	 0.54403622E-04
  4301.0000    	  4302.0000    	-0.32255921E-05	 0.27942425E-05
  4302.0000    	  4303.0000    	-0.93105123E-05	 0.77854093E-05
  4303.0000    	  4304.0000    	-0.84745561E-05	 0.82597214E-05
  4304.0000    	  4305.0000    	 0.41495315E-05	 0.21223160E-04
  4305.0000    	  4306.0000    	-0.59846126E-04	 0.19158712E-04
  4306.0000    	  4307.0000    	-0.65732421E-05	 0.19774867E-04
  4307.0000    	  4308.0000    	-0.32301674E-04	 0.34374394E-04
  4308.0000    	  4309.0000    	-0.25921553E-04	 0.28908579E-04
