# xi2
# underflow	  1013.0196    	 0.43450918    
# overflow	  1.7223196    	 0.75911038E-01
# sum	  1337.3107    	 0.73320236    
# xmin	xmax	cross	numerror
  0.0000000    	  1.0000000    	  1.2744039    	 0.30855350E-01
  1.0000000    	  2.0000000    	  1.2752172    	 0.29261093E-01
  2.0000000    	  3.0000000    	  1.2918605    	 0.29474264E-01
  3.0000000    	  4.0000000    	  1.1808778    	 0.28641234E-01
  4.0000000    	  5.0000000    	  1.1633330    	 0.28185642E-01
  5.0000000    	  6.0000000    	  1.1303756    	 0.26337359E-01
  6.0000000    	  7.0000000    	  1.0777779    	 0.27129698E-01
  7.0000000    	  8.0000000    	 0.92300010    	 0.26083906E-01
  8.0000000    	  9.0000000    	 0.83214124    	 0.21256538E-01
  9.0000000    	  10.000000    	 0.75645155    	 0.19743119E-01
  10.000000    	  11.000000    	 0.67879193    	 0.17643452E-01
  11.000000    	  12.000000    	  1.2839411    	 0.31076880E-01
  12.000000    	  13.000000    	  1.2220205    	 0.30043562E-01
  13.000000    	  14.000000    	  1.2020249    	 0.28240121E-01
  14.000000    	  15.000000    	  1.1539184    	 0.27873902E-01
  15.000000    	  16.000000    	  1.0673865    	 0.26863179E-01
  16.000000    	  17.000000    	  1.0135133    	 0.25728595E-01
  17.000000    	  18.000000    	 0.99843475    	 0.27420659E-01
  18.000000    	  19.000000    	 0.89971322    	 0.22763182E-01
  19.000000    	  20.000000    	 0.81039206    	 0.21045855E-01
  20.000000    	  21.000000    	 0.74298365    	 0.18516638E-01
  21.000000    	  22.000000    	 0.66610109    	 0.17512358E-01
  22.000000    	  23.000000    	  1.1774694    	 0.29481087E-01
  23.000000    	  24.000000    	  1.1651808    	 0.28320924E-01
  24.000000    	  25.000000    	  1.1284409    	 0.27709832E-01
  25.000000    	  26.000000    	  1.1589764    	 0.27805627E-01
  26.000000    	  27.000000    	  1.0505535    	 0.28095339E-01
  27.000000    	  28.000000    	  1.0096107    	 0.24057587E-01
  28.000000    	  29.000000    	 0.89874386    	 0.22817863E-01
  29.000000    	  30.000000    	 0.85721181    	 0.21196926E-01
  30.000000    	  31.000000    	 0.78644498    	 0.22052471E-01
  31.000000    	  32.000000    	 0.65997778    	 0.18694462E-01
  32.000000    	  33.000000    	 0.59568751    	 0.16600213E-01
  33.000000    	  34.000000    	  1.1313047    	 0.29883758E-01
  34.000000    	  35.000000    	  1.1807990    	 0.28741215E-01
  35.000000    	  36.000000    	  1.1411069    	 0.28327657E-01
  36.000000    	  37.000000    	  1.0391397    	 0.26393994E-01
  37.000000    	  38.000000    	  1.0312596    	 0.25614151E-01
  38.000000    	  39.000000    	 0.89682736    	 0.25030491E-01
  39.000000    	  40.000000    	 0.86621508    	 0.23019687E-01
  40.000000    	  41.000000    	 0.77889614    	 0.21071977E-01
  41.000000    	  42.000000    	 0.69332671    	 0.21145531E-01
  42.000000    	  43.000000    	 0.64628687    	 0.17922762E-01
  43.000000    	  44.000000    	 0.55151006    	 0.15977955E-01
  44.000000    	  45.000000    	  1.0943010    	 0.29251463E-01
  45.000000    	  46.000000    	  1.0577820    	 0.28984841E-01
  46.000000    	  47.000000    	  1.0158152    	 0.26372123E-01
  47.000000    	  48.000000    	  1.0498746    	 0.28550633E-01
  48.000000    	  49.000000    	 0.98011295    	 0.25914722E-01
  49.000000    	  50.000000    	 0.92799758    	 0.25921362E-01
  50.000000    	  51.000000    	 0.83918934    	 0.22155145E-01
  51.000000    	  52.000000    	 0.73618733    	 0.20589993E-01
  52.000000    	  53.000000    	 0.69645327    	 0.18443129E-01
  53.000000    	  54.000000    	 0.58320804    	 0.16917329E-01
  54.000000    	  55.000000    	 0.51291602    	 0.15082468E-01
  55.000000    	  56.000000    	  1.0820120    	 0.29659175E-01
  56.000000    	  57.000000    	  1.0699148    	 0.29908845E-01
  57.000000    	  58.000000    	  1.0647623    	 0.28500103E-01
  58.000000    	  59.000000    	  1.0004971    	 0.27541994E-01
  59.000000    	  60.000000    	 0.93405166    	 0.25653371E-01
  60.000000    	  61.000000    	 0.84268797    	 0.25360851E-01
  61.000000    	  62.000000    	 0.77626147    	 0.20712864E-01
  62.000000    	  63.000000    	 0.71791510    	 0.20174451E-01
  63.000000    	  64.000000    	 0.63743121    	 0.19146994E-01
  64.000000    	  65.000000    	 0.56856660    	 0.16311167E-01
  65.000000    	  66.000000    	 0.45796645    	 0.14045670E-01
  66.000000    	  67.000000    	  1.0192929    	 0.28367176E-01
  67.000000    	  68.000000    	  1.0229160    	 0.28884005E-01
  68.000000    	  69.000000    	  1.0064826    	 0.29580230E-01
  69.000000    	  70.000000    	 0.91772371    	 0.28185033E-01
  70.000000    	  71.000000    	 0.87145551    	 0.25940757E-01
  71.000000    	  72.000000    	 0.84901072    	 0.25342950E-01
  72.000000    	  73.000000    	 0.77233113    	 0.21829914E-01
  73.000000    	  74.000000    	 0.65860742    	 0.18524610E-01
  74.000000    	  75.000000    	 0.58284926    	 0.19017001E-01
  75.000000    	  76.000000    	 0.52438941    	 0.16385300E-01
  76.000000    	  77.000000    	 0.46795136    	 0.14800178E-01
  77.000000    	  78.000000    	  1.0028219    	 0.27164145E-01
  78.000000    	  79.000000    	 0.95258283    	 0.27783735E-01
  79.000000    	  80.000000    	 0.93733905    	 0.27010209E-01
  80.000000    	  81.000000    	 0.91592841    	 0.27559853E-01
  81.000000    	  82.000000    	 0.83523246    	 0.25754092E-01
  82.000000    	  83.000000    	 0.79658540    	 0.24538918E-01
  83.000000    	  84.000000    	 0.68257093    	 0.21412975E-01
  84.000000    	  85.000000    	 0.66138628    	 0.18552903E-01
  85.000000    	  86.000000    	 0.58006286    	 0.17259674E-01
  86.000000    	  87.000000    	 0.46943687    	 0.16294197E-01
  87.000000    	  88.000000    	 0.43396736    	 0.14718143E-01
  88.000000    	  89.000000    	 0.95790480    	 0.28003387E-01
  89.000000    	  90.000000    	 0.91080414    	 0.27771037E-01
  90.000000    	  91.000000    	 0.93064423    	 0.25783777E-01
  91.000000    	  92.000000    	 0.86409438    	 0.24695525E-01
  92.000000    	  93.000000    	 0.85303393    	 0.29663262E-01
  93.000000    	  94.000000    	 0.74076865    	 0.23054202E-01
  94.000000    	  95.000000    	 0.70594105    	 0.22049106E-01
  95.000000    	  96.000000    	 0.61433035    	 0.19192279E-01
  96.000000    	  97.000000    	 0.54748259    	 0.17046088E-01
