# xi2
# underflow	  27.943009    	 0.15548577    
# overflow	-0.60883044E-01	 0.17517072E-01
# sum	  25.645326    	 0.18906201    
# xmin	xmax	cross	numerror
  1034.0000    	  1035.0000    	-0.31285889E-02	 0.56637430E-02
  1035.0000    	  1036.0000    	-0.37680339E-02	 0.51601849E-02
  1036.0000    	  1037.0000    	 0.20471441E-02	 0.54292824E-02
  1037.0000    	  1038.0000    	-0.11857038E-01	 0.47038922E-02
  1038.0000    	  1039.0000    	-0.75967785E-02	 0.45939504E-02
  1039.0000    	  1040.0000    	-0.93386651E-02	 0.41721423E-02
  1040.0000    	  1041.0000    	-0.10653357E-01	 0.40683636E-02
  1041.0000    	  1042.0000    	 0.33685820E-02	 0.36847617E-02
  1042.0000    	  1043.0000    	 0.54614405E-02	 0.35639426E-02
  1043.0000    	  1044.0000    	 0.12361098E-01	 0.41336675E-02
  1044.0000    	  1045.0000    	 0.24491591E-01	 0.48325603E-02
  1045.0000    	  1046.0000    	 0.30596621E-02	 0.63692770E-02
  1046.0000    	  1047.0000    	 0.11492348E-02	 0.53878384E-02
  1047.0000    	  1048.0000    	-0.18224661E-02	 0.58480131E-02
  1048.0000    	  1049.0000    	-0.68065610E-02	 0.44875160E-02
  1049.0000    	  1050.0000    	-0.11962888E-01	 0.45206069E-02
  1050.0000    	  1051.0000    	-0.13629473E-02	 0.47666848E-02
  1051.0000    	  1052.0000    	-0.45884418E-02	 0.44709432E-02
  1052.0000    	  1053.0000    	 0.24020922E-02	 0.38780258E-02
  1053.0000    	  1054.0000    	 0.67641966E-02	 0.35968708E-02
  1054.0000    	  1055.0000    	 0.15212624E-01	 0.40293480E-02
  1055.0000    	  1056.0000    	 0.14586699E-01	 0.38380919E-02
  1056.0000    	  1057.0000    	-0.81960369E-02	 0.64382013E-02
  1057.0000    	  1058.0000    	-0.88275160E-02	 0.53267924E-02
  1058.0000    	  1059.0000    	-0.13586874E-01	 0.58686825E-02
  1059.0000    	  1060.0000    	-0.42968203E-02	 0.46541551E-02
  1060.0000    	  1061.0000    	-0.15479614E-02	 0.39983999E-02
  1061.0000    	  1062.0000    	-0.12183885E-01	 0.43279797E-02
  1062.0000    	  1063.0000    	-0.69939925E-02	 0.38985912E-02
  1063.0000    	  1064.0000    	-0.23221527E-02	 0.40001184E-02
  1064.0000    	  1065.0000    	 0.92634365E-02	 0.39955310E-02
  1065.0000    	  1066.0000    	 0.13730238E-01	 0.39399518E-02
  1066.0000    	  1067.0000    	 0.21307547E-01	 0.40963756E-02
  1067.0000    	  1068.0000    	-0.49055698E-02	 0.52990256E-02
  1068.0000    	  1069.0000    	 0.27403976E-02	 0.51771750E-02
  1069.0000    	  1070.0000    	-0.10599569E-01	 0.54176996E-02
  1070.0000    	  1071.0000    	-0.97741495E-02	 0.46554689E-02
  1071.0000    	  1072.0000    	-0.11274019E-01	 0.42423051E-02
  1072.0000    	  1073.0000    	-0.10460369E-01	 0.42027387E-02
  1073.0000    	  1074.0000    	-0.14499927E-01	 0.36737405E-02
  1074.0000    	  1075.0000    	-0.79312840E-03	 0.40432405E-02
  1075.0000    	  1076.0000    	 0.40033878E-02	 0.36707652E-02
  1076.0000    	  1077.0000    	 0.12272562E-01	 0.37168794E-02
  1077.0000    	  1078.0000    	 0.21966470E-01	 0.36025085E-02
  1078.0000    	  1079.0000    	-0.41523509E-02	 0.56400923E-02
  1079.0000    	  1080.0000    	-0.36297985E-02	 0.49315077E-02
  1080.0000    	  1081.0000    	-0.61705189E-02	 0.49408002E-02
  1081.0000    	  1082.0000    	-0.95938005E-02	 0.46492841E-02
  1082.0000    	  1083.0000    	-0.71876494E-02	 0.45042372E-02
  1083.0000    	  1084.0000    	-0.30444730E-02	 0.42868615E-02
  1084.0000    	  1085.0000    	-0.17888538E-02	 0.36762830E-02
  1085.0000    	  1086.0000    	-0.36451627E-02	 0.39650926E-02
  1086.0000    	  1087.0000    	 0.68166659E-02	 0.34835442E-02
  1087.0000    	  1088.0000    	 0.97362937E-02	 0.33707833E-02
  1088.0000    	  1089.0000    	 0.26905161E-01	 0.37100309E-02
  1089.0000    	  1090.0000    	-0.58777558E-02	 0.55367773E-02
  1090.0000    	  1091.0000    	-0.70039590E-02	 0.49244885E-02
  1091.0000    	  1092.0000    	-0.39295464E-02	 0.46810203E-02
  1092.0000    	  1093.0000    	-0.62694445E-02	 0.48976416E-02
  1093.0000    	  1094.0000    	-0.15664418E-01	 0.53318972E-02
  1094.0000    	  1095.0000    	-0.10965144E-01	 0.44224116E-02
  1095.0000    	  1096.0000    	-0.93421901E-02	 0.36522290E-02
  1096.0000    	  1097.0000    	-0.52141807E-02	 0.40822573E-02
  1097.0000    	  1098.0000    	 0.13249415E-01	 0.40488316E-02
  1098.0000    	  1099.0000    	 0.15509466E-01	 0.41943879E-02
  1099.0000    	  1100.0000    	 0.20463247E-01	 0.37928600E-02
  1100.0000    	  1101.0000    	-0.35021376E-02	 0.55409354E-02
  1101.0000    	  1102.0000    	-0.87096001E-02	 0.58604999E-02
  1102.0000    	  1103.0000    	-0.66793276E-02	 0.49006683E-02
  1103.0000    	  1104.0000    	-0.32012731E-02	 0.47436259E-02
  1104.0000    	  1105.0000    	-0.96331547E-02	 0.41884360E-02
  1105.0000    	  1106.0000    	-0.72156610E-02	 0.50640881E-02
  1106.0000    	  1107.0000    	-0.10731993E-01	 0.33470363E-02
  1107.0000    	  1108.0000    	 0.13631891E-03	 0.37915797E-02
  1108.0000    	  1109.0000    	 0.91788307E-02	 0.42497182E-02
  1109.0000    	  1110.0000    	 0.17071814E-01	 0.44587202E-02
  1110.0000    	  1111.0000    	 0.17395417E-01	 0.40747502E-02
  1111.0000    	  1112.0000    	-0.45244679E-02	 0.52152043E-02
  1112.0000    	  1113.0000    	-0.11456951E-01	 0.56197601E-02
  1113.0000    	  1114.0000    	 0.15257095E-02	 0.52557777E-02
  1114.0000    	  1115.0000    	-0.15471105E-01	 0.49567004E-02
  1115.0000    	  1116.0000    	-0.90805435E-02	 0.39578741E-02
  1116.0000    	  1117.0000    	-0.61851346E-02	 0.42815631E-02
  1117.0000    	  1118.0000    	-0.75592710E-02	 0.38725788E-02
  1118.0000    	  1119.0000    	-0.70241726E-02	 0.34663112E-02
  1119.0000    	  1120.0000    	 0.49012331E-02	 0.38633105E-02
  1120.0000    	  1121.0000    	 0.14717835E-01	 0.36646037E-02
  1121.0000    	  1122.0000    	 0.18536700E-01	 0.45792757E-02
  1122.0000    	  1123.0000    	-0.10818755E-01	 0.51259400E-02
  1123.0000    	  1124.0000    	-0.43971697E-02	 0.50013980E-02
  1124.0000    	  1125.0000    	-0.10300808E-01	 0.52125961E-02
  1125.0000    	  1126.0000    	-0.91059041E-02	 0.46475750E-02
  1126.0000    	  1127.0000    	-0.11712717E-01	 0.42357663E-02
  1127.0000    	  1128.0000    	-0.72278707E-02	 0.39455802E-02
  1128.0000    	  1129.0000    	-0.10985616E-01	 0.38759576E-02
  1129.0000    	  1130.0000    	-0.37202769E-02	 0.34138887E-02
  1130.0000    	  1131.0000    	 0.45032855E-02	 0.36535009E-02
  1131.0000    	  1132.0000    	 0.89319162E-02	 0.40221522E-02
  1132.0000    	  1133.0000    	 0.29251667E-01	 0.38221260E-02
  1133.0000    	  1134.0000    	-0.58044512E-02	 0.46997225E-02
  1134.0000    	  1135.0000    	-0.26437192E-02	 0.47517380E-02
  1135.0000    	  1136.0000    	-0.13839470E-02	 0.46774540E-02
  1136.0000    	  1137.0000    	-0.12767360E-01	 0.40984347E-02
  1137.0000    	  1138.0000    	-0.10601696E-01	 0.41331375E-02
  1138.0000    	  1139.0000    	-0.99047477E-02	 0.39302940E-02
  1139.0000    	  1140.0000    	-0.78531581E-02	 0.33089191E-02
  1140.0000    	  1141.0000    	 0.95915929E-03	 0.35979704E-02
  1141.0000    	  1142.0000    	 0.64530099E-02	 0.39602032E-02
  1142.0000    	  1143.0000    	 0.11544288E-01	 0.36123864E-02
  1143.0000    	  1144.0000    	 0.18352246E-01	 0.44374958E-02
  1144.0000    	  1145.0000    	-0.18371595E-02	 0.47611155E-02
  1145.0000    	  1146.0000    	-0.91370610E-02	 0.46488976E-02
  1146.0000    	  1147.0000    	-0.90149517E-02	 0.44967681E-02
  1147.0000    	  1148.0000    	-0.15433965E-01	 0.38401330E-02
  1148.0000    	  1149.0000    	-0.92621320E-02	 0.43456003E-02
  1149.0000    	  1150.0000    	-0.11136106E-01	 0.39392808E-02
  1150.0000    	  1151.0000    	-0.32031613E-02	 0.34447515E-02
  1151.0000    	  1152.0000    	 0.85167675E-03	 0.37860888E-02
  1152.0000    	  1153.0000    	-0.24932702E-02	 0.36753214E-02
  1153.0000    	  1154.0000    	 0.20509289E-01	 0.36536455E-02
  1154.0000    	  1155.0000    	 0.21721607E-01	 0.39920502E-02
  1155.0000    	  1156.0000    	-0.88688400E-02	 0.51492233E-02
  1156.0000    	  1157.0000    	-0.16768878E-01	 0.51003238E-02
  1157.0000    	  1158.0000    	-0.84784745E-02	 0.48325729E-02
  1158.0000    	  1159.0000    	-0.10098190E-01	 0.41216948E-02
  1159.0000    	  1160.0000    	-0.13294189E-01	 0.44099120E-02
  1160.0000    	  1161.0000    	-0.93346495E-02	 0.42541291E-02
  1161.0000    	  1162.0000    	-0.94367722E-02	 0.38082636E-02
  1162.0000    	  1163.0000    	-0.50788026E-02	 0.36131311E-02
  1163.0000    	  1164.0000    	-0.85787022E-03	 0.36267776E-02
  1164.0000    	  1165.0000    	 0.15625868E-01	 0.34742481E-02
  1165.0000    	  1166.0000    	 0.23403640E-01	 0.46026819E-02
  1166.0000    	  1167.0000    	-0.92659153E-02	 0.59869371E-02
  1167.0000    	  1168.0000    	 0.80516053E-03	 0.48630001E-02
  1168.0000    	  1169.0000    	-0.14955114E-01	 0.47862763E-02
  1169.0000    	  1170.0000    	-0.71925573E-02	 0.43252032E-02
  1170.0000    	  1171.0000    	-0.94494731E-02	 0.40464051E-02
  1171.0000    	  1172.0000    	-0.10227170E-01	 0.37407935E-02
