# xi0
# underflow	 -5.4244834    	 0.77716277E-01
# overflow	 -1.7840274    	 0.28860954E-01
# sum	 -169.92733    	 0.40687979    
# xmin	xmax	cross	numerror
  4048.0000    	  4049.0000    	-0.58239690E-01	 0.51339260E-02
  4049.0000    	  4050.0000    	-0.91389343E-01	 0.70518754E-02
  4050.0000    	  4051.0000    	-0.14471300    	 0.90522973E-02
  4051.0000    	  4052.0000    	-0.19667375    	 0.12316476E-01
  4052.0000    	  4053.0000    	-0.24681941    	 0.13574273E-01
  4053.0000    	  4054.0000    	-0.28457106    	 0.15251029E-01
  4054.0000    	  4055.0000    	-0.31676158    	 0.16510413E-01
  4055.0000    	  4056.0000    	-0.37639752    	 0.16245682E-01
  4056.0000    	  4057.0000    	-0.32743653    	 0.16799130E-01
  4057.0000    	  4058.0000    	-0.32333884    	 0.15867097E-01
  4058.0000    	  4059.0000    	-0.29775976    	 0.14884043E-01
  4059.0000    	  4060.0000    	-0.24536538    	 0.13410524E-01
  4060.0000    	  4061.0000    	-0.16623143    	 0.13667734E-01
  4061.0000    	  4062.0000    	-0.11515011    	 0.11620396E-01
  4062.0000    	  4063.0000    	-0.55884745E-01	 0.11982847E-01
  4063.0000    	  4064.0000    	-0.18727312E-02	 0.11036633E-01
  4064.0000    	  4065.0000    	 0.42202386E-01	 0.11845238E-01
  4065.0000    	  4066.0000    	 0.10825395    	 0.11176412E-01
  4066.0000    	  4067.0000    	 0.11066587    	 0.11815765E-01
  4067.0000    	  4068.0000    	 0.13979625    	 0.11191928E-01
  4068.0000    	  4069.0000    	 0.12576363    	 0.11744665E-01
  4069.0000    	  4070.0000    	 0.12196089    	 0.10487505E-01
  4070.0000    	  4071.0000    	-0.56063593E-01	 0.49107082E-02
  4071.0000    	  4072.0000    	-0.94200794E-01	 0.67935700E-02
  4072.0000    	  4073.0000    	-0.14483021    	 0.93857060E-02
  4073.0000    	  4074.0000    	-0.18542226    	 0.11616693E-01
  4074.0000    	  4075.0000    	-0.27439383    	 0.13003582E-01
  4075.0000    	  4076.0000    	-0.30144374    	 0.15186918E-01
  4076.0000    	  4077.0000    	-0.35199600    	 0.15556812E-01
  4077.0000    	  4078.0000    	-0.35638968    	 0.15774883E-01
  4078.0000    	  4079.0000    	-0.38284819    	 0.16649651E-01
  4079.0000    	  4080.0000    	-0.32780331    	 0.16259033E-01
  4080.0000    	  4081.0000    	-0.29556660    	 0.13790632E-01
  4081.0000    	  4082.0000    	-0.22443266    	 0.13357338E-01
  4082.0000    	  4083.0000    	-0.17124807    	 0.12069032E-01
  4083.0000    	  4084.0000    	-0.11590070    	 0.11668079E-01
  4084.0000    	  4085.0000    	-0.50272436E-01	 0.10979505E-01
  4085.0000    	  4086.0000    	 0.22803858E-01	 0.10913313E-01
  4086.0000    	  4087.0000    	 0.76658662E-01	 0.11221119E-01
  4087.0000    	  4088.0000    	 0.96624915E-01	 0.11302542E-01
  4088.0000    	  4089.0000    	 0.11372159    	 0.11335449E-01
  4089.0000    	  4090.0000    	 0.10420802    	 0.11373622E-01
  4090.0000    	  4091.0000    	 0.10791053    	 0.10612161E-01
  4091.0000    	  4092.0000    	 0.10284143    	 0.10191491E-01
  4092.0000    	  4093.0000    	-0.45876940E-01	 0.48083737E-02
  4093.0000    	  4094.0000    	-0.91885702E-01	 0.67581427E-02
  4094.0000    	  4095.0000    	-0.12388185    	 0.88784335E-02
  4095.0000    	  4096.0000    	-0.21587970    	 0.10954879E-01
  4096.0000    	  4097.0000    	-0.24132266    	 0.13812856E-01
  4097.0000    	  4098.0000    	-0.29772850    	 0.14565396E-01
  4098.0000    	  4099.0000    	-0.32761583    	 0.15019600E-01
  4099.0000    	  4100.0000    	-0.36737165    	 0.15533927E-01
  4100.0000    	  4101.0000    	-0.34510555    	 0.15771943E-01
  4101.0000    	  4102.0000    	-0.32154943    	 0.14962521E-01
  4102.0000    	  4103.0000    	-0.30742881    	 0.15234945E-01
  4103.0000    	  4104.0000    	-0.27529777    	 0.13703489E-01
  4104.0000    	  4105.0000    	-0.18281908    	 0.11826273E-01
  4105.0000    	  4106.0000    	-0.10849031    	 0.12030236E-01
