# xi0
# underflow	  537.69252    	  4.0276124    
# overflow	  2.3757203    	  1.7642771    
# sum	  5045.0652    	  17.708911    
# xmin	xmax	cross	numerror
  0.0000000    	  1.0000000    	 -5.0555037    	 0.27645095    
  1.0000000    	  2.0000000    	 -3.8737555    	 0.29778486    
  2.0000000    	  3.0000000    	 -2.5616296    	 0.30526715    
  3.0000000    	  4.0000000    	-0.96830259    	 0.32790119    
  4.0000000    	  5.0000000    	  1.7254830    	 0.34796315    
  5.0000000    	  6.0000000    	  1.7694007    	 0.37959355    
  6.0000000    	  7.0000000    	  4.3987433    	 0.41551816    
  7.0000000    	  8.0000000    	  5.2596256    	 0.46624952    
  8.0000000    	  9.0000000    	  6.8207527    	 0.47975869    
  9.0000000    	  10.000000    	  9.2256579    	 0.52465675    
  10.000000    	  11.000000    	  10.761167    	 0.54752228    
  11.000000    	  12.000000    	  11.069756    	 0.55761316    
  12.000000    	  13.000000    	  15.270201    	 0.64280098    
  13.000000    	  14.000000    	  15.792974    	 0.67133402    
  14.000000    	  15.000000    	  17.007959    	 0.71051134    
  15.000000    	  16.000000    	  19.114748    	 0.80891522    
  16.000000    	  17.000000    	  20.042614    	 0.78078651    
  17.000000    	  18.000000    	  20.466865    	 0.77462176    
  18.000000    	  19.000000    	  21.298064    	 0.83360365    
  19.000000    	  20.000000    	  22.779827    	 0.92501328    
  20.000000    	  21.000000    	  24.032065    	 0.92681613    
  21.000000    	  22.000000    	  23.803049    	 0.96872671    
  22.000000    	  23.000000    	 -5.5312417    	 0.26074017    
  23.000000    	  24.000000    	 -4.3806839    	 0.28555470    
  24.000000    	  25.000000    	 -2.4576342    	 0.29143308    
  25.000000    	  26.000000    	 -1.4544749    	 0.31984882    
  26.000000    	  27.000000    	 0.34830947    	 0.33035391    
  27.000000    	  28.000000    	  1.9283742    	 0.34511107    
  28.000000    	  29.000000    	  3.3047872    	 0.42054398    
  29.000000    	  30.000000    	  5.0807057    	 0.43479428    
  30.000000    	  31.000000    	  6.6207336    	 0.47212596    
  31.000000    	  32.000000    	  8.6311174    	 0.49467086    
