# xi0
# underflow	  785.04059    	  3.4653872    
# overflow	  59.360016    	  2.3228761    
# sum	  11033.654    	  16.376525    
# xmin	xmax	cross	numerror
  0.0000000    	  1.0000000    	  10.937388    	 0.47102549    
  1.0000000    	  2.0000000    	  11.852574    	 0.48336978    
  2.0000000    	  3.0000000    	  14.276093    	 0.49099218    
  3.0000000    	  4.0000000    	  14.495946    	 0.49284349    
  4.0000000    	  5.0000000    	  15.158464    	 0.54502201    
  5.0000000    	  6.0000000    	  17.112217    	 0.56805097    
  6.0000000    	  7.0000000    	  18.635742    	 0.52102649    
  7.0000000    	  8.0000000    	  17.930385    	 0.55837194    
  8.0000000    	  9.0000000    	  19.135225    	 0.56773860    
  9.0000000    	  10.000000    	  18.426533    	 0.58505112    
  10.000000    	  11.000000    	  20.076157    	 0.58081671    
  11.000000    	  12.000000    	  19.795553    	 0.56573321    
  12.000000    	  13.000000    	  20.466725    	 0.64790941    
  13.000000    	  14.000000    	  18.302771    	 0.57723694    
  14.000000    	  15.000000    	  18.658554    	 0.54910161    
  15.000000    	  16.000000    	  17.954011    	 0.57823000    
  16.000000    	  17.000000    	  17.141973    	 0.55344512    
  17.000000    	  18.000000    	  16.143118    	 0.58412180    
  18.000000    	  19.000000    	  14.081642    	 0.49653325    
  19.000000    	  20.000000    	  13.735635    	 0.49537228    
  20.000000    	  21.000000    	  12.354441    	 0.45014069    
  21.000000    	  22.000000    	  11.304250    	 0.43283921    
  22.000000    	  23.000000    	  9.6482752    	 0.44902947    
  23.000000    	  24.000000    	  11.525172    	 0.46316829    
  24.000000    	  25.000000    	  12.607418    	 0.45709646    
  25.000000    	  26.000000    	  14.314370    	 0.47145726    
  26.000000    	  27.000000    	  14.644698    	 0.48917471    
  27.000000    	  28.000000    	  15.392968    	 0.51937014    
  28.000000    	  29.000000    	  17.501706    	 0.51894397    
  29.000000    	  30.000000    	  17.980197    	 0.57257293    
  30.000000    	  31.000000    	  18.131559    	 0.57534191    
