# xi0
# underflow	  14.455341    	 0.17310340    
# overflow	  2.7624782    	 0.73254890E-01
# sum	  351.76016    	 0.86936599    
# xmin	xmax	cross	numerror
  4048.0000    	  4049.0000    	 0.51944732E-02	 0.16502340E-01
  4049.0000    	  4050.0000    	 0.41700946E-01	 0.17908448E-01
  4050.0000    	  4051.0000    	 0.78039513E-01	 0.23094236E-01
  4051.0000    	  4052.0000    	 0.11669808    	 0.24408974E-01
  4052.0000    	  4053.0000    	 0.20035953    	 0.27093425E-01
  4053.0000    	  4054.0000    	 0.31653295    	 0.28249282E-01
  4054.0000    	  4055.0000    	 0.32123402    	 0.31500556E-01
  4055.0000    	  4056.0000    	 0.38632254    	 0.31628167E-01
  4056.0000    	  4057.0000    	 0.44685569    	 0.28751554E-01
  4057.0000    	  4058.0000    	 0.49248069    	 0.31549958E-01
  4058.0000    	  4059.0000    	 0.46400578    	 0.30739502E-01
  4059.0000    	  4060.0000    	 0.47922087    	 0.33076356E-01
  4060.0000    	  4061.0000    	 0.48895741    	 0.32513098E-01
  4061.0000    	  4062.0000    	 0.44982293    	 0.29799928E-01
  4062.0000    	  4063.0000    	 0.42506820    	 0.28329782E-01
  4063.0000    	  4064.0000    	 0.47868871    	 0.28146222E-01
  4064.0000    	  4065.0000    	 0.40811618    	 0.25297594E-01
  4065.0000    	  4066.0000    	 0.31835928    	 0.23629183E-01
  4066.0000    	  4067.0000    	 0.32438683    	 0.21223538E-01
  4067.0000    	  4068.0000    	 0.25991795    	 0.20552973E-01
  4068.0000    	  4069.0000    	 0.20051230    	 0.17821379E-01
  4069.0000    	  4070.0000    	 0.12456862    	 0.17883986E-01
  4070.0000    	  4071.0000    	 0.12626067E-02	 0.16008826E-01
  4071.0000    	  4072.0000    	 0.37537663E-01	 0.17782466E-01
  4072.0000    	  4073.0000    	 0.14746312    	 0.21606216E-01
  4073.0000    	  4074.0000    	 0.22748104    	 0.23190442E-01
  4074.0000    	  4075.0000    	 0.25277425    	 0.26042277E-01
  4075.0000    	  4076.0000    	 0.30760737    	 0.28741049E-01
  4076.0000    	  4077.0000    	 0.37901202    	 0.31164973E-01
  4077.0000    	  4078.0000    	 0.39505842    	 0.29804445E-01
  4078.0000    	  4079.0000    	 0.42717860    	 0.30188121E-01
  4079.0000    	  4080.0000    	 0.44085893    	 0.30413138E-01
  4080.0000    	  4081.0000    	 0.45305568    	 0.31152409E-01
  4081.0000    	  4082.0000    	 0.46832416    	 0.31070901E-01
  4082.0000    	  4083.0000    	 0.45804644    	 0.30595749E-01
  4083.0000    	  4084.0000    	 0.45093389    	 0.28818963E-01
  4084.0000    	  4085.0000    	 0.51400758    	 0.28223900E-01
  4085.0000    	  4086.0000    	 0.46003396    	 0.27934078E-01
  4086.0000    	  4087.0000    	 0.37288981    	 0.24567739E-01
  4087.0000    	  4088.0000    	 0.36450609    	 0.24030118E-01
  4088.0000    	  4089.0000    	 0.28868112    	 0.20358297E-01
  4089.0000    	  4090.0000    	 0.20180012    	 0.18486708E-01
  4090.0000    	  4091.0000    	 0.17819415    	 0.20679614E-01
  4091.0000    	  4092.0000    	 0.12986751    	 0.15857106E-01
  4092.0000    	  4093.0000    	 0.31998643E-01	 0.15022300E-01
  4093.0000    	  4094.0000    	 0.56312361E-01	 0.18428706E-01
  4094.0000    	  4095.0000    	 0.12003212    	 0.20387320E-01
  4095.0000    	  4096.0000    	 0.18213704    	 0.23532926E-01
  4096.0000    	  4097.0000    	 0.28031323    	 0.26697304E-01
  4097.0000    	  4098.0000    	 0.27227482    	 0.28175193E-01
  4098.0000    	  4099.0000    	 0.30693895    	 0.28862808E-01
  4099.0000    	  4100.0000    	 0.39081670    	 0.33196584E-01
  4100.0000    	  4101.0000    	 0.41841353    	 0.32454677E-01
  4101.0000    	  4102.0000    	 0.42549264    	 0.31638291E-01
  4102.0000    	  4103.0000    	 0.42995058    	 0.31952499E-01
  4103.0000    	  4104.0000    	 0.44308102    	 0.29547262E-01
  4104.0000    	  4105.0000    	 0.44223717    	 0.35873454E-01
  4105.0000    	  4106.0000    	 0.48943704    	 0.28157989E-01
  4106.0000    	  4107.0000    	 0.43917753    	 0.29460005E-01
  4107.0000    	  4108.0000    	 0.43634446    	 0.26941024E-01
  4108.0000    	  4109.0000    	 0.41692056    	 0.24148799E-01
  4109.0000    	  4110.0000    	 0.33831358    	 0.22791973E-01
  4110.0000    	  4111.0000    	 0.30115887    	 0.20051625E-01
  4111.0000    	  4112.0000    	 0.24452000    	 0.18526590E-01
  4112.0000    	  4113.0000    	 0.19689053    	 0.19338666E-01
  4113.0000    	  4114.0000    	 0.15917987    	 0.15482774E-01
  4114.0000    	  4115.0000    	-0.90765088E-02	 0.14531576E-01
  4115.0000    	  4116.0000    	 0.85274628E-01	 0.17194603E-01
  4116.0000    	  4117.0000    	 0.10906927    	 0.19828772E-01
  4117.0000    	  4118.0000    	 0.17407956    	 0.22063107E-01
  4118.0000    	  4119.0000    	 0.21722875    	 0.25249757E-01
  4119.0000    	  4120.0000    	 0.29934936    	 0.28015731E-01
  4120.0000    	  4121.0000    	 0.27885114    	 0.27776853E-01
  4121.0000    	  4122.0000    	 0.36811279    	 0.32259121E-01
  4122.0000    	  4123.0000    	 0.39016653    	 0.31373461E-01
  4123.0000    	  4124.0000    	 0.40507118    	 0.30617211E-01
  4124.0000    	  4125.0000    	 0.50396121    	 0.33963284E-01
  4125.0000    	  4126.0000    	 0.47696740    	 0.27916438E-01
  4126.0000    	  4127.0000    	 0.45240632    	 0.33002814E-01
  4127.0000    	  4128.0000    	 0.45576533    	 0.29607011E-01
  4128.0000    	  4129.0000    	 0.50650020    	 0.27452434E-01
  4129.0000    	  4130.0000    	 0.39892059    	 0.26245618E-01
  4130.0000    	  4131.0000    	 0.40975764    	 0.24716455E-01
  4131.0000    	  4132.0000    	 0.35908721    	 0.23476166E-01
  4132.0000    	  4133.0000    	 0.28216694    	 0.19940658E-01
  4133.0000    	  4134.0000    	 0.25135282    	 0.20151078E-01
  4134.0000    	  4135.0000    	 0.18811671    	 0.17265725E-01
