# xi0
# underflow	  5.9393238    	 0.48204628    
# overflow	  1.2832702    	 0.24768433    
# sum	  138.99385    	  1.4491158    
# xmin	xmax	cross	numerror
  4048.0000    	  4049.0000    	-0.19192930E-01	 0.30784937E-01
  4049.0000    	  4050.0000    	-0.61830592E-01	 0.38397095E-01
  4050.0000    	  4051.0000    	 0.23575772E-01	 0.40471394E-01
  4051.0000    	  4052.0000    	 0.67575710E-02	 0.43715219E-01
  4052.0000    	  4053.0000    	 0.19805930    	 0.53633644E-01
  4053.0000    	  4054.0000    	 0.16732837    	 0.51381034E-01
  4054.0000    	  4055.0000    	 0.20853128    	 0.53558458E-01
  4055.0000    	  4056.0000    	 0.17380382    	 0.58816727E-01
  4056.0000    	  4057.0000    	 0.17326566    	 0.54628886E-01
  4057.0000    	  4058.0000    	 0.14823842    	 0.48699118E-01
  4058.0000    	  4059.0000    	 0.15546466    	 0.55175273E-01
  4059.0000    	  4060.0000    	 0.25455595    	 0.53654956E-01
  4060.0000    	  4061.0000    	 0.15872841    	 0.45479558E-01
  4061.0000    	  4062.0000    	 0.16315089    	 0.45349156E-01
  4062.0000    	  4063.0000    	 0.16177121    	 0.35547976E-01
  4063.0000    	  4064.0000    	 0.15117665    	 0.41695981E-01
  4064.0000    	  4065.0000    	 0.13337867    	 0.32533196E-01
  4065.0000    	  4066.0000    	 0.17003038    	 0.34930019E-01
  4066.0000    	  4067.0000    	 0.13062192    	 0.30855319E-01
  4067.0000    	  4068.0000    	 0.11028557    	 0.27066884E-01
  4068.0000    	  4069.0000    	-0.42789514E-02	 0.24196148E-01
  4069.0000    	  4070.0000    	 0.46347513E-01	 0.23903264E-01
  4070.0000    	  4071.0000    	-0.41790519E-01	 0.37576097E-01
  4071.0000    	  4072.0000    	 0.12799889E-01	 0.40170454E-01
  4072.0000    	  4073.0000    	-0.11126636E-01	 0.41454494E-01
  4073.0000    	  4074.0000    	 0.83345045E-01	 0.40020289E-01
  4074.0000    	  4075.0000    	 0.52670799E-02	 0.46607633E-01
  4075.0000    	  4076.0000    	 0.13480843    	 0.54552336E-01
  4076.0000    	  4077.0000    	 0.11554709    	 0.49358091E-01
  4077.0000    	  4078.0000    	 0.12992461    	 0.61916510E-01
  4078.0000    	  4079.0000    	 0.23259506    	 0.61184286E-01
  4079.0000    	  4080.0000    	 0.27348323    	 0.48503892E-01
  4080.0000    	  4081.0000    	 0.19648567    	 0.56413579E-01
  4081.0000    	  4082.0000    	 0.26981536    	 0.49233981E-01
  4082.0000    	  4083.0000    	 0.18124502    	 0.44854137E-01
  4083.0000    	  4084.0000    	 0.18310189    	 0.47705677E-01
  4084.0000    	  4085.0000    	 0.17048918    	 0.39637323E-01
  4085.0000    	  4086.0000    	 0.13412232    	 0.44914634E-01
  4086.0000    	  4087.0000    	 0.13010534    	 0.35217276E-01
  4087.0000    	  4088.0000    	 0.80616717E-01	 0.31160511E-01
  4088.0000    	  4089.0000    	 0.53610128E-01	 0.30677197E-01
  4089.0000    	  4090.0000    	 0.13076970    	 0.22591876E-01
  4090.0000    	  4091.0000    	 0.88988908E-01	 0.24568352E-01
  4091.0000    	  4092.0000    	 0.73481468E-01	 0.21089598E-01
  4092.0000    	  4093.0000    	 0.17457154E-01	 0.32488039E-01
  4093.0000    	  4094.0000    	-0.24446543E-02	 0.34645793E-01
  4094.0000    	  4095.0000    	 0.28267686E-01	 0.34277564E-01
  4095.0000    	  4096.0000    	 0.35830072E-01	 0.42408914E-01
  4096.0000    	  4097.0000    	 0.55564315E-01	 0.50110287E-01
  4097.0000    	  4098.0000    	 0.22824262E-01	 0.56542204E-01
  4098.0000    	  4099.0000    	 0.20450435    	 0.51297103E-01
  4099.0000    	  4100.0000    	 0.11079617    	 0.56427810E-01
  4100.0000    	  4101.0000    	 0.14318761    	 0.57558569E-01
  4101.0000    	  4102.0000    	 0.18235461    	 0.55278430E-01
  4102.0000    	  4103.0000    	 0.14200226    	 0.55637016E-01
  4103.0000    	  4104.0000    	 0.18508534    	 0.56989827E-01
  4104.0000    	  4105.0000    	 0.25705432    	 0.44269158E-01
  4105.0000    	  4106.0000    	 0.94183512E-01	 0.45876323E-01
  4106.0000    	  4107.0000    	 0.17686484    	 0.42434535E-01
  4107.0000    	  4108.0000    	 0.12010968    	 0.32753058E-01
  4108.0000    	  4109.0000    	 0.15310576    	 0.31257404E-01
  4109.0000    	  4110.0000    	 0.13142560    	 0.29038417E-01
  4110.0000    	  4111.0000    	 0.13529289    	 0.26057185E-01
  4111.0000    	  4112.0000    	 0.78787617E-01	 0.24065662E-01
  4112.0000    	  4113.0000    	 0.46434675E-01	 0.24533915E-01
  4113.0000    	  4114.0000    	 0.79345675E-01	 0.22846194E-01
  4114.0000    	  4115.0000    	-0.65628486E-01	 0.31785210E-01
  4115.0000    	  4116.0000    	 0.52697314E-01	 0.31972003E-01
  4116.0000    	  4117.0000    	 0.18232682E-01	 0.39197919E-01
