# xi0
# underflow	  1.5633079    	 0.24222885    
# overflow	 0.40002694    	 0.11329314    
# sum	  52.930408    	 0.73125253    
# xmin	xmax	cross	numerror
  6248.0000    	  6249.0000    	 0.58470683E-02	 0.12459295E-01
  6249.0000    	  6250.0000    	 0.18181808E-01	 0.15110830E-01
  6250.0000    	  6251.0000    	 0.63511232E-01	 0.16234445E-01
  6251.0000    	  6252.0000    	 0.27559179E-01	 0.17270880E-01
  6252.0000    	  6253.0000    	 0.52201953E-01	 0.17649437E-01
  6253.0000    	  6254.0000    	 0.23961626E-01	 0.17571851E-01
  6254.0000    	  6255.0000    	 0.64337818E-01	 0.21316043E-01
  6255.0000    	  6256.0000    	 0.49901432E-01	 0.24770450E-01
  6256.0000    	  6257.0000    	 0.61531430E-01	 0.23676367E-01
  6257.0000    	  6258.0000    	 0.42379274E-01	 0.27930981E-01
  6258.0000    	  6259.0000    	 0.13143053    	 0.24721171E-01
  6259.0000    	  6260.0000    	 0.64403319E-01	 0.21249167E-01
  6260.0000    	  6261.0000    	 0.49140496E-01	 0.25320394E-01
  6261.0000    	  6262.0000    	 0.55760194E-01	 0.21282761E-01
  6262.0000    	  6263.0000    	 0.32209053E-01	 0.21176154E-01
  6263.0000    	  6264.0000    	 0.28558310E-01	 0.20002343E-01
  6264.0000    	  6265.0000    	 0.23860921E-01	 0.18936565E-01
  6265.0000    	  6266.0000    	 0.25593777E-01	 0.16964850E-01
  6266.0000    	  6267.0000    	-0.11683796E-01	 0.12973621E-01
  6267.0000    	  6268.0000    	 0.18280412E-02	 0.11532828E-01
  6268.0000    	  6269.0000    	 0.60938964E-02	 0.11518628E-01
  6269.0000    	  6270.0000    	 0.68579381E-02	 0.10947262E-01
  6270.0000    	  6271.0000    	 0.20757197E-02	 0.12996087E-01
  6271.0000    	  6272.0000    	 0.18128751E-01	 0.16257027E-01
  6272.0000    	  6273.0000    	 0.43174416E-02	 0.15064892E-01
  6273.0000    	  6274.0000    	-0.53535354E-02	 0.20079235E-01
  6274.0000    	  6275.0000    	 0.35309934E-01	 0.21863383E-01
  6275.0000    	  6276.0000    	 0.82895513E-01	 0.19330884E-01
  6276.0000    	  6277.0000    	 0.43730836E-01	 0.20003361E-01
  6277.0000    	  6278.0000    	 0.51660297E-01	 0.20219250E-01
  6278.0000    	  6279.0000    	 0.70033797E-01	 0.21335259E-01
  6279.0000    	  6280.0000    	 0.77486078E-01	 0.28636497E-01
  6280.0000    	  6281.0000    	 0.94106099E-01	 0.26727368E-01
  6281.0000    	  6282.0000    	 0.97413116E-01	 0.22471328E-01
  6282.0000    	  6283.0000    	 0.55804637E-01	 0.21305019E-01
  6283.0000    	  6284.0000    	 0.42445729E-01	 0.21845832E-01
  6284.0000    	  6285.0000    	 0.60374780E-01	 0.20918483E-01
  6285.0000    	  6286.0000    	-0.10457950E-01	 0.20698658E-01
  6286.0000    	  6287.0000    	 0.20589548E-01	 0.16831678E-01
  6287.0000    	  6288.0000    	 0.31175270E-01	 0.19451714E-01
  6288.0000    	  6289.0000    	-0.73059000E-02	 0.15361635E-01
  6289.0000    	  6290.0000    	-0.68731997E-02	 0.13231469E-01
  6290.0000    	  6291.0000    	 0.18331611E-02	 0.11456675E-01
  6291.0000    	  6292.0000    	-0.26127932E-01	 0.10895868E-01
  6292.0000    	  6293.0000    	 0.21345973E-01	 0.12912790E-01
  6293.0000    	  6294.0000    	-0.94316597E-02	 0.13440712E-01
  6294.0000    	  6295.0000    	-0.24167042E-02	 0.18045390E-01
  6295.0000    	  6296.0000    	 0.42826972E-01	 0.18505358E-01
  6296.0000    	  6297.0000    	 0.40416813E-01	 0.20529012E-01
  6297.0000    	  6298.0000    	 0.21512173E-01	 0.22538364E-01
  6298.0000    	  6299.0000    	 0.73579980E-01	 0.28487732E-01
  6299.0000    	  6300.0000    	 0.74704064E-01	 0.20167644E-01
  6300.0000    	  6301.0000    	 0.96832193E-01	 0.24853555E-01
  6301.0000    	  6302.0000    	 0.10128877    	 0.26611220E-01
  6302.0000    	  6303.0000    	 0.90717639E-01	 0.24083656E-01
  6303.0000    	  6304.0000    	 0.86788973E-01	 0.25207441E-01
  6304.0000    	  6305.0000    	 0.68685766E-01	 0.28429155E-01
  6305.0000    	  6306.0000    	 0.50759829E-01	 0.22468858E-01
  6306.0000    	  6307.0000    	 0.24998704E-01	 0.20496204E-01
  6307.0000    	  6308.0000    	 0.16829954E-01	 0.19761436E-01
  6308.0000    	  6309.0000    	 0.31014678E-01	 0.21258844E-01
  6309.0000    	  6310.0000    	 0.33157028E-01	 0.16314256E-01
  6310.0000    	  6311.0000    	 0.70516597E-02	 0.15332051E-01
  6311.0000    	  6312.0000    	-0.58282517E-02	 0.13495383E-01
  6312.0000    	  6313.0000    	 0.18616760E-02	 0.10640935E-01
  6313.0000    	  6314.0000    	 0.19323098E-01	 0.10240162E-01
  6314.0000    	  6315.0000    	-0.11171419E-01	 0.14619916E-01
  6315.0000    	  6316.0000    	 0.20186841E-01	 0.13830054E-01
  6316.0000    	  6317.0000    	 0.30008832E-01	 0.15794806E-01
  6317.0000    	  6318.0000    	 0.60976855E-01	 0.17664335E-01
  6318.0000    	  6319.0000    	 0.33995654E-01	 0.22275892E-01
  6319.0000    	  6320.0000    	 0.67651588E-01	 0.20700742E-01
  6320.0000    	  6321.0000    	 0.52010421E-01	 0.20339854E-01
  6321.0000    	  6322.0000    	 0.95525233E-01	 0.21555483E-01
  6322.0000    	  6323.0000    	 0.88278568E-01	 0.23671824E-01
  6323.0000    	  6324.0000    	 0.59158810E-01	 0.25566726E-01
  6324.0000    	  6325.0000    	 0.84291275E-01	 0.19960039E-01
  6325.0000    	  6326.0000    	 0.91777688E-01	 0.25907268E-01
  6326.0000    	  6327.0000    	 0.11379289    	 0.22640620E-01
  6327.0000    	  6328.0000    	 0.52039168E-01	 0.20909695E-01
  6328.0000    	  6329.0000    	 0.67851268E-01	 0.21419723E-01
  6329.0000    	  6330.0000    	 0.37398332E-01	 0.20339410E-01
  6330.0000    	  6331.0000    	 0.28574019E-03	 0.18584779E-01
  6331.0000    	  6332.0000    	 0.18751041E-01	 0.17611714E-01
  6332.0000    	  6333.0000    	 0.11819556E-02	 0.16351036E-01
  6333.0000    	  6334.0000    	-0.10610150E-01	 0.12665184E-01
  6334.0000    	  6335.0000    	-0.10190926E-01	 0.14251557E-01
  6335.0000    	  6336.0000    	-0.19266394E-01	 0.79724121E-02
  6336.0000    	  6337.0000    	 0.38904258E-01	 0.14473727E-01
  6337.0000    	  6338.0000    	 0.26500253E-01	 0.13509578E-01
  6338.0000    	  6339.0000    	 0.35682019E-01	 0.14815568E-01
  6339.0000    	  6340.0000    	 0.49427051E-01	 0.19545385E-01
  6340.0000    	  6341.0000    	 0.47008876E-01	 0.17996605E-01
  6341.0000    	  6342.0000    	 0.78091072E-01	 0.18081908E-01
  6342.0000    	  6343.0000    	 0.66705292E-01	 0.22418093E-01
  6343.0000    	  6344.0000    	 0.75427695E-02	 0.21062516E-01
  6344.0000    	  6345.0000    	 0.50905252E-01	 0.23897005E-01
  6345.0000    	  6346.0000    	 0.97495143E-01	 0.28741016E-01
  6346.0000    	  6347.0000    	 0.78392510E-01	 0.23760648E-01
  6347.0000    	  6348.0000    	 0.57254021E-01	 0.28454897E-01
  6348.0000    	  6349.0000    	 0.78267139E-01	 0.28552924E-01
  6349.0000    	  6350.0000    	 0.52906680E-01	 0.21255062E-01
  6350.0000    	  6351.0000    	 0.56660413E-01	 0.21163865E-01
  6351.0000    	  6352.0000    	 0.10508555E-01	 0.18163989E-01
  6352.0000    	  6353.0000    	-0.14795876E-01	 0.18988494E-01
  6353.0000    	  6354.0000    	-0.18723766E-01	 0.14562919E-01
  6354.0000    	  6355.0000    	-0.27601448E-01	 0.14530844E-01
  6355.0000    	  6356.0000    	-0.13934253E-01	 0.13021454E-01
  6356.0000    	  6357.0000    	 0.71168908E-02	 0.13834863E-01
  6357.0000    	  6358.0000    	-0.22331614E-02	 0.10217721E-01
  6358.0000    	  6359.0000    	 0.57098838E-02	 0.13184984E-01
  6359.0000    	  6360.0000    	 0.11215006E-01	 0.14099668E-01
  6360.0000    	  6361.0000    	 0.59681361E-01	 0.16951278E-01
  6361.0000    	  6362.0000    	 0.40066626E-01	 0.20946171E-01
  6362.0000    	  6363.0000    	 0.39049332E-01	 0.18966971E-01
  6363.0000    	  6364.0000    	 0.34586917E-01	 0.18655321E-01
  6364.0000    	  6365.0000    	 0.95081821E-01	 0.24219596E-01
  6365.0000    	  6366.0000    	 0.63348322E-01	 0.22404893E-01
  6366.0000    	  6367.0000    	 0.65970197E-01	 0.21337926E-01
  6367.0000    	  6368.0000    	 0.32712217E-01	 0.30378537E-01
  6368.0000    	  6369.0000    	 0.97556164E-01	 0.23405246E-01
  6369.0000    	  6370.0000    	 0.69636818E-01	 0.27077702E-01
  6370.0000    	  6371.0000    	 0.70039210E-01	 0.24538286E-01
