# xi0
# underflow	 -3.4097571    	 0.10616543    
# overflow	-0.16900503    	 0.20374858E-01
# sum	 -157.94579    	 0.50648211    
# xmin	xmax	cross	numerror
  8448.0000    	  8449.0000    	-0.17268480E-01	 0.11796116E-01
  8449.0000    	  8450.0000    	-0.41965321E-01	 0.86952579E-02
  8450.0000    	  8451.0000    	-0.81243480E-01	 0.13335635E-01
  8451.0000    	  8452.0000    	-0.13067752    	 0.17746939E-01
  8452.0000    	  8453.0000    	-0.11573512    	 0.18631541E-01
  8453.0000    	  8454.0000    	-0.10685806    	 0.17876637E-01
  8454.0000    	  8455.0000    	-0.10153063    	 0.19140805E-01
  8455.0000    	  8456.0000    	-0.12995484    	 0.16322936E-01
  8456.0000    	  8457.0000    	-0.11090856    	 0.14753929E-01
  8457.0000    	  8458.0000    	-0.96760357E-01	 0.12970357E-01
  8458.0000    	  8459.0000    	-0.98714418E-01	 0.13865122E-01
  8459.0000    	  8460.0000    	-0.86226405E-01	 0.13560571E-01
  8460.0000    	  8461.0000    	-0.77600642E-01	 0.10447617E-01
  8461.0000    	  8462.0000    	-0.48599662E-01	 0.10395328E-01
  8462.0000    	  8463.0000    	-0.71156715E-01	 0.83017290E-02
  8463.0000    	  8464.0000    	-0.37275482E-01	 0.64954129E-02
  8464.0000    	  8465.0000    	-0.33268527E-01	 0.57956230E-02
  8465.0000    	  8466.0000    	-0.18898520E-01	 0.45167896E-02
  8466.0000    	  8467.0000    	-0.21615491E-01	 0.40003770E-02
  8467.0000    	  8468.0000    	-0.34644166E-02	 0.29963595E-02
  8468.0000    	  8469.0000    	-0.48294989E-02	 0.25552539E-02
  8469.0000    	  8470.0000    	 0.10394766E-02	 0.23887603E-02
  8470.0000    	  8471.0000    	-0.51865443E-01	 0.11689345E-01
  8471.0000    	  8472.0000    	-0.53278645E-01	 0.11195462E-01
  8472.0000    	  8473.0000    	-0.76751567E-01	 0.14572129E-01
  8473.0000    	  8474.0000    	-0.95052658E-01	 0.18017471E-01
  8474.0000    	  8475.0000    	-0.86467019E-01	 0.17753206E-01
  8475.0000    	  8476.0000    	-0.12308763    	 0.17489163E-01
  8476.0000    	  8477.0000    	-0.11429127    	 0.16927688E-01
  8477.0000    	  8478.0000    	-0.11700456    	 0.15602007E-01
  8478.0000    	  8479.0000    	-0.12734158    	 0.14402844E-01
  8479.0000    	  8480.0000    	-0.12798553    	 0.14180750E-01
  8480.0000    	  8481.0000    	-0.10962658    	 0.14026432E-01
  8481.0000    	  8482.0000    	-0.68876661E-01	 0.12086211E-01
  8482.0000    	  8483.0000    	-0.61469774E-01	 0.10344254E-01
  8483.0000    	  8484.0000    	-0.59121809E-01	 0.90429376E-02
  8484.0000    	  8485.0000    	-0.36345538E-01	 0.79902055E-02
