# xi0
# underflow	 0.64534887    	 0.42154843E-01
# overflow	 0.79394608E-01	 0.86488527E-02
# sum	  34.274304    	 0.19354550    
# xmin	xmax	cross	numerror
  8448.0000    	  8449.0000    	-0.45870179E-03	 0.41815397E-02
  8449.0000    	  8450.0000    	 0.34305292E-02	 0.32628753E-02
  8450.0000    	  8451.0000    	 0.12110505E-01	 0.40915707E-02
  8451.0000    	  8452.0000    	 0.20555672E-01	 0.47844555E-02
  8452.0000    	  8453.0000    	 0.11676210E-01	 0.48568412E-02
  8453.0000    	  8454.0000    	 0.15977630E-01	 0.48587941E-02
  8454.0000    	  8455.0000    	 0.60609305E-02	 0.56050492E-02
  8455.0000    	  8456.0000    	 0.11603350E-01	 0.51243088E-02
  8456.0000    	  8457.0000    	 0.14982531E-02	 0.45518262E-02
  8457.0000    	  8458.0000    	 0.31788279E-02	 0.48475400E-02
  8458.0000    	  8459.0000    	 0.43318934E-02	 0.53107454E-02
  8459.0000    	  8460.0000    	-0.38906548E-02	 0.59834030E-02
  8460.0000    	  8461.0000    	 0.45502403E-02	 0.47889329E-02
  8461.0000    	  8462.0000    	 0.46904348E-02	 0.52590116E-02
  8462.0000    	  8463.0000    	 0.22455556E-02	 0.53884508E-02
  8463.0000    	  8464.0000    	 0.12474040E-01	 0.47884439E-02
  8464.0000    	  8465.0000    	 0.19692147E-01	 0.52265171E-02
  8465.0000    	  8466.0000    	 0.19950928E-01	 0.45422987E-02
  8466.0000    	  8467.0000    	 0.36170515E-02	 0.50212487E-02
  8467.0000    	  8468.0000    	 0.21160686E-01	 0.41402098E-02
  8468.0000    	  8469.0000    	 0.81233250E-02	 0.45810735E-02
  8469.0000    	  8470.0000    	 0.11389825E-01	 0.41540755E-02
  8470.0000    	  8471.0000    	 0.10576255E-01	 0.43225074E-02
  8471.0000    	  8472.0000    	 0.11393007E-01	 0.37176834E-02
  8472.0000    	  8473.0000    	 0.10102252E-01	 0.44338787E-02
  8473.0000    	  8474.0000    	 0.10316178E-01	 0.47466765E-02
  8474.0000    	  8475.0000    	 0.15537007E-01	 0.45321104E-02
  8475.0000    	  8476.0000    	 0.13606203E-01	 0.43934323E-02
  8476.0000    	  8477.0000    	 0.11307044E-01	 0.49463792E-02
  8477.0000    	  8478.0000    	 0.84309688E-02	 0.50479812E-02
  8478.0000    	  8479.0000    	 0.12889240E-02	 0.47935530E-02
  8479.0000    	  8480.0000    	-0.36524378E-03	 0.53070733E-02
  8480.0000    	  8481.0000    	-0.87328615E-03	 0.56118991E-02
  8481.0000    	  8482.0000    	 0.32973120E-02	 0.47370975E-02
  8482.0000    	  8483.0000    	 0.22681110E-02	 0.39766781E-02
  8483.0000    	  8484.0000    	 0.46993677E-02	 0.56132301E-02
  8484.0000    	  8485.0000    	 0.16058280E-01	 0.49041380E-02
  8485.0000    	  8486.0000    	 0.94054012E-02	 0.41591392E-02
  8486.0000    	  8487.0000    	 0.13843165E-01	 0.48611769E-02
  8487.0000    	  8488.0000    	 0.17597463E-01	 0.45603402E-02
  8488.0000    	  8489.0000    	 0.17155379E-01	 0.51286655E-02
  8489.0000    	  8490.0000    	 0.78020272E-02	 0.43825579E-02
