# xi3: scale dd
# underflow	  88.581580    	 0.28086120    
# overflow	 0.24611067    	 0.36092209E-01
# sum	  107.35891    	 0.40615089    
# xmin	xmax	cross	numerror
  2024.0000    	  2025.0000    	 0.23882355E-01	 0.18800359E-01
  2025.0000    	  2026.0000    	 0.28993112E-01	 0.14139168E-01
  2026.0000    	  2027.0000    	 0.58294252E-01	 0.16194624E-01
  2027.0000    	  2028.0000    	 0.59849737E-01	 0.14241888E-01
  2028.0000    	  2029.0000    	 0.46264592E-01	 0.13645293E-01
  2029.0000    	  2030.0000    	 0.16167324E-01	 0.13605339E-01
  2030.0000    	  2031.0000    	 0.34960626E-01	 0.10074003E-01
  2031.0000    	  2032.0000    	-0.33633306E-01	 0.11221215E-01
  2032.0000    	  2033.0000    	 0.57856857E-02	 0.10537546E-01
  2033.0000    	  2034.0000    	 0.15684860E-01	 0.10164044E-01
  2034.0000    	  2035.0000    	 0.16319117E-01	 0.86506757E-02
  2035.0000    	  2036.0000    	 0.39927898E-01	 0.17080920E-01
  2036.0000    	  2037.0000    	 0.64033602E-01	 0.14837262E-01
  2037.0000    	  2038.0000    	 0.26585902E-01	 0.15716281E-01
  2038.0000    	  2039.0000    	 0.35969918E-01	 0.13101510E-01
  2039.0000    	  2040.0000    	 0.28435766E-01	 0.12976041E-01
  2040.0000    	  2041.0000    	 0.26757468E-01	 0.12138885E-01
  2041.0000    	  2042.0000    	 0.35146679E-01	 0.11906441E-01
  2042.0000    	  2043.0000    	 0.39816456E-01	 0.10699780E-01
  2043.0000    	  2044.0000    	 0.18644071E-01	 0.96128491E-02
  2044.0000    	  2045.0000    	-0.28602740E-02	 0.99181264E-02
  2045.0000    	  2046.0000    	-0.10390498E-02	 0.85225088E-02
  2046.0000    	  2047.0000    	 0.60121049E-01	 0.15210028E-01
  2047.0000    	  2048.0000    	 0.47079494E-01	 0.16408380E-01
  2048.0000    	  2049.0000    	 0.43939246E-01	 0.15177771E-01
  2049.0000    	  2050.0000    	 0.25182585E-01	 0.12427571E-01
  2050.0000    	  2051.0000    	 0.37111981E-01	 0.13140044E-01
  2051.0000    	  2052.0000    	 0.18037085E-01	 0.12097292E-01
  2052.0000    	  2053.0000    	 0.43168622E-02	 0.12227410E-01
  2053.0000    	  2054.0000    	 0.12849313E-01	 0.10339076E-01
  2054.0000    	  2055.0000    	 0.17624254E-01	 0.10996108E-01
  2055.0000    	  2056.0000    	 0.21037910E-01	 0.95064481E-02
  2056.0000    	  2057.0000    	 0.76335240E-02	 0.87845717E-02
  2057.0000    	  2058.0000    	 0.51655342E-01	 0.15115094E-01
  2058.0000    	  2059.0000    	 0.40382628E-01	 0.15902377E-01
  2059.0000    	  2060.0000    	 0.52263420E-01	 0.15094168E-01
  2060.0000    	  2061.0000    	 0.25094709E-01	 0.13149806E-01
  2061.0000    	  2062.0000    	 0.35048241E-01	 0.12092129E-01
  2062.0000    	  2063.0000    	 0.18405756E-01	 0.11774500E-01
  2063.0000    	  2064.0000    	 0.35942562E-01	 0.11282410E-01
  2064.0000    	  2065.0000    	 0.20987502E-01	 0.96303953E-02
  2065.0000    	  2066.0000    	 0.23230404E-01	 0.10289971E-01
  2066.0000    	  2067.0000    	-0.16087697E-01	 0.98144641E-02
  2067.0000    	  2068.0000    	 0.25330202E-02	 0.78470423E-02
  2068.0000    	  2069.0000    	 0.46935852E-01	 0.17349196E-01
  2069.0000    	  2070.0000    	 0.28913346E-01	 0.15361275E-01
  2070.0000    	  2071.0000    	 0.44227059E-01	 0.15538452E-01
  2071.0000    	  2072.0000    	 0.34927596E-01	 0.14193486E-01
  2072.0000    	  2073.0000    	 0.44719835E-01	 0.12101744E-01
  2073.0000    	  2074.0000    	 0.39405296E-01	 0.12257942E-01
  2074.0000    	  2075.0000    	 0.32201534E-01	 0.10896326E-01
  2075.0000    	  2076.0000    	 0.21926936E-01	 0.10416340E-01
  2076.0000    	  2077.0000    	-0.89002517E-02	 0.10021158E-01
  2077.0000    	  2078.0000    	 0.11417934E-01	 0.86262030E-02
  2078.0000    	  2079.0000    	 0.14126430E-01	 0.81740004E-02
  2079.0000    	  2080.0000    	 0.12070453E-01	 0.18488499E-01
  2080.0000    	  2081.0000    	 0.53648343E-01	 0.14552763E-01
  2081.0000    	  2082.0000    	 0.15148519E-01	 0.14492946E-01
  2082.0000    	  2083.0000    	 0.32053420E-01	 0.12616456E-01
  2083.0000    	  2084.0000    	 0.20549098E-01	 0.12645646E-01
  2084.0000    	  2085.0000    	 0.73887627E-02	 0.10449250E-01
  2085.0000    	  2086.0000    	 0.28421302E-01	 0.12227056E-01
  2086.0000    	  2087.0000    	-0.47348762E-02	 0.10362495E-01
  2087.0000    	  2088.0000    	 0.10786024E-01	 0.94675655E-02
  2088.0000    	  2089.0000    	 0.15820277E-01	 0.86627526E-02
  2089.0000    	  2090.0000    	 0.99894349E-02	 0.77488886E-02
  2090.0000    	  2091.0000    	 0.26650448E-01	 0.15241603E-01
  2091.0000    	  2092.0000    	 0.67458955E-02	 0.16254401E-01
  2092.0000    	  2093.0000    	 0.89929390E-02	 0.14208600E-01
  2093.0000    	  2094.0000    	 0.42983989E-01	 0.12650351E-01
  2094.0000    	  2095.0000    	 0.24910761E-01	 0.12214985E-01
  2095.0000    	  2096.0000    	 0.46138348E-01	 0.10866539E-01
  2096.0000    	  2097.0000    	 0.29071422E-01	 0.10397399E-01
  2097.0000    	  2098.0000    	 0.23244578E-01	 0.10501486E-01
  2098.0000    	  2099.0000    	 0.31845885E-01	 0.88924306E-02
  2099.0000    	  2100.0000    	 0.60314973E-02	 0.82757955E-02
  2100.0000    	  2101.0000    	 0.16039540E-01	 0.79341614E-02
  2101.0000    	  2102.0000    	 0.74939917E-01	 0.16181186E-01
  2102.0000    	  2103.0000    	 0.39522721E-01	 0.15881958E-01
  2103.0000    	  2104.0000    	 0.64789087E-01	 0.15416827E-01
  2104.0000    	  2105.0000    	 0.34458631E-01	 0.12193472E-01
  2105.0000    	  2106.0000    	 0.57447897E-01	 0.11551300E-01
  2106.0000    	  2107.0000    	 0.29523970E-01	 0.12042195E-01
  2107.0000    	  2108.0000    	 0.24577301E-01	 0.98708412E-02
  2108.0000    	  2109.0000    	 0.26460891E-01	 0.97366128E-02
  2109.0000    	  2110.0000    	 0.29153664E-01	 0.97508267E-02
  2110.0000    	  2111.0000    	 0.13454505E-01	 0.84378371E-02
  2111.0000    	  2112.0000    	 0.68926262E-02	 0.80065180E-02
  2112.0000    	  2113.0000    	 0.12309526E-01	 0.14843131E-01
  2113.0000    	  2114.0000    	 0.46816367E-01	 0.14855867E-01
  2114.0000    	  2115.0000    	 0.22712816E-01	 0.13516461E-01
  2115.0000    	  2116.0000    	 0.24802970E-01	 0.13971014E-01
  2116.0000    	  2117.0000    	 0.21578252E-01	 0.12702661E-01
  2117.0000    	  2118.0000    	 0.32731006E-01	 0.13202978E-01
  2118.0000    	  2119.0000    	 0.13520617E-01	 0.10696863E-01
  2119.0000    	  2120.0000    	 0.31634011E-01	 0.10434054E-01
  2120.0000    	  2121.0000    	 0.23170463E-01	 0.93753612E-02
  2121.0000    	  2122.0000    	 0.93382686E-03	 0.87291997E-02
  2122.0000    	  2123.0000    	 0.17136536E-02	 0.86915579E-02
  2123.0000    	  2124.0000    	 0.32859599E-01	 0.13009095E-01
  2124.0000    	  2125.0000    	 0.30498832E-01	 0.15269538E-01
  2125.0000    	  2126.0000    	 0.50393078E-01	 0.12452788E-01
  2126.0000    	  2127.0000    	 0.39091499E-01	 0.13607045E-01
  2127.0000    	  2128.0000    	 0.16181641E-01	 0.13049651E-01
  2128.0000    	  2129.0000    	 0.94210996E-02	 0.11939106E-01
  2129.0000    	  2130.0000    	 0.34408400E-01	 0.90981313E-02
  2130.0000    	  2131.0000    	 0.12898230E-01	 0.10567208E-01
  2131.0000    	  2132.0000    	 0.10267091E-01	 0.98457387E-02
  2132.0000    	  2133.0000    	 0.10950151E-01	 0.86049825E-02
  2133.0000    	  2134.0000    	 0.17844353E-01	 0.76140899E-02
  2134.0000    	  2135.0000    	 0.46736811E-01	 0.14411549E-01
  2135.0000    	  2136.0000    	 0.20275794E-01	 0.12542821E-01
  2136.0000    	  2137.0000    	 0.45399710E-01	 0.13583920E-01
  2137.0000    	  2138.0000    	 0.17126159E-01	 0.12073762E-01
  2138.0000    	  2139.0000    	 0.40158142E-01	 0.11930919E-01
  2139.0000    	  2140.0000    	 0.12786821E-01	 0.10311132E-01
  2140.0000    	  2141.0000    	 0.29671018E-01	 0.12379477E-01
  2141.0000    	  2142.0000    	 0.21569071E-01	 0.10542271E-01
  2142.0000    	  2143.0000    	 0.78253095E-02	 0.89016868E-02
  2143.0000    	  2144.0000    	 0.29556101E-02	 0.87135310E-02
  2144.0000    	  2145.0000    	-0.31409998E-02	 0.74116653E-02
  2145.0000    	  2146.0000    	 0.41050314E-01	 0.13840232E-01
  2146.0000    	  2147.0000    	 0.26291846E-01	 0.13446946E-01
  2147.0000    	  2148.0000    	 0.31914289E-01	 0.11265171E-01
  2148.0000    	  2149.0000    	 0.41829953E-01	 0.13163735E-01
  2149.0000    	  2150.0000    	 0.28511785E-01	 0.11826922E-01
  2150.0000    	  2151.0000    	 0.23890881E-01	 0.10200369E-01
  2151.0000    	  2152.0000    	 0.87078817E-02	 0.12785651E-01
  2152.0000    	  2153.0000    	 0.17081760E-01	 0.10759184E-01
  2153.0000    	  2154.0000    	 0.23095239E-01	 0.10381428E-01
  2154.0000    	  2155.0000    	 0.10642019E-01	 0.90855977E-02
  2155.0000    	  2156.0000    	 0.11535870E-01	 0.71020243E-02
  2156.0000    	  2157.0000    	 0.18210723E-01	 0.14119748E-01
  2157.0000    	  2158.0000    	 0.17991000E-01	 0.14644705E-01
  2158.0000    	  2159.0000    	 0.49614583E-01	 0.14118262E-01
  2159.0000    	  2160.0000    	 0.33949029E-01	 0.14107957E-01
  2160.0000    	  2161.0000    	 0.55872179E-01	 0.12661615E-01
  2161.0000    	  2162.0000    	 0.40408609E-01	 0.10183438E-01
  2162.0000    	  2163.0000    	 0.31331541E-01	 0.10051821E-01
  2163.0000    	  2164.0000    	-0.20039761E-02	 0.10760355E-01
  2164.0000    	  2165.0000    	 0.77781116E-02	 0.91892074E-02
  2165.0000    	  2166.0000    	 0.13387315E-01	 0.99829705E-02
  2166.0000    	  2167.0000    	 0.22366148E-01	 0.86301935E-02
  2167.0000    	  2168.0000    	 0.62009083E-01	 0.14694228E-01
  2168.0000    	  2169.0000    	 0.19288374E-01	 0.13621102E-01
  2169.0000    	  2170.0000    	 0.34029817E-01	 0.14085602E-01
  2170.0000    	  2171.0000    	 0.32107323E-01	 0.11854712E-01
  2171.0000    	  2172.0000    	 0.29829387E-01	 0.11509064E-01
  2172.0000    	  2173.0000    	 0.20411534E-01	 0.10409303E-01
  2173.0000    	  2174.0000    	 0.40625016E-01	 0.10056021E-01
  2174.0000    	  2175.0000    	 0.32486808E-01	 0.88363775E-02
  2175.0000    	  2176.0000    	 0.50104416E-02	 0.77670888E-02
  2176.0000    	  2177.0000    	 0.24468011E-02	 0.86416413E-02
  2177.0000    	  2178.0000    	 0.28077141E-02	 0.75859353E-02
  2178.0000    	  2179.0000    	 0.20294715E-01	 0.14310060E-01
  2179.0000    	  2180.0000    	 0.11382774E-01	 0.13692954E-01
  2180.0000    	  2181.0000    	 0.38540313E-01	 0.13852658E-01
  2181.0000    	  2182.0000    	 0.38753044E-01	 0.11739585E-01
