# xi0
# underflow	  521.92916    	 0.62076739    
# overflow	  2.4506296    	 0.90056034E-01
# sum	  738.16593    	 0.93608985    
# xmin	xmax	cross	numerror
  3124.0000    	  3125.0000    	 0.52875990    	 0.39320846E-01
  3125.0000    	  3126.0000    	 0.46216666    	 0.35454061E-01
  3126.0000    	  3127.0000    	 0.50234081    	 0.35727293E-01
  3127.0000    	  3128.0000    	 0.47703754    	 0.32753845E-01
  3128.0000    	  3129.0000    	 0.37154724    	 0.33758069E-01
  3129.0000    	  3130.0000    	 0.31277307    	 0.27699520E-01
  3130.0000    	  3131.0000    	 0.25670607    	 0.22446994E-01
  3131.0000    	  3132.0000    	 0.24080888    	 0.21639589E-01
  3132.0000    	  3133.0000    	 0.15361281    	 0.15453984E-01
  3133.0000    	  3134.0000    	 0.12560478    	 0.12650754E-01
  3134.0000    	  3135.0000    	 0.85027684E-01	 0.10393234E-01
  3135.0000    	  3136.0000    	 0.55432656    	 0.42285910E-01
  3136.0000    	  3137.0000    	 0.55456946    	 0.37623794E-01
  3137.0000    	  3138.0000    	 0.48747441    	 0.36395819E-01
  3138.0000    	  3139.0000    	 0.48707675    	 0.33077993E-01
  3139.0000    	  3140.0000    	 0.42417517    	 0.30436364E-01
  3140.0000    	  3141.0000    	 0.34404193    	 0.27611647E-01
  3141.0000    	  3142.0000    	 0.26303549    	 0.23520736E-01
  3142.0000    	  3143.0000    	 0.20672895    	 0.23214170E-01
  3143.0000    	  3144.0000    	 0.17826201    	 0.16370936E-01
  3144.0000    	  3145.0000    	 0.11269768    	 0.12412137E-01
  3145.0000    	  3146.0000    	 0.87050319E-01	 0.10144547E-01
  3146.0000    	  3147.0000    	 0.46680689    	 0.41498582E-01
  3147.0000    	  3148.0000    	 0.47891139    	 0.38363525E-01
  3148.0000    	  3149.0000    	 0.52604452    	 0.34827010E-01
  3149.0000    	  3150.0000    	 0.39826665    	 0.35261172E-01
  3150.0000    	  3151.0000    	 0.38243112    	 0.29996963E-01
  3151.0000    	  3152.0000    	 0.32338981    	 0.25870936E-01
  3152.0000    	  3153.0000    	 0.26901033    	 0.25685434E-01
  3153.0000    	  3154.0000    	 0.18564544    	 0.19724463E-01
  3154.0000    	  3155.0000    	 0.17622720    	 0.14889233E-01
  3155.0000    	  3156.0000    	 0.11685550    	 0.13409712E-01
  3156.0000    	  3157.0000    	 0.77307362E-01	 0.10047622E-01
  3157.0000    	  3158.0000    	 0.56461426    	 0.38971285E-01
  3158.0000    	  3159.0000    	 0.47343781    	 0.36497418E-01
  3159.0000    	  3160.0000    	 0.55006348    	 0.36071376E-01
  3160.0000    	  3161.0000    	 0.45816095    	 0.30025313E-01
  3161.0000    	  3162.0000    	 0.37814320    	 0.32177080E-01
  3162.0000    	  3163.0000    	 0.31750156    	 0.27829868E-01
  3163.0000    	  3164.0000    	 0.26073351    	 0.25156492E-01
  3164.0000    	  3165.0000    	 0.22358291    	 0.19663492E-01
  3165.0000    	  3166.0000    	 0.13308437    	 0.16244292E-01
  3166.0000    	  3167.0000    	 0.11128343    	 0.13952028E-01
  3167.0000    	  3168.0000    	 0.84120398E-01	 0.11535405E-01
