# xi0: scale dd
# underflow	  494.66784    	 0.14463429    
# overflow	  1.9984989    	 0.15564072E-01
# sum	  672.80678    	 0.24610188    
# xmin	xmax	cross	numerror
  2024.0000    	  2025.0000    	 0.35266153    	 0.97755743E-02
  2025.0000    	  2026.0000    	 0.35909507    	 0.98240341E-02
  2026.0000    	  2027.0000    	 0.35072164    	 0.93182446E-02
  2027.0000    	  2028.0000    	 0.31987353    	 0.92757777E-02
  2028.0000    	  2029.0000    	 0.30444911    	 0.86992935E-02
  2029.0000    	  2030.0000    	 0.26528862    	 0.82328487E-02
  2030.0000    	  2031.0000    	 0.25007963    	 0.78370130E-02
  2031.0000    	  2032.0000    	 0.21392730    	 0.72275226E-02
  2032.0000    	  2033.0000    	 0.17816300    	 0.65154472E-02
  2033.0000    	  2034.0000    	 0.16515169    	 0.56341390E-02
  2034.0000    	  2035.0000    	 0.13844689    	 0.51417590E-02
  2035.0000    	  2036.0000    	 0.36179112    	 0.99142860E-02
  2036.0000    	  2037.0000    	 0.35092222    	 0.98260287E-02
  2037.0000    	  2038.0000    	 0.31991604    	 0.95179277E-02
  2038.0000    	  2039.0000    	 0.31821030    	 0.95802808E-02
  2039.0000    	  2040.0000    	 0.28658141    	 0.88963049E-02
  2040.0000    	  2041.0000    	 0.27533825    	 0.87756219E-02
  2041.0000    	  2042.0000    	 0.23493517    	 0.76895187E-02
  2042.0000    	  2043.0000    	 0.20823192    	 0.67930736E-02
  2043.0000    	  2044.0000    	 0.20559244    	 0.63745364E-02
  2044.0000    	  2045.0000    	 0.16168531    	 0.57767026E-02
  2045.0000    	  2046.0000    	 0.14263237    	 0.50484893E-02
  2046.0000    	  2047.0000    	 0.33870907    	 0.97831396E-02
  2047.0000    	  2048.0000    	 0.32942166    	 0.97367915E-02
  2048.0000    	  2049.0000    	 0.32512540    	 0.96545436E-02
  2049.0000    	  2050.0000    	 0.29417066    	 0.91081767E-02
  2050.0000    	  2051.0000    	 0.28457343    	 0.90639187E-02
