# xi1
# underflow	  69541.018    	  4.8096101    
# overflow	  123.76685    	 0.16545845    
# sum	  88754.038    	  5.2465774    
# xmin	xmax	cross	numerror
  0.0000000    	  1.0000000    	  59.308321    	 0.17863465    
  1.0000000    	  2.0000000    	  59.124780    	 0.16837907    
  2.0000000    	  3.0000000    	  58.747344    	 0.16033735    
  3.0000000    	  4.0000000    	  58.212638    	 0.15103096    
  4.0000000    	  5.0000000    	  57.883290    	 0.14466381    
  5.0000000    	  6.0000000    	  57.236792    	 0.13903006    
  6.0000000    	  7.0000000    	  56.164878    	 0.13340974    
  7.0000000    	  8.0000000    	  54.899926    	 0.12711339    
  8.0000000    	  9.0000000    	  53.447145    	 0.12422978    
  9.0000000    	  10.000000    	  51.501434    	 0.11822834    
  10.000000    	  11.000000    	  49.306586    	 0.11390057    
  11.000000    	  12.000000    	  57.021760    	 0.16158598    
  12.000000    	  13.000000    	  56.818635    	 0.15794735    
  13.000000    	  14.000000    	  56.803224    	 0.15169912    
  14.000000    	  15.000000    	  56.242923    	 0.14474647    
  15.000000    	  16.000000    	  55.557106    	 0.13879192    
  16.000000    	  17.000000    	  54.653052    	 0.13081505    
  17.000000    	  18.000000    	  53.334916    	 0.12628345    
  18.000000    	  19.000000    	  52.158832    	 0.12176222    
  19.000000    	  20.000000    	  50.490660    	 0.11632060    
  20.000000    	  21.000000    	  48.546590    	 0.11242698    
  21.000000    	  22.000000    	  46.269620    	 0.10652930    
  22.000000    	  23.000000    	  55.047926    	 0.15615565    
  23.000000    	  24.000000    	  54.879652    	 0.14465236    
  24.000000    	  25.000000    	  54.377589    	 0.13665115    
  25.000000    	  26.000000    	  53.977097    	 0.13735908    
  26.000000    	  27.000000    	  53.289236    	 0.12969388    
  27.000000    	  28.000000    	  52.264586    	 0.12352098    
  28.000000    	  29.000000    	  50.953675    	 0.11777542    
  29.000000    	  30.000000    	  49.434895    	 0.11398416    
  30.000000    	  31.000000    	  47.749950    	 0.11050469    
  31.000000    	  32.000000    	  45.720450    	 0.10550557    
  32.000000    	  33.000000    	  43.513387    	 0.10417851    
  33.000000    	  34.000000    	  53.121756    	 0.14392849    
  34.000000    	  35.000000    	  52.955304    	 0.13815583    
  35.000000    	  36.000000    	  52.702274    	 0.13261498    
  36.000000    	  37.000000    	  51.992378    	 0.12943791    
  37.000000    	  38.000000    	  51.225645    	 0.12667572    
  38.000000    	  39.000000    	  49.965202    	 0.11602380    
  39.000000    	  40.000000    	  48.670738    	 0.11453100    
  40.000000    	  41.000000    	  47.098480    	 0.10753846    
  41.000000    	  42.000000    	  45.183582    	 0.10357733    
  42.000000    	  43.000000    	  43.173475    	 0.10047703    
  43.000000    	  44.000000    	  40.885833    	 0.96519686E-01
  44.000000    	  45.000000    	  51.817048    	 0.13721019    
  45.000000    	  46.000000    	  51.214572    	 0.13386072    
  46.000000    	  47.000000    	  50.679162    	 0.12619226    
  47.000000    	  48.000000    	  50.229074    	 0.12583988    
  48.000000    	  49.000000    	  49.015890    	 0.11576831    
  49.000000    	  50.000000    	  47.845550    	 0.11155231    
  50.000000    	  51.000000    	  46.513815    	 0.10710934    
  51.000000    	  52.000000    	  44.809546    	 0.10305329    
  52.000000    	  53.000000    	  43.170142    	 0.10141473    
  53.000000    	  54.000000    	  41.014909    	 0.96227004E-01
  54.000000    	  55.000000    	  38.648285    	 0.92899684E-01
  55.000000    	  56.000000    	  49.903155    	 0.13096529    
  56.000000    	  57.000000    	  49.625255    	 0.12517389    
  57.000000    	  58.000000    	  49.066126    	 0.12369578    
