# xi0
# underflow	 -13.549482    	 0.74166239E-03
# overflow	-0.42251488E-02	 0.59023501E-05
# sum	 -18.372014    	 0.78782227E-03
# xmin	xmax	cross	numerror
  4224.0000    	  4225.0000    	-0.77155840E-02	 0.29143522E-04
  4225.0000    	  4226.0000    	-0.75478210E-02	 0.25752938E-04
  4226.0000    	  4227.0000    	-0.68911388E-02	 0.21599687E-04
  4227.0000    	  4228.0000    	-0.59471878E-02	 0.14674705E-04
  4228.0000    	  4229.0000    	-0.48407084E-02	 0.11202025E-04
  4229.0000    	  4230.0000    	-0.37494095E-02	 0.80713888E-05
  4230.0000    	  4231.0000    	-0.27191975E-02	 0.60457120E-05
  4231.0000    	  4232.0000    	-0.18754195E-02	 0.44786661E-05
  4232.0000    	  4233.0000    	-0.12086656E-02	 0.32099006E-05
  4233.0000    	  4234.0000    	-0.71782635E-03	 0.21800936E-05
  4234.0000    	  4235.0000    	-0.41542918E-03	 0.14848931E-05
  4235.0000    	  4236.0000    	-0.78940910E-02	 0.27033900E-04
  4236.0000    	  4237.0000    	-0.75016266E-02	 0.21910672E-04
  4237.0000    	  4238.0000    	-0.68442381E-02	 0.18533379E-04
  4238.0000    	  4239.0000    	-0.59138481E-02	 0.14217462E-04
  4239.0000    	  4240.0000    	-0.48097340E-02	 0.10395290E-04
  4240.0000    	  4241.0000    	-0.37108856E-02	 0.79430508E-05
  4241.0000    	  4242.0000    	-0.27080677E-02	 0.59988704E-05
  4242.0000    	  4243.0000    	-0.18532001E-02	 0.44411409E-05
  4243.0000    	  4244.0000    	-0.11977857E-02	 0.31895696E-05
  4244.0000    	  4245.0000    	-0.71288565E-03	 0.21657162E-05
  4245.0000    	  4246.0000    	-0.40803395E-03	 0.14693594E-05
  4246.0000    	  4247.0000    	-0.77975377E-02	 0.23732999E-04
  4247.0000    	  4248.0000    	-0.75123900E-02	 0.20073837E-04
  4248.0000    	  4249.0000    	-0.68036983E-02	 0.16506533E-04
  4249.0000    	  4250.0000    	-0.58412425E-02	 0.12896068E-04
  4250.0000    	  4251.0000    	-0.47652733E-02	 0.99585779E-05
  4251.0000    	  4252.0000    	-0.36699838E-02	 0.77407279E-05
  4252.0000    	  4253.0000    	-0.26708588E-02	 0.59289830E-05
  4253.0000    	  4254.0000    	-0.18355452E-02	 0.44077815E-05
  4254.0000    	  4255.0000    	-0.11860465E-02	 0.31700383E-05
  4255.0000    	  4256.0000    	-0.70067033E-03	 0.21565489E-05
  4256.0000    	  4257.0000    	-0.40493594E-03	 0.14613469E-05
  4257.0000    	  4258.0000    	-0.77855110E-02	 0.19677118E-04
  4258.0000    	  4259.0000    	-0.74859446E-02	 0.18101745E-04
  4259.0000    	  4260.0000    	-0.67667361E-02	 0.15073695E-04
  4260.0000    	  4261.0000    	-0.57938231E-02	 0.12297717E-04
  4261.0000    	  4262.0000    	-0.47234460E-02	 0.96973530E-05
  4262.0000    	  4263.0000    	-0.36450321E-02	 0.76396787E-05
  4263.0000    	  4264.0000    	-0.26448343E-02	 0.58727954E-05
  4264.0000    	  4265.0000    	-0.18195382E-02	 0.43837789E-05
  4265.0000    	  4266.0000    	-0.11711776E-02	 0.31394477E-05
  4266.0000    	  4267.0000    	-0.69548883E-03	 0.21298205E-05
  4267.0000    	  4268.0000    	-0.40088814E-03	 0.14575395E-05
  4268.0000    	  4269.0000    	-0.77936675E-02	 0.18433560E-04
  4269.0000    	  4270.0000    	-0.73787030E-02	 0.16591806E-04
  4270.0000    	  4271.0000    	-0.66899754E-02	 0.14041527E-04
  4271.0000    	  4272.0000    	-0.57613186E-02	 0.11727662E-04
  4272.0000    	  4273.0000    	-0.46821275E-02	 0.95552825E-05
  4273.0000    	  4274.0000    	-0.35996956E-02	 0.75615915E-05
  4274.0000    	  4275.0000    	-0.26148834E-02	 0.58031295E-05
  4275.0000    	  4276.0000    	-0.17986385E-02	 0.43369041E-05
  4276.0000    	  4277.0000    	-0.11629669E-02	 0.31258345E-05
  4277.0000    	  4278.0000    	-0.68866091E-03	 0.21162303E-05
  4278.0000    	  4279.0000    	-0.39615054E-03	 0.14493628E-05
  4279.0000    	  4280.0000    	-0.76605870E-02	 0.16745302E-04
  4280.0000    	  4281.0000    	-0.73209067E-02	 0.15016292E-04
  4281.0000    	  4282.0000    	-0.66592471E-02	 0.13241501E-04
  4282.0000    	  4283.0000    	-0.56960546E-02	 0.11687326E-04
  4283.0000    	  4284.0000    	-0.46362784E-02	 0.94081735E-05
  4284.0000    	  4285.0000    	-0.35740856E-02	 0.74804506E-05
  4285.0000    	  4286.0000    	-0.26028923E-02	 0.57920026E-05
  4286.0000    	  4287.0000    	-0.17822678E-02	 0.43088589E-05
  4287.0000    	  4288.0000    	-0.11485378E-02	 0.30976012E-05
  4288.0000    	  4289.0000    	-0.68350376E-03	 0.21068764E-05
  4289.0000    	  4290.0000    	-0.39221821E-03	 0.14511140E-05
  4290.0000    	  4291.0000    	-0.76498078E-02	 0.15824144E-04
  4291.0000    	  4292.0000    	-0.73012318E-02	 0.14455470E-04
  4292.0000    	  4293.0000    	-0.65868342E-02	 0.12833044E-04
  4293.0000    	  4294.0000    	-0.56552913E-02	 0.11109867E-04
  4294.0000    	  4295.0000    	-0.45867302E-02	 0.92390104E-05
  4295.0000    	  4296.0000    	-0.35348315E-02	 0.73989191E-05
  4296.0000    	  4297.0000    	-0.25725797E-02	 0.57244870E-05
  4297.0000    	  4298.0000    	-0.17558336E-02	 0.42671156E-05
  4298.0000    	  4299.0000    	-0.11364410E-02	 0.30744026E-05
  4299.0000    	  4300.0000    	-0.67439996E-03	 0.20903728E-05
  4300.0000    	  4301.0000    	-0.38722863E-03	 0.14255117E-05
  4301.0000    	  4302.0000    	-0.75901306E-02	 0.15341543E-04
  4302.0000    	  4303.0000    	-0.72153726E-02	 0.13965231E-04
  4303.0000    	  4304.0000    	-0.65268045E-02	 0.12444821E-04
  4304.0000    	  4305.0000    	-0.56035471E-02	 0.10900260E-04
  4305.0000    	  4306.0000    	-0.45585397E-02	 0.91481716E-05
  4306.0000    	  4307.0000    	-0.34981095E-02	 0.73304888E-05
  4307.0000    	  4308.0000    	-0.25454865E-02	 0.56818284E-05
  4308.0000    	  4309.0000    	-0.17490170E-02	 0.42446251E-05
  4309.0000    	  4310.0000    	-0.11256581E-02	 0.30522022E-05
  4310.0000    	  4311.0000    	-0.66729428E-03	 0.20768367E-05
  4311.0000    	  4312.0000    	-0.38451466E-03	 0.14224583E-05
  4312.0000    	  4313.0000    	-0.75429436E-02	 0.14766798E-04
  4313.0000    	  4314.0000    	-0.71705555E-02	 0.13496653E-04
  4314.0000    	  4315.0000    	-0.64674800E-02	 0.12105015E-04
  4315.0000    	  4316.0000    	-0.55570795E-02	 0.10758123E-04
  4316.0000    	  4317.0000    	-0.45145541E-02	 0.90490310E-05
  4317.0000    	  4318.0000    	-0.34710251E-02	 0.72746290E-05
  4318.0000    	  4319.0000    	-0.25174035E-02	 0.56282275E-05
  4319.0000    	  4320.0000    	-0.17346497E-02	 0.42266139E-05
  4320.0000    	  4321.0000    	-0.11128344E-02	 0.30282741E-05
  4321.0000    	  4322.0000    	-0.65932541E-03	 0.20586814E-05
  4322.0000    	  4323.0000    	-0.38087841E-03	 0.14121770E-05
  4323.0000    	  4324.0000    	-0.74578874E-02	 0.14410847E-04
  4324.0000    	  4325.0000    	-0.71052356E-02	 0.13127322E-04
  4325.0000    	  4326.0000    	-0.64029265E-02	 0.11957433E-04
  4326.0000    	  4327.0000    	-0.54924955E-02	 0.10561495E-04
  4327.0000    	  4328.0000    	-0.44562858E-02	 0.89379334E-05
  4328.0000    	  4329.0000    	-0.34309401E-02	 0.72060987E-05
  4329.0000    	  4330.0000    	-0.24989948E-02	 0.55994584E-05
  4330.0000    	  4331.0000    	-0.17094494E-02	 0.41835754E-05
  4331.0000    	  4332.0000    	-0.11055114E-02	 0.30127614E-05
  4332.0000    	  4333.0000    	-0.65677525E-03	 0.20559348E-05
  4333.0000    	  4334.0000    	-0.37823309E-03	 0.14237324E-05
  4334.0000    	  4335.0000    	-0.74032778E-02	 0.14112921E-04
  4335.0000    	  4336.0000    	-0.70322390E-02	 0.12916511E-04
  4336.0000    	  4337.0000    	-0.63696253E-02	 0.11741803E-04
  4337.0000    	  4338.0000    	-0.54563454E-02	 0.10465830E-04
  4338.0000    	  4339.0000    	-0.44321791E-02	 0.88804169E-05
  4339.0000    	  4340.0000    	-0.33993008E-02	 0.71501546E-05
  4340.0000    	  4341.0000    	-0.24799202E-02	 0.55574983E-05
  4341.0000    	  4342.0000    	-0.16997891E-02	 0.41922184E-05
  4342.0000    	  4343.0000    	-0.10927398E-02	 0.29951635E-05
  4343.0000    	  4344.0000    	-0.64608718E-03	 0.20364429E-05
  4344.0000    	  4345.0000    	-0.37401445E-03	 0.14028195E-05
  4345.0000    	  4346.0000    	-0.73389739E-02	 0.13950637E-04
  4346.0000    	  4347.0000    	-0.69832256E-02	 0.12709224E-04
  4347.0000    	  4348.0000    	-0.62915107E-02	 0.11561497E-04
  4348.0000    	  4349.0000    	-0.53986376E-02	 0.10348457E-04
  4349.0000    	  4350.0000    	-0.43853501E-02	 0.87828159E-05
  4350.0000    	  4351.0000    	-0.33600135E-02	 0.70716633E-05
  4351.0000    	  4352.0000    	-0.24520771E-02	 0.55108170E-05
  4352.0000    	  4353.0000    	-0.16772941E-02	 0.41270554E-05
  4353.0000    	  4354.0000    	-0.10829404E-02	 0.29727498E-05
  4354.0000    	  4355.0000    	-0.64147165E-03	 0.20233097E-05
  4355.0000    	  4356.0000    	-0.36789379E-03	 0.13838250E-05
  4356.0000    	  4357.0000    	-0.72696153E-02	 0.13646445E-04
  4357.0000    	  4358.0000    	-0.68991153E-02	 0.12500664E-04
  4358.0000    	  4359.0000    	-0.62331467E-02	 0.11390496E-04
  4359.0000    	  4360.0000    	-0.53529727E-02	 0.10217688E-04
  4360.0000    	  4361.0000    	-0.43462761E-02	 0.87027114E-05
  4361.0000    	  4362.0000    	-0.33444979E-02	 0.70397007E-05
  4362.0000    	  4363.0000    	-0.24266458E-02	 0.54714701E-05
  4363.0000    	  4364.0000    	-0.16597754E-02	 0.40901027E-05
  4364.0000    	  4365.0000    	-0.10709489E-02	 0.29478916E-05
  4365.0000    	  4366.0000    	-0.63590133E-03	 0.20123071E-05
  4366.0000    	  4367.0000    	-0.34900816E-03	 0.13470901E-05
  4367.0000    	  4368.0000    	-0.72001050E-02	 0.13457753E-04
  4368.0000    	  4369.0000    	-0.68615180E-02	 0.12372903E-04
  4369.0000    	  4370.0000    	-0.61948616E-02	 0.11285929E-04
  4370.0000    	  4371.0000    	-0.52925628E-02	 0.10108482E-04
  4371.0000    	  4372.0000    	-0.42964468E-02	 0.86062548E-05
  4372.0000    	  4373.0000    	-0.32988572E-02	 0.69693743E-05
  4373.0000    	  4374.0000    	-0.24007412E-02	 0.54317607E-05
  4374.0000    	  4375.0000    	-0.16522797E-02	 0.40776628E-05
  4375.0000    	  4376.0000    	-0.10576736E-02	 0.29266531E-05
  4376.0000    	  4377.0000    	-0.63064755E-03	 0.20307597E-05
  4377.0000    	  4378.0000    	-0.36093660E-03	 0.13724095E-05
  4378.0000    	  4379.0000    	-0.71444256E-02	 0.13269063E-04
  4379.0000    	  4380.0000    	-0.67919381E-02	 0.12209005E-04
  4380.0000    	  4381.0000    	-0.61348183E-02	 0.11160553E-04
  4381.0000    	  4382.0000    	-0.52568312E-02	 0.10017214E-04
  4382.0000    	  4383.0000    	-0.42585145E-02	 0.85431946E-05
  4383.0000    	  4384.0000    	-0.32797120E-02	 0.69313258E-05
  4384.0000    	  4385.0000    	-0.23757094E-02	 0.53883406E-05
  4385.0000    	  4386.0000    	-0.16372720E-02	 0.40481771E-05
  4386.0000    	  4387.0000    	-0.10523862E-02	 0.29153428E-05
  4387.0000    	  4388.0000    	-0.62387214E-03	 0.20081163E-05
  4388.0000    	  4389.0000    	-0.35999155E-03	 0.13661412E-05
  4389.0000    	  4390.0000    	-0.70852331E-02	 0.13116501E-04
  4390.0000    	  4391.0000    	-0.67277772E-02	 0.12057915E-04
  4391.0000    	  4392.0000    	-0.60834883E-02	 0.11067994E-04
  4392.0000    	  4393.0000    	-0.52091986E-02	 0.99240516E-05
  4393.0000    	  4394.0000    	-0.42229171E-02	 0.84715613E-05
  4394.0000    	  4395.0000    	-0.32500053E-02	 0.68729748E-05
  4395.0000    	  4396.0000    	-0.23624249E-02	 0.53541635E-05
  4396.0000    	  4397.0000    	-0.16052445E-02	 0.39950340E-05
  4397.0000    	  4398.0000    	-0.10403429E-02	 0.28944807E-05
  4398.0000    	  4399.0000    	-0.61403527E-03	 0.19703799E-05
  4399.0000    	  4400.0000    	-0.35526839E-03	 0.13651969E-05
  4400.0000    	  4401.0000    	-0.70206561E-02	 0.12974239E-04
  4401.0000    	  4402.0000    	-0.66662907E-02	 0.11922601E-04
  4402.0000    	  4403.0000    	-0.60165488E-02	 0.10919595E-04
  4403.0000    	  4404.0000    	-0.51589172E-02	 0.98260909E-05
  4404.0000    	  4405.0000    	-0.41826311E-02	 0.83978463E-05
  4405.0000    	  4406.0000    	-0.32121839E-02	 0.68122222E-05
  4406.0000    	  4407.0000    	-0.23310591E-02	 0.53073279E-05
  4407.0000    	  4408.0000    	-0.16009232E-02	 0.39856576E-05
  4408.0000    	  4409.0000    	-0.10241912E-02	 0.28605248E-05
  4409.0000    	  4410.0000    	-0.61344121E-03	 0.19645638E-05
  4410.0000    	  4411.0000    	-0.34854706E-03	 0.13374922E-05
  4411.0000    	  4412.0000    	-0.69709964E-02	 0.12845096E-04
  4412.0000    	  4413.0000    	-0.66246595E-02	 0.11811733E-04
  4413.0000    	  4414.0000    	-0.59684093E-02	 0.10818263E-04
  4414.0000    	  4415.0000    	-0.51146074E-02	 0.97425604E-05
  4415.0000    	  4416.0000    	-0.41425702E-02	 0.83321794E-05
  4416.0000    	  4417.0000    	-0.31855015E-02	 0.67594901E-05
  4417.0000    	  4418.0000    	-0.23123485E-02	 0.52764447E-05
  4418.0000    	  4419.0000    	-0.15848182E-02	 0.39620346E-05
  4419.0000    	  4420.0000    	-0.10216231E-02	 0.28576485E-05
  4420.0000    	  4421.0000    	-0.60545019E-03	 0.19517880E-05
  4421.0000    	  4422.0000    	-0.34672549E-03	 0.13365940E-05
  4422.0000    	  4423.0000    	-0.68883932E-02	 0.12641256E-04
  4423.0000    	  4424.0000    	-0.65603661E-02	 0.11691945E-04
  4424.0000    	  4425.0000    	-0.59123825E-02	 0.10696513E-04
  4425.0000    	  4426.0000    	-0.50587965E-02	 0.96443812E-05
  4426.0000    	  4427.0000    	-0.41118795E-02	 0.82692397E-05
  4427.0000    	  4428.0000    	-0.31567019E-02	 0.67102092E-05
  4428.0000    	  4429.0000    	-0.22875577E-02	 0.52288479E-05
  4429.0000    	  4430.0000    	-0.15700296E-02	 0.39338065E-05
  4430.0000    	  4431.0000    	-0.10055911E-02	 0.28437309E-05
  4431.0000    	  4432.0000    	-0.59904802E-03	 0.19426752E-05
  4432.0000    	  4433.0000    	-0.34454119E-03	 0.13295435E-05
  4433.0000    	  4434.0000    	-0.68374635E-02	 0.12527724E-04
  4434.0000    	  4435.0000    	-0.65044346E-02	 0.11560823E-04
  4435.0000    	  4436.0000    	-0.58658045E-02	 0.10615367E-04
  4436.0000    	  4437.0000    	-0.50178912E-02	 0.95628966E-05
  4437.0000    	  4438.0000    	-0.40664611E-02	 0.81915540E-05
  4438.0000    	  4439.0000    	-0.31230775E-02	 0.66543371E-05
  4439.0000    	  4440.0000    	-0.22714402E-02	 0.51992729E-05
  4440.0000    	  4441.0000    	-0.15541357E-02	 0.39063166E-05
  4441.0000    	  4442.0000    	-0.99863913E-03	 0.28116386E-05
  4442.0000    	  4443.0000    	-0.59318673E-03	 0.19293374E-05
  4443.0000    	  4444.0000    	-0.34078172E-03	 0.13281355E-05
  4444.0000    	  4445.0000    	-0.67650248E-02	 0.12371588E-04
  4445.0000    	  4446.0000    	-0.64291277E-02	 0.11418203E-04
  4446.0000    	  4447.0000    	-0.57991799E-02	 0.10491390E-04
  4447.0000    	  4448.0000    	-0.49673263E-02	 0.94647269E-05
  4448.0000    	  4449.0000    	-0.40389212E-02	 0.81379134E-05
  4449.0000    	  4450.0000    	-0.30912832E-02	 0.66092226E-05
  4450.0000    	  4451.0000    	-0.22562721E-02	 0.51750740E-05
  4451.0000    	  4452.0000    	-0.15387669E-02	 0.39037433E-05
  4452.0000    	  4453.0000    	-0.98718801E-03	 0.27948626E-05
  4453.0000    	  4454.0000    	-0.58997530E-03	 0.19217924E-05
  4454.0000    	  4455.0000    	-0.33648153E-03	 0.13379249E-05
  4455.0000    	  4456.0000    	-0.67281932E-02	 0.12283818E-04
  4456.0000    	  4457.0000    	-0.63867847E-02	 0.11325880E-04
  4457.0000    	  4458.0000    	-0.57579128E-02	 0.10417040E-04
  4458.0000    	  4459.0000    	-0.49312325E-02	 0.94022391E-05
  4459.0000    	  4460.0000    	-0.40047561E-02	 0.80764710E-05
  4460.0000    	  4461.0000    	-0.30747396E-02	 0.65709623E-05
  4461.0000    	  4462.0000    	-0.22309641E-02	 0.51351150E-05
  4462.0000    	  4463.0000    	-0.15212970E-02	 0.38475048E-05
  4463.0000    	  4464.0000    	-0.98008087E-03	 0.27807525E-05
  4464.0000    	  4465.0000    	-0.58119063E-03	 0.19009943E-05
  4465.0000    	  4466.0000    	-0.33172548E-03	 0.13059782E-05
  4466.0000    	  4467.0000    	-0.66501791E-02	 0.12141316E-04
  4467.0000    	  4468.0000    	-0.63182396E-02	 0.11200781E-04
  4468.0000    	  4469.0000    	-0.57171738E-02	 0.10311750E-04
  4469.0000    	  4470.0000    	-0.48866559E-02	 0.93279654E-05
  4470.0000    	  4471.0000    	-0.39520517E-02	 0.79872468E-05
  4471.0000    	  4472.0000    	-0.30412654E-02	 0.65147947E-05
  4472.0000    	  4473.0000    	-0.22005390E-02	 0.50795568E-05
  4473.0000    	  4474.0000    	-0.15103320E-02	 0.38291379E-05
  4474.0000    	  4475.0000    	-0.96754948E-03	 0.27607009E-05
  4475.0000    	  4476.0000    	-0.57694953E-03	 0.18918158E-05
  4476.0000    	  4477.0000    	-0.32803486E-03	 0.12904148E-05
  4477.0000    	  4478.0000    	-0.66015112E-02	 0.12027816E-04
  4478.0000    	  4479.0000    	-0.62803470E-02	 0.11131941E-04
  4479.0000    	  4480.0000    	-0.56470707E-02	 0.10215007E-04
  4480.0000    	  4481.0000    	-0.48366372E-02	 0.92348203E-05
  4481.0000    	  4482.0000    	-0.39217598E-02	 0.79369873E-05
  4482.0000    	  4483.0000    	-0.30163599E-02	 0.64722064E-05
  4483.0000    	  4484.0000    	-0.21871636E-02	 0.50584530E-05
  4484.0000    	  4485.0000    	-0.14968528E-02	 0.38036621E-05
  4485.0000    	  4486.0000    	-0.95956857E-03	 0.27392553E-05
  4486.0000    	  4487.0000    	-0.57289754E-03	 0.18892762E-05
  4487.0000    	  4488.0000    	-0.32793603E-03	 0.12914920E-05
  4488.0000    	  4489.0000    	-0.65431310E-02	 0.11908910E-04
  4489.0000    	  4490.0000    	-0.62107456E-02	 0.10997730E-04
  4490.0000    	  4491.0000    	-0.56176274E-02	 0.10144580E-04
  4491.0000    	  4492.0000    	-0.48007244E-02	 0.91741410E-05
  4492.0000    	  4493.0000    	-0.38998236E-02	 0.78943118E-05
  4493.0000    	  4494.0000    	-0.29782063E-02	 0.64093877E-05
  4494.0000    	  4495.0000    	-0.21668294E-02	 0.50282076E-05
  4495.0000    	  4496.0000    	-0.14828507E-02	 0.37822540E-05
  4496.0000    	  4497.0000    	-0.94957178E-03	 0.27239383E-05
  4497.0000    	  4498.0000    	-0.56502000E-03	 0.18786161E-05
  4498.0000    	  4499.0000    	-0.32227774E-03	 0.12749778E-05
  4499.0000    	  4500.0000    	-0.64901806E-02	 0.11803503E-04
  4500.0000    	  4501.0000    	-0.61580215E-02	 0.10893013E-04
  4501.0000    	  4502.0000    	-0.55523882E-02	 0.10039008E-04
  4502.0000    	  4503.0000    	-0.47487074E-02	 0.90824833E-05
  4503.0000    	  4504.0000    	-0.38513242E-02	 0.78269742E-05
  4504.0000    	  4505.0000    	-0.29563758E-02	 0.63738393E-05
  4505.0000    	  4506.0000    	-0.21415165E-02	 0.49830150E-05
  4506.0000    	  4507.0000    	-0.14702593E-02	 0.37552019E-05
  4507.0000    	  4508.0000    	-0.94069711E-03	 0.27053748E-05
  4508.0000    	  4509.0000    	-0.56126892E-03	 0.18736923E-05
  4509.0000    	  4510.0000    	-0.32100702E-03	 0.12760379E-05
  4510.0000    	  4511.0000    	-0.64507055E-02	 0.11722561E-04
  4511.0000    	  4512.0000    	-0.61147647E-02	 0.10804943E-04
  4512.0000    	  4513.0000    	-0.55062711E-02	 0.99605660E-05
  4513.0000    	  4514.0000    	-0.47178860E-02	 0.90269867E-05
  4514.0000    	  4515.0000    	-0.38124320E-02	 0.77489616E-05
  4515.0000    	  4516.0000    	-0.29313680E-02	 0.63267678E-05
  4516.0000    	  4517.0000    	-0.21226617E-02	 0.49453916E-05
  4517.0000    	  4518.0000    	-0.14494867E-02	 0.37212449E-05
  4518.0000    	  4519.0000    	-0.93370559E-03	 0.26956985E-05
  4519.0000    	  4520.0000    	-0.55381609E-03	 0.18439053E-05
