# xi2
# underflow	  8.8638293    	 0.41568410E-03
# overflow	 0.19296660E-02	 0.51171152E-05
# sum	  11.568146    	 0.47250039E-03
# xmin	xmax	cross	numerror
  4224.0000    	  4225.0000    	 0.35513295E-02	 0.11746947E-04
  4225.0000    	  4226.0000    	 0.35120631E-02	 0.11010516E-04
  4226.0000    	  4227.0000    	 0.34040647E-02	 0.10513482E-04
  4227.0000    	  4228.0000    	 0.32413844E-02	 0.10898845E-04
  4228.0000    	  4229.0000    	 0.29965757E-02	 0.11532172E-04
  4229.0000    	  4230.0000    	 0.24628282E-02	 0.11232775E-04
  4230.0000    	  4231.0000    	 0.17356672E-02	 0.93961176E-05
  4231.0000    	  4232.0000    	 0.18179722E-02	 0.90865863E-05
  4232.0000    	  4233.0000    	 0.14417752E-02	 0.61098711E-05
  4233.0000    	  4234.0000    	 0.10491863E-02	 0.41602353E-05
  4234.0000    	  4235.0000    	 0.66753143E-03	 0.28362893E-05
  4235.0000    	  4236.0000    	 0.35171467E-02	 0.11663837E-04
  4236.0000    	  4237.0000    	 0.34601596E-02	 0.10797770E-04
  4237.0000    	  4238.0000    	 0.33747279E-02	 0.10330138E-04
  4238.0000    	  4239.0000    	 0.32121543E-02	 0.10115532E-04
  4239.0000    	  4240.0000    	 0.24676735E-02	 0.95749020E-05
  4240.0000    	  4241.0000    	 0.25870301E-02	 0.11733082E-04
  4241.0000    	  4242.0000    	 0.22511464E-02	 0.10238608E-04
  4242.0000    	  4243.0000    	 0.18796133E-02	 0.77469478E-05
  4243.0000    	  4244.0000    	 0.14513695E-02	 0.57305577E-05
  4244.0000    	  4245.0000    	 0.10339291E-02	 0.39504284E-05
  4245.0000    	  4246.0000    	 0.66344596E-03	 0.27933762E-05
  4246.0000    	  4247.0000    	 0.35016659E-02	 0.11631968E-04
  4247.0000    	  4248.0000    	 0.34281727E-02	 0.10721207E-04
  4248.0000    	  4249.0000    	 0.33407652E-02	 0.10051690E-04
  4249.0000    	  4250.0000    	 0.31796354E-02	 0.97085035E-05
  4250.0000    	  4251.0000    	 0.29572911E-02	 0.95683321E-05
  4251.0000    	  4252.0000    	 0.26547383E-02	 0.10609449E-04
  4252.0000    	  4253.0000    	 0.22524795E-02	 0.85999339E-05
  4253.0000    	  4254.0000    	 0.17613672E-02	 0.70195717E-05
  4254.0000    	  4255.0000    	 0.14423057E-02	 0.53296029E-05
  4255.0000    	  4256.0000    	 0.10293905E-02	 0.38094610E-05
  4256.0000    	  4257.0000    	 0.65022298E-03	 0.27550015E-05
  4257.0000    	  4258.0000    	 0.34648956E-02	 0.11521025E-04
  4258.0000    	  4259.0000    	 0.34060310E-02	 0.10643023E-04
  4259.0000    	  4260.0000    	 0.33103874E-02	 0.99391320E-05
  4260.0000    	  4261.0000    	 0.31600014E-02	 0.93549671E-05
  4261.0000    	  4262.0000    	 0.29341634E-02	 0.90452849E-05
  4262.0000    	  4263.0000    	 0.26160316E-02	 0.86123439E-05
  4263.0000    	  4264.0000    	 0.19384648E-02	 0.70358882E-05
  4264.0000    	  4265.0000    	 0.18606300E-02	 0.65494766E-05
  4265.0000    	  4266.0000    	 0.14297053E-02	 0.49010262E-05
  4266.0000    	  4267.0000    	 0.10114450E-02	 0.37216443E-05
  4267.0000    	  4268.0000    	 0.64050688E-03	 0.26640784E-05
  4268.0000    	  4269.0000    	 0.34061768E-02	 0.11397266E-04
  4269.0000    	  4270.0000    	 0.33749569E-02	 0.10550301E-04
  4270.0000    	  4271.0000    	 0.32868248E-02	 0.98185646E-05
  4271.0000    	  4272.0000    	 0.31171452E-02	 0.91169817E-05
  4272.0000    	  4273.0000    	 0.29052454E-02	 0.84953015E-05
  4273.0000    	  4274.0000    	 0.25910515E-02	 0.77135563E-05
  4274.0000    	  4275.0000    	 0.22303738E-02	 0.69111495E-05
  4275.0000    	  4276.0000    	 0.18422944E-02	 0.59381103E-05
  4276.0000    	  4277.0000    	 0.14185451E-02	 0.46949303E-05
  4277.0000    	  4278.0000    	 0.10032143E-02	 0.36155067E-05
  4278.0000    	  4279.0000    	 0.63260445E-03	 0.27043521E-05
  4279.0000    	  4280.0000    	 0.33809198E-02	 0.11334816E-04
  4280.0000    	  4281.0000    	 0.33496880E-02	 0.10501933E-04
  4281.0000    	  4282.0000    	 0.32513201E-02	 0.97081208E-05
  4282.0000    	  4283.0000    	 0.30992985E-02	 0.89760507E-05
  4283.0000    	  4284.0000    	 0.28830179E-02	 0.81304106E-05
  4284.0000    	  4285.0000    	 0.25325720E-02	 0.71583250E-05
  4285.0000    	  4286.0000    	 0.13226351E-02	 0.49036453E-05
  4286.0000    	  4287.0000    	 0.18095232E-02	 0.53612522E-05
  4287.0000    	  4288.0000    	 0.13558366E-02	 0.44000997E-05
  4288.0000    	  4289.0000    	 0.98994792E-03	 0.35758243E-05
  4289.0000    	  4290.0000    	 0.62745124E-03	 0.26364293E-05
  4290.0000    	  4291.0000    	 0.33583089E-02	 0.11261254E-04
  4291.0000    	  4292.0000    	 0.33194178E-02	 0.10425368E-04
  4292.0000    	  4293.0000    	 0.32278668E-02	 0.96524335E-05
  4293.0000    	  4294.0000    	 0.30752515E-02	 0.89805363E-05
  4294.0000    	  4295.0000    	 0.28488793E-02	 0.79277163E-05
  4295.0000    	  4296.0000    	 0.25487847E-02	 0.68148268E-05
  4296.0000    	  4297.0000    	 0.22024023E-02	 0.58891664E-05
  4297.0000    	  4298.0000    	 0.17750976E-02	 0.50748101E-05
  4298.0000    	  4299.0000    	 0.13851262E-02	 0.43364786E-05
  4299.0000    	  4300.0000    	 0.97828656E-03	 0.35002382E-05
  4300.0000    	  4301.0000    	 0.61636647E-03	 0.26027212E-05
  4301.0000    	  4302.0000    	 0.33180160E-02	 0.11153248E-04
  4302.0000    	  4303.0000    	 0.32786309E-02	 0.10342891E-04
  4303.0000    	  4304.0000    	 0.31904423E-02	 0.95538998E-05
  4304.0000    	  4305.0000    	 0.30477115E-02	 0.87245052E-05
  4305.0000    	  4306.0000    	 0.28287802E-02	 0.77333434E-05
  4306.0000    	  4307.0000    	 0.25252001E-02	 0.66034109E-05
  4307.0000    	  4308.0000    	 0.21877268E-02	 0.56336759E-05
  4308.0000    	  4309.0000    	 0.17892765E-02	 0.49572602E-05
  4309.0000    	  4310.0000    	 0.13630590E-02	 0.42437592E-05
  4310.0000    	  4311.0000    	 0.96500781E-03	 0.34133234E-05
  4311.0000    	  4312.0000    	 0.60540830E-03	 0.25255465E-05
  4312.0000    	  4313.0000    	 0.33014501E-02	 0.11124390E-04
  4313.0000    	  4314.0000    	 0.32514417E-02	 0.10275422E-04
